date,open,high,low,close,volume
2017-01-03,6.77,6.7,6.6,6.5,9186
2017-01-04,6.7,7.3,6.7,6.84,31529
2017-01-05,6.85,7.01,6.77,7.12,8751
2017-01-06,7.2,7.07,7.0,6.9,4111
2017-01-09,7.16,7.1,7.0,7.1,3448
2017-01-10,7.0,7.33,6.9,7.0,3252
2017-01-11,0.0,0.0,0.0,7.1,0
2017-01-12,6.83,7.07,6.9,7.04,112
2017-01-13,0.0,0.0,0.0,6.81,75
2017-01-17,7.2,7.4,6.87,7.0,1825
2017-01-18,6.9,6.91,6.9,6.8,4989
2017-01-19,7.01,7.0,6.72,6.9,9649
2017-01-20,7.2,7.4,7.0,7.0,2017
2017-01-23,6.95,7.38,6.79,6.87,29539
2017-01-24,7.17,7.43,6.9,7.1,4951
2017-01-25,0.0,0.0,0.0,6.92,247
2017-01-26,7.19,7.3,6.97,7.0,6516
2017-01-27,7.16,7.0,6.98,7.2,5519
2017-01-30,7.0,7.0,7.1,7.1,2832
2017-01-31,6.96,7.17,7.05,7.1,3208
2017-02-01,7.0,7.0,6.9,7.11,1736
2017-02-02,7.11,6.95,6.95,6.93,2096
2017-02-03,6.77,6.8,6.6,6.57,7475
2017-02-06,6.6,6.6,6.5,6.71,12546
2017-02-07,6.4,6.6,6.2,6.29,8984
2017-02-08,6.44,6.5,6.4,6.56,19466
2017-02-09,6.4,6.5,6.13,6.6,7541
2017-02-10,6.52,6.54,5.9,6.09,16227
2017-02-13,6.5,6.6,6.49,6.4,4214
2017-02-14,6.3,6.33,6.31,6.43,3718
2017-02-15,6.2,6.38,5.87,6.3,1746
2017-02-16,6.0,6.37,5.87,6.42,14480
2017-02-17,6.3,6.5,6.2,6.33,20315
2017-02-21,6.39,6.6,6.35,6.59,14388
2017-02-22,6.65,6.75,6.8,6.8,594
2017-02-23,0.0,0.0,0.0,6.6,6
2017-02-24,6.45,6.5,6.7,6.7,7162
2017-02-27,6.62,6.72,6.7,6.83,524
2017-02-28,6.49,7.06,6.36,6.8,1569
