date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,19.13,0
2017-01-04,19.54,19.8,19.65,19.01,1901
2017-01-05,0.0,0.0,0.0,19.4,0
2017-01-06,0.0,0.0,0.0,19.14,0
2017-01-09,0.0,0.0,0.0,19.21,0
2017-01-10,0.0,0.0,0.0,19.64,0
2017-01-11,0.0,0.0,0.0,19.26,0
2017-01-12,0.0,0.0,0.0,19.49,0
2017-01-13,0.0,0.0,0.0,18.95,0
2017-01-17,0.0,0.0,0.0,19.15,0
2017-01-18,0.0,0.0,0.0,19.58,0
2017-01-19,0.0,0.0,0.0,19.19,0
2017-01-20,0.0,0.0,0.0,19.85,0
2017-01-23,0.0,0.0,0.0,19.43,0
2017-01-24,0.0,0.0,0.0,18.97,0
2017-01-25,0.0,0.0,0.0,19.38,0
2017-01-26,0.0,0.0,0.0,19.77,0
2017-01-27,0.0,0.0,0.0,19.13,0
2017-01-30,0.0,0.0,0.0,19.83,0
2017-01-31,0.0,0.0,0.0,19.5,0
2017-02-01,0.0,0.0,0.0,19.05,0
2017-02-02,0.0,0.0,0.0,19.15,0
2017-02-03,0.0,0.0,0.0,19.25,0
2017-02-06,0.0,0.0,0.0,19.4,30
2017-02-07,0.0,0.0,0.0,19.35,0
2017-02-08,0.0,0.0,0.0,19.25,0
2017-02-09,0.0,0.0,0.0,19.34,0
2017-02-10,0.0,0.0,0.0,19.09,0
2017-02-13,0.0,0.0,0.0,19.84,0
2017-02-14,0.0,0.0,0.0,19.33,0
2017-02-15,0.0,0.0,0.0,19.84,0
2017-02-16,0.0,0.0,0.0,19.79,0
2017-02-17,0.0,0.0,0.0,19.77,0
2017-02-21,0.0,0.0,0.0,18.94,0
2017-02-22,0.0,0.0,0.0,19.11,0
2017-02-23,0.0,0.0,0.0,19.43,0
2017-02-24,0.0,0.0,0.0,19.57,0
2017-02-27,0.0,0.0,0.0,19.0,0
2017-02-28,0.0,0.0,0.0,19.25,0
2017-03-01,0.0,0.0,0.0,19.06,0
2017-03-02,0.0,0.0,0.0,19.04,0
2017-03-03,0.0,0.0,0.0,19.02,0
2017-03-06,0.0,0.0,0.0,19.47,0
2017-03-07,0.0,0.0,0.0,19.21,0
2017-03-08,0.0,0.0,0.0,19.09,0
2017-03-09,0.0,0.0,0.0,19.01,0
2017-03-10,0.0,0.0,0.0,19.83,0
2017-03-13,0.0,0.0,0.0,19.6,0
2017-03-14,0.0,0.0,0.0,19.19,0
2017-03-15,0.0,0.0,0.0,19.81,0
2017-03-16,0.0,0.0,0.0,19.67,0
2017-03-17,0.0,0.0,0.0,19.07,0
2017-03-20,0.0,0.0,0.0,19.19,0
2017-03-21,0.0,0.0,0.0,19.44,0
2017-03-22,0.0,0.0,0.0,19.25,0
2017-03-23,0.0,0.0,0.0,19.14,0
2017-03-24,20.93,21.5,21.21,21.59,1666
2017-03-27,0.0,0.0,0.0,21.71,0
2017-03-28,0.0,0.0,0.0,21.68,0
2017-03-29,0.0,0.0,0.0,21.46,0
2017-03-30,0.0,0.0,0.0,21.06,0
2017-03-31,21.6,21.7,21.5,21.0,288
2017-04-03,0.0,0.0,0.0,21.6,0
2017-04-04,0.0,0.0,0.0,21.3,0
2017-04-05,0.0,0.0,0.0,21.7,0
2017-04-06,0.0,0.0,0.0,20.8,0
2017-04-07,22.09,21.82,21.85,21.22,291
2017-04-10,0.0,0.0,0.0,21.82,0
2017-04-11,22.08,22.07,22.9,22.83,286
2017-04-12,23.39,23.07,23.3,22.92,787
2017-04-13,0.0,0.0,0.0,23.34,391
2017-04-17,0.0,0.0,0.0,23.57,0
2017-04-18,0.0,0.0,0.0,22.64,0
2017-04-19,23.7,23.95,23.74,23.65,444
2017-04-20,0.0,0.0,0.0,23.12,0
2017-04-21,0.0,0.0,0.0,23.49,0
2017-04-24,0.0,0.0,0.0,23.51,0
2017-04-25,0.0,0.0,0.0,24.08,0
2017-04-26,0.0,0.0,0.0,23.71,0
2017-04-27,0.0,0.0,0.0,22.96,0
2017-04-28,0.0,0.0,0.0,23.36,0
2017-05-01,0.0,0.0,0.0,23.33,0
2017-05-02,0.0,0.0,0.0,23.85,0
2017-05-03,0.0,0.0,0.0,23.12,0
2017-05-04,0.0,0.0,0.0,24.02,0
2017-05-05,0.0,0.0,0.0,23.58,0
2017-05-08,0.0,0.0,0.0,23.61,0
2017-05-09,0.0,0.0,0.0,24.0,0
2017-05-10,0.0,0.0,0.0,23.85,0
2017-05-11,0.0,0.0,0.0,23.52,0
2017-05-12,0.0,0.0,0.0,23.62,0
2017-05-15,0.0,0.0,0.0,23.5,0
2017-05-16,0.0,0.0,0.0,23.31,0
2017-05-17,0.0,0.0,0.0,23.76,0
2017-05-18,0.0,0.0,0.0,23.15,0
2017-05-19,0.0,0.0,0.0,23.07,0
2017-05-22,22.49,22.91,22.45,22.46,208
2017-05-23,0.0,0.0,0.0,22.51,0
2017-05-24,0.0,0.0,0.0,22.99,0
2017-05-25,0.0,0.0,0.0,23.32,0
2017-05-26,0.0,0.0,0.0,22.73,0
2017-05-30,0.0,0.0,0.0,23.0,0
2017-05-31,0.0,0.0,0.0,22.73,0
2017-06-01,0.0,0.0,0.0,22.54,0
2017-06-02,0.0,0.0,0.0,23.14,0
2017-06-05,0.0,0.0,0.0,22.5,0
2017-06-06,0.0,0.0,0.0,23.4,0
2017-06-07,0.0,0.0,0.0,22.99,0
2017-06-08,0.0,0.0,0.0,22.45,0
2017-06-09,0.0,0.0,0.0,23.52,0
2017-06-12,0.0,0.0,0.0,22.48,0
2017-06-13,0.0,0.0,0.0,22.45,0
2017-06-14,0.0,0.0,0.0,23.2,0
2017-06-15,0.0,0.0,0.0,22.49,0
2017-06-16,0.0,0.0,0.0,22.77,0
2017-06-19,0.0,0.0,0.0,23.36,0
2017-06-20,0.0,0.0,0.0,23.39,0
2017-06-21,0.0,0.0,0.0,22.45,0
2017-06-22,0.0,0.0,0.0,23.09,0
2017-06-23,0.0,0.0,0.0,23.5,0
2017-06-26,0.0,0.0,0.0,22.88,0
2017-06-27,0.0,0.0,0.0,22.6,41
2017-06-28,0.0,0.0,0.0,23.36,0
2017-06-29,0.0,0.0,0.0,23.52,0
2017-06-30,0.0,0.0,0.0,23.52,0
2017-07-03,0.0,0.0,0.0,22.83,0
2017-07-05,25.76,25.2,26.08,26.36,262
2017-07-06,0.0,0.0,0.0,25.73,0
2017-07-07,27.72,27.72,27.23,27.1,131
2017-07-10,28.64,27.97,29.04,29.0,126
2017-07-11,0.0,0.0,0.0,29.14,0
2017-07-12,0.0,0.0,0.0,28.02,0
2017-07-13,0.0,0.0,0.0,28.92,0
2017-07-14,27.75,27.78,28.24,27.01,362
2017-07-17,0.0,0.0,0.0,27.4,34
2017-07-18,0.0,0.0,0.0,27.11,0
2017-07-19,0.0,0.0,0.0,28.23,0
2017-07-20,0.0,0.0,0.0,27.19,0
2017-07-21,0.0,0.0,0.0,27.87,17
2017-07-24,0.0,0.0,0.0,27.19,51
2017-07-25,0.0,0.0,0.0,27.53,0
2017-07-26,0.0,0.0,0.0,28.06,0
2017-07-27,0.0,0.0,0.0,28.25,44
2017-07-28,0.0,0.0,0.0,27.1,14
2017-07-31,0.0,0.0,0.0,27.83,0
2017-08-01,25.91,26.26,26.33,25.99,206
2017-08-02,0.0,0.0,0.0,26.27,0
2017-08-03,0.0,0.0,0.0,25.91,0
2017-08-04,0.0,0.0,0.0,26.76,0
2017-08-07,0.0,0.0,0.0,26.89,0
2017-08-08,0.0,0.0,0.0,26.01,0
2017-08-09,0.0,0.0,0.0,26.29,0
2017-08-10,0.0,0.0,0.0,26.78,0
2017-08-11,0.0,0.0,0.0,26.1,0
2017-08-14,0.0,0.0,0.0,26.03,0
2017-08-15,0.0,0.0,0.0,26.47,0
2017-08-16,0.0,0.0,0.0,26.22,0
2017-08-17,0.0,0.0,0.0,26.36,0
2017-08-18,0.0,0.0,0.0,26.63,0
2017-08-21,0.0,0.0,0.0,26.23,0
2017-08-22,0.0,0.0,0.0,26.16,0
2017-08-23,0.0,0.0,0.0,26.94,0
2017-08-24,0.0,0.0,0.0,26.81,0
2017-08-25,0.0,0.0,0.0,25.74,0
2017-08-28,0.0,0.0,0.0,26.39,0
2017-08-29,0.0,0.0,0.0,26.5,0
2017-08-30,0.0,0.0,0.0,26.38,0
2017-08-31,0.0,0.0,0.0,25.98,0
2017-09-01,0.0,0.0,0.0,26.7,0
2017-09-05,0.0,0.0,0.0,25.86,0
2017-09-06,0.0,0.0,0.0,26.25,0
2017-09-07,0.0,0.0,0.0,25.91,0
2017-09-08,0.0,0.0,0.0,26.54,0
2017-09-11,0.0,0.0,0.0,26.83,0
2017-09-12,0.0,0.0,0.0,26.16,0
2017-09-13,0.0,0.0,0.0,26.75,0
2017-09-14,0.0,0.0,0.0,26.66,0
2017-09-15,0.0,0.0,0.0,26.41,0
2017-09-18,0.0,0.0,0.0,26.23,21
2017-09-19,0.0,0.0,0.0,26.43,0
2017-09-20,0.0,0.0,0.0,26.41,0
2017-09-21,0.0,0.0,0.0,26.34,58
2017-09-22,0.0,0.0,0.0,25.98,0
2017-09-25,0.0,0.0,0.0,26.05,0
2017-09-26,0.0,0.0,0.0,26.81,0
2017-09-27,0.0,0.0,0.0,26.65,0
2017-09-28,0.0,0.0,0.0,26.2,0
2017-09-29,0.0,0.0,0.0,26.65,0
2017-10-02,25.48,24.77,25.09,25.45,104
2017-10-03,0.0,0.0,0.0,24.49,0
2017-10-04,0.0,0.0,0.0,25.2,0
2017-10-05,0.0,0.0,0.0,25.28,0
2017-10-06,0.0,0.0,0.0,25.16,0
2017-10-09,0.0,0.0,0.0,24.54,9
2017-10-10,0.0,0.0,0.0,24.61,9
2017-10-11,0.0,0.0,0.0,24.94,0
2017-10-12,0.0,0.0,0.0,25.18,0
2017-10-13,0.0,0.0,0.0,25.35,0
2017-10-16,0.0,0.0,0.0,24.78,0
2017-10-17,0.0,0.0,0.0,24.93,0
2017-10-18,0.0,0.0,0.0,25.46,0
2017-10-19,0.0,0.0,0.0,25.44,0
2017-10-20,0.0,0.0,0.0,25.45,0
2017-10-23,0.0,0.0,0.0,25.29,0
2017-10-24,0.0,0.0,0.0,25.22,0
2017-10-25,0.0,0.0,0.0,25.04,0
2017-10-26,0.0,0.0,0.0,25.06,0
2017-10-27,0.0,0.0,0.0,24.54,0
2017-10-30,0.0,0.0,0.0,24.35,0
2017-10-31,0.0,0.0,0.0,24.88,0
2017-11-01,0.0,0.0,0.0,24.72,0
2017-11-02,0.0,0.0,0.0,25.25,0
2017-11-03,0.0,0.0,0.0,25.33,0
2017-11-06,0.0,0.0,0.0,25.02,0
2017-11-07,0.0,0.0,0.0,24.68,0
2017-11-08,0.0,0.0,0.0,25.37,0
2017-11-09,0.0,0.0,0.0,24.9,0
2017-11-10,0.0,0.0,0.0,24.41,0
2017-11-13,24.14,23.49,23.72,24.01,100
2017-11-14,0.0,0.0,0.0,23.98,0
2017-11-15,0.0,0.0,0.0,23.84,0
2017-11-16,0.0,0.0,0.0,23.3,0
2017-11-17,0.0,0.0,0.0,23.66,0
2017-11-20,0.0,0.0,0.0,23.98,0
2017-11-21,0.0,0.0,0.0,24.22,0
2017-11-22,0.0,0.0,0.0,23.46,0
2017-11-24,0.0,0.0,0.0,23.74,0
2017-11-27,23.4,23.7,24.0,24.1,208
2017-11-28,0.0,0.0,0.0,23.7,0
2017-11-29,0.0,0.0,0.0,24.4,0
2017-11-30,0.0,0.0,0.0,24.2,0
2017-12-01,0.0,0.0,0.0,23.4,0
2017-12-04,0.0,0.0,0.0,24.2,0
2017-12-05,22.32,21.59,21.98,22.18,100
2017-12-06,0.0,0.0,0.0,22.14,10
2017-12-07,0.0,0.0,0.0,21.94,0
2017-12-08,0.0,0.0,0.0,22.05,0
2017-12-11,0.0,0.0,0.0,21.92,10
2017-12-12,0.0,0.0,0.0,21.81,0
2017-12-13,0.0,0.0,0.0,21.96,0
2017-12-14,0.0,0.0,0.0,22.27,0
2017-12-15,0.0,0.0,0.0,22.37,0
