date,open,high,low,close,volume
2017-01-03,0.19,0.19,0.18,0.1926,42892
2017-01-04,0.2013,0.2,0.187,0.1982,68969
2017-01-05,0.208,0.2226,0.205,0.2184,123192
2017-01-06,0.2,0.234,0.2,0.235,22159
2017-01-09,0.1942,0.2369,0.1943,0.238,67465
2017-01-10,0.22,0.2231,0.1991,0.2033,10727
2017-01-11,0.2147,0.2296,0.204,0.1963,117738
2017-01-12,0.1979,0.21,0.2048,0.204,10683
2017-01-13,0.2104,0.2138,0.2052,0.208,30453
2017-01-17,0.1997,0.22,0.205,0.2122,65987
2017-01-18,0.21,0.216,0.2013,0.2034,90334
2017-01-19,0.2019,0.2,0.2,0.2004,29573
2017-01-20,0.195,0.2122,0.2,0.213,37208
2017-01-23,0.2168,0.2198,0.2087,0.2085,24355
2017-01-24,0.1995,0.2199,0.1995,0.2033,17148
2017-01-25,0.199,0.2098,0.2053,0.212,3370
2017-01-26,0.2108,0.2227,0.202,0.2095,18453
2017-01-27,0.2294,0.252,0.218,0.23,253761
2017-01-30,0.241,0.2474,0.237,0.2264,48410
2017-01-31,0.24,0.254,0.23,0.2358,69748
2017-02-01,0.2748,0.295,0.2522,0.2776,438048
2017-02-02,0.28,0.286,0.2804,0.29,100305
2017-02-03,0.29,0.287,0.269,0.281,16264
2017-02-06,0.2699,0.278,0.2663,0.2795,7476
2017-02-07,0.2774,0.3,0.2732,0.29,206717
2017-02-08,0.3,0.348,0.3,0.335,211595
2017-02-09,0.346,0.4028,0.358,0.4099,318159
2017-02-10,0.4083,0.4603,0.397,0.42,202169
2017-02-13,0.43,0.43,0.391,0.38,179157
2017-02-14,0.39,0.4,0.374,0.39,24771
2017-02-15,0.37,0.4,0.37,0.3683,46634
2017-02-16,0.38,0.39,0.36,0.3676,23322
2017-02-17,0.401,0.4012,0.3704,0.386,5471
2017-02-21,0.3746,0.3659,0.3001,0.3171,113412
2017-02-22,0.321,0.34,0.307,0.33,83466
2017-02-23,0.3648,0.3521,0.3305,0.3286,57835
2017-02-24,0.32,0.3717,0.32,0.35,16413
2017-02-27,0.35,0.3683,0.35,0.34,17795
2017-02-28,0.3464,0.38,0.35,0.3479,27704
2017-03-01,0.3832,0.3825,0.35,0.3652,13966
2017-03-02,0.345,0.395,0.34,0.3612,9054
2017-03-03,0.35,0.3633,0.35,0.354,20192
2017-03-06,0.37,0.3811,0.3527,0.3653,11669
2017-03-07,0.371,0.41,0.364,0.372,215224
2017-03-08,0.349,0.3974,0.352,0.387,64342
2017-03-09,0.3919,0.4,0.4,0.4,49263
2017-03-10,0.4019,0.4038,0.3843,0.3926,9892
2017-03-13,0.411,0.406,0.3583,0.3665,33562
2017-03-14,0.36,0.38,0.36,0.3511,36493
2017-03-15,0.368,0.408,0.374,0.3801,51901
2017-03-16,0.4125,0.4077,0.3759,0.39,35939
2017-03-17,0.3738,0.4028,0.3748,0.3845,66045
2017-03-20,0.408,0.395,0.39,0.41,61493
2017-03-21,0.3837,0.41,0.3802,0.38,41312
2017-03-22,0.34,0.3794,0.34,0.3795,10341
2017-03-23,0.3964,0.4047,0.37,0.3817,12179
2017-03-24,0.3888,0.3938,0.3884,0.3906,1418
2017-03-27,0.374,0.4,0.376,0.4,14258
2017-03-28,0.3846,0.3944,0.3631,0.3991,10895
2017-03-29,0.3886,0.4076,0.3821,0.4,11011
2017-03-30,0.4108,0.3979,0.3689,0.3646,16231
2017-03-31,0.393,0.38,0.3659,0.3716,25899
2017-04-03,0.3736,0.3861,0.3684,0.3761,17802
2017-04-04,0.37,0.3833,0.3638,0.3654,27870
2017-04-05,0.36,0.365,0.35,0.345,83403
2017-04-06,0.359,0.3767,0.3346,0.34,33599
2017-04-07,0.357,0.353,0.3417,0.3326,25982
2017-04-10,0.3324,0.3529,0.3145,0.34,32073
2017-04-11,0.3401,0.36,0.3421,0.37,84700
2017-04-12,0.3574,0.3596,0.34,0.3306,28208
2017-04-13,0.34,0.3525,0.33,0.32,17436
2017-04-17,0.3337,0.38,0.3369,0.354,28826
2017-04-18,0.347,0.3585,0.3388,0.3306,8828
2017-04-19,0.344,0.3582,0.3426,0.3433,10264
2017-04-20,0.3247,0.3333,0.3009,0.3095,59516
2017-04-21,0.319,0.3215,0.298,0.304,36788
2017-04-24,0.3172,0.3106,0.3005,0.3,17521
2017-04-25,0.29,0.304,0.2744,0.3024,19618
2017-04-26,0.28,0.286,0.27,0.27,22055
2017-04-27,0.26,0.27,0.2479,0.26,21901
2017-04-28,0.2552,0.253,0.2433,0.245,50407
2017-05-01,0.249,0.26,0.255,0.249,9476
2017-05-02,0.2902,0.304,0.2754,0.28,83848
2017-05-03,0.3,0.329,0.29,0.3054,35808
2017-05-04,0.3,0.29,0.275,0.2942,10582
2017-05-05,0.3192,0.31,0.3,0.3,10342
2017-05-08,0.29,0.3231,0.29,0.3162,35213
2017-05-09,0.2967,0.3055,0.29,0.2834,44539
2017-05-10,0.2957,0.301,0.29,0.2906,7952
2017-05-11,0.26,0.293,0.27,0.2897,19089
2017-05-12,0.26,0.3065,0.27,0.288,27365
2017-05-15,0.2861,0.3282,0.2913,0.2824,30851
2017-05-16,0.28,0.3298,0.27,0.3012,10780
2017-05-17,0.3,0.29,0.288,0.28,7744
2017-05-18,0.2794,0.289,0.258,0.2846,18371
2017-05-19,0.3007,0.2925,0.2616,0.2878,112129
2017-05-22,0.2785,0.287,0.26,0.2811,7945
2017-05-23,0.296,0.289,0.27,0.2851,12274
2017-05-24,0.2891,0.289,0.27,0.294,9651
2017-05-25,0.2748,0.296,0.2809,0.297,18834
2017-05-26,0.2701,0.297,0.2761,0.282,5026
2017-05-30,0.2762,0.29,0.28,0.2759,38662
2017-05-31,0.2738,0.2917,0.2806,0.2843,13479
2017-06-01,0.3,0.293,0.271,0.2973,103388
2017-06-02,0.2923,0.2874,0.2756,0.2776,23458
2017-06-05,0.2764,0.2947,0.272,0.3041,120023
2017-06-06,0.2759,0.3186,0.2768,0.2932,99473
2017-06-07,0.2985,0.3,0.29,0.29,12101
2017-06-08,0.28,0.3,0.28,0.29,9591
2017-06-09,0.2903,0.3086,0.29,0.29,23435
2017-06-12,0.304,0.3336,0.3,0.3229,48887
2017-06-13,0.3129,0.3233,0.311,0.3259,2434
2017-06-14,0.34,0.34,0.3045,0.3175,7946
2017-06-15,0.3134,0.3132,0.299,0.302,55970
2017-06-16,0.2996,0.3045,0.3051,0.2957,460
2017-06-19,0.3066,0.3328,0.3072,0.3,33897
2017-06-20,0.3,0.33,0.3032,0.3181,16809
2017-06-21,0.3163,0.32,0.309,0.3038,27226
2017-06-22,0.308,0.3196,0.3064,0.3002,10182
2017-06-23,0.3143,0.334,0.3146,0.329,18909
2017-06-26,0.3347,0.32,0.3164,0.3101,33438
2017-06-27,0.3388,0.3312,0.31,0.32,16606
2017-06-28,0.3233,0.3226,0.3192,0.3324,24966
2017-06-29,0.32,0.323,0.32,0.331,6020
2017-06-30,0.3245,0.3204,0.3272,0.3199,209
2017-07-03,0.32,0.33,0.32,0.32,18915
2017-07-05,0.3155,0.335,0.3245,0.331,40001
2017-07-06,0.3275,0.3288,0.3179,0.3104,5404
2017-07-07,0.321,0.325,0.323,0.3254,3480
2017-07-10,0.32,0.3384,0.3081,0.3097,21520
2017-07-11,0.312,0.3338,0.317,0.335,13186
2017-07-12,0.336,0.3693,0.336,0.348,78961
2017-07-13,0.36,0.37,0.37,0.3862,97988
2017-07-14,0.35,0.39,0.35,0.3777,45113
2017-07-17,0.36,0.3887,0.37,0.38,26156
2017-07-18,0.3579,0.3857,0.3562,0.3741,11586
2017-07-19,0.3573,0.3837,0.3657,0.3685,52750
2017-07-20,0.3588,0.416,0.3655,0.363,252525
2017-07-21,0.38,0.38,0.36,0.36,30573
2017-07-24,0.363,0.3811,0.3496,0.36,50919
2017-07-25,0.3421,0.378,0.36,0.3727,8252
2017-07-26,0.3695,0.37,0.3413,0.3556,7243
2017-07-27,0.363,0.3828,0.349,0.3458,8994
2017-07-28,0.3578,0.3677,0.33,0.36,284839
2017-07-31,0.36,0.3564,0.34,0.3487,14867
2017-08-01,0.36,0.3658,0.3357,0.3389,61712
2017-08-02,0.37,0.3779,0.3428,0.36,213414
2017-08-03,0.36,0.37,0.3525,0.3496,62542
2017-08-04,0.3394,0.363,0.32,0.3367,178667
2017-08-07,0.369,0.3748,0.35,0.3439,22262
2017-08-08,0.37,0.3808,0.342,0.3645,111829
2017-08-09,0.346,0.3684,0.338,0.3629,17996
2017-08-10,0.35,0.36,0.35,0.341,42302
2017-08-11,0.3773,0.3674,0.3111,0.3472,10841
2017-08-14,0.34,0.3537,0.34,0.3542,1973
2017-08-15,0.3609,0.3691,0.3249,0.34,599062
2017-08-16,0.3414,0.3639,0.3378,0.3526,23383
2017-08-17,0.3482,0.3664,0.3376,0.3465,50572
2017-08-18,0.3521,0.3552,0.3518,0.3499,152585
2017-08-21,0.3466,0.3432,0.3416,0.3437,27981
2017-08-22,0.34,0.3613,0.35,0.35,10175
2017-08-23,0.3504,0.361,0.3436,0.3648,41504
2017-08-24,0.34,0.3745,0.3245,0.3268,79319
2017-08-25,0.3447,0.346,0.3443,0.3298,68820
2017-08-28,0.35,0.34,0.3451,0.35,25946
2017-08-29,0.3357,0.348,0.3428,0.3592,95925
2017-08-30,0.3582,0.36,0.3384,0.3533,9190
2017-08-31,0.3407,0.3699,0.3429,0.362,96344
2017-09-01,0.34,0.37,0.33,0.36,49548
2017-09-05,0.35,0.3681,0.3418,0.3509,31766
2017-09-06,0.3542,0.3615,0.3429,0.3419,35985
2017-09-07,0.3444,0.3588,0.3414,0.3479,1081
2017-09-08,0.3443,0.3368,0.3057,0.3248,119107
2017-09-11,0.3118,0.3674,0.3092,0.3571,115115
2017-09-12,0.3602,0.3622,0.3138,0.3715,8763
2017-09-13,0.3313,0.358,0.33,0.327,16172
2017-09-14,0.3562,0.3618,0.3337,0.333,43041
2017-09-15,0.346,0.3646,0.3473,0.34,27991
2017-09-18,0.347,0.38,0.3457,0.38,258160
2017-09-19,0.3619,0.3864,0.3535,0.3825,36426
2017-09-20,0.3399,0.3853,0.3437,0.377,32669
2017-09-21,0.36,0.382,0.3494,0.3583,14177
2017-09-22,0.3663,0.3791,0.365,0.37,43391
2017-09-25,0.361,0.3781,0.37,0.3563,27763
2017-09-26,0.3576,0.376,0.3587,0.3676,60182
2017-09-27,0.3709,0.379,0.353,0.3552,11078
2017-09-28,0.3545,0.38,0.3634,0.38,112997
2017-09-29,0.3971,0.41,0.3938,0.4,336448
2017-10-02,0.4046,0.43,0.4129,0.422,264676
2017-10-03,0.45,0.46,0.45,0.448,311617
2017-10-04,0.42,0.4494,0.43,0.42,54423
2017-10-05,0.417,0.4293,0.405,0.4255,11936
2017-10-06,0.3946,0.44,0.395,0.427,3219
2017-10-09,0.4149,0.434,0.4042,0.44,61636
2017-10-10,0.428,0.4477,0.42,0.435,42528
2017-10-11,0.4448,0.4876,0.458,0.48,90584
2017-10-12,0.53,0.5542,0.4994,0.5315,258102
2017-10-13,0.54,0.5511,0.54,0.543,66502
2017-10-16,0.5174,0.55,0.5179,0.5466,98468
2017-10-17,0.5661,0.58,0.538,0.55,63659
2017-10-18,0.5396,0.5794,0.54,0.5493,90849
2017-10-19,0.55,0.56,0.52,0.5393,8989
2017-10-20,0.52,0.5504,0.5,0.5,235749
2017-10-23,0.49,0.53,0.51,0.496,101314
2017-10-24,0.503,0.53,0.49,0.49,132882
2017-10-25,0.46,0.5174,0.47,0.5,84003
2017-10-26,0.4698,0.476,0.47,0.475,24505
2017-10-27,0.47,0.4881,0.47,0.47,24187
2017-10-30,0.4626,0.46,0.464,0.46,965451
2017-10-31,0.47,0.493,0.46,0.4814,1020089
2017-11-01,0.4814,0.4945,0.4721,0.48,11753
2017-11-02,0.4989,0.4958,0.476,0.4624,16771
2017-11-03,0.4519,0.4678,0.4526,0.4754,7600
2017-11-06,0.4633,0.4923,0.4581,0.47,16205
2017-11-07,0.452,0.473,0.4306,0.4422,36000
2017-11-08,0.4511,0.47,0.4452,0.456,13359
2017-11-09,0.4557,0.4495,0.433,0.44,38824
2017-11-10,0.45,0.435,0.4249,0.4176,23046
2017-11-13,0.378,0.4,0.3728,0.3912,182880
2017-11-14,0.4,0.4,0.381,0.381,81849
2017-11-15,0.3721,0.3981,0.376,0.3861,9048
2017-11-16,0.3765,0.388,0.3876,0.393,3973
2017-11-17,0.3868,0.3883,0.3791,0.3781,8084
2017-11-20,0.3872,0.377,0.3577,0.3545,37162
2017-11-21,0.362,0.3912,0.351,0.3797,62160
2017-11-22,0.3716,0.4,0.3781,0.39,107592
2017-11-24,0.3766,0.3962,0.37,0.37,17873
