date,open,high,low,close,volume
2017-01-03,20.0,20.88,19.76,21.0,650256
2017-01-04,21.32,22.07,20.8,22.5,1206437
2017-01-05,22.42,22.79,21.3,22.84,484092
2017-01-06,0.0,0.0,0.0,23.09,0
2017-01-09,23.09,23.5,22.47,22.96,419437
2017-01-10,21.95,22.8,21.61,23.3,310696
2017-01-11,22.68,22.62,22.52,22.52,194234
2017-01-12,22.37,23.4,21.7,22.81,271663
2017-01-13,0.0,0.0,0.0,22.86,0
2017-01-17,21.69,22.06,21.4,22.22,291134
2017-01-18,21.82,21.99,21.94,22.21,165658
2017-01-19,22.0,22.12,21.65,22.33,254078
2017-01-20,0.0,0.0,0.0,21.84,0
2017-01-23,21.5,22.08,21.4,20.7,475094
2017-01-24,21.33,21.8,20.64,22.1,478551
2017-01-25,22.28,23.12,22.0,23.0,787987
2017-01-26,22.85,23.36,22.05,23.14,482840
2017-01-27,0.0,0.0,0.0,22.54,0
2017-01-30,22.36,23.26,22.1,22.58,384728
2017-01-31,22.39,22.4,22.2,23.1,268236
2017-02-01,23.26,22.49,22.37,22.61,393352
2017-02-02,22.6,22.77,21.6,22.24,338993
2017-02-03,0.0,0.0,0.0,21.97,0
2017-02-06,22.39,21.9,21.3,21.64,401790
2017-02-07,21.97,21.19,21.13,21.76,359176
2017-02-08,21.6,21.9,21.81,22.13,282621
2017-02-09,21.46,21.74,21.75,22.19,3556401
2017-02-10,0.0,0.0,0.0,21.76,0
2017-02-13,22.6,23.38,22.56,22.36,261708
2017-02-14,21.97,22.35,21.75,22.38,335162
2017-02-15,22.64,23.4,21.91,21.85,470561
2017-02-16,21.91,22.55,22.55,22.52,480941
2017-02-17,0.0,0.0,0.0,22.38,0
2017-02-21,24.41,24.15,23.4,24.09,182642
2017-02-22,24.3,23.6,23.71,23.7,303602
2017-02-23,23.86,24.59,23.21,23.48,700568
2017-02-24,0.0,0.0,0.0,23.64,0
2017-02-27,24.07,23.92,23.08,23.45,338171
2017-02-28,23.0,24.28,23.7,24.09,323328
2017-03-01,23.89,24.63,23.85,23.36,412583
2017-03-02,24.1,24.5,23.6,24.14,637612
2017-03-03,0.0,0.0,0.0,24.16,0
2017-03-06,24.7,24.43,23.22,23.66,495403
2017-03-07,23.0,23.4,22.79,23.93,276371
2017-03-08,23.92,23.84,23.29,23.1,98122
2017-03-09,22.73,23.7,21.39,21.9,1584030
2017-03-10,0.0,0.0,0.0,22.75,0
2017-03-13,21.39,22.04,21.37,21.87,583756
2017-03-14,21.0,22.64,21.91,21.99,788081
2017-03-15,21.66,22.2,22.03,22.04,666402
2017-03-16,22.7,22.4,21.86,22.0,285242
2017-03-17,0.0,0.0,0.0,22.0,0
2017-03-20,21.62,22.09,22.0,21.77,286711
2017-03-21,21.81,21.24,20.9,21.0,539903
2017-03-22,20.86,20.65,20.28,21.08,684588
2017-03-23,20.6,21.25,20.44,21.17,616405
2017-03-24,0.0,0.0,0.0,20.45,0
2017-03-27,20.2,20.67,20.43,20.52,1290777
2017-03-28,20.5,20.07,20.4,19.95,470580
2017-03-29,19.83,20.02,20.09,20.08,485714
2017-03-30,20.47,20.55,19.53,19.44,846244
2017-03-31,0.0,0.0,0.0,19.56,0
2017-04-03,20.93,20.61,19.57,20.51,274785
2017-04-04,20.25,20.72,20.13,20.5,190595
2017-04-05,19.9,21.1,20.53,20.58,368166
2017-04-06,19.93,20.91,20.05,20.57,544435
2017-04-07,0.0,0.0,0.0,20.49,0
2017-04-10,0.0,0.0,0.0,20.43,0
2017-04-11,0.0,0.0,0.0,19.71,0
2017-04-12,20.56,19.79,19.05,19.46,446707
2017-04-13,19.53,20.26,19.5,20.2,638222
2017-04-17,0.0,0.0,0.0,19.9,0
2017-04-18,20.05,19.71,19.04,19.4,96528
2017-04-19,19.5,20.5,20.0,20.3,465359
2017-04-20,20.5,20.19,19.8,19.6,221611
2017-04-21,0.0,0.0,0.0,19.3,0
2017-04-24,19.0,19.49,18.62,18.79,284016
2017-04-25,19.6,19.36,19.36,19.13,548308
2017-04-26,18.89,19.46,19.0,19.04,324136
2017-04-27,18.48,18.8,18.36,18.17,1016345
2017-04-28,0.0,0.0,0.0,18.39,0
2017-05-01,0.0,0.0,0.0,17.64,0
2017-05-02,0.0,0.0,0.0,18.18,0
2017-05-03,17.78,18.5,17.5,18.86,414365
2017-05-04,19.28,19.02,18.55,18.0,621138
2017-05-05,0.0,0.0,0.0,18.0,0
2017-05-08,18.72,19.18,18.87,19.82,356739
2017-05-09,19.36,20.25,19.12,20.08,726672
2017-05-10,19.66,20.3,19.82,20.31,255911
2017-05-11,20.34,19.97,19.81,20.15,289240
2017-05-12,0.0,0.0,0.0,19.63,0
2017-05-15,19.0,19.92,19.45,19.34,202918
2017-05-16,19.0,19.0,18.99,18.79,143472
2017-05-17,18.9,19.4,18.51,18.4,427375
2017-05-18,18.78,18.9,18.26,17.79,617067
2017-05-19,0.0,0.0,0.0,18.05,0
2017-05-22,18.9,20.36,18.77,19.4,1521602
2017-05-23,20.1,20.74,19.56,20.7,597871
2017-05-24,19.94,19.67,19.3,19.81,278431
2017-05-25,19.35,19.36,19.54,19.54,886252
2017-05-26,0.0,0.0,0.0,19.35,0
2017-05-30,0.0,0.0,0.0,19.7,0
2017-05-31,0.0,0.0,0.0,20.4,0
2017-06-01,20.2,19.8,19.49,20.03,428370
2017-06-02,0.0,0.0,0.0,20.25,0
2017-06-05,19.9,20.2,19.8,19.7,252137
2017-06-06,19.84,20.2,20.14,19.87,358639
2017-06-07,20.86,21.3,19.87,20.77,471487
2017-06-08,21.27,21.17,20.6,20.99,589031
2017-06-09,0.0,0.0,0.0,20.48,0
2017-06-12,19.8,20.02,19.83,19.23,3374899
2017-06-13,19.34,19.76,19.31,19.68,1220707
2017-06-14,19.78,19.97,19.5,19.25,428610
2017-06-15,19.5,19.3,19.04,18.9,837365
2017-06-16,0.0,0.0,0.0,18.5,0
2017-06-19,18.92,19.58,18.9,19.03,403843
