date,open,high,low,close,volume
2017-01-03,0.002,0.002,0.002,0.0019,37602
2017-01-04,0.0,0.0,0.0,0.002,0
2017-01-05,0.0,0.0,0.0,0.0019,0
2017-01-06,0.0,0.0,0.0,0.002,0
2017-01-09,0.0,0.0,0.0,0.002,0
2017-01-10,0.0,0.0,0.0,0.002,0
2017-01-11,0.0,0.0,0.0,0.0019,0
2017-01-12,0.0016,0.002,0.0016,0.002,25016
2017-01-13,0.0,0.0,0.0,0.002,0
2017-01-17,0.0,0.0,0.0,0.0019,0
2017-01-18,0.0,0.0,0.0,0.0019,0
2017-01-19,0.0,0.0,0.0,0.0019,0
2017-01-20,0.0,0.0,0.0,0.0019,0
2017-01-23,0.0,0.0,0.0,0.0019,0
2017-01-24,0.0,0.0,0.0,0.0019,0
2017-01-25,0.0,0.0,0.0,0.002,0
2017-01-26,0.0,0.0,0.0,0.0019,0
2017-01-27,0.0,0.0,0.0,0.0019,0
2017-01-30,0.0,0.0,0.0,0.002,0
2017-01-31,0.0,0.0,0.0,0.002,0
2017-02-01,0.0015,0.0016,0.0016,0.0016,6644
2017-02-02,0.0,0.0,0.0,0.0015,0
2017-02-03,0.0,0.0,0.0,0.0016,0
2017-02-06,0.0,0.0,0.0,0.0015,0
2017-02-07,0.002,0.0019,0.002,0.0019,1042
2017-02-08,0.0,0.0,0.0,0.002,0
2017-02-09,0.0,0.0,0.0,0.0019,0
2017-02-10,0.0012,0.0012,0.0012,0.0013,30487
2017-02-13,0.0019,0.002,0.0017,0.002,203666
2017-02-14,0.0,0.0,0.0,0.002,0
2017-02-15,0.0,0.0,0.0,0.002,0
2017-02-16,0.0,0.0,0.0,0.002,0
2017-02-17,0.0,0.0,0.0,0.002,0
2017-02-21,0.0,0.0,0.0,0.002,0
2017-02-22,0.0,0.0,0.0,0.002,0
2017-02-23,0.002,0.002,0.002,0.002,60150
2017-02-24,0.002,0.002,0.002,0.002,40624
2017-02-27,0.0,0.0,0.0,0.002,0
2017-02-28,0.0,0.0,0.0,0.002,0
2017-03-01,0.0,0.0,0.0,0.002,0
2017-03-02,0.003,0.0036,0.003,0.0037,30700
2017-03-03,0.0037,0.0035,0.0036,0.0036,20978
2017-03-06,0.0037,0.004,0.0037,0.004,30279
2017-03-07,0.005,0.006,0.0035,0.0036,41235
2017-03-08,0.006,0.01,0.006,0.007,73699
2017-03-09,0.0057,0.009,0.0057,0.008,90946
2017-03-10,0.008,0.008,0.008,0.008,102983
2017-03-13,0.004,0.005,0.004,0.005,136488
2017-03-14,0.005,0.008,0.004,0.004,97450
2017-03-15,0.004,0.004,0.004,0.004,50750
2017-03-16,0.0068,0.007,0.0068,0.0069,7299
2017-03-17,0.007,0.007,0.007,0.007,25928
2017-03-20,0.0,0.0,0.0,0.007,0
2017-03-21,0.0,0.0,0.0,0.007,0
2017-03-22,0.007,0.007,0.007,0.007,51914
2017-03-23,0.0,0.0,0.0,0.007,0
2017-03-24,0.0,0.0,0.0,0.007,0
2017-03-27,0.0,0.0,0.0,0.007,0
2017-03-28,0.0,0.0,0.0,0.007,0
2017-03-29,0.0,0.0,0.0,0.007,0
2017-03-30,0.0,0.0,0.0,0.007,0
2017-03-31,0.0,0.0,0.0,0.007,0
2017-04-03,0.0,0.0,0.0,0.007,0
2017-04-04,0.0,0.0,0.0,0.007,0
2017-04-05,0.0,0.0,0.0,0.007,0
2017-04-06,0.0,0.0,0.0,0.007,0
2017-04-07,0.0,0.0,0.0,0.007,0
2017-04-10,0.0072,0.007,0.0072,0.007,51219
2017-04-11,0.0,0.0,0.0,0.007,0
2017-04-12,0.003,0.004,0.003,0.004,84908
2017-04-13,0.003,0.003,0.003,0.003,10050
2017-04-17,0.0,0.0,0.0,0.003,0
2017-04-18,0.0,0.0,0.0,0.003,0
2017-04-19,0.0,0.0,0.0,0.003,0
2017-04-20,0.0,0.0,0.0,0.003,0
2017-04-21,0.0,0.0,0.0,0.003,0
2017-04-24,0.0,0.0,0.0,0.003,0
2017-04-25,0.0,0.0,0.0,0.003,0
2017-04-26,0.0,0.0,0.0,0.003,0
2017-04-27,0.0,0.0,0.0,0.003,0
2017-04-28,0.0,0.0,0.0,0.003,0
2017-05-01,0.0,0.0,0.0,0.003,0
2017-05-02,0.0,0.0,0.0,0.003,0
2017-05-03,0.0,0.0,0.0,0.003,0
2017-05-04,0.0,0.0,0.0,0.003,0
2017-05-05,0.0,0.0,0.0,0.003,0
2017-05-08,0.0,0.0,0.0,0.003,0
2017-05-09,0.0,0.0,0.0,0.003,0
