date,open,high,low,close,volume
2017-01-03,2.05,2.11,2.01,2.0,582570
2017-01-04,2.04,2.07,1.97,2.05,280895
2017-01-05,2.01,2.08,2.03,2.0,177206
2017-01-06,2.06,2.06,1.96,1.99,138955
2017-01-09,2.05,1.99,1.93,1.99,259310
2017-01-10,2.02,1.98,2.01,2.0,252055
2017-01-11,1.97,2.03,1.97,1.98,239624
2017-01-12,2.0,2.02,1.9,1.92,154911
2017-01-13,1.98,1.96,1.98,2.02,149045
2017-01-17,1.98,1.98,1.9,1.96,172888
2017-01-18,1.91,1.99,1.96,1.98,153808
2017-01-19,1.9,1.93,1.9,1.92,654331
2017-01-20,1.92,1.88,1.92,1.91,273716
2017-01-23,1.92,1.89,1.79,1.9,269207
2017-01-24,1.8,1.91,1.85,1.87,198141
2017-01-25,1.92,1.98,1.91,1.94,242365
2017-01-26,2.0,2.0,1.9,1.87,181573
2017-01-27,1.93,1.93,1.94,1.88,152091
2017-01-30,1.94,1.89,1.87,1.91,184898
2017-01-31,1.92,1.86,1.9,1.87,192373
2017-02-01,1.8,1.84,1.8,1.85,153155
2017-02-02,1.92,1.87,1.83,1.89,76198
2017-02-03,1.9,1.91,1.9,1.86,138067
2017-02-06,1.82,1.88,1.9,1.8,247997
2017-02-07,1.8,1.89,1.85,1.87,162346
2017-02-08,1.87,1.85,1.9,1.86,191298
2017-02-09,1.91,1.92,1.85,1.87,274009
2017-02-10,1.89,1.9,1.89,1.95,304417
2017-02-13,1.92,1.89,1.84,1.88,123723
2017-02-14,1.91,1.95,1.88,1.96,198696
2017-02-15,1.95,1.93,1.87,1.83,346801
2017-02-16,1.86,1.89,1.89,1.85,131769
2017-02-17,1.9,1.88,1.86,1.89,186421
2017-02-21,1.89,1.91,1.8,1.85,429631
2017-02-22,1.79,1.86,1.8,1.79,345817
2017-02-23,1.81,1.79,1.79,1.79,327147
2017-02-24,1.74,1.74,1.63,1.71,999932
2017-02-27,1.69,1.67,1.69,1.65,401979
2017-02-28,1.73,1.73,1.73,1.71,189185
2017-03-01,1.75,1.7,1.67,1.66,478750
2017-03-02,1.73,1.72,1.66,1.64,279401
2017-03-03,1.66,1.69,1.64,1.72,267201
2017-03-06,1.69,1.74,1.59,1.56,994629
2017-03-07,1.59,1.55,1.47,1.53,787455
2017-03-08,1.49,1.59,1.52,1.59,451189
2017-03-09,1.62,1.7,1.59,1.6,563503
2017-03-10,1.62,1.74,1.6,1.67,875726
2017-03-13,1.73,1.73,1.69,1.7,674082
2017-03-14,1.7,1.77,1.71,1.71,375152
2017-03-15,1.73,1.71,1.65,1.72,834205
2017-03-16,1.69,1.75,1.63,1.68,475740
2017-03-17,1.72,1.69,1.7,1.71,348864
2017-03-20,1.65,1.73,1.68,1.68,242389
2017-03-21,1.69,1.74,1.66,1.65,269094
2017-03-22,1.66,1.66,1.66,1.7,310654
2017-03-23,1.7,1.61,1.63,1.63,220423
2017-03-24,1.63,1.7,1.62,1.67,154059
2017-03-27,1.67,1.7,1.62,1.6,126188
2017-03-28,1.68,1.66,1.64,1.67,108211
2017-03-29,1.65,1.7,1.66,1.65,163730
2017-03-30,1.6,1.7,1.59,1.59,172625
2017-03-31,1.63,1.7,1.58,1.57,385212
2017-04-03,1.57,1.7,1.61,1.6,462360
2017-04-04,1.6,1.66,1.61,1.66,437195
2017-04-05,1.6,1.6,1.61,1.6,149560
2017-04-06,1.64,1.61,1.59,1.65,141219
2017-04-07,1.62,1.66,1.62,1.63,242987
2017-04-10,1.65,1.65,1.65,1.64,54644
2017-04-11,1.66,1.69,1.63,1.67,810955
2017-04-12,1.71,1.71,1.63,1.7,314838
2017-04-13,1.73,1.69,1.66,1.71,267933
2017-04-17,0.0,0.0,0.0,1.71,0
2017-04-18,1.69,1.68,1.67,1.71,242101
2017-04-19,1.71,1.72,1.7,1.66,121587
2017-04-20,1.64,1.73,1.63,1.71,51199
2017-04-21,1.71,1.66,1.6,1.7,205393
2017-04-24,1.7,1.69,1.7,1.66,278520
2017-04-25,1.72,1.69,1.63,1.62,168422
2017-04-26,1.66,1.8,1.69,1.68,593894
2017-04-27,1.72,1.71,1.68,1.67,343578
2017-04-28,1.62,1.71,1.69,1.7,107973
2017-05-01,0.0,0.0,0.0,1.63,0
2017-05-02,1.65,1.71,1.69,1.66,165551
2017-05-03,1.7,1.7,1.71,1.68,222649
2017-05-04,1.68,1.7,1.7,1.69,123613
2017-05-05,1.64,1.71,1.65,1.61,235750
2017-05-08,1.7,1.9,1.72,1.81,1641067
2017-05-09,1.8,2.02,1.83,1.96,1269377
2017-05-10,1.98,2.0,1.83,1.94,774222
2017-05-11,1.93,2.0,1.92,1.97,546593
2017-05-12,1.96,2.01,1.88,1.92,549725
2017-05-15,1.9,1.98,1.97,1.99,531874
2017-05-16,2.0,2.1,1.99,2.0,1015933
2017-05-17,2.04,2.06,1.96,2.0,877332
2017-05-18,2.05,2.04,1.97,2.0,339241
2017-05-19,2.0,2.11,1.99,2.13,470818
2017-05-22,2.11,2.11,2.0,2.13,618417
2017-05-23,2.12,2.2,2.11,2.1,1226307
2017-05-24,2.11,2.22,2.14,2.16,853548
2017-05-25,2.14,2.2,2.12,2.15,191581
2017-05-26,2.13,2.19,2.06,2.04,731159
2017-05-30,2.08,2.11,2.05,2.03,591706
2017-05-31,1.99,2.01,1.97,1.99,535558
2017-06-01,2.02,1.99,1.92,1.89,1093342
2017-06-02,2.0,1.99,1.91,1.98,741888
2017-06-05,0.0,0.0,0.0,2.06,0
2017-06-06,1.95,2.0,2.0,1.98,369543
2017-06-07,1.99,2.05,1.94,2.0,212520
2017-06-08,2.0,2.03,1.9,1.9,303897
