date,open,high,low,close,volume
2017-01-03,40.2,39.49,39.66,40.5,146813
2017-01-04,39.19,40.4,38.9,40.49,192707
2017-01-05,39.68,41.3,39.3,40.98,203956
2017-01-06,40.28,41.74,39.96,39.71,147824
2017-01-09,40.79,40.36,38.9,39.2,187808
2017-01-10,38.9,39.6,39.57,40.09,313323
2017-01-11,38.67,40.35,39.32,40.12,266113
2017-01-12,39.1,41.19,39.59,39.39,218009
2017-01-13,40.74,40.07,39.33,39.0,140560
2017-01-17,40.17,40.74,39.9,39.0,179471
2017-01-18,39.9,40.2,40.19,41.0,234726
2017-01-19,40.19,40.83,40.82,39.45,180941
2017-01-20,40.95,40.37,39.48,40.21,203831
2017-01-23,40.92,40.19,39.74,41.11,311987
2017-01-24,40.5,42.23,40.17,41.75,348574
2017-01-25,42.28,42.35,40.67,40.73,294250
2017-01-26,41.39,43.49,43.07,43.33,967320
2017-01-27,44.12,44.92,44.26,44.66,502272
2017-01-30,44.2,45.04,43.81,43.23,431187
2017-01-31,44.62,45.08,43.43,44.6,212892
2017-02-01,44.89,43.45,44.07,44.22,277616
2017-02-02,43.5,44.36,43.87,43.9,245815
2017-02-03,44.65,44.07,44.2,43.76,149197
2017-02-06,44.86,44.01,44.57,44.0,176628
2017-02-07,44.55,43.19,43.42,43.34,243876
2017-02-08,44.07,44.43,43.0,43.75,205036
2017-02-09,43.63,45.35,42.84,45.0,298389
2017-02-10,44.73,44.5,44.67,44.84,216416
2017-02-13,44.09,44.4,45.03,44.59,170555
2017-02-14,44.77,43.3,43.72,44.41,298798
2017-02-15,43.25,44.43,44.92,44.64,423774
2017-02-16,44.83,44.81,44.69,43.92,224532
2017-02-17,44.18,45.02,44.59,44.3,282685
2017-02-21,44.61,45.37,44.31,44.02,253523
2017-02-22,45.43,44.43,43.45,45.16,222094
2017-02-23,44.41,44.25,44.6,44.05,174751
2017-02-24,44.25,45.37,44.68,43.13,213085
2017-02-27,44.8,45.06,43.78,45.13,321127
2017-02-28,44.29,43.91,42.28,43.48,307421
2017-03-01,43.8,43.78,42.9,41.94,257955
2017-03-02,43.25,43.46,41.6,41.85,192989
2017-03-03,42.05,42.4,43.06,42.91,202412
2017-03-06,43.02,42.48,43.1,42.68,238168
2017-03-07,44.06,43.52,43.47,42.74,250916
2017-03-08,43.28,43.0,43.19,42.14,342021
