date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.0243,0
2017-01-04,0.0,0.0,0.0,0.0246,0
2017-01-05,0.0,0.0,0.0,0.0246,0
2017-01-06,0.0,0.0,0.0,0.0245,0
2017-01-09,0.0,0.0,0.0,0.0238,0
2017-01-10,0.0,0.0,0.0,0.0247,0
2017-01-11,0.0,0.0,0.0,0.0239,0
2017-01-12,0.0,0.0,0.0,0.0241,0
2017-01-13,0.0,0.0,0.0,0.024,0
2017-01-17,0.0,0.0,0.0,0.0238,0
2017-01-18,0.0,0.0,0.0,0.0245,0
2017-01-19,0.0,0.0,0.0,0.0241,0
2017-01-20,0.0286,0.0288,0.0292,0.0287,47589
2017-01-23,0.0294,0.0287,0.026,0.0252,14069
2017-01-24,0.0289,0.0299,0.0285,0.029,16558
2017-01-25,0.0,0.0,0.0,0.0294,0
2017-01-26,0.0,0.0,0.0,0.0292,0
2017-01-27,0.0,0.0,0.0,0.0303,0
2017-01-30,0.0,0.0,0.0,0.0291,0
2017-01-31,0.0,0.0,0.0,0.0302,0
2017-02-01,0.0,0.0,0.0,0.0296,0
2017-02-02,0.0,0.0,0.0,0.0291,0
2017-02-03,0.027,0.027,0.027,0.027,1048
2017-02-06,0.0,0.0,0.0,0.027,0
2017-02-07,0.0,0.0,0.0,0.026,0
2017-02-08,0.0,0.0,0.0,0.027,0
2017-02-09,0.0,0.0,0.0,0.026,0
2017-02-10,0.0,0.0,0.0,0.026,0
2017-02-13,0.0,0.0,0.0,0.027,0
2017-02-14,0.0,0.0,0.0,0.026,0
2017-02-15,0.0302,0.0296,0.0291,0.0291,43192
2017-02-16,0.0398,0.0396,0.0411,0.04,20046
2017-02-17,0.03,0.03,0.03,0.03,25833
2017-02-21,0.0,0.0,0.0,0.03,0
2017-02-22,0.0,0.0,0.0,0.03,0
2017-02-23,0.0,0.0,0.0,0.03,0
2017-02-24,0.0,0.0,0.0,0.03,0
2017-02-27,0.03,0.03,0.03,0.03,337
2017-02-28,0.0,0.0,0.0,0.03,0
2017-03-01,0.0,0.0,0.0,0.03,0
2017-03-02,0.02,0.02,0.02,0.02,36904
2017-03-03,0.02,0.02,0.02,0.02,10367
2017-03-06,0.0,0.0,0.0,0.02,0
2017-03-07,0.0,0.0,0.0,0.02,0
2017-03-08,0.0,0.0,0.0,0.02,0
2017-03-09,0.0329,0.0333,0.0288,0.0293,7113
2017-03-10,0.0,0.0,0.0,0.0293,0
2017-03-13,0.0,0.0,0.0,0.0283,0
2017-03-14,0.0,0.0,0.0,0.0292,0
2017-03-15,0.0,0.0,0.0,0.0283,0
2017-03-16,0.03,0.04,0.03,0.0384,65074
2017-03-17,0.037,0.0386,0.039,0.0392,23304
2017-03-20,0.0,0.0,0.0,0.038,0
2017-03-21,0.0334,0.036,0.0343,0.035,6010
2017-03-22,0.0,0.0,0.0,0.035,0
2017-03-23,0.0,0.0,0.0,0.035,0
2017-03-24,0.0,0.0,0.0,0.036,0
2017-03-27,0.0335,0.0333,0.0342,0.034,904
2017-03-28,0.039,0.039,0.039,0.039,104
2017-03-29,0.039,0.039,0.04,0.041,1022
2017-03-30,0.0,0.0,0.0,0.04,68
2017-03-31,0.0,0.0,0.0,0.041,0
2017-04-03,0.04,0.039,0.041,0.04,1036
2017-04-04,0.0,0.0,0.0,0.04,0
2017-04-05,0.0,0.0,0.0,0.04,0
2017-04-06,0.0,0.0,0.0,0.039,0
2017-04-07,0.0,0.0,0.0,0.039,0
2017-04-10,0.0,0.0,0.0,0.039,0
2017-04-11,0.04,0.04,0.039,0.039,2082
2017-04-12,0.0,0.0,0.0,0.04,0
2017-04-13,0.0,0.0,0.0,0.039,0
2017-04-17,0.0,0.0,0.0,0.039,0
2017-04-18,0.0,0.0,0.0,0.039,0
2017-04-19,0.0,0.0,0.0,0.04,0
2017-04-20,0.0359,0.0396,0.0364,0.0402,2085
2017-04-21,0.0366,0.0404,0.0366,0.0362,3084
2017-04-24,0.0,0.0,0.0,0.0373,0
2017-04-25,0.041,0.04,0.041,0.04,15684
2017-04-26,0.0,0.0,0.0,0.039,0
2017-04-27,0.0,0.0,0.0,0.039,0
2017-04-28,0.0,0.0,0.0,0.04,0
2017-05-01,0.0,0.0,0.0,0.041,0
2017-05-02,0.0,0.0,0.0,0.039,0
2017-05-03,0.04,0.04,0.039,0.041,608
2017-05-04,0.0,0.0,0.0,0.041,0
2017-05-05,0.0,0.0,0.0,0.039,0
2017-05-08,0.0,0.0,0.0,0.041,0
2017-05-09,0.0346,0.0343,0.034,0.0341,10144
2017-05-10,0.0,0.0,0.0,0.0336,0
2017-05-11,0.0,0.0,0.0,0.0334,0
2017-05-12,0.0349,0.034,0.0335,0.0346,9029
2017-05-15,0.0,0.0,0.0,0.0335,0
2017-05-16,0.0,0.0,0.0,0.0342,0
2017-05-17,0.0351,0.0361,0.02,0.02,16861
2017-05-18,0.0203,0.0207,0.0212,0.0205,21092
2017-05-19,0.02,0.02,0.02,0.02,28561
2017-05-22,0.02,0.02,0.02,0.02,29286
2017-05-23,0.0,0.0,0.0,0.02,0
2017-05-24,0.0,0.0,0.0,0.02,69
2017-05-25,0.0,0.0,0.0,0.02,0
2017-05-26,0.027,0.028,0.028,0.027,3144
2017-05-30,0.0,0.0,0.0,0.028,0
2017-05-31,0.0,0.0,0.0,0.027,0
2017-06-01,0.03,0.0311,0.0309,0.0303,18639
2017-06-02,0.0,0.0,0.0,0.0307,0
2017-06-05,0.0208,0.0207,0.0204,0.0212,18262
2017-06-06,0.0,0.0,0.0,0.0204,0
2017-06-07,0.0,0.0,0.0,0.0211,0
2017-06-08,0.0,0.0,0.0,0.0211,0
2017-06-09,0.0,0.0,0.0,0.0205,0
2017-06-12,0.0188,0.0187,0.019,0.0187,2735
2017-06-13,0.0,0.0,0.0,0.0191,0
2017-06-14,0.0,0.0,0.0,0.0185,0
2017-06-15,0.0,0.0,0.0,0.0185,0
2017-06-16,0.0,0.0,0.0,0.0189,0
2017-06-19,0.0,0.0,0.0,0.019,0
2017-06-20,0.0,0.0,0.0,0.0192,0
2017-06-21,0.0,0.0,0.0,0.0192,80
2017-06-22,0.0174,0.0173,0.0167,0.0171,3030
2017-06-23,0.0,0.0,0.0,0.017,0
2017-06-26,0.0,0.0,0.0,0.017,0
2017-06-27,0.02,0.02,0.0157,0.0161,7446
2017-06-28,0.0,0.0,0.0,0.0157,0
2017-06-29,0.0191,0.019,0.0186,0.0188,620
2017-06-30,0.0,0.0,0.0,0.0186,0
2017-07-03,0.0,0.0,0.0,0.0193,0
2017-07-05,0.0,0.0,0.0,0.0191,0
2017-07-06,0.0,0.0,0.0,0.0187,0
2017-07-07,0.0,0.0,0.0,0.0186,0
2017-07-10,0.0,0.0,0.0,0.019,0
2017-07-11,0.0112,0.011,0.0113,0.0112,340
2017-07-12,0.0114,0.0112,0.0111,0.0112,4092
2017-07-13,0.0,0.0,0.0,0.011,0
2017-07-14,0.0,0.0,0.0,0.011,0
2017-07-17,0.0,0.0,0.0,0.0113,0
2017-07-18,0.0,0.0,0.0,0.0113,0
2017-07-19,0.0,0.0,0.0,0.0112,0
2017-07-20,0.0,0.0,0.0,0.0112,0
2017-07-21,0.0,0.0,0.0,0.0112,0
2017-07-24,0.0,0.0,0.0,0.0112,0
2017-07-25,0.0,0.0,0.0,0.0111,0
2017-07-26,0.011,0.011,0.011,0.012,104
2017-07-27,0.0,0.0,0.0,0.011,0
2017-07-28,0.0159,0.0158,0.0158,0.0157,1014
2017-07-31,0.0,0.0,0.0,0.0164,0
2017-08-01,0.0,0.0,0.0,0.0156,0
2017-08-02,0.0,0.0,0.0,0.016,0
2017-08-03,0.0,0.0,0.0,0.016,0
2017-08-04,0.0,0.0,0.0,0.0161,0
2017-08-07,0.0,0.0,0.0,0.016,0
2017-08-08,0.0161,0.0157,0.0159,0.016,1592
2017-08-09,0.0,0.0,0.0,0.0159,0
2017-08-10,0.0,0.0,0.0,0.0163,25
2017-08-11,0.0,0.0,0.0,0.0158,0
2017-08-14,0.0,0.0,0.0,0.0163,0
2017-08-15,0.0,0.0,0.0,0.016,0
2017-08-16,0.0,0.0,0.0,0.0156,0
2017-08-17,0.0,0.0,0.0,0.0156,0
2017-08-18,0.0,0.0,0.0,0.0158,0
2017-08-21,0.0,0.0,0.0,0.0162,0
2017-08-22,0.0,0.0,0.0,0.0162,0
2017-08-23,0.0,0.0,0.0,0.0162,0
2017-08-24,0.0,0.0,0.0,0.0159,0
2017-08-25,0.0,0.0,0.0,0.0157,0
2017-08-28,0.0,0.0,0.0,0.0159,0
2017-08-29,0.0,0.0,0.0,0.0159,0
2017-08-30,0.0,0.0,0.0,0.0163,0
2017-08-31,0.0,0.0,0.0,0.0157,0
2017-09-01,0.0,0.0,0.0,0.0162,0
2017-09-05,0.0,0.0,0.0,0.0162,0
2017-09-06,0.0,0.0,0.0,0.016,0
2017-09-07,0.0,0.0,0.0,0.0158,0
2017-09-08,0.0,0.0,0.0,0.0158,0
2017-09-11,0.0,0.0,0.0,0.0163,0
2017-09-12,0.0,0.0,0.0,0.0161,0
2017-09-13,0.0,0.0,0.0,0.0161,0
2017-09-14,0.0,0.0,0.0,0.0162,0
2017-09-15,0.0,0.0,0.0,0.0162,0
2017-09-18,0.0,0.0,0.0,0.0162,0
2017-09-19,0.0,0.0,0.0,0.0163,0
2017-09-20,0.011,0.011,0.012,0.011,10022
2017-09-21,0.0,0.0,0.0,0.011,0
2017-09-22,0.0,0.0,0.0,0.011,0
2017-09-25,0.0,0.0,0.0,0.011,0
2017-09-26,0.0,0.0,0.0,0.011,0
2017-09-27,0.011,0.011,0.011,0.011,10390
2017-09-28,0.0117,0.0123,0.0115,0.0119,690
2017-09-29,0.0,0.0,0.0,0.0116,0
2017-10-02,0.0,0.0,0.0,0.0117,0
2017-10-03,0.0,0.0,0.0,0.0117,0
2017-10-04,0.0,0.0,0.0,0.0118,0
2017-10-05,0.0,0.0,0.0,0.0117,0
2017-10-06,0.0,0.0,0.0,0.0116,0
2017-10-09,0.0,0.0,0.0,0.0118,0
2017-10-10,0.0163,0.0162,0.012,0.012,1833
2017-10-11,0.0,0.0,0.0,0.0116,0
2017-10-12,0.0,0.0,0.0,0.0117,0
