date,open,high,low,close,volume
2017-01-03,24.59,24.0,23.73,23.9,42429
2017-01-04,23.0,24.0,23.1,23.9,34035
2017-01-05,24.63,24.38,24.0,24.36,27135
2017-01-06,23.7,24.11,23.15,23.06,40162
2017-01-09,23.66,23.56,22.1,23.1,78902
2017-01-10,23.1,23.14,23.0,22.88,24976
2017-01-11,23.0,23.1,22.04,23.2,47226
2017-01-12,23.2,22.5,22.65,22.9,37228
2017-01-13,22.5,22.4,22.0,22.0,20025
2017-01-17,23.0,22.7,22.17,22.36,32838
2017-01-18,22.67,22.48,21.86,21.97,108496
2017-01-19,22.81,22.43,21.6,21.84,35038
2017-01-20,22.7,22.9,21.6,21.59,42864
2017-01-23,21.94,22.1,21.75,22.22,24638
2017-01-24,22.3,22.57,21.57,22.58,33439
2017-01-25,22.83,22.0,21.56,21.49,64141
2017-01-26,21.6,21.83,21.03,21.1,28525
2017-01-27,20.87,22.2,20.6,21.4,23869
2017-01-30,20.7,21.47,20.24,20.3,39828
2017-01-31,20.0,20.9,19.6,20.71,34701
2017-02-01,20.59,20.92,19.66,20.29,112613
2017-02-02,20.4,20.33,18.79,19.02,131144
2017-02-03,19.0,20.2,18.9,20.0,63142
2017-02-06,19.22,19.2,19.13,19.18,32907
2017-02-07,19.01,18.9,18.0,18.36,88811
2017-02-08,18.31,18.3,17.6,18.88,67854
2017-02-09,18.91,19.3,18.51,18.6,42451
2017-02-10,18.6,20.35,19.38,19.7,116731
2017-02-13,19.4,20.1,18.8,19.6,25894
2017-02-14,18.88,19.55,18.8,19.2,27939
2017-02-15,18.7,19.3,18.8,19.42,23862
2017-02-16,19.6,19.15,18.3,19.0,64273
2017-02-17,19.02,19.2,18.3,19.4,55729
2017-02-21,19.2,19.47,19.14,18.9,33304
2017-02-22,18.9,19.47,19.0,19.3,42638
2017-02-23,19.5,18.91,18.79,18.5,38469
2017-02-24,18.56,18.5,18.47,18.77,41846
2017-02-27,18.85,19.14,18.6,18.5,60438
2017-02-28,18.9,19.32,18.3,18.03,105807
2017-03-01,18.6,18.6,18.3,18.44,34840
2017-03-02,18.2,18.82,18.45,18.8,19905
2017-03-03,19.14,18.6,18.21,17.79,28845
2017-03-06,18.18,18.06,18.19,18.27,35292
2017-03-07,17.39,18.4,16.93,18.0,64700
2017-03-08,17.8,18.31,17.82,18.4,46765
2017-03-09,18.69,20.0,18.4,19.5,52927
2017-03-10,20.0,20.5,18.8,19.5,64467
2017-03-13,20.0,19.7,19.2,19.06,46195
2017-03-14,19.2,19.15,18.08,19.0,48735
2017-03-15,19.0,20.1,18.66,20.09,72552
2017-03-16,20.2,21.26,19.3,20.9,118145
2017-03-17,20.6,21.87,20.28,21.73,81451
2017-03-20,21.99,21.35,20.8,20.99,36347
2017-03-21,21.25,21.1,20.31,20.0,36864
2017-03-22,21.0,20.73,20.1,19.7,41884
2017-03-23,20.0,20.0,20.0,20.57,29999
2017-03-24,20.2,21.02,20.0,20.0,28782
2017-03-27,19.7,20.53,19.58,20.5,31979
2017-03-28,19.89,20.27,19.89,20.4,45452
2017-03-29,19.9,22.2,20.3,22.2,61988
2017-03-30,22.12,21.8,21.64,21.6,34971
2017-03-31,22.3,22.7,21.68,22.48,73250
2017-04-03,22.14,22.15,21.36,21.57,47528
2017-04-04,21.99,21.72,20.8,20.9,41211
2017-04-05,20.79,21.6,21.09,20.63,38584
2017-04-06,21.2,22.4,21.0,21.7,44825
2017-04-07,22.1,22.7,22.01,23.0,79428
2017-04-10,22.21,23.53,22.63,22.5,55907
2017-04-11,23.21,23.08,23.1,23.21,198436
2017-04-12,22.96,23.24,21.4,21.87,35985
2017-04-13,22.4,22.2,22.0,22.1,39954
2017-04-17,22.2,22.0,21.45,22.19,32085
2017-04-18,21.11,22.27,20.7,21.4,19940
2017-04-19,21.68,21.52,21.4,20.8,89250
2017-04-20,21.28,21.21,21.4,21.1,59107
2017-04-21,20.9,22.1,21.16,21.88,73382
2017-04-24,22.3,22.0,20.67,21.65,65898
2017-04-25,21.84,22.16,21.53,21.1,76056
2017-04-26,20.8,21.4,21.04,20.89,78307
2017-04-27,20.87,21.2,19.7,20.25,45621
2017-04-28,21.0,20.0,20.17,19.7,38872
2017-05-01,20.4,19.9,18.99,19.39,32415
2017-05-02,19.67,19.9,19.5,19.7,29724
2017-05-03,19.2,19.39,19.0,19.38,38963
2017-05-04,19.55,19.09,19.02,19.47,31628
2017-05-05,19.1,20.0,19.4,19.65,50715
2017-05-08,19.7,19.63,18.55,19.31,68667
2017-05-09,18.8,18.85,17.22,17.37,135462
2017-05-10,17.29,18.46,17.77,18.04,50027
2017-05-11,18.21,18.53,17.84,17.6,44793
2017-05-12,17.77,17.8,17.36,17.23,47187
2017-05-15,17.3,18.6,17.8,18.16,42778
2017-05-16,18.0,18.2,18.21,18.51,34490
2017-05-17,17.96,17.9,17.0,18.0,50770
2017-05-18,17.45,17.5,16.8,17.3,26259
2017-05-19,17.3,17.87,17.69,17.3,29975
2017-05-22,17.63,18.1,17.7,17.6,28793
2017-05-23,17.98,17.58,17.1,17.43,29055
2017-05-24,17.49,17.6,17.0,17.6,26451
2017-05-25,17.41,17.39,16.0,16.32,49849
2017-05-26,16.83,16.78,16.1,16.7,39817
2017-05-30,16.53,18.0,16.55,17.31,41587
2017-05-31,17.0,18.0,16.5,17.16,71228
2017-06-01,17.0,17.74,17.5,17.66,48087
2017-06-02,18.15,17.96,17.0,17.7,50700
2017-06-05,17.5,18.0,17.01,17.0,59900
2017-06-06,17.23,17.47,16.5,16.68,46283
2017-06-07,17.08,17.5,15.6,16.1,47888
2017-06-08,15.7,17.12,16.2,16.9,24285
2017-06-09,17.05,17.0,17.0,17.2,35587
2017-06-12,17.48,17.7,16.18,16.22,45016
2017-06-13,16.7,17.3,15.9,16.7,33926
2017-06-14,16.8,17.0,15.7,16.3,35499
2017-06-15,16.5,16.22,16.4,16.3,24758
2017-06-16,16.5,17.24,16.43,17.5,66035
2017-06-19,17.21,17.0,16.8,17.0,31245
2017-06-20,16.8,16.89,16.92,17.0,27521
2017-06-21,16.17,17.5,16.07,16.4,34330
2017-06-22,16.73,16.65,16.2,16.56,38522
2017-06-23,16.58,17.07,15.85,16.74,538149
2017-06-26,16.3,17.02,15.7,16.6,54637
2017-06-27,17.0,16.88,16.37,16.4,35224
2017-06-28,15.97,16.4,15.76,16.7,35404
2017-06-29,16.6,17.03,16.3,16.38,40011
2017-06-30,16.49,16.5,16.0,16.52,57549
2017-07-03,16.38,17.1,16.4,17.02,34115
2017-07-05,17.4,16.92,16.21,16.94,41503
2017-07-06,17.0,17.3,16.94,16.95,51385
2017-07-07,16.8,17.0,16.6,17.32,61437
2017-07-10,16.9,17.89,16.8,17.72,61615
2017-07-11,17.56,19.09,16.96,18.4,69570
2017-07-12,19.0,19.1,17.63,17.9,38759
2017-07-13,18.2,18.0,17.9,18.1,33584
2017-07-14,18.0,18.83,18.32,18.46,40371
2017-07-17,18.1,18.08,18.03,17.88,25509
2017-07-18,17.8,17.8,17.3,17.8,73190
2017-07-19,17.69,19.34,17.6,19.19,123076
2017-07-20,19.08,19.47,19.15,19.65,52038
2017-07-21,19.42,19.64,18.3,19.24,91698
2017-07-24,19.34,19.1,18.2,19.4,51451
2017-07-25,19.66,20.0,18.92,18.5,82928
2017-07-26,19.1,19.53,19.17,20.0,39027
2017-07-27,19.36,20.1,19.7,19.16,39214
2017-07-28,19.6,20.09,18.83,19.2,46745
2017-07-31,18.5,19.9,18.93,19.03,80640
2017-08-01,18.98,19.9,19.3,20.2,43258
2017-08-02,19.7,20.0,19.0,19.8,19947
2017-08-03,19.5,19.6,19.2,19.19,31762
2017-08-04,19.8,19.41,18.82,19.32,17060
2017-08-07,19.1,20.0,18.97,19.3,244407
2017-08-08,18.2,19.12,17.8,17.47,202527
2017-08-09,17.83,17.96,16.5,16.71,57164
2017-08-10,17.3,17.2,16.74,17.4,60304
2017-08-11,17.1,17.1,16.2,16.6,47994
2017-08-14,17.2,17.58,16.2,15.77,255490
2017-08-15,16.0,16.9,15.66,16.1,62115
2017-08-16,15.8,15.8,15.0,15.42,103847
2017-08-17,15.34,15.0,15.1,14.8,56977
2017-08-18,14.7,15.23,15.0,15.1,40299
2017-08-21,15.2,15.68,14.78,14.8,60493
2017-08-22,15.14,15.5,15.3,16.0,38301
2017-08-23,15.63,15.6,15.5,15.33,32421
2017-08-24,16.0,15.95,14.99,15.55,29984
2017-08-25,15.6,16.29,15.36,16.01,32113
2017-08-28,15.87,15.8,15.19,16.4,32508
2017-08-29,15.69,16.4,15.7,16.4,37494
2017-08-30,16.3,16.1,15.53,16.32,23816
2017-08-31,15.9,16.75,16.04,16.0,35058
2017-09-01,16.32,16.9,16.0,16.16,31323
2017-09-05,16.86,17.3,16.49,17.0,27850
2017-09-06,16.78,17.3,16.86,17.6,34949
2017-09-07,17.4,16.97,16.0,16.77,34221
2017-09-08,15.99,16.7,16.34,16.0,42373
2017-09-11,16.2,17.11,16.0,16.9,23867
2017-09-12,16.9,17.04,17.0,16.9,17122
2017-09-13,17.4,17.0,16.28,17.38,28944
2017-09-14,17.76,17.45,17.52,17.6,36278
2017-09-15,17.5,18.0,16.69,17.4,71621
2017-09-18,17.84,17.9,17.32,18.7,27902
2017-09-19,18.2,18.26,18.0,19.1,37084
2017-09-20,19.0,19.09,18.5,18.7,31478
2017-09-21,18.8,18.7,18.0,17.85,52087
2017-09-22,18.6,18.3,17.6,17.9,38080
2017-09-25,18.2,17.85,17.3,18.06,19006
2017-09-26,18.18,18.0,18.12,17.6,27040
2017-09-27,17.9,18.42,17.6,17.9,50074
2017-09-28,18.53,18.9,18.04,18.15,44815
2017-09-29,17.9,18.1,17.4,17.3,84195
2017-10-02,17.5,18.33,17.18,18.4,38863
2017-10-03,18.21,17.94,17.16,18.07,45718
2017-10-04,18.11,19.77,17.73,18.72,48871
2017-10-05,17.9,18.55,18.0,18.0,31194
2017-10-06,17.9,18.6,17.7,18.1,20009
2017-10-09,17.75,18.49,17.7,18.44,20619
2017-10-10,18.5,18.6,18.19,19.0,26100
2017-10-11,19.0,18.79,18.5,18.2,25445
2017-10-12,18.0,18.29,18.6,18.5,24940
2017-10-13,19.04,18.9,18.29,18.55,13801
2017-10-16,18.39,18.74,18.0,18.74,18073
2017-10-17,18.4,18.0,17.27,17.8,21477
2017-10-18,17.5,17.43,17.28,17.3,11342
2017-10-19,17.75,18.0,17.1,17.12,54681
2017-10-20,17.3,18.11,17.18,18.2,31072
2017-10-23,18.0,18.14,17.75,17.9,31785
2017-10-24,18.2,18.1,18.0,17.82,16563
2017-10-25,17.32,18.01,17.45,17.47,26483
2017-10-26,18.0,17.76,17.19,17.03,29398
2017-10-27,16.9,18.0,16.84,17.79,67549
2017-10-30,17.96,18.68,17.0,17.32,18705
2017-10-31,17.0,18.84,17.0,18.19,48033
2017-11-01,18.0,17.97,17.19,18.0,20907
2017-11-02,18.0,17.8,17.27,17.4,17396
2017-11-03,17.7,17.6,16.6,16.9,24285
2017-11-06,17.02,18.2,17.11,17.3,20281
2017-11-07,16.6,17.1,15.97,15.4,32148
2017-11-08,15.41,16.54,15.5,15.09,25238
2017-11-09,15.1,15.35,14.41,15.29,47828
2017-11-10,15.8,15.58,15.5,15.2,35819
2017-11-13,15.6,15.7,15.1,15.11,20703
2017-11-14,15.36,15.4,14.9,15.13,34810
2017-11-15,15.2,14.9,14.93,15.09,43403
2017-11-16,15.0,15.67,15.1,15.03,21041
2017-11-17,14.95,16.0,14.97,16.0,23637
2017-11-20,15.1,15.76,15.55,15.38,13777
2017-11-21,15.6,15.8,15.3,15.7,28381
2017-11-22,15.0,16.39,15.02,16.19,20771
2017-11-24,15.7,16.0,15.21,15.94,12197
2017-11-27,15.5,16.26,15.6,15.8,17106
2017-11-28,15.83,17.03,15.39,16.6,26565
2017-11-29,16.62,16.8,16.37,17.0,17534
2017-11-30,16.5,16.7,16.42,16.7,34984
2017-12-01,16.83,16.87,16.18,16.8,34979
2017-12-04,16.7,17.27,16.35,16.3,19787
2017-12-05,16.7,16.8,15.6,15.76,21607
2017-12-06,15.8,15.98,15.61,15.3,56947
2017-12-07,15.4,15.76,15.54,15.0,21866
2017-12-08,15.4,15.84,14.43,15.56,35107
2017-12-11,15.4,15.8,14.9,14.51,37597
2017-12-12,15.2,15.41,14.83,14.9,23183
2017-12-13,15.1,15.2,14.5,14.76,40935
2017-12-14,14.4,15.48,14.9,15.06,36384
2017-12-15,15.21,16.14,15.0,15.7,76694
2017-12-18,15.3,16.39,15.5,16.0,34315
2017-12-19,15.5,16.24,15.4,15.0,30904
2017-12-20,15.6,16.0,15.28,16.05,23053
2017-12-21,15.9,17.0,16.1,16.7,61259
2017-12-22,16.5,16.37,15.55,15.9,27061
2017-12-26,16.04,16.0,16.17,16.3,25766
2017-12-27,15.7,15.84,15.63,15.9,16814
2017-12-28,15.99,16.2,15.4,15.2,22787
2017-12-29,15.2,15.5,15.37,15.29,50652
2018-01-02,16.0,16.69,15.0,17.0,42933
2018-01-03,16.2,17.14,16.3,16.6,32060
2018-01-04,17.2,17.3,16.61,17.19,42614
2018-01-05,17.24,17.0,16.41,18.0,60901
2018-01-08,17.5,17.7,17.4,17.48,41417
2018-01-09,17.7,17.9,17.8,18.2,38410
2018-01-10,17.72,18.37,17.6,17.96,22500
2018-01-11,17.8,19.3,17.31,18.7,26698
2018-01-12,19.21,19.4,18.62,19.51,40743
2018-01-16,19.2,19.8,17.46,18.67,44981
2018-01-17,19.5,19.8,18.68,19.0,20831
2018-01-18,20.0,19.5,19.3,19.3,43341
2018-01-19,19.2,18.9,18.21,18.22,56037
2018-01-22,18.4,18.4,18.21,18.25,37853
2018-01-23,19.0,19.21,18.6,18.1,35684
2018-01-24,18.63,18.62,18.3,17.78,19935
2018-01-25,18.46,18.0,18.2,18.2,35286
2018-01-26,19.0,18.5,18.4,18.1,16030
2018-01-29,17.88,17.63,17.1,18.0,24043
2018-01-30,16.7,17.72,17.2,17.2,34297
