date,open,high,low,close,volume
2017-01-03,0.26,0.25,0.26,0.26,23955
2017-01-04,0.22,0.25,0.219,0.23,15519
2017-01-05,0.253,0.26,0.245,0.25,90598
2017-01-06,0.26,0.25,0.25,0.26,8133
2017-01-09,0.25,0.25,0.24,0.24,58943
2017-01-10,0.248,0.25,0.255,0.25,52127
2017-01-11,0.25,0.26,0.245,0.246,23040
2017-01-12,0.25,0.25,0.26,0.25,77752
2017-01-13,0.26,0.26,0.24,0.25,23150
2017-01-17,0.0,0.0,0.0,0.24,0
2017-01-18,0.24,0.24,0.24,0.24,1019
2017-01-19,0.0,0.0,0.0,0.25,0
2017-01-20,0.25,0.24,0.25,0.25,9077
2017-01-23,0.236,0.247,0.24,0.242,1045
2017-01-24,0.248,0.25,0.257,0.26,6049
2017-01-25,0.25,0.25,0.24,0.241,16769
2017-01-26,0.253,0.25,0.254,0.25,96282
2017-01-27,0.25,0.26,0.25,0.26,38057
2017-01-30,0.26,0.26,0.25,0.26,26392
2017-01-31,0.25,0.25,0.25,0.24,47242
2017-02-01,0.26,0.26,0.245,0.25,18925
2017-02-02,0.0,0.0,0.0,0.25,0
2017-02-03,0.0,0.0,0.0,0.25,0
2017-02-06,0.0,0.0,0.0,0.25,0
2017-02-07,0.24,0.25,0.23,0.25,40778
2017-02-08,0.241,0.25,0.236,0.25,2811
2017-02-09,0.25,0.25,0.23,0.25,115875
2017-02-10,0.25,0.26,0.26,0.26,48947
2017-02-13,0.25,0.26,0.24,0.24,68124
2017-02-14,0.24,0.27,0.24,0.268,108842
2017-02-15,0.31,0.335,0.295,0.311,72025
2017-02-16,0.298,0.299,0.283,0.287,24178
2017-02-17,0.0,0.0,0.0,0.286,0
2017-02-21,0.283,0.288,0.26,0.26,36831
2017-02-22,0.289,0.295,0.25,0.26,75161
2017-02-23,0.265,0.256,0.26,0.26,34005
2017-02-24,0.26,0.26,0.24,0.253,62204
2017-02-27,0.24,0.25,0.25,0.25,31744
2017-02-28,0.23,0.24,0.226,0.231,118205
2017-03-01,0.243,0.26,0.236,0.244,46192
2017-03-02,0.0,0.0,0.0,0.241,0
2017-03-03,0.24,0.24,0.24,0.24,1039
2017-03-06,0.273,0.268,0.26,0.265,58900
2017-03-07,0.241,0.28,0.24,0.29,19246
2017-03-08,0.251,0.26,0.251,0.26,1798
2017-03-09,0.24,0.25,0.229,0.243,28729
2017-03-10,0.24,0.25,0.25,0.25,2589
2017-03-13,0.23,0.24,0.24,0.23,10284
2017-03-14,0.24,0.24,0.22,0.23,42058
2017-03-15,0.241,0.239,0.23,0.23,19230
2017-03-16,0.25,0.26,0.24,0.26,123206
2017-03-17,0.26,0.27,0.26,0.26,10612
2017-03-20,0.0,0.0,0.0,0.26,0
2017-03-21,0.0,0.0,0.0,0.26,0
2017-03-22,0.24,0.24,0.25,0.25,1272
2017-03-23,0.0,0.0,0.0,0.25,0
2017-03-24,0.27,0.269,0.27,0.27,92745
2017-03-27,0.24,0.27,0.23,0.239,31096
2017-03-28,0.255,0.252,0.24,0.25,45553
2017-03-29,0.23,0.24,0.22,0.22,64490
2017-03-30,0.0,0.0,0.0,0.22,0
2017-03-31,0.25,0.24,0.227,0.228,9917
2017-04-03,0.0,0.0,0.0,0.235,0
2017-04-04,0.24,0.25,0.24,0.24,1024
2017-04-05,0.24,0.23,0.23,0.24,1186
2017-04-06,0.229,0.23,0.2,0.23,52004
2017-04-07,0.23,0.24,0.23,0.24,508
2017-04-10,0.212,0.238,0.212,0.238,12330
2017-04-11,0.223,0.23,0.21,0.23,15699
2017-04-12,0.23,0.24,0.211,0.24,11984
2017-04-13,0.21,0.21,0.22,0.22,2080
2017-04-17,0.21,0.22,0.2,0.2,10353
2017-04-18,0.215,0.226,0.217,0.217,19294
2017-04-19,0.0,0.0,0.0,0.215,0
2017-04-20,0.225,0.216,0.18,0.209,57207
