date,open,high,low,close,volume
2017-01-03,45.94,46.1,44.74,46.1,17120
2017-01-04,45.25,45.9,46.47,47.03,8775
2017-01-05,48.0,47.11,48.06,47.54,36569
2017-01-06,46.83,47.26,46.8,46.8,14771
2017-01-09,46.98,46.24,47.91,48.06,15759
2017-01-10,47.5,47.64,46.4,46.81,7674
2017-01-11,47.56,46.78,45.8,45.91,9691
2017-01-12,47.0,45.8,47.6,46.05,18871
2017-01-13,47.6,48.03,46.53,47.9,12440
2017-01-17,45.18,47.01,45.83,46.0,21776
2017-01-18,45.11,46.89,46.38,46.28,13407
2017-01-19,45.36,44.44,44.6,44.82,13324
2017-01-20,43.91,46.25,45.91,46.34,10679
2017-01-23,45.97,44.21,45.58,45.6,22743
2017-01-24,44.34,44.34,43.77,46.0,21729
2017-01-25,44.03,45.41,44.52,44.06,18784
2017-01-26,44.63,45.33,44.8,44.61,18455
2017-01-27,44.73,44.01,44.2,43.95,14905
2017-01-30,45.2,44.6,44.18,44.73,20687
2017-01-31,45.09,45.43,44.07,46.03,20573
2017-02-01,44.39,45.04,44.26,44.85,11352
2017-02-02,45.42,44.14,43.64,45.0,15484
2017-02-03,44.35,43.88,44.79,44.94,14017
2017-02-06,45.1,44.35,44.34,44.59,15487
2017-02-07,43.56,45.28,44.18,44.2,10107
2017-02-08,44.33,46.2,45.75,46.06,9110
2017-02-09,45.94,45.1,44.31,45.94,11544
2017-02-10,45.92,45.83,44.79,46.14,12852
2017-02-13,45.03,44.93,44.02,44.53,6397
2017-02-14,44.6,44.05,45.16,44.13,15766
2017-02-15,43.97,46.27,44.89,44.7,9637
2017-02-16,46.83,45.12,46.21,45.36,6328
2017-02-17,46.37,46.08,46.07,45.1,18902
2017-02-21,46.81,46.0,46.93,46.02,7154
2017-02-22,45.6,45.95,45.54,46.43,16936
2017-02-23,45.57,46.37,46.44,45.6,10035
2017-02-24,46.87,45.59,45.22,44.93,9778
2017-02-27,46.5,46.68,46.11,46.59,7567
2017-02-28,43.99,45.36,44.93,46.03,15284
2017-03-01,45.03,44.2,45.3,45.42,11976
2017-03-02,44.28,45.76,44.66,45.56,19272
2017-03-03,45.72,44.65,44.72,44.88,9272
2017-03-06,44.72,45.7,45.91,46.4,6599
2017-03-07,45.22,44.63,44.73,44.46,5682
2017-03-08,44.43,43.93,44.94,45.4,20483
2017-03-09,44.61,45.21,44.09,44.79,10775
2017-03-10,45.49,45.19,45.1,45.91,6960
2017-03-13,44.93,46.46,45.7,45.68,9149
2017-03-14,45.6,46.16,45.39,46.73,6032
2017-03-15,44.7,45.22,45.44,46.11,8424
