date,open,high,low,close,volume
2017-01-03,21.69,22.3,21.57,21.87,564808
2017-01-04,22.49,22.05,21.8,21.32,617537
2017-01-05,21.64,22.39,21.3,22.22,384766
2017-01-06,21.52,22.15,21.8,21.71,365717
2017-01-09,21.25,21.21,21.38,21.24,295671
2017-01-10,21.89,21.75,21.69,21.7,332766
2017-01-11,20.85,20.83,21.01,20.67,502534
2017-01-12,20.4,21.36,20.69,21.17,660899
2017-01-13,21.03,21.37,21.04,21.1,514659
2017-01-17,20.42,20.86,20.52,20.93,455414
2017-01-18,20.86,20.9,20.68,21.0,716836
2017-01-19,20.67,20.71,20.45,20.31,649928
2017-01-20,20.2,20.9,20.16,20.07,654972
2017-01-23,20.85,20.36,20.42,21.0,610191
2017-01-24,20.58,20.6,20.13,20.88,658359
2017-01-25,20.02,20.69,19.87,20.05,613690
2017-01-26,20.38,20.75,18.6,19.0,2892744
2017-01-27,19.1,19.4,19.1,18.77,1036008
2017-01-30,18.73,19.64,19.3,18.51,574756
2017-01-31,18.5,19.25,18.53,18.58,1439724
2017-02-01,18.0,18.4,18.37,19.1,830611
2017-02-02,18.48,18.54,18.4,18.68,539447
2017-02-03,18.7,18.8,18.01,18.53,792801
2017-02-06,18.9,19.0,18.21,17.97,550318
2017-02-07,18.97,19.0,18.18,18.87,981691
2017-02-08,18.19,19.62,18.26,19.65,1233046
2017-02-09,20.07,20.16,19.9,19.78,1320791
2017-02-10,19.95,20.2,19.92,19.7,576633
2017-02-13,19.8,19.87,19.7,19.67,691331
2017-02-14,19.65,19.63,19.15,19.45,709507
2017-02-15,20.08,19.98,19.28,19.52,681854
2017-02-16,20.1,20.74,20.08,20.43,909733
2017-02-17,20.43,20.6,20.27,19.7,858925
2017-02-21,20.13,20.34,20.43,20.2,493576
2017-02-22,20.18,20.6,19.95,19.91,683781
2017-02-23,19.74,20.9,19.4,19.9,769780
2017-02-24,20.0,20.84,20.05,20.32,795214
2017-02-27,20.35,20.36,19.14,19.9,957060
2017-02-28,20.39,20.95,19.58,20.02,1566138
2017-03-01,19.62,20.09,19.89,20.21,1342555
2017-03-02,20.24,20.28,20.28,19.95,792488
2017-03-03,19.65,19.96,20.12,19.85,978452
2017-03-06,20.14,19.97,20.13,20.22,722317
2017-03-07,19.76,19.91,20.07,20.13,717360
2017-03-08,20.43,20.28,19.25,19.6,1023193
2017-03-09,19.44,20.34,19.55,19.97,628851
2017-03-10,19.9,20.51,20.16,20.15,859731
2017-03-13,19.9,19.96,20.38,19.96,621516
2017-03-14,19.7,20.6,19.63,20.5,887362
2017-03-15,20.14,20.08,19.98,19.8,904746
2017-03-16,20.66,20.84,19.89,20.68,697224
2017-03-17,19.99,19.92,20.07,20.57,4457642
2017-03-20,20.37,20.3,20.0,19.94,1030426
2017-03-21,19.72,19.96,19.36,20.3,893599
2017-03-22,19.97,19.5,20.03,19.73,878671
2017-03-23,20.21,20.33,19.49,20.25,518650
2017-03-24,20.26,19.79,19.95,20.36,617876
2017-03-27,20.35,20.47,19.78,19.96,642351
2017-03-28,20.69,20.72,19.8,20.12,657400
2017-03-29,20.0,20.77,19.8,20.86,904328
2017-03-30,20.5,21.7,20.4,22.0,1622982
2017-03-31,21.66,22.33,21.02,22.27,2146141
2017-04-03,22.53,22.61,22.5,22.76,1636433
2017-04-04,22.28,23.04,21.9,23.08,987491
2017-04-05,22.44,22.94,22.2,22.12,994923
2017-04-06,21.55,22.56,21.6,22.28,744461
2017-04-07,21.99,22.78,21.69,22.74,694403
2017-04-10,22.74,21.95,21.55,22.61,601174
2017-04-11,22.14,22.8,22.27,22.12,688354
2017-04-12,22.7,22.73,21.46,22.35,908534
2017-04-13,22.21,22.15,22.43,22.84,829876
2017-04-17,0.0,0.0,0.0,22.29,0
2017-04-18,21.8,22.0,22.6,22.64,1041622
2017-04-19,22.63,22.69,21.63,22.74,1068145
2017-04-20,22.17,22.85,21.93,22.53,1047063
2017-04-21,22.2,22.19,22.07,22.37,1043190
2017-04-24,21.94,21.93,21.29,21.2,1919839
2017-04-25,21.45,21.63,20.91,20.8,1323962
2017-04-26,20.7,21.3,21.23,21.42,790603
2017-04-27,21.66,21.09,21.32,21.8,687744
2017-04-28,21.76,21.45,19.7,20.21,3018819
2017-05-01,0.0,0.0,0.0,20.6,0
2017-05-02,21.05,20.95,20.66,20.97,1207544
2017-05-03,20.6,20.72,20.87,20.61,1151780
2017-05-04,21.54,21.84,20.61,21.72,1211757
2017-05-05,21.0,21.59,21.1,21.1,1304386
2017-05-08,22.12,22.3,21.39,21.72,876159
2017-05-09,21.47,21.31,20.92,21.65,1211691
2017-05-10,21.26,21.75,20.7,21.55,773514
2017-05-11,21.35,21.26,20.67,21.07,785794
2017-05-12,21.31,21.4,21.08,21.01,535086
2017-05-15,21.74,21.47,20.53,20.79,487315
2017-05-16,20.98,21.03,20.89,21.84,613218
2017-05-17,21.7,21.0,21.08,21.11,845119
2017-05-18,20.79,21.5,21.11,21.16,796603
2017-05-19,21.25,21.75,20.99,21.27,1276469
2017-05-22,21.73,21.93,22.0,21.48,1121268
2017-05-23,21.45,22.02,21.8,21.9,834748
2017-05-24,21.6,21.79,21.5,22.08,969852
2017-05-25,22.17,22.41,21.79,21.38,486470
2017-05-26,22.27,22.28,22.43,22.37,680750
2017-05-30,22.71,22.17,22.02,22.09,841630
2017-05-31,22.92,22.77,22.53,22.98,2357127
2017-06-01,22.5,23.49,23.19,23.7,1990167
2017-06-02,23.86,23.25,23.7,23.24,848424
2017-06-05,24.0,23.64,24.04,24.05,513125
2017-06-06,23.83,24.58,23.47,23.33,906348
2017-06-07,23.84,24.2,23.02,23.02,875020
2017-06-08,23.48,23.16,22.71,23.31,841728
2017-06-09,23.57,23.56,22.8,23.51,956884
2017-06-12,22.69,23.3,22.85,23.2,506849
2017-06-13,23.11,23.5,23.26,23.22,713890
2017-06-14,22.96,23.55,23.16,23.4,1160251
2017-06-15,22.44,23.76,22.5,22.82,813956
2017-06-16,23.4,24.19,23.43,23.13,1660407
2017-06-19,23.8,23.36,23.12,22.92,1182317
2017-06-20,22.7,23.35,23.06,22.75,638089
2017-06-21,23.13,22.78,22.45,23.31,751846
2017-06-22,23.05,23.12,23.19,23.11,625695
2017-06-23,23.4,22.65,22.22,22.82,605150
2017-06-26,22.7,23.2,22.7,23.34,640686
2017-06-27,23.32,22.66,22.47,22.08,799719
2017-06-28,22.0,23.0,21.8,21.92,778017
2017-06-29,21.81,22.14,21.32,21.06,1098754
2017-06-30,21.87,21.44,20.71,21.51,1211284
2017-07-03,21.05,21.64,20.88,20.61,868713
2017-07-05,20.86,21.37,21.13,21.46,504760
2017-07-06,20.83,21.71,19.8,20.4,1099138
2017-07-07,20.1,20.0,19.71,20.3,981479
2017-07-10,20.25,19.91,19.61,19.81,578481
2017-07-11,19.91,20.13,19.84,20.32,721793
2017-07-12,20.53,20.23,19.62,20.56,628524
2017-07-13,19.84,20.13,19.5,20.15,575214
2017-07-14,19.78,20.33,20.49,20.54,775565
2017-07-17,20.22,20.51,20.27,20.81,812919
2017-07-18,20.28,20.7,20.65,20.4,665638
2017-07-19,20.68,20.57,20.0,21.1,813629
2017-07-20,21.03,21.23,19.79,20.1,853621
2017-07-21,20.44,20.8,20.68,20.38,619490
2017-07-24,20.95,20.55,19.9,20.0,804423
2017-07-25,20.25,20.4,20.83,20.53,898895
2017-07-26,20.79,20.35,20.53,20.69,815253
2017-07-27,20.2,21.0,20.57,20.15,1123484
2017-07-28,21.0,20.51,20.2,20.6,1145792
2017-07-31,20.58,21.16,20.33,20.15,1106727
2017-08-01,19.9,20.4,20.16,20.46,462507
2017-08-02,20.44,20.9,20.28,20.51,1299498
2017-08-03,20.2,20.57,20.5,21.24,779200
2017-08-04,21.3,21.24,20.64,21.43,551559
2017-08-07,21.4,21.0,20.9,21.02,519963
2017-08-08,21.3,20.58,20.72,20.8,522076
2017-08-09,20.71,21.15,21.0,20.25,625355
2017-08-10,20.67,20.73,20.6,20.88,439648
2017-08-11,20.25,20.39,20.25,19.96,639065
2017-08-14,20.64,20.38,20.8,20.0,394974
2017-08-15,20.18,20.77,20.74,20.5,352321
2017-08-16,20.83,20.38,20.37,20.3,605375
2017-08-17,20.6,20.42,20.17,20.03,770462
2017-08-18,20.2,19.92,19.67,19.64,490732
2017-08-21,19.65,20.43,19.84,19.96,560978
2017-08-22,19.95,19.68,19.83,19.3,549516
2017-08-23,19.9,19.65,19.61,19.87,538346
2017-08-24,19.28,19.9,19.34,19.88,350115
2017-08-25,19.5,20.21,19.6,19.48,361829
2017-08-28,19.53,19.42,19.64,19.49,197394
2017-08-29,20.01,19.35,19.0,18.8,824906
2017-08-30,19.58,19.85,19.08,19.07,501234
2017-08-31,19.22,20.22,19.06,19.7,1009266
2017-09-01,19.97,20.35,19.49,20.3,945863
2017-09-05,20.18,19.6,19.98,19.9,521794
2017-09-06,19.8,19.4,19.78,19.28,511961
2017-09-07,18.87,18.97,18.04,19.03,1335648
2017-09-08,18.39,18.27,18.53,18.85,816597
2017-09-11,18.44,19.1,18.7,18.75,667033
2017-09-12,19.1,18.86,18.68,19.0,713514
2017-09-13,18.83,18.73,18.84,18.7,619290
2017-09-14,19.08,18.55,19.14,19.13,662848
2017-09-15,18.95,18.5,18.14,18.59,1254593
2017-09-18,18.56,19.61,18.93,18.5,703219
2017-09-19,19.04,19.43,18.41,18.4,691460
2017-09-20,19.28,19.09,18.56,19.16,842752
2017-09-21,19.36,19.16,18.35,18.8,548093
2017-09-22,18.62,19.06,18.48,18.77,824811
2017-09-25,18.79,18.66,18.28,18.54,753522
2017-09-26,18.68,19.16,18.87,19.06,786528
