date,open,high,low,close,volume
2017-01-03,34.39,34.65,34.01,34.25,13773
2017-01-04,34.5,35.27,35.4,35.28,23716
2017-01-05,35.04,35.93,35.34,35.93,30867
2017-01-06,36.83,37.8,37.38,36.7,22410
2017-01-09,37.0,37.1,36.3,36.36,8943
2017-01-10,36.87,38.2,37.18,36.98,11532
2017-01-11,37.03,38.4,36.77,38.5,20161
2017-01-12,38.18,37.0,37.77,38.4,3696
2017-01-13,37.51,37.99,36.86,37.63,3221
2017-01-17,37.35,37.43,36.8,36.3,5222
2017-01-18,36.33,37.64,37.68,37.32,6100
2017-01-19,37.14,36.4,37.43,38.0,5100
2017-01-20,37.41,38.79,38.09,38.45,10681
2017-01-23,37.99,38.13,37.57,37.83,13984
2017-01-24,39.1,39.1,38.0,38.79,17042
2017-01-25,38.93,40.19,39.23,40.06,14231
2017-01-26,40.24,41.2,39.85,39.8,14014
2017-01-27,40.47,39.56,39.71,38.97,3810
2017-01-30,40.3,40.18,39.5,38.66,7700
2017-01-31,40.25,40.0,38.79,39.67,12611
2017-02-01,39.6,39.69,40.38,39.64,44906
2017-02-02,40.11,39.16,38.8,39.8,5715
2017-02-03,40.51,40.6,38.09,39.93,8282
2017-02-06,39.3,39.45,39.3,39.88,9712
2017-02-07,39.36,39.5,39.9,39.85,1965
2017-02-08,40.67,40.7,39.3,40.1,11672
2017-02-09,39.2,40.16,39.2,40.14,4363
2017-02-10,40.1,40.07,38.82,39.33,3895
2017-02-13,38.43,39.71,38.28,38.3,14701
2017-02-14,39.64,39.39,39.2,37.97,8021
2017-02-15,39.22,38.38,39.3,39.37,3688
2017-02-16,38.42,38.96,39.63,38.65,10389
2017-02-17,39.7,39.08,37.67,39.0,23749
2017-02-21,40.1,40.41,40.0,40.11,11546
2017-02-22,39.99,39.4,38.93,39.88,10061
2017-02-23,39.17,39.38,38.6,39.66,1146
2017-02-24,39.32,39.26,38.2,39.76,19444
2017-02-27,38.83,38.86,37.91,38.07,4211
2017-02-28,37.24,38.7,38.9,39.0,18054
2017-03-01,39.18,38.6,38.43,39.2,8248
2017-03-02,38.7,38.7,38.79,37.46,9793
2017-03-03,39.0,38.56,38.8,37.24,3304
2017-03-06,39.0,37.75,37.6,38.56,3716
2017-03-07,38.94,38.17,38.71,37.98,12533
2017-03-08,38.02,37.58,38.0,39.0,4853
2017-03-09,37.87,37.83,36.68,36.61,19524
2017-03-10,36.9,38.11,36.24,37.8,4619
2017-03-13,37.1,37.77,37.0,36.64,15210
2017-03-14,37.95,38.16,36.9,37.93,1039
2017-03-15,36.9,37.12,38.07,37.81,3779
2017-03-16,39.41,38.99,37.53,37.55,20348
2017-03-17,37.35,37.79,37.67,39.01,2801
2017-03-20,37.2,38.21,38.91,38.82,2311
2017-03-21,38.13,37.6,37.13,36.93,7921
2017-03-22,37.3,36.23,37.23,37.52,1541
2017-03-23,36.59,37.95,36.42,37.82,5789
2017-03-24,37.24,37.23,37.48,37.16,2291
2017-03-27,35.91,35.77,36.39,37.23,2762
2017-03-28,35.9,37.44,37.4,36.7,2935
2017-03-29,36.94,36.78,36.8,36.39,7218
2017-03-30,37.45,35.97,35.94,36.51,4227
2017-03-31,36.07,37.24,36.11,36.39,3633
2017-04-03,36.23,35.82,36.67,36.48,4146
2017-04-04,35.65,35.72,35.35,35.66,11386
2017-04-05,37.18,37.0,37.11,36.28,18988
2017-04-06,36.67,37.02,36.42,36.89,5758
2017-04-07,36.51,37.18,36.96,36.16,1701
2017-04-10,37.44,37.62,36.9,37.59,3029
2017-04-11,37.79,37.55,37.52,36.29,4563
2017-04-12,37.2,36.7,36.4,36.23,4256
2017-04-13,35.86,36.76,36.6,37.1,8441
2017-04-17,35.02,36.06,36.66,36.26,4361
2017-04-18,36.32,37.11,36.19,36.06,2279
2017-04-19,36.4,37.3,36.02,36.05,2722
2017-04-20,38.47,38.0,37.86,38.4,19175
2017-04-21,37.31,37.58,38.35,37.18,4392
2017-04-24,37.95,37.69,38.58,37.93,8715
2017-04-25,39.69,39.7,38.25,39.01,19287
2017-04-26,38.95,38.71,37.96,38.78,3117
2017-04-27,38.47,38.9,38.06,38.5,12128
2017-04-28,39.73,38.29,37.88,38.91,3012
2017-05-01,38.77,39.37,37.86,38.01,1712
2017-05-02,38.83,39.04,39.0,39.24,3140
2017-05-03,38.28,39.73,38.82,37.18,6836
2017-05-04,36.85,38.16,37.84,38.86,7559
2017-05-05,37.57,37.46,37.7,38.02,2494
2017-05-08,39.33,38.62,39.9,38.62,37992
2017-05-09,38.7,39.1,37.8,38.52,4975
2017-05-10,38.9,39.64,39.5,40.14,9358
2017-05-11,38.6,40.0,39.9,40.0,22175
2017-05-12,38.98,39.6,39.66,38.8,16868
2017-05-15,38.88,37.76,37.77,37.62,3819
2017-05-16,38.8,38.97,39.1,38.06,3842
2017-05-17,38.7,39.65,37.87,38.9,50941
2017-05-18,37.9,38.71,39.0,39.22,20144
2017-05-19,39.27,39.22,38.93,37.98,6121
2017-05-22,39.0,40.0,40.0,38.8,17501
2017-05-23,39.48,40.4,38.9,39.7,4080
2017-05-24,39.98,40.31,38.85,39.6,7213
2017-05-25,40.08,41.66,40.39,40.04,37596
2017-05-26,40.8,41.89,41.1,40.92,10767
2017-05-30,41.3,42.48,41.12,40.59,7721
2017-05-31,41.28,42.43,41.9,41.44,24913
2017-06-01,40.46,41.8,41.44,41.6,4534
2017-06-02,41.6,41.37,42.43,42.75,9848
2017-06-05,42.66,42.1,42.7,41.93,14554
2017-06-06,41.48,41.0,41.7,41.78,7904
2017-06-07,43.05,42.69,40.96,42.84,5825
2017-06-08,41.53,43.66,42.59,42.59,25748
2017-06-09,45.98,44.69,42.42,43.0,101316
2017-06-12,44.96,43.94,42.2,42.0,41478
2017-06-13,42.5,41.7,41.3,41.5,6365
2017-06-14,41.72,42.08,40.77,41.99,38862
2017-06-15,42.1,41.55,41.15,40.17,32332
2017-06-16,43.0,42.21,41.0,41.42,1394
2017-06-19,42.14,42.92,42.98,42.11,7324
2017-06-20,41.89,42.5,42.2,43.35,2783
2017-06-21,43.05,43.59,42.4,42.88,2757
2017-06-22,42.69,42.82,43.38,42.6,2930
2017-06-23,43.0,42.2,41.5,42.4,8513
2017-06-26,43.56,42.55,43.06,43.32,1505
2017-06-27,43.1,42.73,43.5,43.39,22551
2017-06-28,42.18,42.08,42.64,42.38,3719
2017-06-29,41.82,42.31,41.13,41.57,39734
2017-06-30,41.57,42.2,41.56,42.1,4706
2017-07-03,41.51,40.91,41.59,41.53,231
2017-07-05,39.63,41.66,39.87,40.64,6384
2017-07-06,40.02,40.57,41.11,41.2,52644
2017-07-07,39.9,39.6,40.44,40.93,9419
2017-07-10,40.37,42.0,40.02,40.97,27592
2017-07-11,40.27,40.75,39.95,40.17,8947
2017-07-12,41.0,41.8,42.0,40.52,2420
2017-07-13,40.32,40.5,41.3,41.1,3414
2017-07-14,41.1,41.9,41.9,41.7,4441
2017-07-17,42.0,41.5,41.09,41.7,50584
2017-07-18,43.08,42.33,41.39,41.67,3235
2017-07-19,41.87,42.3,40.98,43.02,39223
2017-07-20,41.92,42.36,42.91,41.59,14079
2017-07-21,42.89,43.0,41.93,42.97,16082
2017-07-24,43.7,42.45,41.69,41.76,9144
2017-07-25,43.09,43.36,43.2,42.4,23979
2017-07-26,43.5,43.5,41.62,42.88,63322
2017-07-27,43.1,42.58,42.44,41.88,10472
2017-07-28,42.9,42.7,42.5,42.91,4026
2017-07-31,41.89,42.0,41.96,42.19,49317
2017-08-01,40.43,40.9,40.13,42.67,20443
2017-08-02,41.4,42.58,41.38,41.73,18330
2017-08-03,40.04,42.5,40.98,40.7,7180
2017-08-04,41.55,41.29,40.0,40.0,6516
2017-08-07,41.0,41.92,41.27,41.22,19067
2017-08-08,41.27,43.3,41.3,41.25,10152
2017-08-09,40.4,41.76,41.32,42.0,9828
2017-08-10,40.67,40.4,39.91,41.27,9335
2017-08-11,40.22,40.4,39.68,40.19,8793
2017-08-14,40.85,41.25,40.0,40.63,3647
2017-08-15,40.8,40.24,39.72,40.85,113791
2017-08-16,42.0,41.0,39.6,40.12,9347
2017-08-17,41.0,42.01,42.0,41.69,12064
2017-08-18,41.51,41.01,41.5,40.88,10503
2017-08-21,39.75,40.12,39.88,40.7,8168
2017-08-22,40.0,41.64,40.3,40.5,10538
2017-08-23,42.0,40.79,41.6,41.8,12593
2017-08-24,40.23,40.79,41.51,41.8,10870
2017-08-25,41.26,40.76,40.93,41.28,14321
2017-08-28,40.97,42.39,42.17,41.62,13823
2017-08-29,41.0,41.1,40.0,42.0,5284
2017-08-30,41.99,41.1,41.04,40.9,4298
2017-08-31,40.86,41.31,41.59,42.45,3908
2017-09-01,42.0,42.0,41.29,41.28,1628
2017-09-05,41.02,42.43,40.0,41.36,8214
2017-09-06,42.52,41.88,39.71,40.19,5004
2017-09-07,40.8,41.24,39.78,39.31,5285
2017-09-08,40.67,40.8,40.58,41.1,92814
2017-09-11,39.62,41.6,41.01,39.7,20202
2017-09-12,41.23,41.9,40.63,40.89,7877
2017-09-13,40.35,39.77,40.08,40.08,4464
2017-09-14,38.44,40.7,38.46,39.88,4831
2017-09-15,39.1,39.42,39.7,40.22,3875
2017-09-18,39.81,40.7,40.33,40.59,3933
2017-09-19,42.2,42.53,40.4,43.26,35304
2017-09-20,42.2,43.7,42.18,41.61,23875
2017-09-21,43.91,43.76,42.56,42.33,7530
2017-09-22,42.7,42.9,42.1,41.83,74478
2017-09-25,41.69,42.33,40.95,40.86,20925
2017-09-26,40.66,41.54,40.91,41.24,3164
2017-09-27,41.0,41.11,40.0,41.58,2458
2017-09-28,40.92,40.68,40.66,40.51,15005
2017-09-29,41.81,40.86,41.9,42.56,3068
2017-10-02,42.8,40.9,41.68,41.97,2855
2017-10-03,42.5,42.61,42.34,41.93,1853
2017-10-04,42.96,43.48,42.0,41.3,10867
2017-10-05,42.77,42.32,42.55,42.27,8640
2017-10-06,43.29,43.84,42.05,42.77,3272
2017-10-09,41.59,42.6,41.08,42.82,14629
2017-10-10,41.29,43.74,41.15,44.04,13842
2017-10-11,42.85,44.14,42.71,43.61,17529
2017-10-12,44.0,46.0,43.6,45.62,38518
2017-10-13,45.0,44.73,45.0,46.1,32339
2017-10-16,47.7,46.1,46.48,46.2,23000
2017-10-17,45.8,45.8,43.6,45.14,22293
2017-10-18,44.49,45.93,44.98,44.37,10061
