date,open,high,low,close,volume
2017-01-03,33.0,34.91,33.0,33.93,92892
2017-01-04,35.39,34.66,35.26,35.51,136925
2017-01-05,36.29,37.05,35.44,35.28,162471
2017-01-06,36.28,37.1,36.6,36.47,96834
2017-01-09,36.31,37.97,37.21,37.42,117558
2017-01-10,36.18,37.5,37.54,37.6,189985
2017-01-11,37.55,37.07,36.71,36.83,126906
2017-01-12,37.69,37.21,38.34,37.53,45468
2017-01-13,36.75,37.7,37.22,38.45,40027
2017-01-17,36.03,36.91,37.27,36.67,86720
2017-01-18,38.35,37.36,38.28,36.99,122435
2017-01-19,35.94,37.19,36.64,37.83,38121
2017-01-20,37.17,37.02,36.86,38.27,40089
2017-01-23,37.3,37.49,37.2,39.0,86006
2017-01-24,38.28,38.12,38.1,37.83,223399
2017-01-25,39.84,39.11,38.54,40.43,163759
2017-01-26,39.6,41.1,39.72,39.35,82696
2017-01-27,40.4,39.55,39.56,40.48,120908
2017-01-30,39.02,39.35,39.85,38.83,215353
2017-01-31,38.98,39.16,39.72,38.9,62456
2017-02-01,39.37,40.66,38.71,40.91,147941
2017-02-02,39.65,40.24,38.82,38.46,37101
2017-02-03,39.2,38.99,39.45,38.38,53183
2017-02-06,38.15,38.7,38.0,40.5,90070
2017-02-07,40.56,39.32,38.47,39.97,1398448
2017-02-08,39.89,41.14,39.11,40.61,128962
2017-02-09,40.87,40.8,40.14,40.88,66647
2017-02-10,39.22,39.58,39.59,39.73,45566
2017-02-13,38.1,40.13,39.0,38.18,149346
2017-02-14,38.4,39.67,37.93,37.88,67244
2017-02-15,38.37,39.66,39.22,38.6,80253
2017-02-16,38.32,38.59,39.16,39.74,43788
2017-02-17,37.9,39.51,37.82,40.43,116267
2017-02-21,40.06,39.93,39.88,39.11,162093
2017-02-22,39.8,39.06,38.8,39.29,53515
2017-02-23,39.73,38.99,39.1,39.76,350499
2017-02-24,38.8,39.2,39.43,38.4,69673
2017-02-27,37.7,38.8,37.61,37.88,45407
2017-02-28,37.42,38.76,38.22,38.91,78349
2017-03-01,39.8,38.63,39.42,39.64,98730
2017-03-02,39.19,38.47,38.83,37.42,51717
2017-03-03,38.2,38.83,37.6,37.71,51693
2017-03-06,38.01,38.24,37.8,38.64,62230
2017-03-07,37.6,38.91,37.27,37.81,80303
2017-03-08,37.89,38.07,37.17,38.37,68407
2017-03-09,37.65,37.24,36.4,36.91,287839
2017-03-10,37.65,37.21,37.4,36.37,190189
2017-03-13,36.5,38.24,37.06,37.29,72482
2017-03-14,38.11,37.69,37.72,38.23,37030
2017-03-15,37.99,37.4,37.38,37.1,29309
2017-03-16,38.37,38.87,37.9,37.65,173981
2017-03-17,38.88,39.35,38.8,37.64,75941
2017-03-20,37.43,37.6,37.82,37.38,53390
2017-03-21,37.59,38.77,36.7,36.65,65137
2017-03-22,37.0,37.08,37.43,37.85,36587
2017-03-23,37.3,36.84,37.29,37.39,120993
2017-03-24,36.79,37.0,37.01,36.79,57748
2017-03-27,35.5,36.55,37.02,36.01,35014
2017-03-28,36.2,36.67,35.9,37.23,37610
2017-03-29,37.3,37.8,36.59,37.18,77359
2017-03-30,36.74,36.87,37.18,36.4,29599
2017-03-31,37.1,35.76,35.2,36.28,37413
2017-04-03,36.87,36.8,35.9,36.29,30609
2017-04-04,35.85,36.3,36.07,36.48,57177
2017-04-05,37.5,37.78,36.8,36.47,61720
2017-04-06,36.12,37.66,36.47,37.47,88727
2017-04-07,37.73,37.77,36.27,37.47,42481
2017-04-10,37.51,37.12,36.83,37.1,57218
2017-04-11,36.15,36.71,36.8,36.46,35676
2017-04-12,36.71,36.51,36.96,37.46,41211
2017-04-13,36.39,36.4,36.39,35.86,28847
2017-04-17,36.22,36.4,35.82,35.95,131719
2017-04-18,35.87,37.18,35.65,36.21,238172
2017-04-19,37.14,36.9,36.51,36.35,196999
2017-04-20,37.4,37.59,36.79,38.51,249513
2017-04-21,37.28,38.06,38.0,37.84,173536
2017-04-24,37.58,38.51,37.71,38.17,192595
2017-04-25,38.86,38.7,38.15,38.23,233539
2017-04-26,39.09,38.72,38.31,37.8,101190
2017-04-27,39.03,38.22,38.21,39.2,286416
2017-04-28,38.89,38.36,38.53,39.34,182733
2017-05-01,38.78,40.0,38.33,38.71,89947
2017-05-02,40.0,39.0,37.91,38.64,197464
2017-05-03,39.2,37.98,38.19,38.01,310088
2017-05-04,38.24,38.75,38.43,37.57,183676
2017-05-05,37.71,37.78,38.18,38.84,70986
2017-05-08,39.2,38.7,38.2,39.57,128072
2017-05-09,38.59,39.0,38.12,38.09,131664
2017-05-10,38.0,40.08,38.81,40.15,288908
2017-05-11,39.56,39.14,40.3,40.0,218005
2017-05-12,38.47,39.55,39.03,38.4,81187
2017-05-15,39.36,38.57,38.9,38.7,131853
2017-05-16,38.87,38.52,38.88,39.61,133255
2017-05-17,38.23,40.04,38.58,39.05,144269
2017-05-18,37.44,38.48,37.0,37.63,204025
2017-05-19,38.15,39.2,38.55,39.75,218066
2017-05-22,40.2,40.1,38.54,40.6,190358
2017-05-23,40.54,39.54,39.2,39.16,175716
2017-05-24,38.8,39.22,38.0,38.27,93398
2017-05-25,40.33,41.0,41.09,40.9,335971
2017-05-26,40.78,41.59,40.69,41.93,347330
2017-05-30,42.36,42.51,39.96,41.74,353908
2017-05-31,41.44,42.83,41.58,40.69,207679
2017-06-01,40.6,40.78,40.8,40.77,175367
2017-06-02,41.65,42.3,40.75,42.31,224674
2017-06-05,41.06,41.91,42.15,43.01,112788
2017-06-06,41.4,41.74,41.21,41.32,125357
2017-06-07,41.74,41.0,41.33,40.97,253145
2017-06-08,42.62,43.31,42.84,44.38,844796
2017-06-09,42.86,45.12,43.4,42.66,1004308
2017-06-12,42.32,43.3,42.98,42.14,253205
2017-06-13,41.7,43.13,41.5,41.53,749326
2017-06-14,41.4,41.32,41.4,41.9,852080
2017-06-15,40.11,40.6,41.73,41.4,542595
2017-06-16,42.03,42.5,42.88,41.31,89958
2017-06-19,42.7,43.82,42.3,43.76,337575
2017-06-20,42.98,43.66,43.27,43.97,368359
2017-06-21,42.93,43.27,42.5,42.73,280024
2017-06-22,42.91,42.05,42.93,41.7,129329
2017-06-23,42.79,43.29,41.29,43.31,196768
2017-06-26,42.4,42.84,43.21,43.2,408434
2017-06-27,42.22,42.9,41.99,43.39,650858
2017-06-28,42.6,42.08,41.91,43.43,440988
2017-06-29,41.5,41.99,40.8,42.41,235810
2017-06-30,41.68,41.5,41.89,41.6,315659
2017-07-03,41.38,42.03,40.88,40.91,92625
2017-07-05,41.07,40.9,39.69,41.56,278278
2017-07-06,40.11,40.17,39.65,41.31,540720
2017-07-07,40.3,39.84,40.55,40.03,185274
2017-07-10,41.09,40.9,39.6,40.85,108101
2017-07-11,41.01,40.24,39.69,40.15,152158
2017-07-12,42.07,41.11,41.85,42.1,252556
2017-07-13,41.41,41.12,40.95,41.58,193308
2017-07-14,42.1,41.9,41.23,42.34,258771
2017-07-17,41.7,42.49,42.4,41.63,340666
2017-07-18,41.73,41.71,42.49,41.92,197000
2017-07-19,42.79,41.93,41.79,42.99,133504
2017-07-20,41.5,43.13,42.78,42.07,130174
2017-07-21,41.61,42.54,43.0,42.33,93106
2017-07-24,42.83,42.84,42.56,42.89,81104
2017-07-25,42.14,42.59,42.02,44.1,78095
2017-07-26,43.98,43.43,43.57,44.05,91557
2017-07-27,43.7,44.26,41.8,42.7,389315
2017-07-28,42.25,42.41,42.04,42.93,118837
2017-07-31,41.34,41.98,40.55,41.28,136653
2017-08-01,39.75,42.5,40.45,41.31,1583943
2017-08-02,40.4,42.1,40.3,41.61,2192486
2017-08-03,39.97,40.5,41.63,41.8,339262
2017-08-04,41.54,42.0,40.0,41.64,159741
2017-08-07,42.04,43.09,41.27,42.46,113201
2017-08-08,41.05,42.58,42.2,40.79,85321
2017-08-09,41.88,41.88,39.75,39.89,135401
2017-08-10,40.2,41.11,40.9,39.8,144965
2017-08-11,41.1,40.59,39.32,40.22,85543
2017-08-14,40.78,40.12,39.51,41.31,183600
2017-08-15,41.16,41.89,40.6,41.11,121514
2017-08-16,40.92,40.36,40.4,41.63,131783
2017-08-17,41.0,40.9,41.77,40.3,532325
2017-08-18,40.44,40.69,40.26,42.0,251040
2017-08-21,39.81,40.47,40.21,41.44,202506
2017-08-22,41.0,40.78,41.55,40.72,321066
2017-08-23,40.36,41.78,41.25,41.88,75798
2017-08-24,40.61,42.2,40.5,40.65,159869
2017-08-25,42.02,42.49,41.9,40.6,114288
2017-08-28,41.1,42.0,40.44,41.67,104080
2017-08-29,40.91,41.86,40.91,40.5,73705
2017-08-30,42.29,41.87,41.33,40.8,278369
2017-08-31,42.4,40.9,41.8,42.08,422889
2017-09-01,40.79,42.26,40.91,41.73,171463
2017-09-05,40.88,39.8,39.82,41.18,171088
2017-09-06,41.03,41.4,40.95,40.05,75369
2017-09-07,40.2,40.6,40.3,40.66,83499
2017-09-08,41.25,40.56,40.64,39.76,108532
2017-09-11,39.36,40.5,40.2,40.28,478115
2017-09-12,41.04,41.2,39.65,41.01,212396
2017-09-13,41.15,40.02,39.0,40.21,111606
2017-09-14,38.98,39.3,38.92,40.58,109409
2017-09-15,38.9,39.22,38.7,40.6,148300
2017-09-18,40.46,40.8,39.5,39.29,154760
2017-09-19,41.55,41.83,40.42,41.63,711197
2017-09-20,43.42,42.7,42.0,42.32,393766
2017-09-21,42.39,42.76,41.05,41.8,72653
2017-09-22,42.39,42.76,42.44,42.72,278676
2017-09-25,41.19,42.3,40.81,40.65,342497
2017-09-26,41.55,42.07,41.14,41.7,211190
2017-09-27,40.47,41.62,42.1,41.72,77280
2017-09-28,42.25,41.35,40.55,41.05,102660
2017-09-29,41.0,41.3,41.47,41.92,151969
2017-10-02,41.1,40.92,42.4,42.04,118528
2017-10-03,41.99,42.63,42.1,41.1,233153
2017-10-04,43.2,41.75,42.76,42.4,84212
2017-10-05,41.18,42.25,41.34,41.06,471207
2017-10-06,43.15,43.11,41.9,42.98,690841
2017-10-09,41.4,42.83,41.7,41.24,201072
2017-10-10,41.9,43.87,42.3,43.06,213021
2017-10-11,43.68,44.03,43.52,44.52,237406
2017-10-12,44.9,45.39,44.78,44.3,479569
2017-10-13,46.0,46.0,45.62,46.3,675440
2017-10-16,46.82,47.2,45.46,46.76,573672
2017-10-17,44.98,46.6,45.9,44.7,288479
2017-10-18,45.33,45.21,45.39,44.97,417475
2017-10-19,45.57,45.43,44.27,45.56,284565
2017-10-20,45.58,45.77,45.57,45.55,268628
2017-10-23,46.9,45.45,45.06,44.38,311932
2017-10-24,46.16,47.26,46.0,47.24,232715
2017-10-25,44.88,45.56,45.65,44.84,963702
2017-10-26,44.57,47.05,44.94,46.68,765761
2017-10-27,45.45,45.9,45.91,47.4,504655
2017-10-30,46.91,46.59,46.0,45.79,2551993
2017-10-31,44.01,44.96,44.6,45.9,399515
2017-11-01,46.06,45.47,46.07,46.38,489865
2017-11-02,46.41,45.42,45.34,45.9,425560
2017-11-03,47.52,45.83,45.97,47.45,641705
