date,open,high,low,close,volume
2017-01-03,24.9,26.14,25.06,25.74,111392
2017-01-04,25.87,26.4,26.05,26.67,87711
2017-01-05,25.71,26.38,25.86,27.2,72164
2017-01-06,26.6,26.98,25.82,26.52,49238
2017-01-09,26.54,26.52,26.74,27.2,94832
2017-01-10,27.0,27.18,26.0,26.9,80314
2017-01-11,27.09,27.28,26.3,26.86,40339
2017-01-12,27.28,27.57,27.52,26.75,57592
2017-01-13,28.24,27.85,27.49,27.17,67406
2017-01-17,27.7,28.0,27.79,27.01,113897
2017-01-18,27.11,28.18,26.45,26.55,59518
2017-01-19,26.59,26.76,26.0,26.55,121353
2017-01-20,27.27,27.54,26.54,27.7,68526
2017-01-23,27.97,28.35,27.26,28.0,106204
2017-01-24,27.84,27.8,28.1,28.41,47457
2017-01-25,27.18,28.19,28.01,27.93,73085
2017-01-26,28.49,28.82,28.34,27.3,56122
2017-01-27,28.3,28.4,27.5,27.8,50021
2017-01-30,27.26,28.26,27.68,28.68,93580
2017-01-31,28.5,28.0,27.5,28.86,435715
2017-02-01,28.74,28.9,28.6,28.76,43216
2017-02-02,27.39,28.69,27.77,28.91,155271
2017-02-03,27.7,28.36,28.56,28.11,82296
2017-02-06,27.96,27.98,27.3,28.09,55626
2017-02-07,27.44,28.14,27.74,28.0,51313
2017-02-08,27.35,27.28,27.22,27.25,45295
2017-02-09,27.8,28.42,28.39,28.05,43409
2017-02-10,28.11,27.76,27.98,27.83,137368
2017-02-13,27.99,28.18,28.09,28.9,29646
2017-02-14,28.0,29.0,28.4,28.68,108726
2017-02-15,29.1,28.29,28.99,28.68,48169
2017-02-16,29.33,29.08,28.14,29.16,58064
2017-02-17,29.1,28.74,29.11,28.69,79272
2017-02-21,29.23,29.6,28.0,28.53,35738
2017-02-22,28.62,29.47,28.62,28.6,39260
2017-02-23,28.17,29.31,27.87,29.29,28044
2017-02-24,28.67,28.62,29.2,29.2,34513
2017-02-27,29.33,29.2,28.71,29.79,25028
2017-02-28,28.4,29.5,29.04,29.68,42216
2017-03-01,28.44,28.7,28.2,29.31,44155
2017-03-02,27.9,29.1,27.7,27.78,32768
2017-03-03,29.08,28.86,27.71,28.58,21925
2017-03-06,28.18,28.18,27.56,28.6,96783
2017-03-07,28.6,28.3,28.88,28.92,49860
2017-03-08,28.4,29.28,27.9,28.21,38499
2017-03-09,27.8,28.1,28.49,28.68,24179
2017-03-10,28.39,29.12,28.37,28.3,33978
2017-03-13,28.11,28.65,28.53,29.48,40688
2017-03-14,29.26,29.55,28.76,29.34,51690
2017-03-15,29.0,29.74,27.9,29.25,37201
2017-03-16,28.35,28.99,28.02,29.04,27775
2017-03-17,28.72,30.07,28.88,29.37,29504
2017-03-20,28.85,29.98,28.87,29.93,36668
2017-03-21,29.04,29.25,29.3,28.74,56630
2017-03-22,28.4,29.5,28.87,29.46,25196
