date,open,high,low,close,volume
2017-01-03,11.51,11.64,11.65,11.82,529874
2017-01-04,11.5,11.74,11.5,12.02,934637
2017-01-05,12.36,11.91,11.81,11.52,656259
2017-01-06,12.03,11.8,11.53,11.82,1688011
2017-01-09,11.59,12.1,10.96,11.41,3334243
2017-01-10,11.7,12.2,11.4,11.47,928004
2017-01-11,11.83,11.86,11.56,11.5,973407
2017-01-12,11.77,12.23,11.4,11.75,1088790
2017-01-13,11.9,12.32,11.54,11.73,1048106
2017-01-17,11.8,12.12,11.61,11.98,851714
2017-01-18,11.71,12.1,11.94,12.11,934240
2017-01-19,12.19,12.47,11.77,12.08,515354
2017-01-20,11.94,11.92,11.23,12.02,1010647
2017-01-23,11.81,12.8,12.05,12.2,869134
2017-01-24,12.6,12.88,12.17,12.57,1684115
2017-01-25,12.83,12.39,12.39,12.38,1489552
2017-01-26,12.54,12.5,11.88,12.46,1118782
2017-01-27,12.57,12.9,12.0,12.72,723411
2017-01-30,12.74,12.9,11.6,12.3,1658572
2017-01-31,12.23,12.64,11.92,12.51,1058778
2017-02-01,12.43,12.79,12.2,12.29,1988877
2017-02-02,12.58,13.13,12.5,12.43,1673795
2017-02-03,12.62,12.9,12.28,12.77,305733
2017-02-06,0.0,0.0,0.0,12.76,0
2017-02-07,12.79,12.94,12.4,12.4,2165372
2017-02-08,12.54,12.67,12.6,12.48,869519
2017-02-09,12.5,12.68,12.46,12.5,867866
2017-02-10,12.38,13.07,12.7,12.6,2003097
2017-02-13,12.53,12.7,12.6,12.4,1106976
2017-02-14,12.29,12.87,12.41,12.1,11244145
2017-02-15,12.1,12.39,12.11,13.0,15827929
2017-02-16,12.05,12.2,12.0,12.0,1356486
2017-02-17,12.0,12.11,12.17,12.49,5744909
2017-02-21,12.04,12.33,12.17,12.0,3144560
2017-02-22,12.33,12.51,11.5,11.89,9419322
2017-02-23,11.99,11.72,11.41,11.63,3313134
2017-02-24,11.32,11.77,11.37,11.2,2571493
2017-02-27,11.46,11.5,11.24,11.48,2803539
2017-02-28,11.82,11.76,11.21,11.7,3437609
2017-03-01,11.95,11.91,11.4,11.75,1689858
2017-03-02,11.98,11.98,11.42,11.58,1645129
2017-03-03,11.55,11.55,11.62,11.58,1804426
2017-03-06,11.5,11.64,11.37,11.73,932945
2017-03-07,11.89,12.08,11.45,12.0,2558836
2017-03-08,11.72,12.0,11.35,11.59,881688
2017-03-09,11.45,11.76,11.27,11.48,1276444
2017-03-10,11.72,11.9,11.37,11.35,940905
2017-03-13,11.46,11.94,11.67,11.46,132588
2017-03-14,11.61,11.36,11.24,11.47,403680
2017-03-15,11.29,11.57,11.32,11.76,1208619
2017-03-16,11.54,11.64,11.26,11.93,1665194
2017-03-17,11.4,11.79,11.83,11.7,3113904
2017-03-20,0.0,0.0,0.0,11.5,0
2017-03-21,11.62,12.08,11.67,11.62,1021320
2017-03-22,11.8,11.8,11.63,11.54,700476
2017-03-23,11.66,12.23,11.46,11.75,5526324
2017-03-24,12.02,12.15,11.91,12.16,1210753
2017-03-27,12.03,12.4,11.49,11.92,1020258
2017-03-28,11.98,12.08,11.99,12.31,1036014
2017-03-29,11.9,12.17,12.2,12.0,4273055
2017-03-30,12.14,12.37,12.34,12.31,2966669
2017-03-31,12.25,12.78,12.28,12.27,5892544
2017-04-03,12.45,12.59,12.17,12.3,338026
2017-04-04,12.41,12.66,12.2,12.67,3433307
2017-04-05,12.54,12.47,12.0,12.27,1196713
2017-04-06,12.83,12.91,12.6,12.27,878726
2017-04-07,12.44,12.42,12.7,12.83,358917
2017-04-10,12.32,12.79,12.56,12.9,422437
2017-04-11,12.41,12.36,12.2,12.75,484930
2017-04-12,12.23,12.43,12.4,12.36,11292415
2017-04-13,0.0,0.0,0.0,12.35,0
2017-04-17,12.8,12.31,12.65,12.62,2783404
2017-04-18,12.66,12.61,12.0,12.4,828966
2017-04-19,12.51,12.79,12.45,12.53,8040339
2017-04-20,12.66,12.13,12.43,12.39,471450
2017-04-21,12.41,12.64,11.89,12.13,2563588
2017-04-24,12.2,11.99,11.9,11.91,1250391
2017-04-25,12.23,12.71,12.1,12.29,3453101
2017-04-26,11.84,12.22,12.0,11.7,2386963
2017-04-27,11.6,12.08,12.0,12.11,1728313
2017-04-28,11.87,12.36,12.1,12.1,2148480
2017-05-01,0.0,0.0,0.0,12.0,0
2017-05-02,11.87,12.45,12.08,12.07,1005119
2017-05-03,12.05,12.13,12.0,11.87,3236608
2017-05-04,11.85,12.15,11.71,11.72,1546191
2017-05-05,11.66,12.09,11.81,11.85,1118404
2017-05-08,11.69,12.27,11.6,11.77,1922247
2017-05-09,12.1,12.29,11.71,11.92,1407282
2017-05-10,12.17,12.08,12.06,12.1,842808
2017-05-11,12.16,12.29,11.82,12.0,943470
2017-05-12,12.11,11.97,11.69,12.15,625742
