date,open,high,low,close,volume
2017-01-03,2.6,2.65,2.6,2.62,1818
2017-01-04,2.64,2.66,2.56,2.62,503
2017-01-05,2.7,2.66,2.7,2.7,776
2017-01-06,2.67,2.68,2.65,2.63,1324
2017-01-09,0.0,0.0,0.0,2.64,0
2017-01-10,2.7,2.7,2.62,2.67,1530
2017-01-11,2.74,2.67,2.7,2.72,514
2017-01-12,2.68,2.68,2.71,2.76,1358
2017-01-13,2.73,2.73,2.75,2.75,12470
2017-01-17,0.0,0.0,0.0,2.72,0
2017-01-18,0.0,0.0,0.0,2.71,0
2017-01-19,0.0,0.0,0.0,2.65,1
2017-01-20,0.0,0.0,0.0,2.69,0
2017-01-23,0.0,0.0,0.0,2.67,0
2017-01-24,2.79,2.76,2.83,2.78,2984
2017-01-25,2.76,2.79,2.77,2.84,7794
2017-01-26,0.0,0.0,0.0,2.88,0
2017-01-27,2.83,2.72,2.79,2.78,1610
2017-01-30,2.7,2.8,2.8,2.8,4626
2017-01-31,2.81,2.74,2.77,2.84,1133
2017-02-01,2.76,2.77,2.78,2.87,526
2017-02-02,2.81,2.84,2.84,2.76,458
2017-02-03,0.0,0.0,0.0,2.79,8
2017-02-06,0.0,0.0,0.0,2.74,0
2017-02-07,2.81,2.8,2.82,2.83,571
2017-02-08,2.8,2.8,2.8,2.8,99607
2017-02-09,2.78,2.79,2.82,2.73,3149
2017-02-10,2.85,2.79,2.79,2.83,8328
2017-02-13,2.8,2.9,2.9,2.8,2043
2017-02-14,2.84,2.84,2.81,2.77,415
2017-02-15,0.0,0.0,0.0,2.81,0
2017-02-16,2.9,2.9,2.8,2.8,13936
2017-02-17,2.93,2.92,2.9,2.9,2549
2017-02-21,0.0,0.0,0.0,2.8,32
2017-02-22,0.0,0.0,0.0,2.8,0
2017-02-23,0.0,0.0,0.0,2.9,0
2017-02-24,0.0,0.0,0.0,2.9,0
2017-02-27,0.0,0.0,0.0,2.8,0
2017-02-28,0.0,0.0,0.0,2.8,7090
2017-03-01,0.0,0.0,0.0,2.8,4464
2017-03-02,0.0,0.0,0.0,2.9,7353
2017-03-03,2.78,2.77,2.83,2.85,4352
2017-03-06,2.76,2.84,2.84,2.75,92765
2017-03-07,2.81,2.76,2.79,2.85,719
2017-03-08,2.86,2.84,2.82,2.86,209462
2017-03-09,2.8,2.82,2.82,2.79,5132
2017-03-10,0.0,0.0,0.0,2.89,97
2017-03-13,0.0,0.0,0.0,2.87,0
2017-03-14,2.93,2.95,2.87,2.82,6024
2017-03-15,2.86,2.84,2.92,2.87,247455
2017-03-16,2.94,2.82,2.82,2.84,207
2017-03-17,2.91,2.89,2.96,2.91,2763
2017-03-20,0.0,0.0,0.0,2.92,470
2017-03-21,2.89,2.81,2.9,2.9,1787
2017-03-22,0.0,0.0,0.0,2.9,0
2017-03-23,0.0,0.0,0.0,2.9,0
2017-03-24,2.91,2.8,2.84,2.9,612
2017-03-27,2.8,2.8,2.87,2.87,1728
2017-03-28,2.8,2.8,2.8,2.9,9892
2017-03-29,0.0,0.0,0.0,2.9,0
2017-03-30,0.0,0.0,0.0,2.8,0
2017-03-31,2.9,2.8,2.8,2.9,1622
2017-04-03,2.89,2.88,2.88,2.81,5645
2017-04-04,2.96,2.86,2.83,2.89,10822
2017-04-05,2.83,2.87,2.87,2.81,12439
2017-04-06,2.78,2.82,2.82,2.9,8562
2017-04-07,0.0,0.0,0.0,2.87,0
2017-04-10,0.0,0.0,0.0,2.87,0
2017-04-11,0.0,0.0,0.0,2.82,5
2017-04-12,0.0,0.0,0.0,2.79,0
2017-04-13,0.0,0.0,0.0,2.87,0
2017-04-17,0.0,0.0,0.0,2.8,0
2017-04-18,2.72,2.75,2.74,2.79,1795
2017-04-19,0.0,0.0,0.0,2.72,0
2017-04-20,0.0,0.0,0.0,2.78,0
2017-04-21,2.72,2.8,2.78,2.69,3064
2017-04-24,2.8,2.77,2.73,2.77,3041
2017-04-25,0.0,0.0,0.0,2.75,0
2017-04-26,0.0,0.0,0.0,2.78,0
2017-04-27,2.79,2.78,2.76,2.7,58905
2017-04-28,2.68,2.71,2.75,2.82,2477
2017-05-01,2.79,2.67,2.73,2.7,1036
2017-05-02,2.67,2.78,2.7,2.76,11010
2017-05-03,0.0,0.0,0.0,2.74,0
2017-05-04,2.77,2.7,2.76,2.67,2027
2017-05-05,2.75,2.76,2.72,2.75,411
2017-05-08,0.0,0.0,0.0,2.69,0
2017-05-09,0.0,0.0,0.0,2.77,0
2017-05-10,2.73,2.63,2.7,2.67,18732
2017-05-11,2.74,2.69,2.65,2.63,282736
2017-05-12,2.73,2.68,2.72,2.65,2007
2017-05-15,2.71,2.7,2.73,2.65,3001
2017-05-16,2.73,2.67,2.77,2.69,4192
2017-05-17,0.0,0.0,0.0,2.68,285538
2017-05-18,2.76,2.79,2.8,2.79,11257
2017-05-19,2.74,2.73,2.72,2.8,280
2017-05-22,0.0,0.0,0.0,2.76,0
2017-05-23,0.0,0.0,0.0,2.73,0
2017-05-24,0.0,0.0,0.0,2.73,2765
2017-05-25,2.82,2.71,2.82,2.75,144033
2017-05-26,2.7,2.76,2.8,2.73,104784
2017-05-30,0.0,0.0,0.0,2.78,4180
2017-05-31,2.8,2.83,2.7,2.71,2525
2017-06-01,2.74,2.85,2.81,2.77,25907
2017-06-02,2.85,2.75,2.78,2.88,8725
2017-06-05,0.0,0.0,0.0,2.78,0
2017-06-06,2.79,2.84,2.79,2.73,27815
2017-06-07,0.0,0.0,0.0,2.79,0
2017-06-08,0.0,0.0,0.0,2.77,0
2017-06-09,0.0,0.0,0.0,2.84,0
2017-06-12,0.0,0.0,0.0,2.78,0
2017-06-13,2.7,2.8,2.7,2.8,2152
2017-06-14,2.78,2.75,2.86,2.73,350
2017-06-15,2.75,2.87,2.72,2.76,19888
2017-06-16,0.0,0.0,0.0,2.74,50
2017-06-19,2.85,2.85,2.85,2.86,1207
2017-06-20,2.86,2.78,2.77,2.86,6174
2017-06-21,0.0,0.0,0.0,2.82,0
2017-06-22,0.0,0.0,0.0,2.81,0
2017-06-23,2.79,2.81,2.83,2.83,7406
2017-06-26,0.0,0.0,0.0,2.75,0
2017-06-27,0.0,0.0,0.0,2.76,32150
2017-06-28,0.0,0.0,0.0,2.8,0
2017-06-29,2.82,2.9,2.83,2.89,7181
2017-06-30,0.0,0.0,0.0,2.86,63
2017-07-03,0.0,0.0,0.0,2.83,0
2017-07-05,0.0,0.0,0.0,2.88,2186
2017-07-06,2.82,2.88,2.81,2.9,3300
2017-07-07,2.81,2.87,2.9,2.8,8271
2017-07-10,0.0,0.0,0.0,2.91,0
2017-07-11,0.0,0.0,0.0,2.8,51
2017-07-12,0.0,0.0,0.0,2.88,0
2017-07-13,2.9,2.9,2.83,2.9,1567
2017-07-14,2.89,2.9,2.91,2.89,104
2017-07-17,2.92,2.88,2.9,2.95,20206
2017-07-18,0.0,0.0,0.0,2.93,0
2017-07-19,2.97,2.9,2.9,3.02,2765
2017-07-20,0.0,0.0,0.0,2.95,0
2017-07-21,2.94,3.0,2.89,2.92,624
2017-07-24,0.0,0.0,0.0,2.93,0
2017-07-25,0.0,0.0,0.0,2.95,0
2017-07-26,3.02,2.96,2.94,2.92,5132
2017-07-27,0.0,0.0,0.0,2.97,560
2017-07-28,0.0,0.0,0.0,3.05,0
2017-07-31,0.0,0.0,0.0,2.92,0
2017-08-01,3.01,2.91,2.88,2.91,228
2017-08-02,0.0,0.0,0.0,2.93,0
2017-08-03,2.9,2.8,2.8,2.9,202
2017-08-04,0.0,0.0,0.0,2.9,183360
2017-08-07,0.0,0.0,0.0,2.9,0
2017-08-08,0.0,0.0,0.0,2.9,0
2017-08-09,0.0,0.0,0.0,2.8,0
2017-08-10,2.85,2.85,2.85,2.76,3412
2017-08-11,2.79,2.81,2.88,2.81,2057
2017-08-14,0.0,0.0,0.0,2.87,0
2017-08-15,0.0,0.0,0.0,2.92,0
2017-08-16,2.79,2.86,2.76,2.84,2363
2017-08-17,2.75,2.81,2.81,2.76,311
2017-08-18,2.76,2.8,2.86,2.81,3092
2017-08-21,2.84,2.79,2.82,2.76,525
2017-08-22,0.0,0.0,0.0,2.78,0
2017-08-23,2.81,2.87,2.79,2.77,518
2017-08-24,0.0,0.0,0.0,2.83,0
2017-08-25,0.0,0.0,0.0,2.84,30
2017-08-28,0.0,0.0,0.0,2.86,782
2017-08-29,0.0,0.0,0.0,2.84,0
2017-08-30,2.86,2.82,2.73,2.75,1424
2017-08-31,0.0,0.0,0.0,2.83,0
2017-09-01,0.0,0.0,0.0,2.79,0
2017-09-05,0.0,0.0,0.0,2.82,0
2017-09-06,2.79,2.78,2.79,2.84,3745
2017-09-07,2.88,2.87,2.81,2.73,1133
2017-09-08,0.0,0.0,0.0,2.84,0
2017-09-11,0.0,0.0,0.0,2.84,0
2017-09-12,0.0,0.0,0.0,2.76,0
2017-09-13,2.78,2.81,2.85,2.78,5904
2017-09-14,0.0,0.0,0.0,2.84,0
2017-09-15,2.75,2.77,2.81,2.76,1600
2017-09-18,0.0,0.0,0.0,2.82,7044
2017-09-19,0.0,0.0,0.0,2.79,0
2017-09-20,2.84,2.78,2.79,2.76,3613
2017-09-21,0.0,0.0,0.0,2.76,1
2017-09-22,0.0,0.0,0.0,2.82,0
2017-09-25,0.0,0.0,0.0,2.87,0
2017-09-26,0.0,0.0,0.0,2.83,0
2017-09-27,0.0,0.0,0.0,2.8,0
2017-09-28,2.8,2.83,2.7,2.8,127780
2017-09-29,2.82,2.83,2.74,2.72,259
2017-10-02,0.0,0.0,0.0,2.79,0
2017-10-03,2.7,2.83,2.8,2.84,82241
2017-10-04,0.0,0.0,0.0,2.78,0
2017-10-05,2.74,2.8,2.8,2.7,3479
2017-10-06,2.82,2.77,2.77,2.72,9023
2017-10-09,0.0,0.0,0.0,2.72,0
2017-10-10,0.0,0.0,0.0,2.82,0
2017-10-11,0.0,0.0,0.0,2.79,0
2017-10-12,2.8,2.85,2.8,2.77,1013
2017-10-13,2.79,2.77,2.79,2.76,609
2017-10-16,0.0,0.0,0.0,2.74,0
2017-10-17,2.75,2.87,2.86,2.77,2382
2017-10-18,2.75,2.83,2.83,2.86,6611
2017-10-19,2.8,2.85,2.9,2.9,170
2017-10-20,0.0,0.0,0.0,2.91,0
2017-10-23,0.0,0.0,0.0,2.82,18
2017-10-24,0.0,0.0,0.0,2.79,0
2017-10-25,0.0,0.0,0.0,2.88,0
2017-10-26,0.0,0.0,0.0,2.8,0
2017-10-27,0.0,0.0,0.0,2.82,0
2017-10-30,0.0,0.0,0.0,2.79,0
2017-10-31,0.0,0.0,0.0,2.91,0
2017-11-01,2.82,2.84,2.87,2.88,2574
2017-11-02,2.81,2.85,2.82,2.76,8214
2017-11-03,0.0,0.0,0.0,2.82,0
2017-11-06,2.77,2.83,2.86,2.82,10572
2017-11-07,0.0,0.0,0.0,2.9,0
2017-11-08,0.0,0.0,0.0,2.91,0
2017-11-09,0.0,0.0,0.0,2.77,0
2017-11-10,0.0,0.0,0.0,2.87,0
2017-11-13,2.87,2.85,2.85,2.75,2362
