date,open,high,low,close,volume
2019-03-28,12.2,11.9,11.8,11.7,103
2019-03-29,11.8,11.7,11.9,11.8,209
2019-04-01,11.38,11.4,11.47,11.62,404
2019-04-02,11.08,11.07,11.51,11.45,209
2019-04-03,0.0,0.0,0.0,11.33,0
2019-04-04,11.26,11.84,11.6,11.4,1217
2019-04-05,11.6,11.6,11.49,11.7,604
2019-04-08,11.9,12.11,11.64,11.78,1329
2019-04-09,11.25,11.65,11.2,11.11,796
2019-04-10,11.2,11.71,11.33,11.95,838
2019-04-11,12.4,12.47,12.5,12.49,205
2019-04-12,0.0,0.0,0.0,11.98,1568
2019-04-15,12.27,11.9,12.13,11.9,4754
2019-04-16,11.99,12.15,12.23,11.94,4796
2019-04-17,0.0,0.0,0.0,12.39,0
2019-04-18,0.0,0.0,0.0,11.9,0
2019-04-22,0.0,0.0,0.0,12.21,0
2019-04-23,0.0,0.0,0.0,12.18,103
2019-04-24,0.0,0.0,0.0,12.03,0
2019-04-25,0.0,0.0,0.0,12.07,0
2019-04-26,0.0,0.0,0.0,12.16,0
2019-04-29,0.0,0.0,0.0,12.1,0
2019-04-30,0.0,0.0,0.0,11.93,0
2019-05-01,0.0,0.0,0.0,11.98,0
2019-05-02,0.0,0.0,0.0,12.03,0
2019-05-03,11.8,12.01,12.19,12.05,812
2019-05-06,0.0,0.0,0.0,12.43,0
2019-05-07,11.89,12.07,12.03,11.87,805
2019-05-08,12.34,12.82,12.62,12.8,1417
2019-05-09,0.0,0.0,0.0,12.88,21
2019-05-10,13.22,12.77,12.95,12.8,313
2019-05-13,0.0,0.0,0.0,12.87,0
2019-05-14,13.51,13.0,13.19,13.0,1547
2019-05-15,13.58,13.58,13.45,13.35,3419
2019-05-16,0.0,0.0,0.0,13.41,0
2019-05-17,0.0,0.0,0.0,13.22,0
2019-05-20,0.0,0.0,0.0,13.59,0
2019-05-21,0.0,0.0,0.0,13.53,0
2019-05-22,0.0,0.0,0.0,13.62,49
2019-05-23,0.0,0.0,0.0,13.6,0
2019-05-24,0.0,0.0,0.0,13.03,0
2019-05-28,0.0,0.0,0.0,13.06,0
2019-05-29,0.0,0.0,0.0,13.65,0
2019-05-30,0.0,0.0,0.0,13.61,0
2019-05-31,0.0,0.0,0.0,13.07,0
2019-06-03,13.82,13.44,13.75,13.69,142
2019-06-04,13.75,13.42,13.89,13.53,2454
2019-06-05,0.0,0.0,0.0,13.81,0
2019-06-06,0.0,0.0,0.0,13.7,0
2019-06-07,0.0,0.0,0.0,13.4,21
2019-06-10,13.44,13.49,13.69,13.6,102
2019-06-11,13.6,13.3,13.54,13.46,207
2019-06-12,0.0,0.0,0.0,13.4,0
2019-06-13,0.0,0.0,0.0,13.15,0
2019-06-14,0.0,0.0,0.0,13.28,0
2019-06-17,13.18,13.44,13.36,13.44,102
2019-06-18,0.0,0.0,0.0,13.18,65
2019-06-19,0.0,0.0,0.0,13.15,0
2019-06-20,0.0,0.0,0.0,13.25,0
2019-06-21,0.0,0.0,0.0,13.2,0
2019-06-24,0.0,0.0,0.0,13.17,0
2019-06-25,0.0,0.0,0.0,13.43,0
2019-06-26,0.0,0.0,0.0,13.56,0
2019-06-27,0.0,0.0,0.0,13.71,3
2019-06-28,0.0,0.0,0.0,13.5,0
2019-07-01,0.0,0.0,0.0,13.07,26
2019-07-02,0.0,0.0,0.0,13.64,0
2019-07-03,0.0,0.0,0.0,13.56,3
