date,open,high,low,close,volume
2017-01-03,0.03,0.03,0.03,0.03,3966
2017-01-04,0.0,0.0,0.0,0.03,0
2017-01-05,0.03,0.03,0.03,0.03,193
2017-01-06,0.03,0.03,0.03,0.03,252
2017-01-09,0.0,0.0,0.0,0.03,0
2017-01-10,0.0,0.0,0.0,0.03,0
2017-01-11,0.03,0.03,0.03,0.03,2612
2017-01-12,0.0,0.0,0.0,0.03,0
2017-01-13,0.03,0.03,0.03,0.03,251
2017-01-17,0.0,0.0,0.0,0.03,0
2017-01-18,0.0,0.0,0.0,0.03,0
2017-01-19,0.0,0.0,0.0,0.03,0
2017-01-20,0.0,0.0,0.0,0.03,0
2017-01-23,0.03,0.03,0.03,0.03,1343
2017-01-24,0.0,0.0,0.0,0.03,0
2017-01-25,0.0,0.0,0.0,0.03,50
2017-01-26,0.0,0.0,0.0,0.03,0
2017-01-27,0.0,0.0,0.0,0.03,0
2017-01-30,0.0,0.0,0.0,0.03,0
2017-01-31,0.0,0.0,0.0,0.03,38
2017-02-01,0.0,0.0,0.0,0.03,0
2017-02-02,0.0,0.0,0.0,0.03,0
2017-02-03,0.0,0.0,0.0,0.03,0
2017-02-06,0.0,0.0,0.0,0.03,0
2017-02-07,0.0,0.0,0.0,0.03,0
2017-02-08,0.0,0.0,0.0,0.03,7
2017-02-09,0.03,0.03,0.03,0.03,1372
2017-02-10,0.0,0.0,0.0,0.03,51
2017-02-13,0.0,0.0,0.0,0.03,0
2017-02-14,0.036,0.036,0.03,0.03,2024
2017-02-15,0.03,0.03,0.03,0.03,128
2017-02-16,0.0,0.0,0.0,0.03,0
2017-02-17,0.03,0.03,0.03,0.03,10212
2017-02-21,0.03,0.035,0.03,0.03,1553
2017-02-22,0.0,0.0,0.0,0.03,25
2017-02-23,0.0,0.0,0.0,0.03,0
2017-02-24,0.03,0.03,0.03,0.03,5215
2017-02-27,0.0,0.0,0.0,0.03,0
2017-02-28,0.0,0.0,0.0,0.03,0
2017-03-01,0.0,0.0,0.0,0.03,0
2017-03-02,0.03,0.03,0.02,0.02,30704
2017-03-03,0.015,0.015,0.016,0.015,1055
2017-03-06,0.0,0.0,0.0,0.015,0
2017-03-07,0.015,0.016,0.016,0.015,252
2017-03-08,0.0,0.0,0.0,0.015,0
2017-03-09,0.015,0.015,0.015,0.016,381
2017-03-10,0.016,0.016,0.016,0.015,259
2017-03-13,0.0,0.0,0.0,0.016,8
2017-03-14,0.016,0.015,0.015,0.015,2421
2017-03-15,0.0,0.0,0.0,0.015,33
2017-03-16,0.0,0.0,0.0,0.015,0
2017-03-17,0.0,0.0,0.0,0.016,0
2017-03-20,0.0,0.0,0.0,0.015,25
2017-03-21,0.0,0.0,0.0,0.016,0
2017-03-22,0.02,0.02,0.015,0.015,672
2017-03-23,0.0,0.0,0.0,0.015,25
2017-03-24,0.0,0.0,0.0,0.016,0
2017-03-27,0.0,0.0,0.0,0.015,0
2017-03-28,0.0,0.0,0.0,0.015,0
2017-03-29,0.0,0.0,0.0,0.016,0
2017-03-30,0.0,0.0,0.0,0.015,0
2017-03-31,0.0,0.0,0.0,0.015,0
2017-04-03,0.0,0.0,0.0,0.015,0
2017-04-04,0.0,0.0,0.0,0.015,0
2017-04-05,0.0,0.0,0.0,0.016,0
2017-04-06,0.0,0.0,0.0,0.015,0
2017-04-07,0.0,0.0,0.0,0.016,25
2017-04-10,0.0,0.0,0.0,0.015,0
2017-04-11,0.0,0.0,0.0,0.016,0
2017-04-12,0.0,0.0,0.0,0.016,0
2017-04-13,0.0,0.0,0.0,0.015,0
2017-04-17,0.0,0.0,0.0,0.015,0
2017-04-18,0.0,0.0,0.0,0.015,25
2017-04-19,0.0,0.0,0.0,0.016,0
2017-04-20,0.0,0.0,0.0,0.016,0
2017-04-21,0.0,0.0,0.0,0.015,0
2017-04-24,0.0,0.0,0.0,0.015,0
2017-04-25,0.0,0.0,0.0,0.015,38
2017-04-26,0.0,0.0,0.0,0.015,0
2017-04-27,0.0,0.0,0.0,0.016,0
2017-04-28,0.0,0.0,0.0,0.015,7
2017-05-01,0.015,0.016,0.015,0.016,179
2017-05-02,0.0,0.0,0.0,0.015,0
2017-05-03,0.0,0.0,0.0,0.015,0
2017-05-04,0.0,0.0,0.0,0.016,0
2017-05-05,0.0,0.0,0.0,0.015,0
2017-05-08,0.0,0.0,0.0,0.015,0
2017-05-09,0.0,0.0,0.0,0.016,9
2017-05-10,0.0,0.0,0.0,0.016,0
2017-05-11,0.0156,0.0157,0.016,0.016,263
2017-05-12,0.015,0.016,0.015,0.016,726
2017-05-15,0.0,0.0,0.0,0.015,0
2017-05-16,0.0157,0.0157,0.016,0.015,203
2017-05-17,0.017,0.0166,0.0168,0.0169,1034
2017-05-18,0.0,0.0,0.0,0.0164,0
2017-05-19,0.0,0.0,0.0,0.0167,0
2017-05-22,0.0165,0.0169,0.015,0.015,1295
2017-05-23,0.0,0.0,0.0,0.015,0
2017-05-24,0.0,0.0,0.0,0.016,0
2017-05-25,0.0,0.0,0.0,0.015,0
2017-05-26,0.0,0.0,0.0,0.016,0
2017-05-30,0.0,0.0,0.0,0.015,26
2017-05-31,0.0,0.0,0.0,0.015,0
2017-06-01,0.0,0.0,0.0,0.015,26
2017-06-02,0.0,0.0,0.0,0.016,0
2017-06-05,0.015,0.016,0.016,0.015,51494
2017-06-06,0.0,0.0,0.0,0.015,0
2017-06-07,0.0131,0.0127,0.0126,0.013,117
2017-06-08,0.0,0.0,0.0,0.0127,13
2017-06-09,0.0126,0.0129,0.0127,0.0131,4142
2017-06-12,0.0,0.0,0.0,0.0129,0
2017-06-13,0.0,0.0,0.0,0.0132,5
2017-06-14,0.0,0.0,0.0,0.0129,0
2017-06-15,0.0,0.0,0.0,0.0127,0
2017-06-16,0.0,0.0,0.0,0.013,0
2017-06-19,0.0,0.0,0.0,0.0132,0
2017-06-20,0.0,0.0,0.0,0.0128,0
2017-06-21,0.0,0.0,0.0,0.013,0
2017-06-22,0.0,0.0,0.0,0.0129,0
2017-06-23,0.0,0.0,0.0,0.0127,0
2017-06-26,0.0126,0.0132,0.013,0.0127,424
2017-06-27,0.0,0.0,0.0,0.0132,0
2017-06-28,0.0127,0.013,0.0131,0.0131,155
2017-06-29,0.0,0.0,0.0,0.0129,0
2017-06-30,0.0,0.0,0.0,0.0126,0
2017-07-03,0.0,0.0,0.0,0.013,0
2017-07-05,0.0,0.0,0.0,0.0131,0
2017-07-06,0.0,0.0,0.0,0.0127,52
2017-07-07,0.0,0.0,0.0,0.0126,0
2017-07-10,0.0,0.0,0.0,0.0125,129
2017-07-11,0.0,0.0,0.0,0.0129,0
2017-07-12,0.0,0.0,0.0,0.0129,90
2017-07-13,0.0,0.0,0.0,0.0126,0
2017-07-14,0.0,0.0,0.0,0.0126,0
2017-07-17,0.0131,0.0125,0.0125,0.0129,758
2017-07-18,0.0,0.0,0.0,0.0129,0
2017-07-19,0.0129,0.013,0.0128,0.0127,306
2017-07-20,0.0,0.0,0.0,0.0128,0
2017-07-21,0.0,0.0,0.0,0.0127,0
2017-07-24,0.0,0.0,0.0,0.0129,0
2017-07-25,0.0,0.0,0.0,0.0126,0
2017-07-26,0.013,0.0128,0.0129,0.0128,4652
2017-07-27,0.0,0.0,0.0,0.0127,0
2017-07-28,0.0,0.0,0.0,0.0125,0
2017-07-31,0.0,0.0,0.0,0.0125,0
2017-08-01,0.0,0.0,0.0,0.0127,0
2017-08-02,0.0,0.0,0.0,0.0127,0
2017-08-03,0.0,0.0,0.0,0.0126,0
2017-08-04,0.0128,0.0129,0.0129,0.0128,512
2017-08-07,0.0,0.0,0.0,0.0131,0
2017-08-08,0.0,0.0,0.0,0.0131,102
2017-08-09,0.0,0.0,0.0,0.0131,0
2017-08-10,0.0,0.0,0.0,0.013,0
2017-08-11,0.0,0.0,0.0,0.0126,0
2017-08-14,0.0,0.0,0.0,0.013,0
2017-08-15,0.0131,0.0128,0.013,0.0128,102
2017-08-16,0.0,0.0,0.0,0.013,0
2017-08-17,0.0,0.0,0.0,0.013,26
2017-08-18,0.0,0.0,0.0,0.013,0
2017-08-21,0.013,0.0125,0.0131,0.0127,158
2017-08-22,0.0128,0.0126,0.0127,0.0127,502
2017-08-23,0.0,0.0,0.0,0.0131,0
2017-08-24,0.0,0.0,0.0,0.0131,0
2017-08-25,0.0,0.0,0.0,0.0131,0
2017-08-28,0.0,0.0,0.0,0.0131,0
2017-08-29,0.0127,0.013,0.0129,0.0127,101
