date,open,high,low,close,volume
2017-01-03,21.3,22.73,21.65,22.2,275430
2017-01-04,22.28,22.8,21.93,22.7,176711
2017-01-05,23.2,23.2,22.31,21.92,140696
2017-01-06,22.34,22.59,21.32,21.97,89128
2017-01-09,22.26,22.0,21.46,21.32,101732
2017-01-10,21.6,22.5,21.4,21.94,116003
2017-01-11,21.76,22.52,22.0,22.52,102497
2017-01-12,22.0,21.58,21.3,22.1,113564
2017-01-13,22.13,21.7,20.76,21.5,68079
2017-01-17,21.7,21.08,21.7,21.11,79391
2017-01-18,21.0,21.6,21.23,21.32,67570
2017-01-19,21.16,21.07,21.19,21.1,78833
2017-01-20,20.86,21.9,20.87,21.0,93027
2017-01-23,21.1,21.94,21.21,21.47,97734
2017-01-24,21.13,21.27,20.64,21.28,94261
2017-01-25,20.7,21.78,21.0,21.22,72807
2017-01-26,21.78,21.67,20.58,21.1,67143
2017-01-27,20.7,21.86,21.17,21.4,64321
2017-01-30,21.0,21.0,21.2,21.3,87538
2017-01-31,20.8,21.78,21.46,21.38,110275
2017-02-01,21.6,21.87,18.9,20.2,464840
2017-02-02,20.05,20.07,19.4,18.7,186673
2017-02-03,19.3,19.3,19.53,19.1,187909
2017-02-06,19.3,19.66,19.35,19.0,121312
2017-02-07,19.23,19.18,18.4,18.66,184781
2017-02-08,19.07,19.2,18.4,19.1,120489
2017-02-09,18.84,19.59,18.97,19.43,134065
2017-02-10,19.9,20.0,19.61,19.81,86096
2017-02-13,19.75,19.98,20.0,19.15,122806
2017-02-14,19.8,19.7,20.0,19.49,213189
2017-02-15,19.61,19.8,19.6,19.54,56290
2017-02-16,19.93,20.06,19.17,19.2,79400
2017-02-17,19.65,20.2,19.16,19.7,178011
2017-02-21,19.73,19.67,19.3,19.0,80356
2017-02-22,19.7,19.7,18.93,19.77,54089
2017-02-23,19.2,19.69,19.36,19.48,57521
2017-02-24,19.03,19.66,18.8,18.9,105915
2017-02-27,19.8,20.08,19.4,19.05,112838
2017-02-28,20.0,19.6,18.7,18.7,229644
2017-03-01,19.02,19.0,18.66,19.86,149106
2017-03-02,19.54,19.87,17.7,18.9,131966
2017-03-03,19.0,19.74,18.73,18.38,96807
2017-03-06,19.0,20.0,18.6,18.35,126337
2017-03-07,18.96,19.0,18.5,18.0,64559
2017-03-08,18.6,18.53,18.0,18.05,86296
2017-03-09,18.1,18.03,17.9,18.0,90523
2017-03-10,18.64,18.0,17.8,17.6,60808
2017-03-13,17.5,18.3,18.27,19.0,132699
2017-03-14,18.95,18.7,18.09,18.54,75464
2017-03-15,18.0,18.31,18.05,19.0,140281
2017-03-16,19.0,19.14,18.61,18.94,112244
2017-03-17,18.43,19.0,18.6,18.8,675411
2017-03-20,18.5,19.26,18.41,18.95,123826
2017-03-21,18.9,19.51,18.25,18.5,114356
2017-03-22,18.7,19.24,18.67,18.5,115362
2017-03-23,18.7,18.79,18.0,19.02,135683
2017-03-24,18.6,19.12,18.7,18.82,132421
2017-03-27,18.3,19.47,18.09,19.53,125880
2017-03-28,19.4,19.4,18.17,19.25,103598
2017-03-29,19.1,19.87,18.9,19.7,89687
2017-03-30,19.45,19.54,18.66,19.5,107724
2017-03-31,19.3,19.88,18.8,20.0,170159
2017-04-03,20.0,20.0,18.74,19.1,193571
2017-04-04,19.5,19.9,18.8,18.8,192140
2017-04-05,19.01,18.69,18.27,18.0,158413
2017-04-06,18.0,18.8,18.3,19.1,181022
2017-04-07,18.9,18.4,18.31,19.06,111504
2017-04-10,18.4,18.73,18.83,18.6,162821
2017-04-11,18.6,19.27,18.0,19.42,78679
2017-04-12,18.6,19.61,19.04,18.77,85534
2017-04-13,19.63,20.0,18.93,19.61,63633
