date,open,high,low,close,volume
2017-07-25,3.01,2.91,2.95,2.98,1509
2017-07-26,0.0,0.0,0.0,2.99,0
2017-07-27,0.0,0.0,0.0,2.98,0
2017-07-28,0.0,0.0,0.0,3.0,0
2017-07-31,0.0,0.0,0.0,2.89,0
2017-08-01,0.0,0.0,0.0,2.98,1008
2017-08-02,0.0,0.0,0.0,3.03,0
2017-08-03,0.0,0.0,0.0,3.03,0
2017-08-04,0.0,0.0,0.0,2.92,0
2017-08-07,0.0,0.0,0.0,2.92,0
2017-08-08,0.0,0.0,0.0,2.95,0
2017-08-09,0.0,0.0,0.0,2.97,0
2017-08-10,0.0,0.0,0.0,2.93,0
2017-08-11,0.0,0.0,0.0,2.98,0
2017-08-14,0.0,0.0,0.0,2.95,0
2017-08-15,0.0,0.0,0.0,3.03,0
2017-08-16,0.0,0.0,0.0,2.97,0
2017-08-17,0.0,0.0,0.0,2.9,0
2017-08-18,0.0,0.0,0.0,2.95,0
2017-08-21,2.85,2.8,2.83,2.85,513
2017-08-22,0.0,0.0,0.0,2.87,0
2017-08-23,0.0,0.0,0.0,2.83,0
2017-08-24,0.0,0.0,0.0,2.86,0
2017-08-25,0.0,0.0,0.0,2.78,0
2017-08-28,0.0,0.0,0.0,2.81,0
2017-08-29,0.0,0.0,0.0,2.83,0
2017-08-30,0.0,0.0,0.0,2.75,0
2017-08-31,0.0,0.0,0.0,2.87,0
2017-09-01,0.0,0.0,0.0,2.79,0
2017-09-05,0.0,0.0,0.0,2.79,0
2017-09-06,0.0,0.0,0.0,2.79,0
2017-09-07,0.0,0.0,0.0,2.8,0
2017-09-08,0.0,0.0,0.0,2.83,0
2017-09-11,0.0,0.0,0.0,2.81,0
2017-09-12,0.0,0.0,0.0,2.8,0
2017-09-13,0.0,0.0,0.0,2.82,0
2017-09-14,0.0,0.0,0.0,2.79,0
2017-09-15,0.0,0.0,0.0,2.84,0
2017-09-18,0.0,0.0,0.0,2.77,0
2017-09-19,0.0,0.0,0.0,2.8,0
2017-09-20,0.0,0.0,0.0,2.8,20815
2017-09-21,0.0,0.0,0.0,2.78,0
2017-09-22,0.0,0.0,0.0,2.83,0
2017-09-25,0.0,0.0,0.0,2.86,0
2017-09-26,0.0,0.0,0.0,2.89,0
2017-09-27,0.0,0.0,0.0,2.86,0
2017-09-28,0.0,0.0,0.0,2.84,0
2017-09-29,0.0,0.0,0.0,2.88,0
2017-10-02,0.0,0.0,0.0,2.77,0
2017-10-03,0.0,0.0,0.0,2.84,0
2017-10-04,0.0,0.0,0.0,2.76,0
2017-10-05,0.0,0.0,0.0,2.88,0
2017-10-06,0.0,0.0,0.0,2.79,0
2017-10-09,0.0,0.0,0.0,2.78,0
2017-10-10,0.0,0.0,0.0,2.81,0
2017-10-11,0.0,0.0,0.0,2.88,0
2017-10-12,0.0,0.0,0.0,2.77,0
2017-10-13,0.0,0.0,0.0,2.78,0
2017-10-16,0.0,0.0,0.0,2.87,0
2017-10-17,0.0,0.0,0.0,2.84,0
2017-10-18,0.0,0.0,0.0,2.88,0
2017-10-19,0.0,0.0,0.0,2.78,0
2017-10-20,0.0,0.0,0.0,2.84,0
2017-10-23,0.0,0.0,0.0,2.83,0
2017-10-24,0.0,0.0,0.0,2.85,0
2017-10-25,0.0,0.0,0.0,2.81,0
2017-10-26,0.0,0.0,0.0,2.87,0
2017-10-27,0.0,0.0,0.0,2.85,0
2017-10-30,0.0,0.0,0.0,2.81,0
2017-10-31,0.0,0.0,0.0,2.86,0
2017-11-01,0.0,0.0,0.0,2.83,0
2017-11-02,0.0,0.0,0.0,2.78,0
2017-11-03,0.0,0.0,0.0,2.8,0
2017-12-01,4.0,4.0,4.0,4.0,3096
2017-12-04,0.0,0.0,0.0,4.1,0
2017-12-05,0.0,0.0,0.0,4.0,0
2017-12-06,4.16,4.18,4.08,4.1,1049
2017-12-07,0.0,0.0,0.0,4.12,0
2017-12-08,0.0,0.0,0.0,4.22,0
2017-12-11,0.0,0.0,0.0,4.17,0
2017-12-12,0.0,0.0,0.0,4.18,0
2017-12-13,0.0,0.0,0.0,4.23,0
2017-12-14,0.0,0.0,0.0,4.15,0
2017-12-15,0.0,0.0,0.0,4.23,0
2017-12-18,0.0,0.0,0.0,4.18,0
2017-12-19,0.0,0.0,0.0,4.13,0
2017-12-20,0.0,0.0,0.0,4.12,0
2017-12-21,0.0,0.0,0.0,4.16,0
2017-12-22,0.0,0.0,0.0,4.14,0
2017-12-26,0.0,0.0,0.0,4.13,0
2017-12-27,0.0,0.0,0.0,4.23,0
2017-12-28,0.0,0.0,0.0,4.07,0
2017-12-29,0.0,0.0,0.0,4.19,0
2018-01-02,0.0,0.0,0.0,4.12,0
2018-01-03,0.0,0.0,0.0,4.07,0
2018-01-04,0.0,0.0,0.0,4.11,0
2018-01-05,0.0,0.0,0.0,4.17,0
2018-01-08,0.0,0.0,0.0,4.12,0
2018-01-09,0.0,0.0,0.0,4.14,0
2018-01-10,0.0,0.0,0.0,4.15,0
2018-01-11,0.0,0.0,0.0,4.09,0
2018-01-12,0.0,0.0,0.0,4.15,0
2018-01-16,0.0,0.0,0.0,4.16,0
2018-01-17,0.0,0.0,0.0,4.1,0
2018-01-18,0.0,0.0,0.0,4.25,0
2018-01-19,0.0,0.0,0.0,4.09,0
2018-02-06,4.43,4.44,4.46,4.39,505
2018-02-07,0.0,0.0,0.0,4.37,0
2018-02-08,0.0,0.0,0.0,4.42,0
2018-02-09,0.0,0.0,0.0,4.56,0
2018-02-12,0.0,0.0,0.0,4.51,0
2018-02-13,0.0,0.0,0.0,4.49,0
2018-02-14,0.0,0.0,0.0,4.38,0
2018-02-15,0.0,0.0,0.0,4.37,0
2018-02-16,0.0,0.0,0.0,4.49,0
2018-02-20,0.0,0.0,0.0,4.37,0
2018-02-21,0.0,0.0,0.0,4.38,0
2018-02-22,0.0,0.0,0.0,4.39,0
2018-02-23,4.47,4.66,4.49,4.53,507
2018-02-26,0.0,0.0,0.0,4.56,0
2018-02-27,0.0,0.0,0.0,4.47,0
2018-02-28,0.0,0.0,0.0,4.64,0
2018-03-01,0.0,0.0,0.0,4.64,0
2018-03-02,0.0,0.0,0.0,4.52,0
2018-03-05,0.0,0.0,0.0,4.52,10
2018-03-06,0.0,0.0,0.0,4.52,0
2018-03-07,0.0,0.0,0.0,4.62,0
2018-03-08,0.0,0.0,0.0,4.63,0
2018-03-09,0.0,0.0,0.0,4.6,3415
2018-03-12,0.0,0.0,0.0,4.65,0
2018-03-13,0.0,0.0,0.0,4.46,0
2018-03-14,0.0,0.0,0.0,4.6,17279
2018-03-15,0.0,0.0,0.0,4.63,0
2018-03-16,0.0,0.0,0.0,4.6,0
2018-03-19,0.0,0.0,0.0,4.52,0
2018-03-20,0.0,0.0,0.0,4.61,0
2018-03-21,0.0,0.0,0.0,4.55,0
2018-03-22,0.0,0.0,0.0,4.56,0
2018-03-23,0.0,0.0,0.0,4.55,0
2018-03-26,0.0,0.0,0.0,4.67,0
2018-03-27,0.0,0.0,0.0,4.52,0
2018-03-28,0.0,0.0,0.0,4.54,0
2018-03-29,0.0,0.0,0.0,4.5,0
2018-04-02,0.0,0.0,0.0,4.53,0
2018-04-03,0.0,0.0,0.0,4.54,0
2018-04-04,0.0,0.0,0.0,4.58,0
2018-04-05,0.0,0.0,0.0,4.56,0
2018-04-06,0.0,0.0,0.0,4.62,0
2018-04-09,0.0,0.0,0.0,4.46,0
2018-04-10,0.0,0.0,0.0,4.67,0
2018-04-11,0.0,0.0,0.0,4.49,0
2018-04-12,0.0,0.0,0.0,4.45,0
2018-04-13,0.0,0.0,0.0,4.5,0
2018-04-16,0.0,0.0,0.0,4.66,0
2018-04-17,0.0,0.0,0.0,4.51,0
2018-04-18,0.0,0.0,0.0,4.64,0
2018-04-19,0.0,0.0,0.0,4.64,0
2018-04-20,0.0,0.0,0.0,4.59,0
2018-04-23,0.0,0.0,0.0,4.53,0
2018-04-24,0.0,0.0,0.0,4.62,0
2018-04-25,4.49,4.54,4.6,4.52,8280
2018-04-26,4.43,4.55,4.57,4.46,23985
