date,open,high,low,close,volume
2017-03-01,21.08,21.36,21.15,21.57,514
2017-03-02,20.62,20.32,21.09,20.46,1056
2017-03-03,20.67,20.88,21.08,20.71,103
2017-03-06,0.0,0.0,0.0,20.12,0
2017-03-07,0.0,0.0,0.0,20.16,0
2017-03-08,0.0,0.0,0.0,20.49,0
2017-03-09,0.0,0.0,0.0,20.12,0
2017-03-10,0.0,0.0,0.0,20.71,0
2017-03-13,0.0,0.0,0.0,20.15,0
2017-03-14,0.0,0.0,0.0,20.54,0
2017-03-15,0.0,0.0,0.0,20.59,51
2017-03-16,0.0,0.0,0.0,20.95,0
2017-03-17,0.0,0.0,0.0,20.42,0
2017-03-20,0.0,0.0,0.0,20.91,0
2017-03-21,0.0,0.0,0.0,20.88,0
2017-03-22,0.0,0.0,0.0,20.32,0
2017-03-23,0.0,0.0,0.0,20.35,0
2017-03-24,0.0,0.0,0.0,20.28,0
2017-03-27,0.0,0.0,0.0,21.06,0
2017-03-28,0.0,0.0,0.0,20.99,0
2017-03-29,0.0,0.0,0.0,20.69,0
2017-03-30,0.0,0.0,0.0,20.19,0
2017-03-31,0.0,0.0,0.0,20.21,0
2017-04-03,0.0,0.0,0.0,20.73,0
2017-04-04,0.0,0.0,0.0,20.7,0
2017-04-05,0.0,0.0,0.0,20.45,0
2017-04-06,0.0,0.0,0.0,20.65,0
2017-04-07,0.0,0.0,0.0,20.91,77
2017-04-10,0.0,0.0,0.0,20.72,0
2017-04-11,0.0,0.0,0.0,20.58,0
2017-04-12,0.0,0.0,0.0,20.49,0
2017-04-13,0.0,0.0,0.0,20.15,0
2017-04-17,0.0,0.0,0.0,21.04,0
2017-04-18,0.0,0.0,0.0,20.35,0
2017-04-19,0.0,0.0,0.0,20.9,0
2017-04-20,0.0,0.0,0.0,20.95,0
2017-04-21,20.76,20.55,20.89,20.79,182
2017-04-24,20.18,20.3,19.95,20.11,183
2017-04-25,0.0,0.0,0.0,20.57,0
2017-04-26,0.0,0.0,0.0,20.83,0
2017-04-27,0.0,0.0,0.0,20.29,0
2017-04-28,0.0,0.0,0.0,20.08,0
2017-05-01,0.0,0.0,0.0,20.64,0
2017-05-02,0.0,0.0,0.0,20.62,0
2017-05-03,0.0,0.0,0.0,20.42,0
2017-05-04,0.0,0.0,0.0,20.52,0
2017-05-05,0.0,0.0,0.0,20.14,0
2017-05-08,0.0,0.0,0.0,20.73,0
2017-05-09,0.0,0.0,0.0,20.57,0
2017-05-10,0.0,0.0,0.0,20.75,0
2017-05-11,0.0,0.0,0.0,20.67,0
2017-05-12,0.0,0.0,0.0,20.02,0
2017-05-15,0.0,0.0,0.0,20.39,0
2017-05-16,0.0,0.0,0.0,20.8,0
2017-05-17,0.0,0.0,0.0,20.2,0
2017-05-18,0.0,0.0,0.0,20.61,0
2017-05-19,0.0,0.0,0.0,20.58,0
2017-05-22,0.0,0.0,0.0,20.3,0
2017-05-23,0.0,0.0,0.0,20.81,82
2017-05-24,0.0,0.0,0.0,20.29,0
2017-05-25,0.0,0.0,0.0,19.92,0
2017-05-26,0.0,0.0,0.0,19.9,0
2017-05-30,0.0,0.0,0.0,20.48,0
2017-05-31,0.0,0.0,0.0,20.04,0
2017-06-01,0.0,0.0,0.0,20.37,0
2017-06-02,0.0,0.0,0.0,20.77,0
2017-06-05,0.0,0.0,0.0,20.42,0
2017-06-06,0.0,0.0,0.0,19.94,0
2017-06-07,0.0,0.0,0.0,20.08,0
2017-06-08,0.0,0.0,0.0,20.77,0
2017-06-09,0.0,0.0,0.0,19.95,0
2017-06-12,0.0,0.0,0.0,20.47,0
2017-06-13,0.0,0.0,0.0,20.45,0
2017-06-14,0.0,0.0,0.0,20.78,0
2017-06-15,0.0,0.0,0.0,20.81,0
2017-06-16,0.0,0.0,0.0,20.5,0
2017-06-19,0.0,0.0,0.0,20.73,0
2017-06-20,0.0,0.0,0.0,20.86,0
2017-06-21,0.0,0.0,0.0,20.17,0
2017-06-22,0.0,0.0,0.0,20.45,0
2017-06-23,0.0,0.0,0.0,20.28,0
2017-06-26,0.0,0.0,0.0,20.55,0
