date,open,high,low,close,volume
2017-01-03,0.5206,0.5324,0.5296,0.5372,774866
2017-01-04,0.5309,0.5526,0.5348,0.5356,631146
2017-01-05,0.522,0.536,0.5144,0.5452,586205
2017-01-06,0.0,0.0,0.0,0.5425,0
2017-01-09,0.5486,0.6264,0.5232,0.6357,16568250
2017-01-10,0.6419,0.6937,0.5906,0.6474,19228069
2017-01-11,0.6783,0.6769,0.6195,0.6559,5824891
2017-01-12,0.6334,0.6437,0.6271,0.6458,3655962
2017-01-13,0.0,0.0,0.0,0.6424,0
2017-01-17,0.7895,0.8493,0.7731,0.8084,41209012
2017-01-18,0.8516,0.8405,0.77,0.8023,23510351
2017-01-19,0.7805,0.7843,0.695,0.7081,14088107
2017-01-20,0.0,0.0,0.0,0.726,0
2017-01-23,0.7318,0.7621,0.6649,0.706,14087812
2017-01-24,0.7235,0.7146,0.7134,0.7293,4075276
2017-01-25,0.7143,0.7347,0.6708,0.6745,5986617
2017-01-26,0.6609,0.7344,0.6531,0.6753,4322545
2017-01-27,0.0,0.0,0.0,0.6937,0
2017-01-30,0.7424,0.75,0.7249,0.7608,4038179
2017-01-31,0.7329,0.7313,0.7014,0.727,2103881
2017-02-01,0.7098,0.7394,0.6875,0.6857,1717591
2017-02-02,0.7139,0.7314,0.6904,0.7152,1729855
2017-02-03,0.0,0.0,0.0,0.6996,0
2017-02-06,0.7029,0.7058,0.6859,0.7095,3005841
2017-02-07,0.6929,0.6909,0.6937,0.6934,1007435
2017-02-08,0.6955,0.7177,0.6882,0.7045,1732092
2017-02-09,0.692,0.6923,0.6656,0.6764,1475654
2017-02-10,0.0,0.0,0.0,0.6656,0
2017-02-13,0.7139,0.7562,0.681,0.6791,6697539
2017-02-14,0.6854,0.7081,0.6815,0.7154,3071312
2017-02-15,0.6908,0.7007,0.6877,0.7237,1077231
2017-02-16,0.7089,0.6991,0.6757,0.703,486249
2017-02-17,0.0,0.0,0.0,0.6847,0
2017-02-21,0.6806,0.6832,0.6424,0.6465,718268
2017-02-22,0.6505,0.6834,0.6564,0.6682,272158
2017-02-23,0.6713,0.6618,0.6577,0.6766,458007
