date,open,high,low,close,volume
2017-01-03,429.66,438.19,449.97,440.17,3
2017-01-04,436.88,447.01,429.95,443.36,5
2017-01-05,0.0,0.0,0.0,431.8,0
2017-01-06,445.9,451.1,442.7,444.9,28
2017-01-09,457.0,448.0,452.5,453.5,139
2017-01-10,0.0,0.0,0.0,442.9,0
2017-01-11,0.0,0.0,0.0,438.3,0
2017-01-12,0.0,0.0,0.0,447.0,0
2017-01-13,0.0,0.0,0.0,438.5,0
2017-01-17,436.0,426.0,426.17,440.61,283
2017-01-18,426.1,442.68,421.5,427.3,501
2017-01-19,423.0,417.0,430.57,426.0,725
2017-01-20,421.08,429.0,430.0,426.0,51
2017-01-23,429.2,435.0,425.0,414.0,61
2017-01-24,422.0,417.6,416.59,417.03,300
2017-01-25,422.8,414.0,419.5,420.0,138
2017-01-26,414.74,417.08,414.8,420.98,76
2017-01-27,425.9,418.59,420.4,417.15,61
2017-01-30,423.3,410.1,420.0,427.0,192
2017-01-31,410.64,419.9,416.13,428.3,52
2017-02-01,421.0,423.5,411.0,415.57,173
2017-02-02,414.35,409.9,409.77,418.87,101
2017-02-03,0.0,0.0,0.0,406.77,0
2017-02-06,424.8,418.8,420.0,417.0,66
2017-02-07,0.0,0.0,0.0,416.0,0
2017-02-08,440.14,429.29,415.8,417.0,228
2017-02-09,428.2,425.01,429.7,422.8,17
2017-02-10,433.1,432.4,433.7,430.3,8
2017-02-13,425.0,416.75,431.63,422.8,298
2017-02-14,423.81,433.79,431.27,428.68,25
2017-02-15,425.5,432.02,429.37,433.52,193
2017-02-16,424.38,423.83,419.28,425.04,13
2017-02-17,438.62,439.4,436.24,420.7,70
2017-02-21,429.99,445.65,448.45,436.9,4
2017-02-22,0.0,0.0,0.0,433.96,0
2017-02-23,432.74,431.8,431.2,425.38,103
2017-02-24,433.6,423.42,431.7,429.6,35
2017-02-27,422.4,432.25,440.9,420.86,13
2017-02-28,420.53,419.9,418.81,431.8,204
2017-03-01,0.0,0.0,0.0,419.5,0
2017-03-02,432.33,422.95,428.08,439.62,51
2017-03-03,428.29,424.23,420.91,432.58,9
2017-03-06,423.89,425.62,429.42,425.28,82
2017-03-07,437.1,435.44,430.62,426.0,58
2017-03-08,433.0,417.0,420.3,428.6,31
2017-03-09,415.41,425.6,419.0,423.48,127
2017-03-10,420.2,430.0,416.6,420.9,51
2017-03-13,0.0,0.0,0.0,419.3,0
2017-03-14,424.0,427.9,434.1,426.6,25
2017-03-15,432.19,433.9,419.45,431.6,16
2017-03-16,439.9,429.0,429.8,428.0,127
2017-03-17,437.5,434.73,433.4,446.23,105
2017-03-20,438.0,439.1,437.9,431.4,87
2017-03-21,441.6,445.1,429.25,442.9,149
2017-03-22,438.0,433.2,429.0,444.8,276
2017-03-23,440.9,446.1,430.87,433.75,25
2017-03-24,0.0,0.0,0.0,425.88,0
2017-03-27,443.57,430.03,442.6,445.95,247
2017-03-28,437.52,428.25,439.68,433.52,5
2017-03-29,431.46,437.38,440.02,446.17,23
2017-03-30,441.0,427.0,426.04,431.6,130
2017-03-31,440.7,431.63,447.4,430.6,12
2017-04-03,441.8,435.21,442.35,448.69,545
2017-04-04,435.0,442.7,444.0,436.8,110
2017-04-05,418.76,411.95,414.67,428.0,348
2017-04-06,416.2,419.9,420.0,427.8,55
2017-04-07,420.3,409.4,416.8,423.9,34
2017-04-10,416.2,413.76,411.7,432.13,29
2017-04-11,420.21,414.3,418.1,424.9,51
2017-04-12,427.71,428.91,410.0,420.0,191
2017-04-13,416.1,418.6,417.0,424.79,133
2017-04-17,0.0,0.0,0.0,410.5,0
2017-04-18,412.12,423.25,423.16,421.89,77
2017-04-19,410.15,405.44,416.0,414.0,23
2017-04-20,422.9,422.86,426.0,413.95,10
2017-04-21,424.7,418.0,410.0,424.0,36
2017-04-24,413.1,422.96,423.4,416.8,92
2017-04-25,419.0,422.7,424.15,410.43,51
2017-04-26,420.2,412.3,422.9,409.9,10
2017-04-27,407.42,423.04,415.71,419.3,184
2017-04-28,415.5,409.8,417.0,405.0,196
2017-05-01,0.0,0.0,0.0,418.0,0
2017-05-02,404.1,407.0,408.12,410.0,254
2017-05-03,413.0,423.8,418.0,419.0,138
2017-05-04,424.4,422.7,418.0,414.3,69
2017-05-05,416.56,428.29,431.0,420.5,142
2017-05-08,434.0,424.0,432.8,433.0,140
2017-05-09,428.8,427.2,420.1,419.2,46
2017-05-10,416.3,424.89,425.3,415.51,86
2017-05-11,424.0,414.0,434.0,429.0,25
2017-05-12,0.0,0.0,0.0,422.0,0
2017-05-15,418.2,435.4,431.8,419.4,6
2017-05-16,426.0,428.0,436.0,420.0,58
2017-05-17,0.0,0.0,0.0,438.0,0
2017-05-18,425.1,428.0,417.1,425.7,73
2017-05-19,0.0,0.0,0.0,432.1,0
2017-05-22,422.0,426.81,440.0,434.71,279
2017-05-23,0.0,0.0,0.0,428.46,0
2017-05-24,438.15,445.03,439.0,430.0,36
2017-05-25,436.1,428.7,440.97,432.28,264
2017-05-26,437.0,446.0,441.0,430.0,175
2017-05-30,429.0,427.5,433.13,435.1,30
2017-05-31,442.3,426.3,434.2,440.0,107
2017-06-01,0.0,0.0,0.0,444.0,0
2017-06-02,440.75,441.53,431.0,434.0,7
2017-06-05,0.0,0.0,0.0,432.0,0
2017-06-06,436.0,442.0,439.0,436.0,17
2017-06-07,445.0,432.2,431.9,445.3,10
2017-06-08,437.03,434.83,441.25,434.6,25
2017-06-09,431.03,438.0,439.73,425.22,24
2017-06-12,426.0,433.25,435.0,434.47,27
2017-06-13,0.0,0.0,0.0,436.59,0
2017-06-14,430.0,428.57,440.7,442.1,975
2017-06-15,430.82,431.41,435.2,439.0,40
2017-06-16,0.0,0.0,0.0,431.6,0
2017-06-19,430.87,441.0,449.99,440.0,49
2017-06-20,436.1,447.0,431.9,453.9,77
2017-06-21,0.0,0.0,0.0,451.6,0
2017-06-22,437.96,441.98,435.25,438.51,7
2017-06-23,441.7,444.8,431.16,450.74,77
2017-06-26,0.0,0.0,0.0,439.19,0
2017-06-27,0.0,0.0,0.0,438.39,0
2017-06-28,0.0,0.0,0.0,439.38,0
2017-06-29,0.0,0.0,0.0,440.67,0
2017-06-30,423.6,431.2,429.6,434.8,21
2017-07-03,443.98,430.0,437.75,446.87,10
2017-07-05,429.1,442.5,443.0,438.0,14
2017-07-06,426.39,435.14,441.44,445.0,0
2017-07-07,427.29,433.32,427.67,424.66,10
2017-07-10,435.5,437.42,442.5,439.5,99
2017-07-11,429.2,424.7,420.5,420.5,0
2017-07-12,0.0,0.0,0.0,426.8,0
2017-07-13,0.0,0.0,0.0,419.8,0
2017-07-14,431.2,426.9,429.0,443.3,0
2017-07-17,429.0,432.0,443.0,430.0,0
2017-07-18,432.3,441.9,441.5,445.0,0
2017-07-19,434.61,439.62,445.85,438.06,0
2017-07-20,442.0,442.0,433.2,433.5,47
2017-07-21,430.0,431.0,425.16,445.36,20
2017-07-24,436.85,432.1,425.91,440.5,20
2017-07-25,425.7,424.5,423.5,423.86,5
2017-07-26,424.0,430.09,437.0,427.33,25
2017-07-27,434.0,426.5,429.2,440.04,24
2017-07-28,419.9,433.2,422.5,417.7,3
2017-07-31,418.3,433.4,424.0,420.2,4
2017-08-01,0.0,0.0,0.0,420.9,0
2017-08-02,419.3,427.3,421.4,420.3,0
2017-08-03,429.1,422.74,418.9,435.9,11
2017-08-04,416.73,423.54,436.52,421.52,2
2017-08-07,421.2,431.6,437.0,441.6,0
2017-08-08,422.95,427.77,442.4,427.31,0
2017-08-09,434.59,442.08,442.01,428.63,0
2017-08-10,433.0,430.0,434.3,441.4,15
2017-08-11,438.0,423.0,428.7,430.3,104
2017-08-14,429.2,425.08,432.3,440.08,5
2017-08-15,441.1,431.96,434.9,439.56,20
2017-08-16,423.0,420.93,440.0,434.41,15
2017-08-17,441.7,439.6,423.5,429.3,0
2017-08-18,424.23,425.17,424.25,439.0,0
2017-08-21,431.52,440.73,443.11,430.48,0
2017-08-22,441.6,439.4,426.2,430.8,0
2017-08-23,439.26,434.4,439.16,440.0,8
2017-08-24,432.3,445.9,431.8,426.3,15
2017-08-25,422.4,441.8,435.14,435.86,12
2017-08-28,434.36,425.12,431.54,429.31,385
2017-08-29,421.66,432.31,419.38,426.63,0
2017-08-30,432.7,441.19,419.1,432.47,50
2017-08-31,435.99,424.08,438.94,442.11,0
2017-09-01,427.07,429.68,441.36,434.74,0
2017-09-05,437.69,435.55,426.34,436.71,0
2017-09-06,425.0,436.0,421.0,422.0,0
2017-09-07,427.0,424.0,433.0,421.0,0
2017-09-08,425.1,433.0,433.7,427.0,20
2017-09-11,426.0,431.3,438.0,442.8,15
2017-09-12,437.3,430.4,438.4,432.7,0
2017-09-13,430.0,431.3,431.4,421.9,0
2017-09-14,440.1,425.9,438.8,432.1,0
2017-09-15,437.0,441.0,429.76,439.0,19
2017-09-18,434.4,441.47,423.08,421.71,0
2017-09-19,431.11,444.77,442.73,431.29,0
2017-09-20,431.0,442.6,438.0,434.32,15
2017-09-21,429.6,427.46,431.2,436.43,78
2017-09-22,437.55,440.23,434.98,441.29,0
2017-09-25,0.0,0.0,0.0,427.14,0
2017-09-26,0.0,0.0,0.0,425.5,0
2017-09-27,451.4,436.0,440.71,439.38,5
2017-09-28,442.3,434.8,433.2,442.3,0
2017-09-29,445.6,450.72,448.0,442.24,0
2017-10-02,446.9,447.96,454.2,440.3,16
2017-10-03,0.0,0.0,0.0,441.5,0
2017-10-04,441.0,436.3,437.1,435.7,0
2017-10-05,441.0,451.0,437.0,444.0,0
2017-10-06,444.67,447.52,432.23,434.93,26
2017-10-09,447.9,437.98,434.1,437.2,116
2017-10-10,449.5,451.1,445.02,454.0,25
2017-10-11,439.76,453.79,455.42,444.06,4
2017-10-12,435.0,437.0,437.0,436.0,0
2017-10-13,455.61,452.48,451.2,449.1,2
2017-10-16,449.0,451.0,452.95,439.37,6
2017-10-17,437.3,446.7,448.0,433.5,0
2017-10-18,445.0,436.5,442.2,432.1,16
2017-10-19,433.1,447.8,444.16,448.01,4
2017-10-20,445.97,451.1,435.3,437.4,22
2017-10-23,435.8,450.8,436.0,444.2,119
2017-10-24,443.8,446.7,444.8,433.5,2
2017-10-25,433.07,442.01,440.25,439.65,26
2017-10-26,0.0,0.0,0.0,434.13,0
2017-10-27,0.0,0.0,0.0,434.25,0
2017-10-30,0.0,0.0,0.0,424.68,0
2017-10-31,0.0,0.0,0.0,438.03,0
2017-11-01,0.0,0.0,0.0,427.56,0
2017-11-02,451.4,440.0,443.42,433.12,12
2017-11-03,438.2,433.0,446.4,436.1,14
2017-11-06,0.0,0.0,0.0,437.7,0
2017-11-07,441.49,444.0,448.0,447.5,360
2017-11-08,458.94,452.71,449.82,440.63,0
2017-11-09,445.9,445.0,437.6,443.9,0
2017-11-10,445.0,443.4,449.2,436.7,0
2017-11-13,434.1,449.7,444.63,445.3,5
2017-11-14,435.1,444.6,453.6,448.4,0
2017-11-15,454.14,451.75,446.77,438.5,25
2017-11-16,454.1,452.05,451.31,454.47,0
2017-11-17,453.1,440.75,434.82,433.89,110
2017-11-20,454.67,436.42,445.07,450.32,35
2017-11-21,445.0,443.8,443.3,446.8,0
2017-11-22,458.7,459.0,440.7,442.4,0
2017-11-24,449.9,445.0,439.07,445.93,22
2017-11-27,437.85,438.54,447.82,458.6,10
2017-11-28,449.2,454.3,448.4,450.5,0
2017-11-29,443.9,451.6,463.6,455.7,0
2017-11-30,452.2,444.23,448.9,457.33,8
2017-12-01,0.0,0.0,0.0,453.79,0
2017-12-04,466.13,459.75,449.5,462.95,18
2017-12-05,460.79,465.48,467.14,456.74,0
2017-12-06,455.27,464.86,453.52,465.64,0
2017-12-07,463.9,452.2,457.99,468.5,3
2017-12-08,449.01,453.23,457.1,467.75,0
2017-12-11,460.1,454.8,461.0,460.76,183
2017-12-12,447.0,462.01,450.0,467.12,40
2017-12-13,466.63,451.44,466.08,464.91,13
2017-12-14,467.4,460.94,461.03,455.56,0
2017-12-15,457.2,456.4,455.2,458.6,23
2017-12-18,457.7,459.0,466.1,470.0,104
2017-12-19,466.0,451.7,464.3,467.5,60
2017-12-20,455.0,453.0,454.0,462.0,5
2017-12-21,0.0,0.0,0.0,458.0,0
2017-12-22,451.1,450.0,451.04,450.0,326
2017-12-26,0.0,0.0,0.0,469.0,0
2017-12-27,454.46,461.37,453.1,462.23,51
2017-12-28,458.0,466.65,459.0,458.0,257
2017-12-29,450.1,448.8,445.8,448.0,0
2018-01-02,468.0,477.0,451.0,477.0,97
2018-01-03,462.4,463.7,457.1,446.6,3
2018-01-04,0.0,0.0,0.0,451.4,0
2018-01-05,452.3,468.0,451.9,456.0,36
2018-01-08,465.7,461.0,468.6,455.2,9
2018-01-09,0.0,0.0,0.0,462.0,0
2018-01-10,467.9,470.0,465.9,450.9,14
2018-01-11,0.0,0.0,0.0,453.4,0
2018-01-12,442.0,443.0,460.0,459.0,100
2018-01-16,0.0,0.0,0.0,471.9,0
2018-01-17,447.9,450.5,443.6,452.9,15
2018-01-18,463.0,458.7,444.4,448.5,8
2018-01-19,457.4,448.1,443.7,463.1,21
2018-01-22,445.0,448.2,458.2,451.1,10
2018-01-23,445.0,460.0,445.6,464.5,81
2018-01-24,460.9,454.2,461.0,457.0,15
2018-01-25,458.1,455.3,456.0,466.0,4
2018-01-26,450.0,456.0,455.0,444.0,0
2018-01-29,465.0,448.0,445.0,456.0,24
2018-01-30,447.4,445.2,449.9,456.9,4
2018-01-31,454.8,448.4,458.0,443.0,113
2018-02-01,450.4,446.4,458.9,449.3,56
2018-02-02,0.0,0.0,0.0,454.9,0
2018-02-05,445.2,444.0,442.0,435.1,30
2018-02-06,440.3,439.0,437.2,440.0,107
2018-02-07,435.0,448.0,450.0,450.0,81
2018-02-08,449.0,455.9,436.7,437.7,71
2018-02-09,0.0,0.0,0.0,439.1,0
2018-02-12,0.0,0.0,0.0,434.7,0
2018-02-13,435.0,435.4,441.2,444.5,602
2018-02-14,446.5,459.1,449.0,459.0,30
2018-02-15,452.0,447.0,451.0,449.0,0
2018-02-16,447.7,456.0,446.8,473.0,365
2018-02-20,0.0,0.0,0.0,471.0,0
2018-02-21,0.0,0.0,0.0,475.0,0
2018-02-22,455.0,457.0,453.0,444.5,53
2018-02-23,457.4,452.5,462.5,461.5,0
2018-02-26,464.3,447.8,453.8,459.9,22
2018-02-27,449.5,460.8,462.1,454.5,4
2018-02-28,457.4,458.4,439.9,440.8,0
2018-03-01,449.3,444.4,460.3,463.9,0
2018-03-02,441.6,455.7,455.9,460.7,25
2018-03-05,458.0,440.0,450.0,461.0,0
2018-03-06,449.2,447.9,447.4,454.2,10
2018-03-07,454.2,444.3,448.5,447.0,12
2018-03-08,454.0,459.1,438.2,460.3,8
2018-03-09,454.3,452.4,455.3,435.4,30
2018-03-12,0.0,0.0,0.0,443.0,0
2018-03-13,451.9,445.4,448.3,446.4,2
2018-03-14,444.9,444.7,437.3,453.5,5
2018-03-15,0.0,0.0,0.0,441.0,0
2018-03-16,439.0,449.0,451.0,454.0,21
2018-03-19,430.9,438.1,444.0,435.4,1
2018-03-20,427.8,434.7,431.8,417.3,11
2018-03-21,409.0,421.9,406.4,413.4,159
2018-03-22,412.1,404.8,401.0,408.0,3
2018-03-23,404.6,410.0,402.3,412.0,66
2018-03-26,419.0,422.0,401.0,421.0,103
2018-03-27,410.0,407.0,406.3,414.7,14
2018-03-28,412.9,418.7,416.5,404.4,0
2018-03-29,412.0,408.1,407.9,402.1,0
2018-04-02,0.0,0.0,0.0,405.3,0
2018-04-03,404.8,408.1,407.4,404.7,39
2018-04-04,408.3,403.0,395.3,398.0,25
2018-04-05,399.0,401.0,413.0,410.0,0
2018-04-06,0.0,0.0,0.0,396.73,0
2018-04-09,401.1,398.0,388.0,388.7,141
2018-04-10,394.1,401.9,390.6,399.3,124
2018-04-11,396.3,402.1,384.0,394.3,99
2018-04-12,381.1,395.4,393.7,397.4,27
2018-04-13,396.0,389.0,398.4,393.6,53
2018-04-16,395.6,386.9,383.6,382.7,82
2018-04-17,394.1,396.3,392.4,385.0,182
2018-04-18,395.1,382.7,390.9,394.9,5
2018-04-19,0.0,0.0,0.0,388.6,0
2018-04-20,392.1,403.0,391.2,399.0,164
2018-04-23,387.6,389.5,391.7,386.8,4
2018-04-24,406.1,413.0,392.6,417.0,2
2018-04-25,396.3,395.5,402.0,397.0,40
2018-04-26,403.0,409.0,398.0,406.0,0
2018-04-27,0.0,0.0,0.0,404.0,0
2018-04-30,417.5,423.0,398.6,415.9,3
2018-05-01,0.0,0.0,0.0,422.3,0
2018-05-02,410.0,409.0,385.7,392.7,423
2018-05-03,385.5,399.0,399.6,406.0,89
2018-05-04,393.0,391.0,393.4,399.0,155
2018-05-07,390.8,387.5,387.8,386.8,81
2018-05-08,396.0,406.7,387.0,390.0,356
2018-05-09,390.1,400.0,396.2,398.7,19
2018-05-10,0.0,0.0,0.0,392.5,0
2018-05-11,397.2,402.6,402.3,395.3,30
2018-05-14,396.7,403.2,402.6,389.7,39
2018-05-15,0.0,0.0,0.0,395.1,0
2018-05-16,0.0,0.0,0.0,392.1,0
2018-05-17,397.8,395.0,396.9,385.1,53
2018-05-18,394.5,398.4,394.9,396.4,31
2018-05-21,0.0,0.0,0.0,385.5,0
2018-05-22,399.0,390.3,385.5,402.2,10
2018-05-23,0.0,0.0,0.0,395.3,0
2018-05-24,0.0,0.0,0.0,388.2,0
2018-05-25,0.0,0.0,0.0,403.0,0
2018-05-29,399.8,406.3,406.4,395.0,10
2018-05-30,404.4,387.3,390.7,403.3,10
2018-05-31,386.9,398.6,401.4,403.3,4
2018-06-01,386.8,403.0,402.3,409.0,31
2018-06-04,387.6,409.8,390.0,400.0,262
2018-06-05,404.3,397.0,390.5,392.0,507
2018-06-06,386.4,392.1,397.7,384.7,24
2018-06-07,0.0,0.0,0.0,385.3,0
2018-06-08,392.1,382.7,395.0,392.3,30
2018-06-11,0.0,0.0,0.0,386.3,0
2018-06-12,389.4,411.0,404.3,395.0,27
2018-06-13,386.4,406.0,400.0,397.0,26
2018-06-14,398.0,396.6,389.6,391.1,16
2018-06-15,0.0,0.0,0.0,398.3,0
2018-06-18,388.9,397.5,400.5,389.0,127
2018-06-19,396.4,387.2,380.4,385.6,4
