date,open,high,low,close,volume
2017-01-03,44.64,44.4,43.41,45.03,1097189
2017-01-04,43.54,43.87,44.58,45.17,1867592
2017-01-05,44.3,45.9,44.93,46.4,2409948
2017-01-06,45.82,46.0,45.42,44.23,1771721
2017-01-09,45.48,46.19,44.88,45.03,813889
2017-01-10,44.6,45.82,43.84,45.45,641909
2017-01-11,44.4,45.55,44.51,45.78,970137
2017-01-12,45.0,46.4,44.7,45.61,790387
2017-01-13,45.23,45.01,45.21,45.87,844308
2017-01-17,45.61,44.6,44.83,43.9,925412
2017-01-18,44.74,44.1,43.42,44.09,1335487
2017-01-19,45.31,45.56,44.7,44.11,937195
2017-01-20,44.41,44.4,43.7,45.54,1119639
2017-01-23,44.42,45.34,43.84,44.78,523694
2017-01-24,44.24,45.05,44.72,46.1,890659
2017-01-25,44.7,44.62,44.6,45.06,891229
2017-01-26,45.8,44.93,44.03,44.76,851841
2017-01-27,44.25,45.6,44.97,44.23,1547392
2017-01-30,44.89,45.16,45.19,44.65,1093117
2017-01-31,45.38,44.96,45.12,44.34,1124679
2017-02-01,45.43,44.81,43.39,44.64,724711
2017-02-02,44.5,44.51,44.74,44.74,689628
2017-02-03,43.83,44.86,45.05,44.09,895093
2017-02-06,43.74,44.73,45.25,45.82,712969
2017-02-07,45.6,45.83,44.38,45.36,1638122
2017-02-08,44.0,45.73,44.8,46.22,1132526
2017-02-09,43.67,45.21,43.69,43.17,1605744
2017-02-10,43.75,45.17,42.98,44.46,1212397
2017-02-13,43.39,45.0,44.54,44.95,854394
2017-02-14,43.0,44.37,44.47,43.99,728444
2017-02-15,43.42,43.66,42.9,44.35,1873448
2017-02-16,44.47,43.94,44.56,45.12,2393151
2017-02-17,44.21,44.17,44.29,44.66,1316634
2017-02-21,45.5,45.0,44.8,44.67,1245029
2017-02-22,44.17,45.91,44.49,44.9,1355440
2017-02-23,44.67,45.1,45.0,45.47,849080
2017-02-24,44.1,44.59,45.2,45.29,894310
2017-02-27,44.07,43.95,43.3,44.33,2286959
2017-02-28,43.75,45.51,44.16,44.42,1145911
2017-03-01,45.22,43.82,44.34,45.11,1172598
2017-03-02,44.83,44.9,44.92,44.11,1041421
2017-03-03,44.42,44.82,43.83,44.66,1494127
2017-03-06,44.0,44.66,43.54,44.94,751106
2017-03-07,44.52,45.06,43.83,44.16,1458966
2017-03-08,43.57,43.8,43.41,42.8,1032770
2017-03-09,43.21,42.93,42.57,43.68,999869
2017-03-10,43.86,43.51,44.41,43.44,853087
2017-03-13,43.72,43.25,43.67,42.88,789359
2017-03-14,44.02,44.1,43.15,43.5,939310
2017-03-15,43.16,43.51,42.82,43.6,666890
2017-03-16,43.8,44.01,44.38,43.18,615096
2017-03-17,43.05,43.0,43.28,43.89,5515527
2017-03-20,44.6,43.64,42.9,43.75,1497086
2017-03-21,43.2,44.95,44.24,43.0,1050153
2017-03-22,43.28,43.37,43.35,43.87,785521
2017-03-23,44.29,44.74,44.19,43.0,592390
2017-03-24,44.07,43.95,44.95,44.0,593222
2017-03-27,44.42,44.8,43.12,45.12,814401
2017-03-28,44.86,43.59,42.99,43.91,946781
2017-03-29,44.3,44.62,43.57,44.87,595809
2017-03-30,43.4,43.62,43.12,44.62,478169
2017-03-31,43.65,43.84,44.95,44.35,621829
2017-04-03,43.62,44.48,44.94,44.6,1062053
2017-04-04,44.3,44.79,43.24,45.1,796347
2017-04-05,44.24,46.34,45.01,46.43,1274375
2017-04-06,45.71,45.09,45.38,44.5,669830
2017-04-07,45.99,44.81,46.06,45.15,611165
2017-04-10,45.63,45.29,45.95,45.3,1039162
2017-04-11,44.66,45.63,45.56,44.95,653044
2017-04-12,44.9,45.09,45.26,46.11,631543
2017-04-13,45.54,45.2,46.33,44.99,623825
2017-04-17,45.6,46.91,45.3,46.33,712787
2017-04-18,46.69,45.46,45.91,44.68,726837
2017-04-19,45.7,45.49,45.68,44.33,1937949
2017-04-20,46.16,45.96,45.08,45.9,1522265
2017-04-21,45.3,44.99,45.96,45.55,716200
2017-04-24,45.88,46.27,44.52,45.65,845934
2017-04-25,44.85,46.61,45.66,45.1,738784
2017-04-26,45.6,47.5,45.01,47.6,858537
2017-04-27,45.89,46.53,46.2,46.58,1112166
2017-04-28,45.31,46.25,45.69,47.55,750509
2017-05-01,47.38,47.56,46.0,45.26,713609
2017-05-02,45.36,47.55,46.4,46.92,1037445
2017-05-03,45.61,46.77,45.17,45.22,1008962
2017-05-04,47.05,47.36,44.74,45.86,1015320
2017-05-05,45.25,46.17,45.86,47.29,872721
2017-05-08,46.87,45.93,46.05,46.06,784439
2017-05-09,46.8,46.83,46.26,46.48,836326
2017-05-10,46.5,46.0,45.89,46.99,1438042
2017-05-11,46.99,47.53,46.3,48.0,1564904
2017-05-12,47.97,47.85,45.76,47.0,1124226
2017-05-15,48.28,46.82,47.81,47.0,980239
2017-05-16,47.9,48.38,46.75,47.24,716365
2017-05-17,47.83,46.1,46.0,47.14,872505
2017-05-18,46.67,45.51,46.29,45.5,961707
2017-05-19,47.66,46.35,46.9,47.27,708737
2017-05-22,0.0,0.0,0.0,47.27,0
2017-05-23,46.14,47.84,46.85,47.0,830915
2017-05-24,47.94,46.5,47.52,47.02,779567
2017-05-25,46.04,48.08,45.94,47.64,1479795
2017-05-26,47.92,48.0,46.48,46.13,546136
2017-05-30,46.69,48.0,45.88,46.02,970190
2017-05-31,47.84,47.97,46.2,47.25,1675181
2017-06-01,46.53,47.7,46.72,47.2,1003117
2017-06-02,46.84,46.0,46.11,46.92,740793
2017-06-05,47.46,47.94,45.99,46.6,1286886
2017-06-06,47.89,48.0,46.86,46.15,1316736
2017-06-07,45.3,45.74,45.18,45.92,1242270
2017-06-08,45.4,46.77,45.71,46.87,764718
2017-06-09,45.68,45.73,45.25,45.12,972101
2017-06-12,46.06,45.31,44.88,46.77,1163411
2017-06-13,45.73,46.44,44.75,45.38,1578212
2017-06-14,46.61,45.26,46.63,45.35,1415538
2017-06-15,45.43,46.2,44.1,46.27,1771968
2017-06-16,46.4,45.96,46.55,46.52,4398326
2017-06-19,46.25,47.07,46.6,46.92,1338965
2017-06-20,47.45,45.99,47.03,45.77,3559492
2017-06-21,46.0,46.87,46.02,45.32,924245
2017-06-22,45.1,46.73,44.7,45.81,1510855
2017-06-23,46.89,47.07,46.58,46.8,637813
2017-06-26,45.93,45.6,45.36,47.0,499015
2017-06-27,45.57,47.58,46.34,46.01,1161799
