date,open,high,low,close,volume
2017-01-03,910.8,922.8,906.1,907.5,6039
2017-01-04,0.0,0.0,0.0,934.4,1
2017-01-05,922.0,915.0,950.0,952.0,114
2017-01-06,926.5,926.0,893.37,892.66,342
2017-01-09,899.51,922.87,880.0,900.0,890
2017-01-10,896.0,892.74,899.0,906.46,5083
2017-01-11,891.2,897.92,912.11,893.51,567
2017-01-12,928.2,927.47,905.0,892.0,217
2017-01-13,922.0,914.0,891.0,910.0,5387
2017-01-17,900.0,909.0,907.07,912.0,24339
2017-01-18,899.0,918.0,895.0,907.0,3958
2017-01-19,0.0,0.0,0.0,939.0,0
2017-01-20,0.0,0.0,0.0,927.0,0
2017-01-23,911.55,928.5,922.2,905.3,2528
2017-01-24,926.0,904.0,903.9,913.6,4704
2017-01-25,915.0,935.0,913.0,923.0,4391
2017-01-26,897.5,888.2,899.54,908.7,1244
2017-01-27,888.0,912.7,877.8,892.92,29899
2017-01-30,868.11,879.34,874.6,869.94,1643
2017-01-31,903.58,915.0,906.06,880.31,348
2017-02-01,916.0,887.0,898.0,871.0,67
2017-02-02,848.0,865.0,859.0,859.0,69
2017-02-03,883.0,861.0,847.0,859.0,893
2017-02-06,0.0,0.0,0.0,849.0,0
2017-02-07,885.6,849.7,875.8,887.9,1490
2017-02-08,867.43,864.24,851.94,874.23,419
2017-02-09,865.3,860.2,847.9,847.1,36
2017-02-10,0.0,0.0,0.0,874.4,0
2017-02-13,0.0,0.0,0.0,871.2,0
2017-02-14,837.0,832.0,846.0,845.0,10924
2017-02-15,827.0,858.36,839.0,854.6,418
2017-02-16,856.9,840.06,844.5,854.28,263
2017-02-17,855.0,858.9,838.0,853.78,118
2017-02-21,872.03,852.58,856.32,836.0,353
2017-02-22,865.0,832.0,856.0,844.0,125
2017-02-23,865.43,863.0,855.3,859.41,2244
2017-02-24,0.0,0.0,0.0,850.41,0
2017-02-27,0.0,0.0,0.0,850.24,0
2017-02-28,0.0,0.0,0.0,862.99,0
2017-03-01,876.24,840.33,870.58,843.69,2544
2017-03-02,0.0,0.0,0.0,871.33,0
2017-03-03,0.0,0.0,0.0,848.05,0
2017-03-06,0.0,0.0,0.0,871.19,0
