date,open,high,low,close,volume
2017-11-06,25.77,26.49,26.13,25.85,1991379
2017-11-07,25.79,25.93,25.77,25.48,2353789
2017-11-08,25.99,26.4,25.5,25.8,1382783
2017-11-09,25.6,26.4,25.54,25.67,1682378
2017-11-10,26.4,25.39,26.46,26.31,1137343
2017-11-13,26.51,26.57,25.87,26.0,656480
2017-11-14,25.64,25.87,25.97,26.3,999297
2017-11-15,26.5,25.89,26.01,25.66,648116
2017-11-16,25.43,26.7,26.07,26.1,492039
2017-11-17,25.93,26.07,26.62,25.67,652570
2017-11-20,25.64,26.66,26.5,26.25,647411
2017-11-21,26.68,26.8,25.68,26.67,678727
2017-11-22,25.81,26.29,26.3,26.86,465232
2017-11-24,26.39,26.59,26.79,25.85,187843
2017-11-27,26.65,26.5,26.8,26.6,1001654
2017-11-28,26.12,26.57,26.16,25.94,841183
2017-11-29,26.02,26.13,25.98,26.83,1091142
2017-11-30,26.2,27.5,26.09,27.1,1695144
2017-12-01,26.29,26.85,26.1,27.11,446920
2017-12-04,26.9,27.0,26.22,26.39,416751
2017-12-05,26.42,26.41,26.32,26.07,417810
2017-12-06,26.0,27.13,26.13,27.03,360938
2017-12-07,26.25,26.17,27.0,26.12,530423
2017-12-08,26.62,27.4,27.0,27.3,421227
2017-12-11,27.12,27.18,27.31,26.4,525418
2017-12-12,26.54,26.62,27.21,27.34,301441
2017-12-13,27.34,26.9,26.23,27.11,631084
2017-12-14,27.2,27.5,27.2,26.56,536794
2017-12-15,26.3,26.8,27.3,27.5,164915
2017-12-18,27.38,27.8,27.09,26.9,315193
2017-12-19,27.57,27.05,27.21,26.8,410665
2017-12-20,26.6,27.14,27.15,27.43,560748
2017-12-21,26.49,26.57,27.33,27.56,143508
2017-12-22,27.09,27.07,26.64,27.14,122719
2017-12-26,27.3,27.37,27.54,26.61,111098
2017-12-27,27.64,26.61,26.65,27.31,149964
2017-12-28,26.72,27.67,26.4,26.55,102414
2017-12-29,26.4,27.39,26.39,27.35,293210
2018-01-02,26.87,27.2,26.7,26.73,231569
2018-01-03,27.21,26.12,25.91,26.44,196533
2018-01-04,27.08,26.55,26.58,27.45,104254
2018-01-05,26.9,26.62,26.72,26.27,152271
2018-01-08,26.58,27.37,27.15,27.13,233883
2018-01-09,26.69,26.94,26.92,27.02,294419
2018-01-10,26.04,27.1,26.41,26.7,1015163
2018-01-11,27.0,27.0,26.11,26.62,159966
2018-01-12,26.57,26.25,26.32,26.18,220337
2018-01-16,26.1,26.85,25.4,25.42,442374
2018-01-17,25.7,26.6,26.49,25.95,406845
2018-01-18,26.14,25.59,25.35,25.37,461199
2018-01-19,25.78,25.95,25.69,25.97,270571
2018-01-22,25.5,26.13,25.18,25.72,267330
2018-01-23,26.22,25.92,25.2,25.79,300008
2018-01-24,26.04,26.49,25.5,25.5,236633
2018-01-25,25.49,25.4,25.5,25.2,205531
2018-01-26,25.74,25.56,25.8,25.7,275114
2018-01-29,25.63,26.17,25.52,25.0,554185
2018-01-30,25.04,25.59,25.91,25.37,406749
2018-01-31,25.0,26.31,25.47,25.1,385910
2018-02-01,25.85,25.74,24.93,26.01,320850
2018-02-02,25.21,25.98,25.07,25.52,441094
2018-02-05,25.7,25.71,25.4,25.74,279076
2018-02-06,25.2,25.59,24.74,25.07,298472
2018-02-07,25.85,25.8,25.77,24.99,328204
2018-02-08,25.65,26.0,25.66,25.9,395567
2018-02-09,25.87,25.66,24.84,26.03,345280
2018-02-12,25.0,25.49,25.75,26.0,228787
2018-02-13,25.88,25.78,25.85,25.56,305872
2018-02-14,26.2,25.87,25.62,25.7,210297
2018-02-15,25.4,25.82,25.51,26.06,169813
2018-02-16,25.49,25.78,25.41,26.1,190759
