date,open,high,low,close,volume
2017-01-03,8.34,8.34,8.12,8.49,154976
2017-01-04,8.4,8.46,8.36,8.35,234662
2017-01-05,8.51,8.45,8.36,8.59,63956
2017-01-06,8.55,8.51,8.62,8.5,51337
2017-01-09,8.6,8.32,8.42,8.42,119405
2017-01-10,8.31,8.29,8.33,8.35,106559
2017-01-11,8.25,8.35,8.0,8.19,97532
2017-01-12,8.14,8.33,8.2,8.0,171750
2017-01-13,8.0,8.12,7.9,8.28,124448
2017-01-17,8.08,8.1,8.27,8.2,169381
2017-01-18,8.08,8.27,8.17,8.36,177144
2017-01-19,8.32,8.28,8.37,8.35,109166
2017-01-20,8.42,8.18,8.1,8.3,83393
2017-01-23,7.91,8.15,8.2,8.1,120160
2017-01-24,8.22,8.55,8.0,8.44,93088
2017-01-25,8.5,8.4,8.42,8.45,61680
2017-01-26,8.4,8.25,8.38,8.17,74768
2017-01-27,8.19,8.69,8.24,8.52,142876
2017-01-30,8.51,8.46,8.1,8.31,73097
2017-01-31,8.0,8.0,8.3,8.21,76534
2017-02-01,8.3,8.39,8.0,8.43,92866
2017-02-02,8.42,8.5,8.08,8.49,74578
2017-02-03,8.48,8.54,8.14,8.24,97872
2017-02-06,8.0,8.1,8.0,8.23,30567
2017-02-07,8.28,8.43,7.97,8.09,132601
2017-02-08,8.41,8.19,8.22,8.06,108979
2017-02-09,8.17,8.3,8.1,8.22,132507
2017-02-10,8.19,8.44,8.11,8.49,68135
2017-02-13,8.41,8.43,8.2,8.35,58252
2017-02-14,8.28,8.63,8.1,8.53,67477
2017-02-15,8.4,8.32,8.27,8.26,56353
2017-02-16,8.31,8.57,8.21,8.52,57445
2017-02-17,8.26,8.5,8.23,8.42,42946
2017-02-21,8.2,8.25,8.4,8.35,38282
2017-02-22,8.4,8.22,8.3,8.45,39295
2017-02-23,8.2,8.2,8.0,8.2,45176
2017-02-24,8.41,8.13,7.73,8.16,109118
2017-02-27,8.2,8.15,8.14,7.9,21218
2017-02-28,8.3,8.39,7.9,8.19,62123
2017-03-01,8.2,8.3,7.9,8.0,128060
2017-03-02,8.21,8.3,8.2,8.28,44985
2017-03-03,8.4,8.33,8.23,8.25,77888
2017-03-06,8.38,8.21,8.32,7.99,44096
2017-03-07,8.36,8.8,8.1,8.24,254349
2017-03-08,8.52,8.48,8.27,8.5,65885
2017-03-09,8.5,8.6,8.26,8.4,44279
2017-03-10,8.3,8.51,8.18,8.54,45683
2017-03-13,8.53,8.25,8.51,8.22,30206
2017-03-14,8.45,8.33,8.28,8.48,49973
2017-03-15,8.42,8.19,8.29,8.02,37706
2017-03-16,8.23,8.43,8.08,8.0,57851
2017-03-17,8.15,8.21,8.28,8.08,48524
2017-03-20,8.41,8.32,8.2,8.45,27666
2017-03-21,8.4,8.46,8.32,8.27,48752
2017-03-22,8.0,8.34,8.31,8.14,24530
2017-03-23,8.26,8.35,8.0,8.19,11055
2017-03-24,8.0,8.4,8.0,8.39,42027
2017-03-27,8.23,8.4,8.0,8.2,37939
2017-03-28,8.0,8.28,8.31,8.02,150139
2017-03-29,8.25,8.34,8.21,8.0,57254
2017-03-30,8.29,8.35,8.23,8.0,68749
2017-03-31,8.02,8.48,8.0,8.0,30421
2017-04-03,8.43,8.13,8.0,8.36,27004
2017-04-04,8.18,8.35,8.4,8.41,70256
