date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,5.63,0
2017-01-04,0.0,0.0,0.0,5.57,0
2017-01-05,0.0,0.0,0.0,5.38,0
2017-01-06,0.0,0.0,0.0,5.6,0
2017-01-09,0.0,0.0,0.0,5.38,0
2017-01-10,0.0,0.0,0.0,5.38,0
2017-01-11,0.0,0.0,0.0,5.39,0
2017-01-12,0.0,0.0,0.0,5.41,0
2017-01-13,0.0,0.0,0.0,5.63,0
2017-01-17,0.0,0.0,0.0,5.5,0
2017-01-18,0.0,0.0,0.0,5.53,0
2017-01-19,5.46,5.5,5.56,5.5,2632
2017-01-20,0.0,0.0,0.0,5.7,0
2017-01-23,0.0,0.0,0.0,5.5,0
2017-01-24,0.0,0.0,0.0,5.5,0
2017-01-25,0.0,0.0,0.0,5.7,0
2017-01-26,0.0,0.0,0.0,5.7,0
2017-01-27,0.0,0.0,0.0,5.6,0
2017-01-30,0.0,0.0,0.0,5.7,0
2017-01-31,0.0,0.0,0.0,5.5,0
2017-02-01,0.0,0.0,0.0,5.6,0
2017-02-02,0.0,0.0,0.0,5.8,0
2017-02-03,0.0,0.0,0.0,5.6,0
2017-02-06,0.0,0.0,0.0,5.8,0
2017-02-07,5.17,5.19,5.1,5.17,775
2017-02-08,0.0,0.0,0.0,5.33,0
2017-02-09,0.0,0.0,0.0,5.31,0
2017-02-10,0.0,0.0,0.0,5.22,0
2017-02-13,0.0,0.0,0.0,5.23,0
2017-02-14,0.0,0.0,0.0,5.12,0
2017-02-15,0.0,0.0,0.0,5.33,0
2017-02-16,0.0,0.0,0.0,5.13,0
2017-02-17,0.0,0.0,0.0,5.17,0
2017-02-21,0.0,0.0,0.0,5.28,0
2017-02-22,0.0,0.0,0.0,5.23,0
2017-02-23,0.0,0.0,0.0,5.18,257
2017-02-24,0.0,0.0,0.0,5.17,0
2017-02-27,0.0,0.0,0.0,5.13,0
2017-02-28,0.0,0.0,0.0,5.27,31
2017-03-01,0.0,0.0,0.0,5.1,0
2017-03-02,0.0,0.0,0.0,5.13,0
2017-03-03,0.0,0.0,0.0,5.23,0
2017-03-06,0.0,0.0,0.0,5.16,0
2017-03-07,0.0,0.0,0.0,5.32,0
2017-03-08,0.0,0.0,0.0,5.2,0
2017-03-09,5.3,5.31,5.3,5.32,2038
2017-03-10,0.0,0.0,0.0,5.43,50
2017-03-13,0.0,0.0,0.0,5.41,0
2017-03-14,5.36,5.11,5.14,5.18,632
2017-03-15,0.0,0.0,0.0,5.28,0
2017-03-16,5.28,5.18,5.23,5.2,2133
2017-03-17,0.0,0.0,0.0,5.43,0
2017-03-20,0.0,0.0,0.0,5.24,0
2017-03-21,0.0,0.0,0.0,5.31,0
2017-03-22,0.0,0.0,0.0,5.19,0
2017-03-23,0.0,0.0,0.0,5.18,0
2017-03-24,0.0,0.0,0.0,5.28,0
2017-03-27,0.0,0.0,0.0,5.21,0
2017-03-28,0.0,0.0,0.0,5.39,0
2017-03-29,0.0,0.0,0.0,5.33,0
2017-03-30,0.0,0.0,0.0,5.31,0
2017-03-31,0.0,0.0,0.0,5.37,0
2017-04-03,0.0,0.0,0.0,5.3,0
2017-04-04,0.0,0.0,0.0,5.4,0
2017-04-05,0.0,0.0,0.0,5.35,0
2017-04-06,0.0,0.0,0.0,5.39,0
2017-04-07,0.0,0.0,0.0,5.41,0
2017-04-10,0.0,0.0,0.0,5.27,0
2017-04-11,0.0,0.0,0.0,5.33,0
2017-04-12,0.0,0.0,0.0,5.28,0
2017-04-13,5.07,5.13,5.16,5.21,516
2017-04-17,0.0,0.0,0.0,5.19,0
2017-04-18,0.0,0.0,0.0,5.23,0
2017-04-19,0.0,0.0,0.0,5.16,0
2017-04-20,0.0,0.0,0.0,5.12,0
2017-04-21,0.0,0.0,0.0,5.16,0
2017-04-24,0.0,0.0,0.0,5.15,0
2017-04-25,0.0,0.0,0.0,5.18,0
2017-04-26,0.0,0.0,0.0,5.12,0
2017-04-27,0.0,0.0,0.0,5.28,0
2017-04-28,0.0,0.0,0.0,5.1,0
2017-05-01,0.0,0.0,0.0,5.24,0
2017-05-02,0.0,0.0,0.0,5.24,0
2017-05-03,0.0,0.0,0.0,5.28,0
2017-05-04,0.0,0.0,0.0,5.07,0
2017-05-05,0.0,0.0,0.0,5.26,0
2017-05-08,0.0,0.0,0.0,5.18,0
2017-05-09,0.0,0.0,0.0,5.28,0
2017-05-10,0.0,0.0,0.0,5.24,0
2017-05-11,0.0,0.0,0.0,5.28,0
2017-05-12,0.0,0.0,0.0,5.28,0
2017-05-15,0.0,0.0,0.0,5.27,0
2017-05-16,0.0,0.0,0.0,5.28,0
2017-05-17,0.0,0.0,0.0,5.26,0
2017-05-18,0.0,0.0,0.0,5.05,0
2017-05-19,0.0,0.0,0.0,5.12,0
2017-05-22,0.0,0.0,0.0,5.12,0
2017-05-23,0.0,0.0,0.0,5.04,0
2017-05-24,0.0,0.0,0.0,5.18,0
2017-05-25,0.0,0.0,0.0,5.15,0
2017-05-26,0.0,0.0,0.0,5.12,0
2017-05-30,0.0,0.0,0.0,5.23,571
2017-05-31,0.0,0.0,0.0,5.27,0
2017-06-01,0.0,0.0,0.0,5.22,0
2017-06-02,0.0,0.0,0.0,5.19,0
2017-06-05,0.0,0.0,0.0,5.14,0
2017-06-06,0.0,0.0,0.0,5.27,0
2017-06-07,0.0,0.0,0.0,5.17,0
2017-06-08,0.0,0.0,0.0,5.24,0
