date,open,high,low,close,volume
2017-01-03,25.5,25.59,25.0,25.17,9697
2017-01-04,26.02,25.57,25.58,26.2,10078
2017-01-05,25.47,25.79,25.0,26.0,10021
2017-01-06,25.43,25.69,25.75,25.87,4778
2017-01-09,25.56,25.6,25.8,26.07,12496
2017-01-10,26.11,25.57,26.17,26.18,12428
2017-01-11,25.63,25.3,25.59,25.4,10429
2017-01-12,26.19,25.68,26.1,25.84,24901
2017-01-13,25.21,25.2,25.7,25.32,7518
2017-01-17,26.25,26.29,24.86,25.43,27729
2017-01-18,24.92,25.0,25.05,25.73,15329
2017-01-19,25.91,26.3,25.93,25.06,23314
2017-01-20,25.09,25.6,24.62,25.54,64726
2017-01-23,25.51,25.29,25.39,25.36,41817
2017-01-24,24.78,25.18,25.64,25.66,17674
2017-01-25,25.49,25.65,25.61,25.34,23873
2017-01-26,25.7,26.1,25.4,26.12,21194
2017-01-27,26.21,26.25,25.35,25.86,10896
2017-01-30,25.55,26.4,25.11,26.23,7519
2017-01-31,25.36,26.17,25.72,25.27,12790
2017-02-01,25.61,26.42,26.09,25.8,7657
2017-02-02,25.4,25.8,25.19,26.4,2831
2017-02-03,25.3,26.13,25.4,26.45,32919
2017-02-06,26.45,25.82,26.41,25.74,27821
2017-02-07,25.4,25.76,25.5,26.23,37277
2017-02-08,26.7,26.5,26.5,25.83,13656
2017-02-09,26.12,26.42,25.88,26.31,8433
2017-02-10,26.54,26.24,25.57,25.78,28408
2017-02-13,26.41,26.42,25.5,26.22,19402
2017-02-14,25.7,26.6,25.82,26.05,15694
2017-02-15,26.08,25.66,25.47,26.23,17363
2017-02-16,25.8,26.48,25.3,26.08,32714
2017-02-17,26.01,26.45,26.33,26.76,20982
2017-02-21,26.37,26.33,25.7,26.16,28516
2017-02-22,25.97,25.72,25.21,26.16,13488
2017-02-23,25.53,25.61,25.69,26.43,8114
2017-02-24,26.07,26.01,25.27,26.04,12648
2017-02-27,26.28,26.11,25.45,25.71,9902
2017-02-28,26.18,26.44,25.58,25.89,1242
2017-03-01,25.68,26.35,25.8,26.24,9118
2017-03-02,26.38,26.65,25.66,26.28,6850
2017-03-03,26.03,25.83,26.51,25.8,4439
2017-03-06,26.35,26.27,25.7,26.29,7663
2017-03-07,26.3,25.91,25.58,26.35,5154
2017-03-08,26.16,25.4,26.0,26.08,11682
2017-03-09,25.82,25.93,25.35,25.17,20028
2017-03-10,24.96,25.98,25.1,25.06,9819
2017-03-13,25.47,26.27,26.29,25.1,4809
2017-03-14,25.74,25.82,25.92,25.31,8106
2017-03-15,26.05,26.35,25.2,25.45,5836
2017-03-16,26.0,25.85,26.14,25.44,18449
2017-03-17,25.33,26.5,26.11,25.5,13752
2017-03-20,26.2,26.03,25.9,26.0,5314
2017-03-21,26.3,25.3,26.33,25.34,7661
2017-03-22,25.6,25.59,25.88,25.54,7400
2017-03-23,26.16,26.53,25.47,25.89,7915
2017-03-24,26.16,26.17,25.77,25.5,4831
2017-03-27,26.16,26.17,26.34,25.39,6534
2017-03-28,25.77,26.61,25.47,25.51,3210
2017-03-29,25.65,26.57,26.02,26.31,1266
2017-03-30,26.61,26.38,26.17,25.73,3523
2017-03-31,26.53,26.11,26.4,26.3,6857
2017-04-03,25.6,26.46,26.4,26.3,8846
2017-04-04,25.89,26.17,26.06,25.72,9880
2017-04-05,26.53,25.78,26.47,25.75,11193
2017-04-06,26.22,26.55,25.49,26.48,2146
2017-04-07,26.01,26.23,25.75,26.19,3399
2017-04-10,25.93,26.3,26.1,25.96,7230
2017-04-11,26.13,26.27,26.33,26.81,4875
2017-04-12,26.92,26.88,26.73,26.86,5155
2017-04-13,26.8,25.96,26.5,27.03,6525
2017-04-17,26.88,26.4,26.98,25.8,3693
2017-04-18,26.35,26.71,26.09,25.9,14352
2017-04-19,26.12,26.13,25.46,26.14,4111
2017-04-20,26.74,26.87,25.86,25.95,10485
2017-04-21,26.87,26.98,26.43,25.89,7903
2017-04-24,26.01,27.06,26.4,26.39,2899
2017-04-25,25.96,26.38,25.85,26.4,2484
2017-04-26,26.47,27.16,25.89,26.56,5835
2017-04-27,26.87,26.71,26.75,26.14,17889
2017-04-28,25.95,27.03,26.23,25.73,14874
2017-05-01,25.92,26.59,25.79,26.76,5308
2017-05-02,26.42,25.88,26.48,26.25,20327
2017-05-03,25.87,26.92,25.84,26.15,7147
2017-05-04,26.14,26.34,26.6,26.06,10060
2017-05-05,26.58,25.75,26.3,26.74,2966
2017-05-08,25.91,25.87,26.7,26.73,17089
2017-05-09,26.9,26.52,26.4,25.79,28945
2017-05-10,26.54,25.92,26.22,25.8,15025
2017-05-11,25.84,26.34,26.18,25.73,6288
2017-05-12,26.09,26.31,25.69,25.89,9637
2017-05-15,26.31,26.09,25.75,25.44,13005
2017-05-16,25.67,25.93,26.14,25.96,7303
2017-05-17,25.91,26.51,25.95,26.01,11129
2017-05-18,26.2,26.17,25.44,26.05,16103
2017-05-19,25.34,25.56,25.71,25.76,7697
2017-05-22,26.04,26.12,26.26,26.39,15090
2017-05-23,25.52,26.58,25.7,26.49,6036
2017-05-24,26.17,26.3,26.12,26.46,9189
2017-05-25,26.2,25.96,26.21,26.35,7952
2017-05-26,25.5,26.63,26.5,26.79,6694
2017-05-30,26.1,26.3,26.5,26.31,8136
2017-05-31,26.67,26.21,25.78,26.56,14446
2017-06-01,26.16,26.2,26.23,26.16,5712
2017-06-02,26.78,26.93,26.31,26.66,11029
2017-06-05,26.33,26.47,26.79,26.86,11969
2017-06-06,26.43,26.4,26.01,25.83,11269
2017-06-07,26.33,26.52,26.11,26.61,7325
2017-06-08,26.71,25.97,26.74,26.6,3002
2017-06-09,26.43,26.37,26.2,26.9,5569
2017-06-12,26.62,25.7,25.51,26.56,5945
2017-06-13,26.65,26.45,25.63,25.49,2716
2017-06-14,25.56,26.39,25.63,26.25,12098
2017-06-15,25.73,25.85,26.31,26.47,4758
2017-06-16,26.6,26.43,25.79,25.76,4268
2017-06-19,25.95,25.57,26.72,25.72,3608
2017-06-20,26.64,26.3,26.18,26.48,8458
2017-06-21,26.3,26.26,26.1,26.3,5729
2017-06-22,26.1,25.87,25.95,26.5,18341
2017-06-23,26.0,25.5,25.72,25.83,3136
2017-06-26,26.59,26.37,25.96,25.9,8427
2017-06-27,26.07,26.6,26.47,26.35,5995
2017-06-28,25.52,26.4,26.69,26.18,7268
2017-06-29,26.22,26.69,26.55,26.34,9610
2017-06-30,26.29,25.46,26.41,26.5,3805
2017-07-03,25.96,26.4,25.8,25.98,2640
2017-07-05,25.4,26.18,25.55,25.6,10049
2017-07-06,25.9,26.5,26.02,25.99,9554
2017-07-07,25.68,25.68,26.21,25.64,3866
2017-07-10,26.39,26.05,26.01,26.36,13120
2017-07-11,26.82,26.39,26.54,26.67,2513
2017-07-12,25.87,26.82,26.24,25.86,6007
2017-07-13,25.92,26.55,26.04,26.61,2292
2017-07-14,26.7,26.3,25.74,26.33,3274
2017-07-17,26.98,25.83,26.82,26.58,5666
2017-07-18,26.82,25.98,26.21,26.37,8634
2017-07-19,26.38,27.18,26.0,26.23,16815
2017-07-20,27.05,27.32,27.04,27.34,9598
2017-07-21,26.99,26.71,26.05,26.39,10540
2017-07-24,25.97,27.07,26.92,26.42,9144
2017-07-25,27.25,26.09,26.2,26.61,7086
2017-07-26,26.49,27.13,26.97,26.88,1534
2017-07-27,26.3,26.18,26.1,26.35,8916
2017-07-28,26.33,26.27,26.43,26.42,5315
2017-07-31,26.68,26.86,26.64,26.54,16945
2017-08-01,26.67,26.82,26.3,26.29,12787
2017-08-02,26.51,27.0,27.0,26.31,3294
2017-08-03,26.2,26.94,26.97,27.0,5328
2017-08-04,26.26,26.59,27.0,26.26,7861
2017-08-07,26.61,26.1,26.1,27.17,4079
2017-08-08,27.0,26.47,27.0,27.24,4623
2017-08-09,27.01,26.22,26.36,26.66,14347
2017-08-10,25.88,26.67,25.4,26.62,19552
2017-08-11,25.45,26.41,26.15,26.37,13269
2017-08-14,25.97,26.2,26.47,25.8,12681
2017-08-15,26.11,26.49,26.81,26.64,8144
2017-08-16,26.72,26.04,26.54,26.18,1865
2017-08-17,26.35,26.9,26.38,26.28,6339
2017-08-18,26.21,25.91,25.7,26.43,10583
2017-08-21,26.34,25.81,26.66,25.69,1738
2017-08-22,26.29,26.41,25.64,26.56,9046
2017-08-23,25.89,26.6,26.29,26.43,1017
2017-08-24,26.17,25.86,25.8,25.44,4318
2017-08-25,25.52,26.17,26.47,25.92,2652
2017-08-28,26.42,26.6,25.49,25.49,3433
2017-08-29,25.6,26.15,26.61,26.04,4868
2017-08-30,26.15,26.56,25.7,26.19,4075
2017-08-31,26.43,25.63,26.0,26.33,15946
2017-09-01,26.23,26.16,25.56,26.13,3470
2017-09-05,25.78,26.84,26.22,25.51,2662
2017-09-06,25.7,26.6,25.67,26.07,9299
2017-09-07,26.18,26.89,25.9,25.81,7907
2017-09-08,25.93,26.13,25.82,26.94,8720
2017-09-11,26.61,26.1,26.84,26.75,4455
2017-09-12,26.31,26.09,25.94,25.63,8634
2017-09-13,26.65,26.04,26.73,26.06,9327
2017-09-14,26.38,26.13,26.66,26.34,4110
2017-09-15,25.78,26.57,26.7,26.98,6417
2017-09-18,26.27,26.09,25.79,25.65,8789
2017-09-19,26.71,26.97,26.1,26.73,3467
2017-09-20,25.94,25.81,26.57,25.7,8355
2017-09-21,26.45,26.05,26.13,26.85,5627
2017-09-22,26.12,25.66,26.6,25.58,5858
2017-09-25,25.79,26.07,26.59,25.39,15180
2017-09-26,25.43,25.9,25.44,26.61,9872
2017-09-27,26.0,25.79,26.55,26.13,7028
2017-09-28,26.4,26.85,26.04,26.83,9343
2017-09-29,25.85,25.7,25.45,26.68,36880
2017-10-02,26.17,26.73,26.24,25.91,18678
2017-10-03,26.07,26.26,25.78,26.4,16081
2017-10-04,26.56,25.64,25.73,26.05,11152
2017-10-05,26.18,25.8,26.6,26.29,10211
2017-10-06,25.72,25.63,26.3,26.26,15836
2017-10-09,26.24,26.18,26.24,26.2,10012
2017-10-10,26.26,26.68,25.74,26.7,1977
2017-10-11,26.38,25.94,26.51,25.74,3116
2017-10-12,26.58,26.75,25.54,25.8,2501
2017-10-13,26.75,26.5,26.42,25.69,5111
2017-10-16,26.39,26.6,26.29,26.4,14358
2017-10-17,25.82,26.15,26.26,25.67,6262
2017-10-18,26.18,26.74,26.56,26.87,4418
2017-10-19,25.99,26.7,25.71,25.88,11568
2017-10-20,26.66,26.05,26.8,26.0,9683
2017-10-23,26.76,26.28,26.01,26.23,10133
2017-10-24,26.19,26.62,25.82,26.48,10983
2017-10-25,26.23,26.08,25.99,25.66,15275
2017-10-26,26.19,26.74,25.59,26.19,8414
2017-10-27,25.86,26.3,26.11,25.9,3739
2017-10-30,26.76,26.27,25.88,25.87,6009
2017-10-31,26.62,26.61,26.61,26.62,6803
2017-11-01,26.49,26.04,26.33,26.7,5180
2017-11-02,26.01,26.54,26.28,26.03,40542
2017-11-03,25.63,26.2,25.48,25.76,10995
2017-11-06,26.4,26.39,25.26,26.67,13997
2017-11-07,25.9,26.14,25.38,25.76,9166
2017-11-08,25.83,26.49,24.83,25.26,25650
2017-11-09,25.23,26.42,26.0,26.19,12614
2017-11-10,25.86,26.38,25.51,26.34,6074
2017-11-13,25.0,25.65,25.18,25.0,9581
2017-11-14,26.05,25.59,24.92,25.7,13473
2017-11-15,25.4,25.3,25.28,25.08,8291
2017-11-16,25.74,25.43,25.38,25.0,6257
2017-11-17,25.59,25.18,26.0,25.5,10854
2017-11-20,25.27,25.53,25.55,26.24,20704
2017-11-21,25.34,25.81,26.41,26.25,8029
2017-11-22,26.21,26.57,25.22,26.12,10470
2017-11-24,26.39,26.2,26.32,25.7,1755
2017-11-27,25.8,25.97,25.79,26.46,4921
2017-11-28,26.07,25.87,26.0,26.05,6358
2017-11-29,25.24,25.79,25.31,26.35,3620
2017-11-30,26.32,26.28,25.76,25.32,5116
2017-12-01,25.5,25.6,25.62,26.02,3889
2017-12-04,26.36,26.0,25.72,25.33,11598
2017-12-05,25.49,26.54,25.59,25.39,10264
2017-12-06,25.55,26.53,25.32,26.15,6140
2017-12-07,26.29,26.08,26.02,25.81,9815
2017-12-08,26.22,25.57,26.47,25.79,7406
2017-12-11,25.84,25.73,25.6,26.03,5123
2017-12-12,25.43,25.93,25.83,25.63,308
2017-12-13,25.3,25.3,26.27,26.01,18953
2017-12-14,26.28,26.42,25.7,25.25,15971
2017-12-15,26.28,25.93,25.8,25.4,15183
2017-12-18,25.34,25.68,25.94,25.65,8596
2017-12-19,25.47,26.12,26.04,26.34,11379
2017-12-20,26.33,26.05,26.3,25.5,7969
2017-12-21,26.2,25.83,25.58,26.16,17049
2017-12-22,25.56,26.49,25.83,25.63,10109
2017-12-26,26.68,25.59,26.46,25.82,3941
2017-12-27,26.01,26.36,26.43,25.43,2857
2017-12-28,25.9,25.66,25.93,26.38,8035
2017-12-29,25.8,25.96,26.5,25.8,3729
2018-01-02,26.53,26.17,26.08,25.73,17351
2018-01-03,25.12,25.32,25.26,25.3,26570
2018-01-04,25.93,25.23,25.02,26.35,10244
2018-01-05,25.77,25.77,26.0,26.1,19445
2018-01-08,25.25,25.64,25.3,25.4,7414
2018-01-09,25.32,25.56,25.51,25.94,6694
2018-01-10,25.87,25.69,25.34,26.27,15121
2018-01-11,26.26,25.7,26.02,25.19,16909
2018-01-12,26.1,26.1,25.93,25.3,14430
2018-01-16,25.83,25.38,25.3,25.1,9844
2018-01-17,25.9,25.67,25.9,25.31,12190
2018-01-18,26.0,25.57,25.8,25.4,12623
2018-01-19,25.04,25.16,25.26,25.78,13020
2018-01-22,25.04,25.18,24.85,25.64,16028
2018-01-23,25.92,25.0,25.95,26.0,15665
2018-01-24,25.4,25.86,25.8,25.24,8279
2018-01-25,25.7,24.9,25.54,25.68,13143
2018-01-26,25.7,25.63,25.9,24.98,8503
2018-01-29,25.63,25.36,24.57,25.7,20896
2018-01-30,24.82,24.7,24.8,25.12,27033
2018-01-31,24.67,26.08,25.21,25.65,23352
2018-02-01,25.83,24.99,24.93,25.3,7632
2018-02-02,24.67,25.45,25.25,25.5,21966
2018-02-05,25.01,25.78,25.25,25.4,11049
2018-02-06,25.1,26.0,25.2,25.87,10026
2018-02-07,25.8,25.22,25.41,25.55,9533
2018-02-08,24.82,25.72,24.67,25.12,15658
2018-02-09,25.02,25.8,24.99,25.65,14488
2018-02-12,25.04,26.02,25.9,24.91,10454
2018-02-13,24.8,25.21,25.42,25.47,17041
2018-02-14,25.57,24.78,25.28,24.53,22673
2018-02-15,25.46,25.6,25.49,25.67,12807
2018-02-16,24.93,25.2,25.44,25.16,12313
2018-02-20,25.15,24.98,24.69,25.78,29563
2018-02-21,25.55,24.9,25.16,25.39,18358
2018-02-22,25.57,25.74,25.42,25.31,16742
2018-02-23,25.61,26.0,24.9,25.05,22537
2018-02-26,26.11,25.94,25.48,26.01,18316
2018-02-27,25.35,26.32,26.13,25.99,28066
2018-02-28,25.3,25.26,26.3,25.97,32041
2018-03-01,25.55,25.84,26.22,25.47,7322
2018-03-02,26.3,26.16,26.1,25.76,3980
2018-03-05,25.37,25.88,25.85,26.21,9952
2018-03-06,26.22,25.5,25.5,26.25,14124
2018-03-07,26.3,25.66,25.16,26.15,10824
2018-03-08,25.3,26.58,25.95,26.04,20704
2018-03-09,25.4,26.1,25.41,26.29,12953
2018-03-12,25.32,26.12,26.24,25.88,9332
2018-03-13,25.8,25.88,26.31,25.79,11629
2018-03-14,26.38,25.28,25.4,26.38,11206
2018-03-15,26.23,26.0,25.3,25.88,10267
2018-03-16,25.7,26.29,26.04,26.06,13936
2018-03-19,26.25,25.7,25.21,25.9,10608
2018-03-20,25.35,25.76,26.34,25.28,8014
2018-03-21,26.17,25.89,26.13,25.58,6777
2018-03-22,26.17,25.32,26.08,26.3,3678
2018-03-23,25.47,26.14,25.9,25.96,8282
2018-03-26,26.3,25.9,25.69,25.38,8702
2018-03-27,26.34,25.89,26.26,26.05,6028
2018-03-28,25.8,26.58,25.63,26.19,4195
2018-03-29,26.22,25.67,25.48,25.83,13165
2018-04-02,26.33,25.97,25.65,25.6,5671
2018-04-03,26.18,25.38,25.83,26.23,14471
2018-04-04,26.0,26.35,25.49,26.29,6394
2018-04-05,26.2,26.65,25.41,26.44,3813
2018-04-06,26.52,25.75,25.25,25.71,3521
2018-04-09,25.96,25.89,26.18,25.48,13373
2018-04-10,26.13,25.85,25.61,25.75,1961
2018-04-11,25.54,25.7,25.2,25.34,16341
2018-04-12,26.13,26.04,26.4,25.99,5343
2018-04-13,26.33,26.3,25.42,26.12,10629
2018-04-16,25.9,25.37,25.3,25.4,4679
2018-04-17,26.16,25.68,25.8,26.56,11284
2018-04-18,26.51,25.77,25.77,25.36,3281
2018-04-19,25.98,26.21,25.72,25.52,4344
2018-04-20,25.59,26.45,25.51,25.64,17954
2018-04-23,26.34,25.55,25.38,25.42,5790
2018-04-24,25.64,26.52,25.14,25.52,13216
2018-04-25,25.62,25.24,25.08,24.9,10344
2018-04-26,25.36,25.25,24.66,24.93,12967
2018-04-27,25.67,26.23,25.85,24.98,9625
2018-04-30,26.01,25.95,24.95,25.73,3834
2018-05-01,25.09,25.93,25.49,25.53,5221
2018-05-02,25.03,25.31,25.43,25.4,7642
2018-05-03,25.74,24.99,24.92,25.81,3571
2018-05-04,24.85,25.36,25.69,25.68,9631
2018-05-07,25.22,25.22,25.27,25.13,5118
2018-05-08,25.21,25.8,25.41,25.7,4303
2018-05-09,25.05,26.5,25.04,25.19,11313
2018-05-10,25.22,25.9,25.4,26.14,7389
2018-05-11,25.3,25.71,25.25,25.1,11749
2018-05-14,25.7,25.48,25.24,26.09,6483
2018-05-15,25.29,26.39,25.8,26.25,11395
2018-05-16,25.64,25.65,25.5,25.32,6366
2018-05-17,25.08,25.87,25.85,25.99,5867
2018-05-18,26.08,25.24,25.9,25.11,9415
2018-05-21,26.11,25.79,25.27,26.19,15116
2018-05-22,25.51,25.85,26.1,26.0,6320
2018-05-23,24.9,26.0,25.71,26.03,13250
2018-05-24,24.99,25.82,25.31,25.42,4372
2018-05-25,25.71,25.35,26.06,25.86,4162
2018-05-29,26.0,25.15,26.0,25.54,4845
2018-05-30,25.61,26.22,24.99,25.5,5902
2018-05-31,26.0,25.55,26.0,25.18,2005
2018-06-01,25.81,25.46,25.26,25.98,2451
2018-06-04,25.34,25.48,25.25,25.28,4636
2018-06-05,25.27,25.53,25.28,25.88,13969
2018-06-06,25.25,25.5,25.73,25.41,8310
2018-06-07,26.05,25.39,26.46,26.57,3442
2018-06-08,26.18,25.65,26.42,26.14,87547
2018-06-11,25.99,25.71,25.61,26.5,18401
2018-06-12,26.07,26.31,26.43,26.36,2301
2018-06-13,25.65,25.35,25.85,25.93,16928
2018-06-14,26.36,26.4,25.8,26.59,7211
2018-06-15,25.52,26.13,26.38,26.12,3496
2018-06-18,26.1,25.95,26.42,26.41,10991
2018-06-19,25.7,26.17,25.4,25.8,1542
2018-06-20,26.24,26.38,25.53,25.7,3230
2018-06-21,25.59,26.2,25.35,26.27,16972
2018-06-22,26.46,25.59,25.51,26.24,2368
2018-06-25,26.07,26.03,25.59,25.67,10186
2018-06-26,25.98,26.09,25.27,25.68,4612
2018-06-27,25.8,26.23,25.9,25.44,8337
2018-06-28,25.59,25.65,25.79,26.11,4586
