date,open,high,low,close,volume
2017-01-03,29.96,31.75,29.0,31.9,887379
2017-01-04,30.91,32.02,30.34,32.66,706649
2017-01-05,31.66,32.15,30.97,31.77,895855
2017-01-06,32.14,31.48,31.1,32.17,438568
2017-01-09,31.42,30.84,31.18,31.34,464184
2017-01-10,31.55,30.47,30.79,31.5,508075
2017-01-11,30.26,32.05,31.06,30.33,534659
2017-01-12,31.42,30.77,29.44,31.21,409879
2017-01-13,30.26,30.61,29.9,29.79,267279
2017-01-17,30.26,30.92,30.98,31.57,465647
2017-01-18,30.46,30.29,30.05,30.06,425792
2017-01-19,31.2,30.14,30.8,30.0,407419
2017-01-20,31.18,30.96,29.8,30.47,266488
2017-01-23,31.01,30.63,30.17,30.3,269477
2017-01-24,29.8,30.1,29.39,30.66,444309
2017-01-25,31.11,30.41,30.92,30.22,382336
2017-01-26,29.82,30.69,30.12,31.71,372875
2017-01-27,31.34,32.0,31.26,31.43,493355
2017-01-30,31.28,31.77,30.52,31.97,443945
2017-01-31,30.84,32.3,31.41,30.87,1141446
2017-02-01,31.31,32.03,30.18,29.4,728926
2017-02-02,30.12,30.1,30.33,30.46,601641
2017-02-03,29.85,30.93,29.67,30.2,373089
2017-02-06,30.5,29.8,29.5,30.37,251695
2017-02-07,29.03,29.69,29.15,29.47,238350
2017-02-08,29.69,29.42,29.41,29.44,298800
2017-02-09,29.5,29.76,30.3,29.84,428463
2017-02-10,30.52,32.17,30.85,31.27,684338
2017-02-13,31.76,31.2,30.27,30.66,674542
2017-02-14,32.0,31.41,31.16,32.09,498366
2017-02-15,31.82,31.99,30.68,30.92,494460
2017-02-16,31.09,32.2,31.5,32.03,726475
2017-02-17,31.92,33.13,32.27,32.69,476398
2017-02-21,32.7,32.6,32.88,33.46,461953
2017-02-22,32.9,33.54,32.93,32.83,514836
2017-02-23,33.6,33.54,33.41,33.55,985836
2017-02-24,31.7,31.71,30.77,29.88,1326566
2017-02-27,29.51,29.73,28.75,29.75,1538706
2017-02-28,28.54,29.77,27.04,28.34,1116075
2017-03-01,28.08,27.81,27.57,27.09,1182503
2017-03-02,28.7,28.3,26.51,27.71,1124647
2017-03-03,27.23,27.81,27.36,27.04,1139607
2017-03-06,27.5,27.1,25.93,26.26,1419462
2017-03-07,25.74,25.8,26.25,25.83,988164
2017-03-08,25.94,25.84,25.0,26.26,918813
2017-03-09,26.21,26.44,25.3,27.0,937296
2017-03-10,26.05,26.84,25.8,26.08,1223601
2017-03-13,26.49,27.5,26.51,26.84,716568
2017-03-14,26.65,26.16,26.86,26.1,879192
2017-03-15,26.46,27.25,26.67,26.32,717460
2017-03-16,26.93,27.4,27.39,27.19,537269
2017-03-17,27.2,27.62,26.2,26.38,1448947
2017-03-20,27.36,27.6,26.6,26.28,572030
2017-03-21,27.33,26.69,26.38,26.69,896119
2017-03-22,25.9,26.59,25.3,26.4,832055
2017-03-23,25.98,26.54,25.97,26.07,470081
2017-03-24,25.29,25.99,26.32,26.52,749116
2017-03-27,25.7,25.57,25.46,25.7,434876
2017-03-28,25.71,26.02,25.68,26.3,931756
2017-03-29,25.6,26.79,26.31,26.71,778268
2017-03-30,26.68,26.67,25.99,27.1,706851
2017-03-31,26.43,27.15,27.45,26.75,972455
2017-04-03,27.4,27.35,26.79,27.2,721219
2017-04-04,26.45,27.18,26.7,26.92,761352
2017-04-05,27.21,27.2,27.62,27.37,1582066
2017-04-06,27.47,27.37,26.86,26.48,714407
2017-04-07,26.6,27.5,26.9,27.27,543622
2017-04-10,26.92,27.9,26.59,27.71,692000
2017-04-11,27.9,27.5,27.09,26.96,623399
2017-04-12,26.81,27.11,26.78,28.13,559817
2017-04-13,27.63,26.99,27.43,27.4,701680
2017-04-17,26.5,27.6,26.74,26.91,921547
2017-04-18,27.49,28.43,26.71,27.08,967801
2017-04-19,27.22,28.5,26.8,28.07,756107
2017-04-20,27.0,27.78,26.8,27.59,646905
2017-04-21,28.21,27.75,26.8,27.45,663739
2017-04-24,28.4,29.12,27.48,28.03,1560302
2017-04-25,28.1,28.81,27.62,27.63,989820
2017-04-26,28.72,28.06,28.31,28.26,1134914
2017-04-27,28.13,28.35,27.93,27.67,1154321
2017-04-28,28.08,29.2,28.4,28.63,5125554
2017-05-01,27.7,28.35,27.21,28.27,1511590
2017-05-02,27.18,28.19,27.77,27.3,945159
2017-05-03,28.43,27.65,26.51,26.37,1107099
2017-05-04,27.0,27.05,26.31,27.36,1474326
2017-05-05,27.61,28.7,26.74,27.76,1751979
2017-05-08,27.85,28.78,28.29,28.53,1164473
2017-05-09,27.75,28.7,27.77,27.7,1038391
2017-05-10,27.59,29.1,28.6,28.4,838920
2017-05-11,27.86,28.24,26.7,27.75,947300
2017-05-12,27.0,27.37,26.89,27.4,1358579
2017-05-15,28.56,28.89,27.49,27.54,764936
2017-05-16,28.24,28.69,28.04,27.7,819029
2017-05-17,27.27,27.44,26.71,27.02,772424
2017-05-18,27.45,27.61,27.0,27.1,1360301
2017-05-19,27.67,27.76,27.47,28.0,1637989
2017-05-22,28.39,28.78,27.94,28.2,861696
2017-05-23,27.64,28.04,28.17,28.5,756979
2017-05-24,28.75,28.24,27.41,27.98,589331
2017-05-25,28.28,28.57,28.6,28.72,449024
2017-05-26,28.41,28.97,28.65,28.03,436122
2017-05-30,28.93,29.09,28.64,28.0,424840
2017-05-31,29.4,29.41,28.98,29.42,908245
2017-06-01,28.59,30.21,29.43,29.92,897928
2017-06-02,29.28,30.12,30.12,29.8,942061
2017-06-05,29.49,29.49,29.7,30.03,361774
2017-06-06,29.99,29.02,29.13,30.04,625067
2017-06-07,28.84,28.76,29.36,29.35,736905
2017-06-08,29.08,29.9,29.39,29.49,486090
2017-06-09,29.36,29.36,28.5,28.8,560562
2017-06-12,28.63,29.88,29.36,29.03,908533
2017-06-13,28.75,30.02,29.0,28.63,605488
2017-06-14,29.59,29.15,29.08,28.98,479870
2017-06-15,28.84,28.67,28.43,28.3,390113
2017-06-16,28.4,29.43,28.89,28.89,1023987
2017-06-19,28.81,28.63,28.6,29.16,2066711
2017-06-20,29.23,29.04,28.3,28.01,444596
