date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,9.61,2
2017-01-04,9.33,9.31,9.16,9.21,440
2017-01-05,0.0,0.0,0.0,9.39,0
2017-01-06,0.0,0.0,0.0,9.54,116908
2017-01-09,0.0,0.0,0.0,9.3,0
2017-01-10,0.0,0.0,0.0,9.53,0
2017-01-11,0.0,0.0,0.0,9.35,26
2017-01-12,0.0,0.0,0.0,9.11,0
2017-01-13,0.0,0.0,0.0,9.42,0
2017-01-17,0.0,0.0,0.0,9.51,0
2017-01-18,0.0,0.0,0.0,9.45,0
2017-01-19,0.0,0.0,0.0,9.45,0
2017-01-20,0.0,0.0,0.0,9.47,0
2017-01-23,0.0,0.0,0.0,9.52,0
2017-01-24,9.62,9.57,9.4,9.5,426
2017-01-25,0.0,0.0,0.0,9.8,141
2017-01-26,0.0,0.0,0.0,9.9,0
2017-01-27,0.0,0.0,0.0,9.6,0
2017-01-30,0.0,0.0,0.0,9.5,821717
2017-01-31,0.0,0.0,0.0,9.5,0
2017-02-01,0.0,0.0,0.0,9.4,1
2017-02-02,0.0,0.0,0.0,9.7,0
2017-02-03,0.0,0.0,0.0,9.7,0
2017-02-06,0.0,0.0,0.0,9.6,90567
2017-02-07,0.0,0.0,0.0,9.5,0
2017-02-08,0.0,0.0,0.0,9.5,6
2017-02-09,9.55,9.8,9.83,9.7,146
2017-02-10,9.25,9.31,9.48,9.52,1170
2017-02-13,0.0,0.0,0.0,9.68,0
2017-02-14,9.76,9.74,9.47,9.41,173009
2017-02-15,9.6,9.94,9.91,9.73,208
2017-02-16,0.0,0.0,0.0,9.79,0
2017-02-17,9.9,9.6,9.8,9.6,528
2017-02-21,0.0,0.0,0.0,10.0,0
2017-02-22,0.0,0.0,0.0,9.7,0
2017-02-23,0.0,0.0,0.0,9.7,1045
2017-02-24,0.0,0.0,0.0,10.0,0
2017-02-27,10.16,10.25,10.15,9.89,15229
2017-02-28,0.0,0.0,0.0,10.07,0
2017-03-01,0.0,0.0,0.0,9.98,0
2017-03-02,0.0,0.0,0.0,9.87,30
2017-03-03,10.62,10.51,10.69,10.28,102325
2017-03-06,0.0,0.0,0.0,10.44,0
2017-03-07,0.0,0.0,0.0,10.72,30
2017-03-08,0.0,0.0,0.0,10.72,0
2017-03-09,0.0,0.0,0.0,10.27,5
2017-03-10,0.0,0.0,0.0,10.48,0
2017-03-13,0.0,0.0,0.0,10.36,0
2017-03-14,10.59,11.02,10.61,10.86,2828
2017-03-15,0.0,0.0,0.0,10.87,0
2017-03-16,0.0,0.0,0.0,10.8,132354
2017-03-17,0.0,0.0,0.0,11.03,0
2017-03-20,11.19,11.16,11.3,11.35,2533
2017-03-21,0.0,0.0,0.0,11.29,2097
2017-03-22,0.0,0.0,0.0,11.45,0
2017-03-23,11.54,11.39,11.55,11.64,86058
2017-03-24,0.0,0.0,0.0,11.55,20
2017-03-27,11.2,11.67,11.15,11.21,24087
2017-03-28,0.0,0.0,0.0,11.36,152
2017-03-29,0.0,0.0,0.0,11.41,60
2017-03-30,0.0,0.0,0.0,11.26,0
2017-03-31,0.0,0.0,0.0,11.48,0
2017-04-03,0.0,0.0,0.0,11.55,0
2017-04-04,0.0,0.0,0.0,11.36,0
2017-04-05,0.0,0.0,0.0,11.55,76374
2017-04-06,0.0,0.0,0.0,11.05,0
2017-04-07,10.91,11.19,11.2,11.08,511
2017-04-10,0.0,0.0,0.0,11.12,0
2017-04-11,0.0,0.0,0.0,11.19,0
2017-04-12,0.0,0.0,0.0,10.77,0
2017-04-13,0.0,0.0,0.0,11.04,8
2017-04-17,0.0,0.0,0.0,10.99,0
2017-04-18,0.0,0.0,0.0,10.8,117057
2017-04-19,0.0,0.0,0.0,11.25,0
2017-04-20,0.0,0.0,0.0,10.91,0
2017-04-21,0.0,0.0,0.0,10.86,0
2017-04-24,0.0,0.0,0.0,10.88,0
2017-04-25,0.0,0.0,0.0,11.19,0
2017-04-26,0.0,0.0,0.0,10.97,0
2017-04-27,0.0,0.0,0.0,10.75,122435
2017-04-28,0.0,0.0,0.0,11.27,0
2017-05-01,0.0,0.0,0.0,11.13,0
2017-05-02,11.28,11.87,11.48,11.64,9591
2017-05-03,11.32,11.36,11.5,11.69,110
2017-05-04,11.75,11.55,11.53,11.93,739
2017-05-05,0.0,0.0,0.0,11.92,2095
2017-05-08,0.0,0.0,0.0,12.02,0
2017-05-09,0.0,0.0,0.0,11.79,0
2017-05-10,0.0,0.0,0.0,11.86,0
2017-05-11,0.0,0.0,0.0,11.89,37677
2017-05-12,0.0,0.0,0.0,11.66,0
2017-05-15,0.0,0.0,0.0,11.54,103
2017-05-16,0.0,0.0,0.0,11.66,0
2017-05-17,0.0,0.0,0.0,11.7,1300
2017-05-18,11.31,10.96,11.2,11.22,9518
2017-05-19,0.0,0.0,0.0,11.26,3038
2017-05-22,0.0,0.0,0.0,11.17,0
2017-05-23,11.0,11.0,11.0,11.0,188
2017-05-24,0.0,0.0,0.0,11.0,0
2017-05-25,0.0,0.0,0.0,11.0,1
2017-05-26,0.0,0.0,0.0,11.0,0
2017-05-30,0.0,0.0,0.0,11.0,0
2017-05-31,0.0,0.0,0.0,11.0,0
2017-06-01,0.0,0.0,0.0,11.0,0
2017-06-02,11.52,11.22,11.05,11.24,160
2017-06-05,0.0,0.0,0.0,11.28,0
2017-06-06,0.0,0.0,0.0,11.44,0
2017-06-07,11.3,11.36,11.29,11.13,1154
2017-06-08,0.0,0.0,0.0,11.2,0
2017-06-09,0.0,0.0,0.0,11.36,312753
2017-06-12,11.69,12.0,11.7,11.6,5393
2017-06-13,0.0,0.0,0.0,11.7,0
2017-06-14,0.0,0.0,0.0,11.6,3011
2017-06-15,0.0,0.0,0.0,11.3,0
2017-06-16,0.0,0.0,0.0,11.8,0
2017-06-19,10.99,11.35,11.4,11.35,6421
2017-06-20,11.09,11.25,11.33,11.26,128
2017-06-21,0.0,0.0,0.0,10.97,3
2017-06-22,10.74,10.87,10.99,10.67,4192
2017-06-23,0.0,0.0,0.0,10.73,0
2017-06-26,0.0,0.0,0.0,10.97,0
2017-06-27,0.0,0.0,0.0,11.09,20
2017-06-28,0.0,0.0,0.0,10.88,0
2017-06-29,0.0,0.0,0.0,10.85,0
2017-06-30,10.37,10.6,10.84,10.39,4351
2017-07-03,10.4,10.5,10.8,10.7,287
2017-07-05,0.0,0.0,0.0,10.8,0
2017-07-06,0.0,0.0,0.0,10.8,0
2017-07-07,10.46,10.32,10.0,10.0,7362
2017-07-10,0.0,0.0,0.0,10.0,0
2017-07-11,0.0,0.0,0.0,10.0,3
2017-07-12,0.0,0.0,0.0,10.0,0
2017-07-13,0.0,0.0,0.0,10.0,0
2017-07-14,0.0,0.0,0.0,10.0,0
2017-07-17,0.0,0.0,0.0,10.0,0
2017-07-18,0.0,0.0,0.0,10.0,0
2017-07-19,0.0,0.0,0.0,10.0,0
2017-07-20,0.0,0.0,0.0,10.0,0
2017-07-21,0.0,0.0,0.0,10.0,0
2017-07-24,0.0,0.0,0.0,10.0,0
2017-07-25,0.0,0.0,0.0,10.0,0
2017-07-26,10.9,11.2,11.1,10.7,615
2017-07-27,11.86,11.7,11.41,11.31,1112
2017-07-28,0.0,0.0,0.0,11.37,0
2017-07-31,0.0,0.0,0.0,11.86,0
2017-08-01,0.0,0.0,0.0,11.71,22
2017-08-02,0.0,0.0,0.0,11.67,0
2017-08-03,0.0,0.0,0.0,11.45,0
2017-08-04,0.0,0.0,0.0,11.49,917
2017-08-07,0.0,0.0,0.0,11.31,0
2017-08-08,12.0,11.97,11.83,11.81,3034
2017-08-09,0.0,0.0,0.0,11.63,0
2017-08-10,0.0,0.0,0.0,11.63,0
2017-08-11,0.0,0.0,0.0,11.82,0
2017-08-14,0.0,0.0,0.0,11.95,0
2017-08-15,0.0,0.0,0.0,11.57,0
2017-08-16,0.0,0.0,0.0,11.78,0
2017-08-17,0.0,0.0,0.0,12.01,0
2017-08-18,0.0,0.0,0.0,11.6,0
2017-08-21,0.0,0.0,0.0,11.96,3
2017-08-22,0.0,0.0,0.0,11.7,0
2017-08-23,0.0,0.0,0.0,11.58,690
2017-08-24,0.0,0.0,0.0,12.11,0
2017-08-25,0.0,0.0,0.0,12.08,0
2017-08-28,10.96,11.06,10.97,11.32,5893
2017-08-29,0.0,0.0,0.0,11.09,0
2017-08-30,0.0,0.0,0.0,11.46,0
2017-08-31,10.49,10.95,10.59,10.72,865
2017-09-01,0.0,0.0,0.0,10.66,0
2017-09-05,10.84,10.85,11.03,11.14,1326
2017-09-06,0.0,0.0,0.0,10.93,0
2017-09-07,0.0,0.0,0.0,10.95,0
2017-09-08,0.0,0.0,0.0,10.84,53622
2017-09-11,0.0,0.0,0.0,10.83,10
2017-09-12,0.0,0.0,0.0,11.11,0
2017-09-13,11.0,10.5,10.7,10.8,287
2017-09-14,0.0,0.0,0.0,10.7,0
2017-09-15,10.8,10.8,10.7,10.5,345
2017-09-18,10.95,10.82,10.91,11.15,2726
2017-09-19,0.0,0.0,0.0,11.29,0
2017-09-20,0.0,0.0,0.0,11.2,0
2017-09-21,10.82,11.22,10.93,11.08,1537
2017-09-22,11.24,11.18,10.78,11.14,453
2017-09-25,0.0,0.0,0.0,10.95,0
2017-09-26,0.0,0.0,0.0,11.06,0
2017-09-27,0.0,0.0,0.0,10.75,0
