date,open,high,low,close,volume
2017-01-03,4.45,4.55,4.5,4.5,14173
2017-01-04,4.3,4.44,4.4,4.39,1390
2017-01-05,4.38,4.47,4.38,4.6,640
2017-01-06,4.4,4.66,4.51,4.56,5951
2017-01-09,4.61,4.6,4.48,4.4,2310
2017-01-10,4.57,4.4,4.45,4.5,14067
2017-01-11,4.43,4.45,4.5,4.4,2761
2017-01-12,4.54,4.53,4.3,4.44,8983
2017-01-13,4.61,4.59,4.47,4.52,463
2017-01-17,4.63,4.58,4.3,4.31,10942
2017-01-18,4.44,4.42,4.56,4.38,543
2017-01-19,4.53,4.57,4.43,4.51,10445
2017-01-20,4.45,4.55,4.43,4.4,2882
2017-01-23,4.47,4.73,4.4,4.61,5508
2017-01-24,4.65,4.53,4.56,4.53,834
2017-01-25,4.58,4.59,4.42,4.48,588
2017-01-26,0.0,0.0,0.0,4.41,120
2017-01-27,4.3,4.4,4.27,4.27,6140
2017-01-30,4.2,4.38,4.09,4.28,9616
2017-01-31,4.25,4.32,4.35,4.32,1540
2017-02-01,4.22,4.2,4.28,4.25,1836
2017-02-02,4.14,4.29,4.27,4.23,982
2017-02-03,4.1,4.17,4.16,4.2,3767
2017-02-06,4.21,4.18,4.09,4.09,1270
2017-02-07,4.0,4.0,4.0,4.0,2219
2017-02-08,4.15,4.12,4.01,4.1,2638
2017-02-09,4.11,4.04,4.06,4.14,558
2017-02-10,4.03,4.2,4.08,4.0,2008
2017-02-13,4.16,4.22,4.11,4.0,2805
2017-02-14,4.19,4.11,4.0,4.0,2240
2017-02-15,4.2,4.22,4.18,4.05,695
2017-02-16,4.28,4.35,4.24,4.26,1200
2017-02-17,4.25,4.17,4.18,4.31,4753
2017-02-21,4.19,4.27,4.16,4.14,4381
2017-02-22,4.37,4.29,4.32,4.19,1836
2017-02-23,0.0,0.0,0.0,4.35,1507
2017-02-24,4.34,4.38,4.27,4.29,603
2017-02-27,4.61,4.62,4.34,4.6,3590
2017-02-28,4.36,4.53,4.53,4.48,336
2017-03-01,4.2,4.32,4.38,4.44,1311
2017-03-02,4.43,4.5,4.27,4.56,2286
2017-03-03,4.45,4.5,4.4,4.47,1441
2017-03-06,4.47,4.52,4.3,4.33,1546
2017-03-07,4.56,4.49,4.56,4.43,926
2017-03-08,0.0,0.0,0.0,4.51,0
2017-03-09,0.0,0.0,0.0,4.47,828
2017-03-10,0.0,0.0,0.0,4.49,0
2017-03-13,4.42,4.43,4.43,4.41,2338
2017-03-14,4.53,4.54,4.62,4.61,639
2017-03-15,4.41,4.81,4.55,4.43,8019
2017-03-16,4.55,4.54,4.51,4.57,1155
2017-03-17,4.66,4.62,4.59,4.58,2075
2017-03-20,4.64,4.86,4.63,4.75,1651
2017-03-21,4.8,4.99,4.67,4.82,1396
2017-03-22,4.66,4.71,4.71,4.82,366
2017-03-23,4.95,4.85,4.94,4.91,338
2017-03-24,4.71,4.75,4.85,4.84,511
2017-03-27,4.96,5.12,4.82,4.86,8276
2017-03-28,4.9,5.06,4.9,4.99,8737
2017-03-29,5.14,5.09,5.02,5.0,4182
2017-03-30,5.1,5.04,4.9,5.05,607
2017-03-31,5.01,5.07,5.1,5.12,816
2017-04-03,5.0,5.0,4.93,5.12,2501
2017-04-04,5.15,5.0,5.06,5.13,1936
2017-04-05,5.09,5.15,5.19,5.17,585
2017-04-06,5.1,5.13,4.9,5.24,3109
2017-04-07,0.0,0.0,0.0,5.16,61
2017-04-10,5.0,5.17,5.01,4.98,594
2017-04-11,4.97,4.98,5.14,5.14,663
2017-04-12,5.01,4.87,4.91,4.85,123433
2017-04-13,4.87,4.92,5.0,4.9,61805
2017-04-17,5.05,5.05,4.8,5.2,5893
2017-04-18,4.9,4.9,5.1,5.1,296
2017-04-19,4.93,4.96,4.87,4.86,1269
2017-04-20,5.03,4.99,5.03,5.15,184
2017-04-21,5.01,4.9,4.95,4.84,1305
2017-04-24,4.97,5.1,4.87,5.16,1324
2017-04-25,5.24,5.09,5.01,4.94,1123
2017-04-26,0.0,0.0,0.0,4.86,35
2017-04-27,4.85,5.18,4.97,5.17,966
2017-04-28,4.9,5.17,4.85,4.9,3849
2017-05-01,4.9,4.8,4.8,4.8,20662
2017-05-02,4.91,4.9,5.06,5.11,11589
2017-05-03,5.03,5.0,5.08,4.94,242
2017-05-04,5.03,5.24,5.11,5.29,739
2017-05-05,4.82,4.91,5.03,5.08,1138
2017-05-08,4.91,4.82,4.95,4.9,2382
2017-05-09,4.85,4.84,4.7,4.77,2837
2017-05-10,4.78,4.74,4.58,4.62,13374
2017-05-11,4.38,4.7,4.59,4.6,13860
2017-05-12,4.75,4.91,4.76,4.56,942
2017-05-15,4.95,4.81,4.79,5.0,1640
2017-05-16,4.7,4.89,4.81,4.91,5264
2017-05-17,4.92,4.82,4.73,4.71,1473
2017-05-18,4.79,4.94,4.55,4.52,956
2017-05-19,4.7,4.74,4.75,4.8,910
2017-05-22,5.01,5.06,4.96,4.95,503
2017-05-23,4.95,4.96,4.91,4.94,4908
2017-05-24,4.87,5.02,4.84,4.88,3005
2017-05-25,5.0,4.97,4.94,5.0,1347
2017-05-26,5.07,5.08,5.05,5.07,1519
2017-05-30,0.0,0.0,0.0,4.97,53
2017-05-31,5.18,5.31,5.23,5.15,790
2017-06-01,5.12,5.19,5.15,5.23,3287
2017-06-02,0.0,0.0,0.0,5.1,131
2017-06-05,4.96,5.07,5.14,5.11,2634
2017-06-06,5.14,5.27,5.22,5.09,189
2017-06-07,5.07,5.14,5.14,5.16,207
2017-06-08,5.05,5.15,4.9,4.89,602
2017-06-09,5.11,5.0,5.1,5.0,4201
2017-06-12,5.05,4.97,4.97,4.95,605
