date,open,high,low,close,volume
2017-01-03,12.11,12.19,12.08,11.9,82930
2017-01-04,12.37,12.62,11.99,12.08,84388
2017-01-05,12.82,12.38,12.22,12.26,119034
2017-01-06,12.62,12.33,12.34,12.48,60113
2017-01-09,12.33,12.64,12.25,12.39,101091
2017-01-10,12.56,12.43,12.24,12.51,47027
2017-01-11,12.46,12.6,12.24,12.6,107701
2017-01-12,12.54,12.82,12.6,12.46,194124
2017-01-13,12.59,12.85,12.57,13.06,55830
2017-01-17,12.87,12.41,12.7,12.59,110248
2017-01-18,12.99,12.6,12.6,12.83,72704
2017-01-19,12.5,12.5,12.21,12.62,44294
2017-01-20,12.76,12.71,12.39,12.93,29803
2017-01-23,12.54,13.1,12.45,12.71,62760
2017-01-24,12.69,12.8,12.5,12.81,63963
2017-01-25,12.98,12.96,12.49,12.76,58753
2017-01-26,12.79,12.88,12.47,12.69,44474
2017-01-27,12.77,12.86,12.27,12.54,73387
2017-01-30,12.35,12.88,12.08,12.49,105413
2017-01-31,12.8,12.47,11.92,12.43,117913
2017-02-01,12.61,13.01,12.4,12.6,115759
2017-02-02,13.23,13.04,12.4,12.65,64407
2017-02-03,12.64,12.66,12.57,12.3,66455
2017-02-06,12.4,12.65,12.5,12.1,47733
2017-02-07,12.62,12.5,12.15,12.0,76986
2017-02-08,12.6,12.2,12.09,12.0,62305
2017-02-09,12.49,12.69,12.21,12.44,69696
2017-02-10,12.22,12.69,12.1,12.45,50012
2017-02-13,12.28,12.7,12.43,12.51,73439
2017-02-14,12.45,12.58,12.3,12.44,55825
2017-02-15,12.6,12.93,12.39,12.33,128257
2017-02-16,12.7,12.86,12.38,12.55,91123
2017-02-17,12.75,12.81,12.08,12.44,61826
2017-02-21,12.46,12.7,12.49,12.4,164159
2017-02-22,12.4,12.3,12.3,12.12,53886
2017-02-23,12.36,12.4,12.5,12.12,62732
2017-02-24,12.28,12.38,12.3,12.24,106079
2017-02-27,12.28,12.56,12.49,12.6,71362
2017-02-28,12.42,12.3,12.13,12.59,78617
2017-03-01,12.34,12.28,12.34,12.2,107968
2017-03-02,12.5,12.46,11.65,12.29,73834
2017-03-03,12.22,13.0,12.09,11.97,52464
2017-03-06,12.13,12.04,12.06,12.48,59161
2017-03-07,11.9,12.0,12.38,11.99,37027
2017-03-08,11.9,12.04,11.9,12.44,46425
2017-03-09,11.85,12.17,11.96,12.1,58667
2017-03-10,12.2,12.5,11.49,12.1,55850
2017-03-13,12.27,12.11,11.68,12.17,84030
2017-03-14,11.95,12.4,11.68,11.89,64917
2017-03-15,12.0,12.0,12.12,12.37,57245
2017-03-16,12.46,12.49,11.92,12.33,61256
2017-03-17,12.19,12.46,11.71,12.02,138610
2017-03-20,12.24,12.7,12.43,12.6,99836
2017-03-21,12.12,12.6,12.34,12.26,35557
2017-03-22,12.0,12.0,11.84,12.34,55346
2017-03-23,12.27,12.32,12.45,12.24,39959
2017-03-24,12.9,12.6,12.09,11.98,77492
2017-03-27,12.09,12.14,12.31,12.01,33006
2017-03-28,12.43,12.2,12.2,12.0,66476
2017-03-29,12.32,12.48,12.5,12.61,49263
2017-03-30,12.6,12.35,12.0,12.21,88516
2017-03-31,12.14,12.07,12.01,12.01,73890
2017-04-03,12.22,12.5,12.4,12.6,72829
2017-04-04,12.6,12.22,12.05,12.3,46400
2017-04-05,12.45,12.48,12.43,12.78,232390
2017-04-06,12.81,12.55,12.18,12.7,106397
2017-04-07,12.72,13.07,12.44,12.99,73592
2017-04-10,12.61,13.05,12.88,13.0,115617
2017-04-11,12.72,13.13,12.5,12.52,129669
2017-04-12,12.88,12.56,12.92,12.52,69411
2017-04-13,12.17,12.66,12.5,12.72,70842
2017-04-17,0.0,0.0,0.0,12.72,0
2017-04-18,13.0,13.12,12.3,12.78,73820
2017-04-19,13.03,12.81,12.6,12.65,104512
2017-04-20,12.81,12.94,12.28,12.29,113863
2017-04-21,12.75,12.7,12.42,12.6,64978
2017-04-24,13.0,12.7,12.5,12.9,47968
2017-04-25,13.0,12.7,12.3,12.4,67136
2017-04-26,12.37,12.95,12.3,12.89,89430
2017-04-27,12.7,12.69,12.85,12.89,58301
2017-04-28,12.96,13.23,12.5,12.8,51940
2017-05-01,0.0,0.0,0.0,13.1,0
2017-05-02,12.6,12.63,12.54,12.65,140345
2017-05-03,12.4,13.01,11.93,12.7,166738
2017-05-04,12.0,12.56,12.45,12.31,86238
2017-05-05,12.51,12.57,12.12,12.74,79732
2017-05-08,12.2,12.24,12.5,12.6,58324
2017-05-09,12.16,12.8,12.02,12.41,70168
2017-05-10,12.4,12.66,12.73,12.6,89969
2017-05-11,12.64,12.7,12.23,12.49,60354
2017-05-12,12.38,12.73,12.62,12.76,44201
2017-05-15,12.89,12.76,12.51,12.86,58924
2017-05-16,12.7,12.5,12.38,12.91,63432
2017-05-17,13.0,12.89,12.67,12.83,82871
2017-05-18,12.9,13.03,12.4,12.76,50588
2017-05-19,12.92,13.01,12.39,12.76,63801
2017-05-22,12.99,13.0,12.75,13.1,72745
2017-05-23,13.22,13.32,13.32,13.49,56102
2017-05-24,13.28,13.16,12.95,13.42,49287
2017-05-25,13.13,13.34,13.18,13.55,65111
2017-05-26,13.69,14.0,12.97,13.62,57984
2017-05-30,13.3,13.9,13.3,13.48,104426
2017-05-31,13.18,13.81,13.27,13.63,82068
2017-06-01,13.57,13.37,12.98,13.33,74072
2017-06-02,12.9,13.74,13.23,13.08,54809
2017-06-05,13.71,13.93,13.42,13.22,60157
2017-06-06,13.47,13.34,12.98,13.25,82566
2017-06-07,13.33,13.2,13.31,13.61,60333
2017-06-08,13.24,13.43,13.1,13.39,105276
2017-06-09,12.99,13.35,13.29,13.44,84361
2017-06-12,13.57,13.25,13.2,13.45,56322
2017-06-13,13.17,13.45,11.8,12.17,654838
2017-06-14,12.64,12.45,12.6,12.59,195765
2017-06-15,12.32,12.6,12.48,12.0,162946
2017-06-16,12.32,12.73,12.08,12.86,259080
2017-06-19,12.56,12.68,12.0,12.42,129251
2017-06-20,12.5,12.33,12.0,12.26,144526
2017-06-21,12.47,12.62,12.02,12.03,93237
2017-06-22,12.2,12.1,12.3,12.33,67216
2017-06-23,12.0,12.2,12.24,12.16,89669
2017-06-26,12.27,12.41,11.81,12.22,66556
2017-06-27,12.28,12.07,11.92,11.8,59689
2017-06-28,12.15,11.96,11.9,12.0,91776
2017-06-29,11.98,12.0,11.67,12.11,118257
2017-06-30,11.87,11.87,11.93,11.73,62885
2017-07-03,11.24,11.68,11.67,11.77,85486
2017-07-05,11.59,11.81,11.62,11.9,122606
2017-07-06,11.34,11.79,11.33,11.7,129571
2017-07-07,11.51,11.84,11.39,11.62,86694
2017-07-10,11.1,11.67,11.0,11.2,62916
2017-07-11,11.22,11.57,11.14,11.34,126048
2017-07-12,11.2,11.3,10.85,11.16,59272
2017-07-13,11.68,11.45,11.4,11.6,134130
2017-07-14,11.17,11.48,11.41,11.45,71073
2017-07-17,11.39,11.47,11.22,11.32,47439
2017-07-18,11.71,11.96,11.12,11.57,92971
2017-07-19,11.2,12.03,11.51,11.55,148293
2017-07-20,11.7,11.95,11.7,11.64,52314
2017-07-21,11.6,12.0,11.6,11.57,122945
2017-07-24,11.53,11.98,11.35,11.74,84067
2017-07-25,11.0,11.47,10.96,11.9,45702
2017-07-26,11.55,11.63,11.61,11.58,87417
2017-07-27,11.62,11.7,11.36,11.86,59653
2017-07-28,11.46,12.06,11.65,11.88,83943
2017-07-31,11.77,12.03,11.65,11.71,49677
2017-08-01,11.53,11.85,11.84,11.75,55726
2017-08-02,11.94,11.61,11.67,11.3,85549
2017-08-03,11.32,11.81,11.46,11.58,57308
2017-08-04,11.35,12.17,11.66,11.73,63770
2017-08-07,12.18,11.9,11.84,11.89,63802
2017-08-08,11.32,12.08,11.55,11.76,56762
2017-08-09,11.39,11.82,11.45,11.44,52405
2017-08-10,11.48,11.5,11.28,11.55,39840
2017-08-11,12.0,11.49,10.9,11.0,61951
2017-08-14,11.11,11.5,10.47,11.3,65309
2017-08-15,11.5,11.5,11.45,11.56,41235
2017-08-16,11.48,11.75,11.72,11.88,58309
2017-08-17,11.95,12.0,11.6,11.47,94610
2017-08-18,12.19,11.98,11.48,11.97,30406
2017-08-21,11.56,11.84,11.85,11.47,40888
2017-08-22,12.1,12.0,11.7,11.9,24486
2017-08-23,11.5,11.7,11.39,11.79,31712
2017-08-24,11.74,11.69,11.38,11.29,53333
2017-08-25,11.57,11.78,11.52,11.6,34038
2017-08-28,0.0,0.0,0.0,11.2,0
2017-08-29,11.62,11.82,11.25,11.26,49154
2017-08-30,11.4,11.53,11.28,11.16,59781
2017-08-31,11.0,11.36,11.01,11.2,53788
2017-09-01,10.92,11.43,10.98,11.3,41698
2017-09-05,11.28,10.86,10.91,10.9,63331
2017-09-06,10.68,11.1,10.54,11.23,52646
2017-09-07,11.17,11.06,10.78,10.84,37033
2017-09-08,10.7,11.0,10.84,11.14,37736
2017-09-11,10.91,11.5,10.94,10.95,33258
2017-09-12,11.08,11.52,11.18,11.23,128485
2017-09-13,11.09,11.27,10.8,11.05,80843
2017-09-14,11.22,11.01,11.1,10.82,103999
2017-09-15,10.72,11.02,10.91,11.22,167273
2017-09-18,11.2,11.5,10.9,11.13,83835
2017-09-19,10.99,11.11,10.72,11.41,68577
2017-09-20,11.08,11.61,11.35,11.62,75260
2017-09-21,11.33,11.18,11.01,11.45,69250
2017-09-22,10.96,11.0,10.94,10.96,31814
2017-09-25,11.04,11.49,11.1,10.95,56825
2017-09-26,11.09,11.45,10.87,11.36,43252
2017-09-27,11.19,11.35,10.9,11.2,51708
2017-09-28,11.46,11.33,11.1,10.9,41402
2017-09-29,11.34,11.06,11.0,10.98,57275
2017-10-02,11.07,11.51,11.37,11.26,62425
2017-10-03,11.24,11.15,11.1,11.27,27189
2017-10-04,11.33,11.38,11.4,11.49,326037
2017-10-05,11.57,11.62,10.95,11.7,154749
2017-10-06,11.56,11.61,11.12,11.2,188692
2017-10-09,12.13,12.1,11.4,11.81,83165
2017-10-10,11.9,12.5,11.7,12.46,152298
2017-10-11,12.7,12.51,12.4,12.59,176530
2017-10-12,12.3,12.5,12.02,13.0,58412
2017-10-13,12.02,13.0,12.04,11.83,56896
2017-10-16,12.39,12.48,12.09,12.08,101444
2017-10-17,12.37,12.35,12.25,12.77,113610
2017-10-18,12.4,12.88,12.62,12.86,84936
2017-10-19,12.57,12.78,12.46,12.6,56171
2017-10-20,12.55,12.71,12.1,12.0,173208
2017-10-23,12.09,12.25,12.3,12.0,57144
2017-10-24,12.18,12.73,12.15,12.2,88029
2017-10-25,12.5,12.6,12.31,12.5,83638
2017-10-26,12.67,12.4,12.17,12.5,85169
2017-10-27,12.4,12.44,12.46,12.55,124060
2017-10-30,12.64,12.49,12.51,12.24,83158
2017-10-31,12.73,12.2,12.09,12.5,85628
2017-11-01,12.13,12.78,12.2,12.43,62301
2017-11-02,12.83,12.81,12.89,12.82,83235
2017-11-03,12.67,13.02,12.58,12.88,106428
2017-11-06,13.1,12.96,13.02,13.0,86417
2017-11-07,13.24,13.41,12.9,12.94,113920
2017-11-08,12.86,12.89,12.82,13.1,50582
2017-11-09,13.32,13.11,13.21,13.03,75251
2017-11-10,13.2,12.91,12.71,12.46,139641
2017-11-13,12.62,12.92,12.85,12.45,44596
2017-11-14,12.65,13.0,12.74,12.84,56854
2017-11-15,12.92,13.23,12.53,12.96,77575
2017-11-16,12.61,13.32,12.5,12.95,66219
2017-11-17,13.0,12.98,12.52,12.12,234090
2017-11-20,12.3,12.64,11.8,11.8,126505
2017-11-21,12.0,12.24,12.11,12.14,199838
2017-11-22,12.19,12.81,12.34,13.21,119550
2017-11-24,12.6,12.8,12.3,12.0,170541
2017-11-27,12.7,12.46,11.8,12.0,93824
