date,open,high,low,close,volume
2017-01-03,3.16,3.25,2.9,2.98,3950
2017-01-04,3.05,3.07,2.9,3.07,2717
2017-01-05,3.09,3.13,2.87,3.0,9694
2017-01-06,3.0,3.0,2.89,2.91,7855
2017-01-09,3.01,3.0,2.83,2.84,7249
2017-01-10,2.83,3.0,2.85,2.91,9784
2017-01-11,2.8,3.17,2.9,2.88,8533
2017-01-12,3.0,3.18,2.59,2.9,34225
2017-01-13,2.76,3.11,2.6,2.92,19330
2017-01-17,3.01,3.27,2.89,3.0,6920
2017-01-18,3.19,3.33,2.89,2.97,4351
2017-01-19,3.08,3.3,3.0,2.99,17170
2017-01-20,3.0,3.29,3.08,3.13,18615
2017-01-23,3.0,3.0,2.97,3.0,13987
2017-01-24,2.97,3.3,2.99,3.17,10029
2017-01-25,3.24,3.26,3.0,3.22,5973
2017-01-26,3.3,3.29,3.04,3.15,3297
2017-01-27,3.3,3.49,3.0,3.31,21822
2017-01-30,3.4,3.5,3.0,3.06,15419
2017-01-31,3.28,3.38,3.0,3.05,5527
2017-02-01,2.96,3.0,3.0,3.0,4576
2017-02-02,3.0,3.18,3.0,3.09,3634
2017-02-03,2.77,3.11,2.78,2.95,5739
2017-02-06,2.78,2.99,2.7,2.7,4622
2017-02-07,2.79,3.02,2.58,2.78,29144
2017-02-08,2.68,2.8,2.6,2.66,17524
2017-02-09,2.63,2.76,2.57,2.6,43929
2017-02-10,2.6,2.71,2.5,2.5,31410
2017-02-13,2.5,2.6,2.51,2.6,7017
2017-02-14,2.6,2.99,2.46,2.7,9933
2017-02-15,2.82,2.77,2.5,2.7,13550
2017-02-16,2.83,2.82,2.66,2.66,4833
2017-02-17,2.73,2.83,2.6,2.67,9558
2017-02-21,2.26,2.83,2.29,2.71,47700
2017-02-22,2.87,2.88,2.6,2.76,8529
2017-02-23,2.81,3.83,2.54,3.24,137955
2017-02-24,3.39,3.6,3.18,3.6,107445
2017-02-27,3.53,4.07,3.41,3.89,260305
2017-02-28,3.79,3.88,3.0,3.02,270103
2017-03-01,2.94,2.94,2.22,2.6,150904
2017-03-02,2.7,2.7,2.14,2.33,306254
2017-03-03,2.36,2.74,2.26,2.4,371391
2017-03-06,2.3,2.41,1.83,1.95,239159
2017-03-07,1.86,2.32,1.7,1.8,352414
2017-03-08,1.75,1.83,1.6,1.74,190872
2017-03-09,1.65,2.02,1.4,1.58,391303
2017-03-10,1.6,1.8,1.39,1.54,1288629
2017-03-13,1.5,1.53,1.38,1.44,69851
2017-03-14,1.48,1.6,1.34,1.43,425405
