date,open,high,low,close,volume
2017-01-03,4.62,4.6,4.52,4.6,2017
2017-01-04,4.5,4.5,4.7,4.7,50279
2017-01-05,4.5,4.5,4.31,4.6,38842
2017-01-06,4.5,4.5,4.6,4.5,2069
2017-01-09,4.43,4.6,4.51,4.49,2138
2017-01-10,0.0,0.0,0.0,4.41,0
2017-01-11,0.0,0.0,0.0,4.44,0
2017-01-12,0.0,0.0,0.0,4.52,0
2017-01-13,4.37,4.48,4.47,4.39,2769
2017-01-17,4.4,4.5,4.3,4.4,11001
2017-01-18,4.5,4.5,4.35,4.39,7336
2017-01-19,4.3,4.3,4.3,4.3,1152
2017-01-20,4.39,4.38,4.32,4.19,4064
2017-01-23,4.28,4.4,4.38,4.24,3849
2017-01-24,4.25,4.3,4.33,4.4,1952
2017-01-25,4.37,4.5,4.2,4.3,43929
2017-01-26,0.0,0.0,0.0,4.35,0
2017-01-27,0.0,0.0,0.0,4.34,0
2017-01-30,4.1,4.4,4.25,4.19,3496
2017-01-31,4.4,4.4,4.3,4.2,15568
2017-02-01,4.42,4.41,4.48,4.47,520
2017-02-02,0.0,0.0,0.0,4.56,0
2017-02-03,4.4,4.3,4.3,4.3,102
2017-02-06,0.0,0.0,0.0,4.4,0
2017-02-07,4.26,4.36,4.0,4.0,1330
2017-02-08,0.0,0.0,0.0,4.0,0
2017-02-09,3.96,4.18,3.87,4.22,1452
2017-02-10,0.0,0.0,0.0,4.08,0
2017-02-13,0.0,0.0,0.0,4.14,0
2017-02-14,4.0,4.15,4.0,4.0,70729
2017-02-15,4.13,4.02,3.9,4.0,8193
2017-02-16,3.9,4.0,3.94,3.97,520
2017-02-17,4.1,4.0,4.0,3.9,501
2017-02-21,4.0,4.35,4.0,4.04,5162
2017-02-22,4.0,4.0,4.0,4.0,2286
2017-02-23,4.04,4.16,3.81,3.93,560297
2017-02-24,4.1,4.1,3.9,4.1,55537
2017-02-27,4.0,3.9,4.0,4.1,472984
2017-02-28,4.0,4.0,4.0,3.9,5164
2017-03-01,3.86,4.0,3.76,3.9,11488
2017-03-02,3.86,3.97,3.92,3.77,513
2017-03-03,3.98,3.9,3.92,4.0,5514
2017-03-06,4.0,4.0,3.9,4.0,1207
2017-03-07,0.0,0.0,0.0,4.1,0
2017-03-08,0.0,0.0,0.0,3.9,0
2017-03-09,0.0,0.0,0.0,4.0,0
2017-03-10,4.1,4.01,3.9,4.08,4572
2017-03-13,4.01,3.97,3.87,3.85,105
2017-03-14,4.0,3.9,4.0,3.8,1806
2017-03-15,4.01,3.88,3.89,3.95,833
2017-03-16,3.9,4.1,3.88,3.92,26921
2017-03-17,3.82,3.93,3.75,3.89,7745
2017-03-20,3.87,3.78,3.76,3.85,3651
2017-03-21,3.66,3.8,3.64,3.72,1028
2017-03-22,0.0,0.0,0.0,3.8,0
2017-03-23,3.77,3.77,3.79,3.88,10421
2017-03-24,0.0,0.0,0.0,3.93,0
2017-03-27,3.7,3.91,3.75,3.72,13409
2017-03-28,3.77,3.81,3.6,3.8,5933
2017-03-29,0.0,0.0,0.0,3.7,0
2017-03-30,3.7,3.76,3.7,3.91,2076
2017-03-31,3.69,3.82,3.66,3.81,3484
2017-04-03,0.0,0.0,0.0,3.89,0
2017-04-04,3.76,3.87,3.86,3.94,3327
2017-04-05,3.83,3.86,3.71,3.89,3281
2017-04-06,0.0,0.0,0.0,3.89,0
2017-04-07,0.0,0.0,0.0,3.81,0
2017-04-10,3.77,3.87,3.84,3.91,5228
2017-04-11,3.98,4.0,3.89,4.1,21643
2017-04-12,4.14,4.0,4.0,4.12,17967
2017-04-13,4.0,4.0,3.92,4.04,3989
2017-04-17,3.96,4.14,4.13,3.97,1077
2017-04-18,3.98,4.07,4.06,4.21,3051
2017-04-19,4.13,4.3,4.1,4.3,4866
2017-04-20,4.16,4.2,4.04,4.18,31941
2017-04-21,4.35,4.49,4.27,4.49,13039
2017-04-24,4.66,4.73,4.57,4.5,18554
2017-04-25,4.63,4.81,4.65,4.7,12157
2017-04-26,4.8,4.7,4.4,4.79,8322
2017-04-27,4.82,5.1,4.82,4.97,96371
2017-04-28,4.87,5.01,4.87,4.89,9018
2017-05-01,5.06,4.96,5.04,5.08,23756
2017-05-02,5.0,5.0,5.05,5.03,2435
2017-05-03,5.0,5.07,5.0,4.93,4858
2017-05-04,4.95,4.92,4.96,4.85,3027
2017-05-05,4.93,4.99,4.8,5.05,7821
2017-05-08,4.88,5.0,4.89,4.88,31462
2017-05-09,5.0,5.02,5.0,5.0,2059
2017-05-10,4.95,4.9,5.09,5.08,79422
2017-05-11,5.04,4.94,4.83,4.95,3533
2017-05-12,4.85,4.93,4.8,4.82,123700
2017-05-15,4.8,4.81,4.8,4.76,19477
2017-05-16,4.86,4.8,4.87,4.92,86863
2017-05-17,4.95,5.0,4.9,4.9,7111
2017-05-18,4.8,4.9,4.8,4.9,415
2017-05-19,4.6,4.96,4.7,4.87,2729
2017-05-22,0.0,0.0,0.0,4.92,0
2017-05-23,4.97,4.79,4.85,4.82,1635
2017-05-24,4.79,4.84,4.9,4.93,5977
2017-05-25,4.73,4.89,4.65,4.73,3560
2017-05-26,4.7,4.7,4.7,4.9,302
2017-05-30,4.68,4.9,4.84,4.8,2625
2017-05-31,4.69,4.78,4.83,4.84,3024
2017-06-01,4.7,4.85,4.81,4.86,1668
2017-06-02,4.84,4.8,4.66,4.65,35236
2017-06-05,4.73,4.88,4.7,4.75,6273
2017-06-06,4.69,4.6,4.65,4.73,3614
2017-06-07,4.65,4.65,4.58,4.56,2269
2017-06-08,4.69,4.74,4.65,4.6,10533
2017-06-09,4.59,4.63,4.49,4.59,7160
2017-06-12,4.59,4.8,4.52,4.8,8792
2017-06-13,4.8,4.8,4.9,5.0,25944
2017-06-14,4.63,4.74,4.6,4.88,4395
2017-06-15,4.89,4.86,4.87,4.96,7814
2017-06-16,4.86,4.9,4.5,4.9,634710
2017-06-19,4.9,4.99,4.77,4.9,30921
2017-06-20,4.77,5.01,4.85,4.87,43704
2017-06-21,4.93,5.0,5.1,5.0,13195
2017-06-22,5.11,5.03,5.0,4.96,39706
2017-06-23,5.0,4.92,4.88,5.08,15636
2017-06-26,4.84,5.15,4.72,5.18,295501
2017-06-27,5.32,5.34,5.15,5.13,13901
2017-06-28,5.2,5.1,5.27,5.3,11765
2017-06-29,5.0,5.04,5.0,5.0,3953
2017-06-30,5.0,5.0,5.17,5.0,2167
2017-07-03,0.0,0.0,0.0,5.2,0
2017-07-05,5.25,5.3,5.15,5.17,11285
2017-07-06,5.1,5.35,5.17,5.14,111504
2017-07-07,5.29,5.26,5.23,5.18,6906
2017-07-10,5.0,5.2,5.1,5.18,17030
2017-07-11,4.9,4.9,5.0,5.1,2127
2017-07-12,5.03,5.11,5.14,5.08,3202
2017-07-13,5.1,5.03,5.16,5.03,628
2017-07-14,5.19,5.19,5.2,5.18,3094
2017-07-17,5.04,5.12,5.16,5.27,2108
2017-07-18,5.09,5.18,5.16,5.11,2283
2017-07-19,5.14,5.08,5.0,5.15,7447
2017-07-20,5.0,5.0,5.1,4.9,3701
2017-07-21,5.0,5.0,5.0,4.9,17722
2017-07-24,5.04,4.96,5.07,4.89,29473
2017-07-25,4.8,4.88,5.0,4.96,8484
2017-07-26,5.06,4.99,5.0,5.15,414
2017-07-27,5.05,5.0,5.13,5.0,1335
2017-07-28,5.0,5.0,5.2,5.11,3858
2017-07-31,5.0,5.0,5.0,5.0,708
2017-08-01,5.04,5.19,5.24,5.06,512
2017-08-02,5.22,5.23,5.18,5.2,4649
2017-08-03,4.98,5.02,4.99,4.86,3869
2017-08-04,4.91,5.08,4.94,4.96,6292
2017-08-07,0.0,0.0,0.0,5.09,0
2017-08-08,5.01,4.98,5.12,5.0,10813
2017-08-09,5.0,5.23,5.0,5.03,5604
2017-08-10,5.04,5.1,5.0,5.0,15994
2017-08-11,5.04,5.02,4.67,4.9,14477
2017-08-14,4.84,4.74,4.4,4.58,20236
2017-08-15,4.51,4.73,4.39,4.69,15819
2017-08-16,4.66,4.61,4.48,4.44,5146
2017-08-17,4.44,4.45,4.3,4.56,21534
2017-08-18,4.56,4.4,4.45,4.4,6388
2017-08-21,4.5,4.62,4.4,4.4,6816
2017-08-22,4.44,4.57,4.45,4.36,24730
2017-08-23,4.43,4.44,4.41,4.51,1559
2017-08-24,4.45,4.41,4.4,4.46,1464
2017-08-25,4.38,4.43,4.52,4.37,6813
2017-08-28,4.52,4.56,4.51,4.49,2902
2017-08-29,4.42,4.5,4.41,4.4,8881
2017-08-30,4.55,4.48,4.47,4.36,4604
2017-08-31,4.56,4.54,4.46,4.47,7316
2017-09-01,4.44,4.52,4.54,4.54,2940
2017-09-05,4.4,4.45,4.34,4.38,2605
2017-09-06,4.55,4.51,4.5,4.51,3718
2017-09-07,4.4,4.5,4.4,4.5,4604
2017-09-08,4.4,4.4,4.6,4.6,1026
2017-09-11,4.62,4.55,4.46,4.44,17355
2017-09-12,4.46,4.79,4.56,4.76,23074
2017-09-13,4.8,4.9,4.6,4.67,10337
2017-09-14,4.68,4.82,4.76,4.85,1439
2017-09-15,4.69,4.65,4.8,4.8,3823
2017-09-18,4.75,4.87,4.72,4.71,2082
2017-09-19,4.67,4.73,4.56,4.71,11684
2017-09-20,4.7,4.76,4.7,4.69,2714
2017-09-21,4.8,4.7,4.7,4.72,21130
2017-09-22,4.69,4.73,4.59,4.72,1019
2017-09-25,4.74,4.64,4.72,4.84,3387
2017-09-26,4.6,4.79,4.76,4.68,24530
2017-09-27,4.58,4.79,4.56,4.64,1217
2017-09-28,4.68,4.8,4.69,4.83,11788
2017-09-29,4.7,4.79,4.64,4.7,43751
2017-10-02,4.65,4.76,4.65,4.81,1022
2017-10-03,4.65,4.79,4.65,4.73,3849
2017-10-04,4.8,4.9,4.8,4.9,940
2017-10-05,4.79,4.92,4.79,4.8,3379
2017-10-06,4.84,4.83,4.71,4.66,7225
2017-10-09,0.0,0.0,0.0,4.79,0
2017-10-10,4.6,4.6,4.68,4.75,2023
2017-10-11,4.58,4.66,4.61,4.57,523
2017-10-12,4.75,4.63,4.62,4.71,635
2017-10-13,4.57,4.74,4.64,4.69,1046
2017-10-16,4.66,4.61,4.5,4.52,33168
2017-10-17,4.5,4.51,4.5,4.6,183996
2017-10-18,4.54,4.56,4.57,4.47,522
2017-10-19,4.55,4.6,4.59,4.52,621
2017-10-20,4.68,4.6,4.67,4.6,1938
2017-10-23,0.0,0.0,0.0,4.6,0
2017-10-24,4.64,4.52,4.7,4.49,515
2017-10-25,4.6,4.61,4.7,4.57,5476
2017-10-26,4.76,4.72,4.68,4.59,2006
2017-10-27,4.66,4.71,4.75,4.77,5056
2017-10-30,4.73,4.74,4.6,4.5,9867
2017-10-31,4.56,4.87,4.52,4.75,5471
2017-11-01,4.8,4.85,4.5,4.6,20293
