date,open,high,low,close,volume
2017-01-03,43.3,44.4,44.2,44.14,20736
2017-01-04,45.6,45.64,44.58,45.9,10080
2017-01-05,46.22,45.81,45.54,47.42,4918
2017-01-06,45.31,46.0,45.62,46.0,15240
2017-01-09,46.8,47.21,47.3,46.69,7808
2017-01-10,48.52,47.82,48.2,47.37,5723
2017-01-11,48.61,48.85,48.2,49.0,31888
2017-01-12,49.7,49.46,49.56,48.5,4101
2017-01-13,48.2,50.7,50.05,50.4,14453
2017-01-17,48.0,48.95,49.0,48.89,21351
2017-01-18,49.05,48.12,48.97,48.0,7987
2017-01-19,49.3,49.8,47.61,48.74,9447
2017-01-20,49.38,49.7,49.3,50.6,13196
2017-01-23,48.7,49.65,50.0,50.68,14048
2017-01-24,49.8,48.5,49.85,49.7,11439
2017-01-25,48.5,49.78,48.57,49.0,17660
2017-01-26,50.33,50.68,50.84,50.3,9182
2017-01-27,48.81,48.93,49.31,49.6,15685
2017-01-30,48.4,48.79,50.28,49.71,9493
2017-01-31,49.9,50.0,51.47,51.41,4816
2017-02-01,50.17,50.2,51.0,50.06,8528
2017-02-02,50.33,51.0,51.62,50.0,4858
2017-02-03,51.4,50.0,49.7,50.74,41052
2017-02-06,50.53,51.39,49.24,50.0,4637
2017-02-07,51.0,51.3,51.9,51.1,6211
2017-02-08,54.13,55.6,51.65,53.8,24002
2017-02-09,56.1,56.65,53.13,55.63,7563
2017-02-10,53.75,55.6,53.5,55.07,6836
2017-02-13,54.69,55.84,56.19,54.0,2579
2017-02-14,56.69,58.19,56.45,55.2,4377
2017-02-15,55.29,57.43,55.22,54.92,8238
2017-02-16,57.35,57.8,56.8,57.14,4275
2017-02-17,56.0,56.69,55.9,57.17,9101
2017-02-21,56.5,57.28,57.0,55.31,9578
2017-02-22,57.26,57.61,56.46,56.54,4683
2017-02-23,57.0,55.6,57.3,56.6,304
2017-02-24,54.2,54.96,55.6,56.69,8472
2017-02-27,56.19,54.2,55.37,55.98,2353
2017-02-28,55.81,55.97,55.71,55.51,15759
2017-03-01,56.38,57.19,55.21,56.28,839
2017-03-02,55.0,56.02,56.61,54.4,3271
2017-03-03,55.71,54.93,55.09,56.75,1833
2017-03-06,56.77,57.57,54.4,57.1,5787
2017-03-07,57.5,57.5,54.46,55.3,12575
2017-03-08,56.93,56.02,55.79,55.88,14854
2017-03-09,56.75,56.7,55.55,56.9,8231
2017-03-10,56.2,55.85,56.74,57.0,6010
2017-03-13,56.4,55.0,56.1,56.05,8975
2017-03-14,57.4,56.75,57.03,56.9,8867
2017-03-15,56.16,57.46,55.68,58.16,1159
2017-03-16,58.53,58.31,58.73,59.03,2395
2017-03-17,59.12,58.0,58.1,59.51,4289
2017-03-20,58.0,58.44,59.0,59.44,2963
2017-03-21,57.95,58.24,57.21,58.46,1782
2017-03-22,57.38,58.11,58.61,58.21,3274
2017-03-23,58.4,58.53,57.11,58.67,825
2017-03-24,57.34,58.61,57.81,58.32,8656
2017-03-27,58.2,57.98,56.75,57.16,1659
2017-03-28,57.0,57.0,57.75,57.98,5389
2017-03-29,57.4,57.3,57.6,57.68,9687
2017-03-30,56.58,56.97,56.3,57.05,11799
2017-03-31,57.32,57.47,58.27,58.26,6740
2017-04-03,57.08,56.1,57.0,57.7,5265
2017-04-04,55.0,56.38,56.21,57.37,12580
2017-04-05,57.58,57.05,56.62,55.0,7069
2017-04-06,56.9,55.39,54.73,55.87,5850
2017-04-07,54.68,54.38,53.44,54.33,3761
2017-04-10,55.14,53.06,54.22,55.25,46106
2017-04-11,54.8,54.83,54.69,52.86,23730
2017-04-12,53.76,55.06,53.07,53.64,887
2017-04-13,54.6,54.65,55.2,54.29,2038
2017-04-17,54.54,54.32,54.1,54.12,374
2017-04-18,54.99,54.68,54.17,55.21,4565
2017-04-19,54.88,55.29,54.56,56.55,13740
2017-04-20,55.36,56.64,55.0,55.9,1275
2017-04-21,54.23,55.57,54.15,54.18,388
2017-04-24,56.64,57.73,55.74,55.83,20680
2017-04-25,57.05,57.11,57.33,57.59,3789
2017-04-26,55.7,58.9,56.3,58.24,15290
2017-04-27,58.77,56.9,56.37,54.88,27510
2017-04-28,55.54,56.46,54.16,55.27,10547
2017-05-01,56.92,56.37,55.36,55.54,1800
2017-05-02,57.1,56.67,56.0,58.39,12281
2017-05-03,58.37,59.87,57.2,57.98,8426
2017-05-04,56.85,57.12,53.23,55.14,5852
2017-05-05,55.01,53.79,54.41,55.58,5764
2017-05-08,56.24,56.23,54.63,56.41,7681
2017-05-09,54.3,55.01,54.2,54.37,9082
2017-05-10,55.24,54.15,53.5,53.73,3426
2017-05-11,54.0,55.11,55.4,55.9,2497
2017-05-12,57.41,55.84,56.58,55.34,4271
2017-05-15,55.62,56.58,57.0,54.6,6268
2017-05-16,56.3,57.75,55.5,57.91,8802
2017-05-17,56.91,56.73,56.06,57.67,3020
2017-05-18,57.8,57.34,55.44,57.37,1364
2017-05-19,57.0,57.97,56.0,57.54,1635
2017-05-22,58.8,58.0,59.2,57.27,15132
2017-05-23,59.0,60.25,58.0,57.75,833
2017-05-24,60.0,59.18,58.13,59.75,4666
2017-05-25,57.5,59.64,59.2,58.38,1758
2017-05-26,58.08,61.2,60.09,59.83,2590
2017-05-30,60.6,61.53,61.3,62.48,24280
2017-05-31,61.4,59.81,59.0,59.0,26110
2017-06-01,60.24,59.39,57.73,59.0,6736
2017-06-02,60.58,59.0,60.5,59.57,7557
2017-06-05,60.77,59.74,60.28,58.48,40125
2017-06-06,58.59,59.3,58.77,59.8,3167
2017-06-07,58.68,61.58,60.5,59.0,1390
2017-06-08,58.86,59.6,59.0,59.25,10628
2017-06-09,57.07,58.3,58.02,56.5,33527
2017-06-12,60.05,58.36,56.44,58.3,7708
2017-06-13,58.82,59.64,57.31,58.64,1244
2017-06-14,58.46,60.66,58.0,60.72,48822
2017-06-15,58.0,59.0,57.9,61.52,1627
2017-06-16,59.56,60.38,57.89,58.0,3096
2017-06-19,60.0,61.07,58.84,59.37,7786
2017-06-20,58.35,58.0,59.0,58.86,1696
2017-06-21,57.07,58.28,56.59,56.31,7785
2017-06-22,57.43,61.66,56.9,58.72,6380
2017-06-23,58.6,58.6,58.5,58.1,10902
2017-06-26,59.0,58.36,60.1,58.61,5914
2017-06-27,59.44,59.51,57.15,60.65,10505
2017-06-28,59.0,58.0,57.28,57.81,12225
2017-06-29,59.62,60.32,59.2,59.6,3436
2017-06-30,59.0,60.9,59.3,60.5,2757
2017-07-03,60.9,60.52,60.9,61.39,3615
2017-07-05,59.5,59.92,61.46,60.8,31651
2017-07-06,60.66,60.7,60.0,61.22,14003
2017-07-07,61.1,61.24,61.04,60.07,2109
2017-07-10,60.2,61.6,61.17,60.84,2067
