date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,21.4,62
2017-01-04,0.0,0.0,0.0,22.3,35
2017-01-05,0.0,0.0,0.0,22.0,0
2017-01-06,0.0,0.0,0.0,22.4,46
2017-01-09,0.0,0.0,0.0,21.6,0
2017-01-10,22.26,22.37,22.21,22.41,208
2017-01-11,21.83,22.37,21.97,21.78,201
2017-01-12,0.0,0.0,0.0,21.92,0
2017-01-13,0.0,0.0,0.0,21.9,0
2017-01-17,0.0,0.0,0.0,22.67,0
2017-01-18,0.0,0.0,0.0,22.49,0
2017-01-19,0.0,0.0,0.0,22.4,0
2017-01-20,0.0,0.0,0.0,22.27,0
2017-01-23,0.0,0.0,0.0,22.7,0
2017-01-24,0.0,0.0,0.0,22.67,0
2017-01-25,0.0,0.0,0.0,21.86,0
2017-01-26,0.0,0.0,0.0,22.65,0
2017-01-27,0.0,0.0,0.0,22.33,0
2017-01-30,0.0,0.0,0.0,22.75,12
2017-01-31,0.0,0.0,0.0,22.63,0
2017-02-01,0.0,0.0,0.0,22.59,10
2017-02-02,0.0,0.0,0.0,22.05,31
2017-02-03,0.0,0.0,0.0,22.42,0
2017-02-06,0.0,0.0,0.0,21.81,0
2017-02-07,0.0,0.0,0.0,21.97,0
2017-02-08,0.0,0.0,0.0,22.72,0
2017-02-09,0.0,0.0,0.0,21.76,0
2017-02-10,0.0,0.0,0.0,22.65,10
2017-02-13,0.0,0.0,0.0,22.69,0
2017-02-14,0.0,0.0,0.0,22.02,0
2017-02-15,0.0,0.0,0.0,22.45,0
2017-02-16,0.0,0.0,0.0,22.13,0
2017-02-17,0.0,0.0,0.0,22.4,0
2017-02-21,0.0,0.0,0.0,22.43,0
2017-02-22,0.0,0.0,0.0,22.53,0
2017-02-23,0.0,0.0,0.0,21.87,0
2017-02-24,0.0,0.0,0.0,21.83,0
2017-02-27,0.0,0.0,0.0,22.48,0
2017-02-28,0.0,0.0,0.0,22.8,0
2017-03-01,0.0,0.0,0.0,21.81,0
2017-03-02,0.0,0.0,0.0,21.83,0
2017-03-03,0.0,0.0,0.0,21.87,0
2017-03-06,0.0,0.0,0.0,22.44,0
2017-03-07,0.0,0.0,0.0,21.94,0
2017-03-08,0.0,0.0,0.0,22.51,0
2017-03-09,0.0,0.0,0.0,22.77,0
2017-03-10,0.0,0.0,0.0,22.3,0
2017-03-13,0.0,0.0,0.0,22.55,31
2017-03-14,21.9,21.6,22.4,21.6,209
2017-03-15,21.79,22.72,22.08,22.06,28500
2017-03-16,0.0,0.0,0.0,22.24,0
2017-03-17,23.45,23.24,24.1,24.3,404
2017-03-20,0.0,0.0,0.0,23.4,13
2017-03-21,0.0,0.0,0.0,24.0,0
2017-03-22,0.0,0.0,0.0,24.1,11
2017-03-23,0.0,0.0,0.0,24.0,2
2017-03-24,24.64,24.54,24.44,24.63,149
2017-03-27,0.0,0.0,0.0,24.06,81
2017-03-28,0.0,0.0,0.0,24.02,0
2017-03-29,0.0,0.0,0.0,24.63,36
2017-03-30,0.0,0.0,0.0,24.6,5
2017-03-31,23.26,22.77,23.19,22.89,1541
2017-04-03,0.0,0.0,0.0,22.95,0
2017-04-04,0.0,0.0,0.0,23.67,1
2017-04-05,21.63,21.25,21.39,21.02,666
2017-04-06,0.0,0.0,0.0,20.92,0
2017-04-07,0.0,0.0,0.0,21.53,0
2017-04-10,0.0,0.0,0.0,21.0,0
2017-04-11,0.0,0.0,0.0,21.77,0
2017-04-12,21.66,21.95,21.06,21.34,151
2017-04-13,21.0,21.62,22.0,22.06,569
2017-04-17,0.0,0.0,0.0,22.12,26
2017-04-18,0.0,0.0,0.0,22.11,0
2017-04-19,0.0,0.0,0.0,21.86,18
2017-04-20,0.0,0.0,0.0,22.14,1
2017-04-21,22.96,21.98,22.0,22.4,2048
2017-04-24,0.0,0.0,0.0,22.8,4
2017-04-25,0.0,0.0,0.0,22.2,0
2017-04-26,0.0,0.0,0.0,22.7,0
2017-04-27,23.19,22.89,23.06,23.0,104
2017-04-28,0.0,0.0,0.0,22.29,0
2017-05-01,0.0,0.0,0.0,22.34,2
2017-05-02,23.8,22.8,23.0,22.8,1044
2017-05-03,0.0,0.0,0.0,22.8,0
2017-05-04,0.0,0.0,0.0,23.2,0
2017-05-05,0.0,0.0,0.0,23.2,0
2017-05-08,23.01,22.79,22.79,22.97,304
2017-05-09,0.0,0.0,0.0,23.54,0
2017-05-10,0.0,0.0,0.0,23.62,0
2017-05-11,0.0,0.0,0.0,22.89,0
2017-05-12,0.0,0.0,0.0,23.64,0
2017-05-15,0.0,0.0,0.0,23.15,0
2017-05-16,24.18,24.63,24.62,23.81,488
2017-05-17,0.0,0.0,0.0,24.57,0
2017-05-18,0.0,0.0,0.0,23.76,53
2017-05-19,0.0,0.0,0.0,24.12,0
2017-05-22,0.0,0.0,0.0,24.58,0
2017-05-23,0.0,0.0,0.0,24.28,0
2017-05-24,23.82,23.91,23.66,24.02,213
2017-05-25,0.0,0.0,0.0,23.56,0
2017-05-26,0.0,0.0,0.0,24.49,0
2017-05-30,0.0,0.0,0.0,24.08,0
2017-05-31,22.36,22.73,22.9,22.52,110
2017-06-01,0.0,0.0,0.0,22.84,0
2017-06-02,0.0,0.0,0.0,23.04,0
2017-06-05,26.2,26.34,25.52,26.34,230
2017-06-06,0.0,0.0,0.0,25.69,0
