date,open,high,low,close,volume
2017-09-28,5.22,5.23,5.25,5.32,5139
2017-09-29,0.0,0.0,0.0,5.21,0
2017-10-02,0.0,0.0,0.0,5.25,0
2017-10-03,0.0,0.0,0.0,5.13,0
2017-10-04,0.0,0.0,0.0,5.3,0
2017-10-05,0.0,0.0,0.0,5.14,0
2017-10-06,0.0,0.0,0.0,5.28,0
2017-10-09,0.0,0.0,0.0,5.23,0
2017-10-10,0.0,0.0,0.0,5.1,0
2017-10-11,0.0,0.0,0.0,5.28,0
2017-10-12,0.0,0.0,0.0,5.31,0
2017-10-13,0.0,0.0,0.0,5.25,0
2017-10-16,0.0,0.0,0.0,5.17,0
2017-10-17,0.0,0.0,0.0,5.24,0
2017-10-18,0.0,0.0,0.0,5.24,0
2017-10-19,0.0,0.0,0.0,5.3,0
2017-10-20,0.0,0.0,0.0,5.17,0
2017-10-23,0.0,0.0,0.0,5.15,0
2017-10-24,0.0,0.0,0.0,5.23,0
2017-10-25,5.28,5.34,5.1,5.3,51386
2017-10-26,5.14,5.3,5.3,5.32,26404
2017-10-27,5.2,5.32,5.26,5.09,100105
2017-10-30,4.96,5.14,5.11,5.19,8491
2017-10-31,5.6,5.7,5.32,5.42,3128
2017-11-01,0.0,0.0,0.0,5.48,0
2017-11-02,0.0,0.0,0.0,5.47,302
2017-11-03,0.0,0.0,0.0,5.49,210
2017-11-06,0.0,0.0,0.0,5.62,7495
2017-11-07,5.21,5.28,5.21,5.29,51993
2017-11-08,0.0,0.0,0.0,5.33,51923
2017-11-09,4.95,4.88,5.08,5.03,475
2017-11-10,4.82,4.82,4.85,4.72,14077
2017-11-13,4.75,4.88,4.81,4.8,520
2017-11-14,0.0,0.0,0.0,4.9,0
2017-11-15,4.62,4.6,4.54,4.56,23226
2017-11-16,4.63,4.61,4.69,4.65,10272
2017-11-17,0.0,0.0,0.0,4.59,2088
2017-11-20,4.53,4.58,4.49,4.58,10460
2017-11-21,4.64,4.49,4.6,4.6,1804
2017-11-22,4.55,4.66,4.52,4.47,12486
2017-11-24,0.0,0.0,0.0,4.61,1024
2017-11-27,4.47,4.51,4.5,4.44,22654
2017-11-28,4.4,4.36,4.45,4.28,14652
2017-11-29,4.38,4.31,4.23,4.36,16291
2017-11-30,4.2,4.3,4.19,4.35,4797
2017-12-01,4.31,4.24,4.18,4.24,9841
2017-12-04,0.0,0.0,0.0,4.16,0
2017-12-05,0.0,0.0,0.0,4.15,0
2017-12-06,4.23,4.29,4.1,4.33,34505
2017-12-07,4.2,4.2,4.1,4.33,26161
