date,open,high,low,close,volume
2017-01-03,4.11,4.25,4.15,4.23,5228
2017-01-04,4.25,4.18,4.12,4.21,150
2017-01-05,0.0,0.0,0.0,4.16,0
2017-01-06,0.0,0.0,0.0,4.17,0
2017-01-09,0.0,0.0,0.0,4.19,0
2017-01-10,0.0,0.0,0.0,4.16,0
2017-01-11,0.0,0.0,0.0,4.25,0
2017-01-12,0.0,0.0,0.0,4.12,0
2017-01-13,0.0,0.0,0.0,4.17,0
2017-01-17,0.0,0.0,0.0,4.24,0
2017-01-18,0.0,0.0,0.0,4.14,0
2017-01-19,0.0,0.0,0.0,4.16,0
2017-01-20,0.0,0.0,0.0,4.11,0
2017-01-23,0.0,0.0,0.0,4.22,0
2017-01-24,0.0,0.0,0.0,4.14,0
2017-01-25,0.0,0.0,0.0,4.1,0
2017-01-26,4.15,4.11,4.24,4.17,988
2017-01-27,4.13,4.3,4.07,4.1,2181
2017-01-30,0.0,0.0,0.0,4.2,0
2017-01-31,0.0,0.0,0.0,4.3,0
2017-02-01,4.02,4.0,4.08,4.15,222363
2017-02-02,3.98,4.17,4.06,4.0,139
2017-02-03,0.0,0.0,0.0,4.0,0
2017-02-06,0.0,0.0,0.0,4.03,0
2017-02-07,3.99,3.98,3.96,4.04,16938
2017-02-08,0.0,0.0,0.0,4.04,0
2017-02-09,4.05,3.99,4.01,3.98,375
2017-02-10,0.0,0.0,0.0,3.88,0
2017-02-13,0.0,0.0,0.0,4.01,0
2017-02-14,0.0,0.0,0.0,4.0,0
2017-02-15,0.0,0.0,0.0,4.01,0
2017-02-16,0.0,0.0,0.0,3.88,0
2017-02-17,0.0,0.0,0.0,3.9,0
2017-02-21,0.0,0.0,0.0,3.96,0
2017-02-22,0.0,0.0,0.0,3.98,0
2017-02-23,0.0,0.0,0.0,3.91,4914
2017-02-24,0.0,0.0,0.0,3.99,0
2017-02-27,0.0,0.0,0.0,4.04,0
2017-02-28,3.99,4.09,4.01,4.05,5097
2017-03-01,0.0,0.0,0.0,4.1,1001
2017-03-02,0.0,0.0,0.0,4.05,0
