date,open,high,low,close,volume
2017-01-03,0.0428,0.044,0.031,0.0402,867559
2017-01-04,0.0392,0.0406,0.031,0.0371,666996
2017-01-05,0.038,0.0,0.0,0.0366,0
2017-01-06,0.0374,0.0,0.0,0.0378,0
2017-01-09,0.0364,0.0,0.0,0.0368,0
2017-01-10,0.0364,0.0,0.0,0.0367,0
2017-01-11,0.0368,0.0,0.0,0.0377,0
2017-01-12,0.0371,0.0,0.0,0.0371,0
2017-01-13,0.0369,0.0,0.0,0.0378,0
2017-01-17,0.0378,0.034,0.0335,0.0369,127633
2017-01-18,0.037,0.0,0.0,0.0366,0
2017-01-19,0.0378,0.0,0.0,0.0363,0
2017-01-20,0.0381,0.0,0.0,0.0373,0
2017-01-23,0.0364,0.0371,0.034,0.036,102474
2017-01-24,0.036,0.038,0.038,0.035,2507
2017-01-25,0.037,0.0478,0.0385,0.0458,956683
2017-01-26,0.047,0.0499,0.036,0.036,704167
2017-01-27,0.037,0.0,0.0,0.035,0
2017-01-30,0.035,0.0336,0.0343,0.036,222461
2017-01-31,0.0378,0.037,0.0372,0.036,99087
2017-02-01,0.036,0.0,0.0,0.037,0
2017-02-02,0.035,0.0337,0.0346,0.036,69815
2017-02-03,0.036,0.0331,0.0336,0.0354,58861
2017-02-06,0.0349,0.0,0.0,0.0351,0
2017-02-07,0.035,0.034,0.035,0.034,27094
2017-02-08,0.0328,0.0,0.0,0.0337,0
2017-02-09,0.0328,0.0,0.0,0.0338,0
2017-02-10,0.0337,0.0,0.0,0.0337,0
2017-02-13,0.034,0.032,0.03,0.0334,191959
2017-02-14,0.0331,0.0,0.0,0.034,0
2017-02-15,0.0336,0.032,0.0322,0.0338,20214
2017-02-16,0.0334,0.0348,0.0345,0.0343,195019
2017-02-17,0.0342,0.04,0.0347,0.0364,150816
2017-02-21,0.038,0.0344,0.034,0.0367,130498
2017-02-22,0.0379,0.041,0.0396,0.038,2060
2017-02-23,0.0368,0.0,0.0,0.0363,0
2017-02-24,0.0364,0.0,0.0,0.0378,0
2017-02-27,0.0376,0.0,0.0,0.038,0
2017-02-28,0.038,0.0354,0.0337,0.0363,276982
2017-03-01,0.0381,0.0,0.0,0.0367,0
2017-03-02,0.0377,0.034,0.033,0.038,1015
2017-03-03,0.0365,0.0,0.0,0.0381,0
