date,open,high,low,close,volume
2017-01-03,0.3,0.3,0.3,0.3,700
2017-01-04,0.3,0.3,0.3,0.3,1018
2017-01-05,0.26,0.26,0.26,0.27,2713
2017-01-06,0.27,0.27,0.26,0.27,23834
2017-01-09,0.303,0.299,0.303,0.292,1003
2017-01-10,0.0,0.0,0.0,0.292,0
2017-01-11,0.3,0.29,0.206,0.267,12719
2017-01-12,0.26,0.27,0.27,0.27,2536
2017-01-13,0.27,0.288,0.2623,0.284,27879
2017-01-17,0.0,0.0,0.0,0.29,0
2017-01-18,0.25,0.25,0.24,0.25,10435
2017-01-19,0.28,0.3,0.2591,0.2942,42846
2017-01-20,0.22,0.3,0.22,0.3,10922
2017-01-23,0.3,0.41,0.3,0.4,13630
2017-01-24,0.34,0.36,0.35,0.351,26035
2017-01-25,0.343,0.343,0.2329,0.2312,28917
2017-01-26,0.232,0.338,0.21,0.2116,31688
2017-01-27,0.2096,0.22,0.2,0.22,45659
2017-01-30,0.204,0.308,0.203,0.2736,4494
2017-01-31,0.23,0.261,0.24,0.24,20266
2017-02-01,0.2,0.2,0.2,0.2,7591
2017-02-02,0.0,0.0,0.0,0.2,0
2017-02-03,0.2,0.2,0.2,0.2,6131
2017-02-06,0.153,0.23,0.1538,0.225,23855
2017-02-07,0.154,0.22,0.157,0.22,2669
2017-02-08,0.1129,0.22,0.1118,0.1518,1638
2017-02-09,0.1286,0.22,0.1261,0.22,5910
2017-02-10,0.219,0.219,0.1843,0.2066,13616
2017-02-13,0.219,0.2622,0.2,0.2658,15676
2017-02-14,0.0,0.0,0.0,0.2616,0
2017-02-15,0.2528,0.2577,0.2508,0.2608,1652
2017-02-16,0.152,0.181,0.1495,0.16,56047
2017-02-17,0.199,0.206,0.2,0.207,1038
2017-02-21,0.16,0.2045,0.1325,0.2013,118386
2017-02-22,0.1881,0.1877,0.1868,0.1861,1565
2017-02-23,0.11,0.2,0.11,0.19,5637
2017-02-24,0.15,0.17,0.14,0.17,3447
2017-02-27,0.0,0.0,0.0,0.16,0
2017-02-28,0.19,0.19,0.193,0.189,226
2017-03-01,0.0,0.0,0.0,0.19,0
2017-03-02,0.1825,0.1875,0.1804,0.187,8553
2017-03-03,0.1255,0.1269,0.1276,0.1301,3061
2017-03-06,0.1873,0.1881,0.1836,0.1842,7800
2017-03-07,0.0,0.0,0.0,0.1869,0
2017-03-08,0.1611,0.1621,0.1625,0.1583,1261
2017-03-09,0.0,0.0,0.0,0.1637,0
2017-03-10,0.131,0.1608,0.11,0.1665,6403
2017-03-13,0.1672,0.1628,0.1643,0.1675,605
2017-03-14,0.125,0.1631,0.12,0.1624,18443
2017-03-15,0.1479,0.1485,0.1535,0.1505,313
2017-03-16,0.153,0.156,0.07,0.07,5299
2017-03-17,0.1416,0.1437,0.1421,0.1404,616
2017-03-20,0.141,0.1451,0.1426,0.1418,5947
2017-03-21,0.15,0.14,0.15,0.14,1261
2017-03-22,0.0,0.0,0.0,0.15,0
2017-03-23,0.08,0.14,0.08,0.14,5019
2017-03-24,0.14,0.15,0.084,0.121,52992
2017-03-27,0.15,0.16,0.09,0.1511,13029
2017-03-28,0.1,0.154,0.1,0.155,44299
2017-03-29,0.1101,0.1116,0.09,0.1101,5024
2017-03-30,0.0,0.0,0.0,0.1099,0
2017-03-31,0.15,0.14,0.14,0.15,314
2017-04-03,0.088,0.1217,0.0869,0.1059,31255
2017-04-04,0.14,0.14,0.1,0.1188,22131
2017-04-05,0.1,0.1184,0.0905,0.1191,40580
2017-04-06,0.084,0.096,0.0748,0.091,75887
2017-04-07,0.074,0.075,0.072,0.073,1793
2017-04-10,0.091,0.1013,0.07,0.1037,42458
2017-04-11,0.07,0.1016,0.071,0.072,61034
2017-04-12,0.0,0.0,0.0,0.07,0
2017-04-13,0.1044,0.1027,0.07,0.07,104725
2017-04-17,0.0873,0.0885,0.0913,0.0887,308
2017-04-18,0.0936,0.093,0.0941,0.0921,415
2017-04-19,0.064,0.064,0.066,0.065,1453
2017-04-20,0.0,0.0,0.0,0.064,0
2017-04-21,0.065,0.087,0.065,0.089,25316
2017-04-24,0.0838,0.0844,0.0712,0.0725,6338
2017-04-25,0.0893,0.0865,0.0862,0.0879,308
2017-04-26,0.0798,0.08,0.0801,0.0802,5097
2017-04-27,0.0696,0.0674,0.0679,0.0675,15251
2017-04-28,0.0,0.0,0.0,0.069,0
2017-05-01,0.065,0.062,0.064,0.063,12155
2017-05-02,0.072,0.071,0.0693,0.0688,938
2017-05-03,0.0,0.0,0.0,0.0673,0
2017-05-04,0.055,0.0656,0.043,0.0657,60755
2017-05-05,0.059,0.061,0.059,0.059,8344
2017-05-08,0.059,0.062,0.0529,0.0542,10320
2017-05-09,0.0549,0.0533,0.0551,0.0542,2001
2017-05-10,0.0543,0.0528,0.053,0.052,734
2017-05-11,0.0,0.0,0.0,0.052,0
2017-05-12,0.04,0.04,0.04,0.04,8946
2017-05-15,0.0661,0.0672,0.059,0.06,3361
2017-05-16,0.06,0.06,0.06,0.06,60099
2017-05-17,0.0646,0.0658,0.0617,0.065,13728
2017-05-18,0.0431,0.0429,0.042,0.041,35331
2017-05-19,0.0523,0.0546,0.04,0.0527,12930
2017-05-22,0.047,0.053,0.046,0.054,20688
2017-05-23,0.053,0.053,0.034,0.05,56834
2017-05-24,0.0632,0.0611,0.04,0.04,10540
2017-05-25,0.043,0.0496,0.042,0.0498,12751
2017-05-26,0.045,0.0513,0.047,0.0533,2102
2017-05-30,0.035,0.0527,0.034,0.0541,7238
2017-05-31,0.047,0.062,0.0464,0.0475,20848
2017-06-01,0.0,0.0,0.0,0.0479,0
2017-06-02,0.0365,0.0472,0.0363,0.0486,17239
2017-06-05,0.0832,0.0826,0.0835,0.084,156
2017-06-06,0.1,0.1,0.0596,0.0593,901
2017-06-07,0.04,0.0651,0.04,0.0663,52385
2017-06-08,0.05,0.05,0.035,0.04,354598
2017-06-09,0.0,0.0,0.0,0.04,0
2017-06-12,0.041,0.047,0.04,0.047,41153
2017-06-13,0.0,0.0,0.0,0.047,0
2017-06-14,0.0,0.0,0.0,0.048,0
2017-06-15,0.0,0.0,0.0,0.046,0
