date,open,high,low,close,volume
2017-01-03,10.55,10.4,10.47,10.47,12454
2017-01-04,0.0,0.0,0.0,10.44,104912
2017-01-05,10.31,10.33,10.45,10.39,4494
2017-01-06,10.58,10.51,10.13,10.28,154245
2017-01-09,10.16,10.2,10.41,10.4,266990
2017-01-10,10.51,10.51,10.22,10.56,264348
2017-01-11,10.6,10.3,10.27,10.63,174048
2017-01-12,10.3,10.7,10.62,10.61,176477
2017-01-13,10.65,10.2,10.38,10.64,105
2017-01-17,10.3,10.5,10.3,10.3,2400414
2017-01-18,10.4,10.3,10.25,10.44,89996
2017-01-19,10.51,10.17,10.0,10.01,42151
2017-01-20,10.15,10.37,9.89,10.46,64683
2017-01-23,10.12,10.3,10.29,10.19,70826
2017-01-24,10.3,10.0,10.17,10.2,54331
2017-01-25,10.0,10.3,10.3,10.3,103
2017-01-26,10.1,10.42,10.3,9.98,62496
2017-01-27,10.04,10.37,9.9,10.1,212544
2017-01-30,10.43,10.1,10.18,10.05,102
2017-01-31,10.44,10.0,10.1,9.97,167074
2017-02-01,10.2,10.4,10.08,9.76,56112
2017-02-02,10.0,10.2,10.1,10.0,103
2017-02-03,0.0,0.0,0.0,10.3,0
2017-02-06,10.16,10.24,10.18,10.2,8554
2017-02-07,10.02,10.0,9.83,10.4,303914
2017-02-08,9.96,9.98,10.26,10.02,6080
2017-02-09,10.28,10.2,10.2,10.0,1883
2017-02-10,10.0,10.0,10.42,10.04,3148
2017-02-13,0.0,0.0,0.0,10.05,0
2017-02-14,10.14,10.36,10.02,10.0,5206
2017-02-15,10.1,10.1,10.0,9.9,251
2017-02-16,10.2,10.3,10.3,10.0,115
2017-02-17,0.0,0.0,0.0,10.0,0
2017-02-21,10.05,10.0,9.0,9.81,14453
2017-02-22,10.07,9.95,10.1,9.93,8468
2017-02-23,9.76,9.98,9.86,9.9,30012
2017-02-24,9.91,9.86,10.22,9.96,206
2017-02-27,9.9,9.7,9.7,10.0,207
2017-02-28,10.0,10.2,9.75,10.2,3671
2017-03-01,10.1,9.95,9.9,9.7,15424
2017-03-02,9.82,9.87,9.89,9.7,10122
2017-03-03,10.0,9.98,9.8,9.74,414
2017-03-06,9.86,10.14,9.77,9.69,7756
2017-03-07,9.9,9.9,9.96,9.95,819795
2017-03-08,10.0,9.88,9.7,10.0,1231
2017-03-09,10.0,9.88,9.35,9.89,13418
2017-03-10,10.15,10.22,9.9,10.0,1983
2017-03-13,10.01,9.8,9.71,9.98,233863
2017-03-14,10.1,10.1,9.82,9.86,7034
2017-03-15,10.08,9.99,9.7,9.98,63203
2017-03-16,9.62,10.13,9.96,10.14,138021
2017-03-17,10.0,10.0,9.85,10.22,66008
2017-03-20,10.3,10.17,10.1,10.0,37293
2017-03-21,10.0,10.0,10.2,10.08,18163
2017-03-22,10.36,10.39,10.0,10.1,3841
2017-03-23,0.0,0.0,0.0,9.9,0
2017-03-24,9.89,10.32,9.91,10.06,2520
2017-03-27,10.13,10.4,10.0,9.96,8946
2017-03-28,10.1,10.45,10.23,9.87,6894
2017-03-29,10.12,10.09,10.07,10.0,24154
2017-03-30,10.2,10.0,9.96,9.87,3792
2017-03-31,10.0,10.0,10.25,10.07,22883
2017-04-03,10.07,10.24,10.09,9.95,7069
2017-04-04,9.88,10.14,9.7,10.0,30072
2017-04-05,10.0,10.1,10.26,10.2,5430
2017-04-06,0.0,0.0,0.0,10.1,0
2017-04-07,0.0,0.0,0.0,10.0,0
2017-04-10,0.0,0.0,0.0,9.9,0
2017-04-11,10.03,10.12,10.05,9.85,104
2017-04-12,10.03,9.83,9.7,9.8,407
2017-04-13,9.82,9.84,9.89,9.9,1323
2017-04-17,9.85,10.01,10.0,10.0,1133
2017-04-18,0.0,0.0,0.0,9.9,0
2017-04-19,10.2,9.9,10.11,9.87,307
2017-04-20,9.89,9.86,9.68,10.11,1598
2017-04-21,0.0,0.0,0.0,9.86,0
2017-04-24,10.03,9.86,9.67,9.65,2420
2017-04-25,9.76,10.04,9.7,9.93,629
2017-04-26,9.8,9.98,9.73,9.7,1220
2017-04-27,9.7,9.9,9.84,9.8,3525
2017-04-28,9.95,9.59,9.97,10.02,11469
2017-05-01,9.7,9.7,9.46,9.7,26730
2017-05-02,9.94,9.92,9.7,9.9,20806
2017-05-03,9.6,10.22,9.5,10.17,10736
2017-05-04,10.0,9.8,9.7,10.0,1322
2017-05-05,9.91,9.79,9.81,10.0,11126
2017-05-08,9.91,9.88,10.11,10.0,6483
2017-05-09,10.1,10.0,9.8,9.8,77915
2017-05-10,9.7,10.0,10.0,9.9,505
2017-05-11,9.83,10.1,10.03,10.0,402
2017-05-12,9.92,10.0,9.71,10.0,733
2017-05-15,9.76,10.04,9.99,9.98,80547
2017-05-16,9.89,10.03,9.8,10.0,14014
2017-05-17,9.72,9.8,9.62,9.6,10105
2017-05-18,10.02,10.0,9.7,9.7,75715
2017-05-19,9.69,9.87,9.89,9.8,728
2017-05-22,0.0,0.0,0.0,9.6,0
2017-05-23,9.8,10.06,9.5,9.96,210703
2017-05-24,9.7,10.02,9.91,9.78,96383
2017-05-25,9.71,10.0,9.67,10.0,262280
2017-05-26,9.8,10.07,9.9,9.5,29971
2017-05-30,10.03,9.67,9.8,9.6,7353
2017-05-31,9.9,10.07,9.9,9.9,3194
2017-06-01,10.0,10.0,9.67,9.72,7163
2017-06-02,9.5,9.8,9.55,9.57,1743
2017-06-05,9.76,9.7,9.55,9.6,1128
2017-06-06,9.7,9.9,9.7,9.4,1623
2017-06-07,9.6,9.8,9.5,9.5,624
2017-06-08,9.7,9.58,9.47,9.79,5192
2017-06-09,9.79,9.81,9.41,9.78,17079
2017-06-12,9.44,9.63,9.72,9.5,5771
2017-06-13,9.6,9.77,9.63,9.76,11125
2017-06-14,9.4,9.5,9.49,9.3,1040
2017-06-15,9.38,9.62,9.04,9.16,1212
2017-06-16,9.15,9.32,9.09,9.23,2205
2017-06-19,9.34,9.36,9.17,8.98,3331
2017-06-20,9.23,9.49,9.19,9.45,2875
2017-06-21,9.36,9.35,9.36,9.02,2071
2017-06-22,0.0,0.0,0.0,9.26,0
2017-06-23,9.32,9.33,9.13,9.19,208
2017-06-26,9.33,9.01,8.88,9.05,9744
2017-06-27,8.7,9.1,8.94,8.98,3121
2017-06-28,8.59,8.72,8.67,8.74,1324
2017-06-29,8.9,8.8,8.56,8.6,2545
2017-06-30,0.0,0.0,0.0,8.9,0
2017-07-03,0.0,0.0,0.0,8.7,0
2017-07-05,0.0,0.0,0.0,8.69,0
2017-07-06,8.57,8.65,8.87,8.8,4005
2017-07-07,0.0,0.0,0.0,8.6,0
2017-07-10,8.8,8.8,8.7,8.6,102
2017-07-11,8.5,8.5,8.6,8.8,314
2017-07-12,8.8,8.7,8.8,8.7,2370
2017-07-13,0.0,0.0,0.0,8.9,0
2017-07-14,8.64,8.59,8.5,8.76,1881
2017-07-17,8.88,8.72,8.64,8.77,105
2017-07-18,8.82,8.59,8.9,8.9,408
2017-07-19,8.91,8.66,8.8,8.9,8107
2017-07-20,8.63,8.52,8.42,8.42,101
2017-07-21,8.76,8.74,8.26,8.8,1378
2017-07-24,0.0,0.0,0.0,8.68,0
2017-07-25,8.44,8.76,7.77,8.21,20055
2017-07-26,0.0,0.0,0.0,8.32,0
2017-07-27,8.19,8.42,8.09,8.12,59069
2017-07-28,8.07,8.26,8.38,8.03,203
2017-07-31,8.14,8.21,8.02,8.33,44041
2017-08-01,8.16,8.34,8.27,8.44,9332
2017-08-02,8.2,8.55,8.07,8.55,7336
2017-08-03,8.61,8.44,8.0,8.42,2220
2017-08-04,8.53,8.49,8.36,8.39,26753
2017-08-07,0.0,0.0,0.0,8.42,0
2017-08-08,8.57,8.29,8.31,8.34,1260
2017-08-09,8.38,8.34,8.16,8.04,1324
2017-08-10,8.1,8.1,8.1,8.1,1010
2017-08-11,8.16,8.05,7.76,7.9,835
2017-08-14,8.45,8.28,8.05,7.87,1178
2017-08-15,8.09,8.22,7.62,8.07,99896
2017-08-16,8.13,8.24,8.12,8.1,46010
2017-08-17,8.16,8.31,8.09,8.08,511
2017-08-18,8.03,8.3,7.92,8.0,46587
2017-08-21,8.05,8.19,8.2,8.0,501
2017-08-22,8.14,8.1,8.1,7.98,1367
2017-08-23,8.05,8.09,7.9,7.83,2262
2017-08-24,0.0,0.0,0.0,8.0,0
2017-08-25,8.25,8.3,7.9,8.1,2225
2017-08-28,8.25,7.98,7.8,8.1,1677
2017-08-29,8.15,8.15,7.9,7.9,413
2017-08-30,8.04,8.02,7.55,7.71,4149
2017-08-31,7.6,8.0,7.6,7.97,5929
2017-09-01,8.11,8.2,7.9,8.0,4977
2017-09-05,8.09,8.11,7.85,7.67,1352
2017-09-06,7.61,7.69,7.83,7.64,602
2017-09-07,7.86,7.9,7.63,7.77,8169
2017-09-08,7.8,7.89,7.67,7.62,10474
2017-09-11,7.86,7.93,7.74,8.1,3892
2017-09-12,7.7,7.7,7.55,7.68,14288
2017-09-13,7.75,7.73,7.86,7.78,4404
2017-09-14,7.63,7.91,7.31,7.66,214159
2017-09-15,7.7,7.9,7.5,7.9,43637
2017-09-18,8.0,7.8,7.7,7.9,208
2017-09-19,0.0,0.0,0.0,8.1,0
2017-09-20,0.0,0.0,0.0,7.8,0
2017-09-21,7.98,7.95,7.64,7.83,9129
2017-09-22,7.53,7.51,7.34,7.5,3140
2017-09-25,7.6,7.6,6.0,6.1,24877
2017-09-26,6.5,6.4,5.96,6.38,362605
2017-09-27,5.92,6.44,5.59,6.17,28876
2017-09-28,6.41,6.66,6.16,6.66,71467
2017-09-29,6.64,6.78,6.29,6.5,6694
2017-10-02,6.79,7.48,6.46,7.44,22248
2017-10-03,7.16,7.42,7.01,7.23,24044
2017-10-04,7.07,7.24,6.92,6.95,3172
2017-10-05,6.9,7.0,6.89,6.97,3988
2017-10-06,7.13,7.21,6.8,7.12,1632
2017-10-09,0.0,0.0,0.0,7.22,0
2017-10-10,6.95,7.0,7.14,7.26,3105
2017-10-11,0.0,0.0,0.0,7.03,0
2017-10-12,7.0,7.0,6.6,6.57,4558
2017-10-13,6.71,6.9,6.42,6.9,92242
2017-10-16,7.12,7.27,7.05,7.24,1605
2017-10-17,7.12,7.2,6.6,6.9,14864
2017-10-18,6.96,6.92,6.7,7.02,1239
2017-10-19,6.8,6.9,6.8,6.67,510
2017-10-20,6.87,6.88,6.78,6.78,8846
2017-10-23,6.5,6.75,6.7,6.8,508
2017-10-24,7.03,7.03,6.61,6.79,364651
2017-10-25,6.87,7.0,6.8,6.6,1902644
2017-10-26,6.74,6.7,6.74,6.8,63031
2017-10-27,6.96,7.06,6.71,6.7,140743
