date,open,high,low,close,volume
2017-01-03,0.09,0.09,0.09,0.09,10034
2017-01-04,0.08,0.08,0.08,0.08,1026
2017-01-05,0.0,0.0,0.0,0.08,0
2017-01-06,0.09,0.11,0.09,0.12,287341
2017-01-09,0.0,0.0,0.0,0.11,0
2017-01-10,0.11,0.172,0.11,0.17,550322
2017-01-11,0.17,0.16,0.13,0.15,363471
2017-01-12,0.162,0.179,0.157,0.182,199119
2017-01-13,0.165,0.17,0.168,0.165,47041
2017-01-17,0.17,0.17,0.14,0.16,88823
2017-01-18,0.168,0.19,0.167,0.2,95029
2017-01-19,0.192,0.252,0.192,0.245,292979
2017-01-20,0.24,0.25,0.21,0.241,18521
2017-01-23,0.24,0.24,0.23,0.24,85517
2017-01-24,0.22,0.25,0.21,0.24,68042
2017-01-25,0.249,0.255,0.252,0.248,16532
2017-01-26,0.23,0.229,0.19,0.2,50509
2017-01-27,0.0,0.0,0.0,0.2,0
2017-01-30,0.19,0.2,0.19,0.191,23242
2017-01-31,0.18,0.17,0.18,0.18,8142
2017-02-01,0.19,0.18,0.19,0.18,47666
2017-02-02,0.172,0.19,0.171,0.18,9343
2017-02-03,0.0,0.0,0.0,0.19,0
2017-02-06,0.0,0.0,0.0,0.19,0
2017-02-07,0.18,0.19,0.167,0.172,4300
2017-02-08,0.167,0.166,0.15,0.16,110679
2017-02-09,0.157,0.172,0.162,0.155,166275
2017-02-10,0.161,0.156,0.147,0.147,67045
2017-02-13,0.16,0.16,0.15,0.15,13724
2017-02-14,0.0,0.0,0.0,0.16,0
2017-02-15,0.16,0.16,0.16,0.15,52277
2017-02-16,0.147,0.15,0.15,0.146,42530
2017-02-17,0.0,0.0,0.0,0.15,0
2017-02-21,0.151,0.151,0.148,0.148,51314
2017-02-22,0.15,0.14,0.14,0.15,51505
2017-02-23,0.14,0.15,0.139,0.138,64502
2017-02-24,0.14,0.15,0.14,0.14,3062
2017-02-27,0.16,0.2,0.15,0.2,571156
2017-02-28,0.22,0.24,0.214,0.23,178157
2017-03-01,0.231,0.23,0.22,0.24,97751
2017-03-02,0.225,0.24,0.216,0.24,101932
2017-03-03,0.212,0.23,0.206,0.235,67782
2017-03-06,0.235,0.229,0.196,0.2,168057
2017-03-07,0.201,0.21,0.203,0.21,27901
2017-03-08,0.222,0.22,0.215,0.22,68376
2017-03-09,0.0,0.0,0.0,0.22,0
2017-03-10,0.2,0.22,0.2,0.22,11246
2017-03-13,0.0,0.0,0.0,0.22,0
2017-03-14,0.233,0.226,0.227,0.232,50444
2017-03-15,0.0,0.0,0.0,0.23,0
2017-03-16,0.2,0.2,0.2,0.2,3078
2017-03-17,0.21,0.21,0.22,0.21,1012
2017-03-20,0.209,0.211,0.212,0.208,4269
2017-03-21,0.215,0.21,0.206,0.207,1560
2017-03-22,0.2,0.2,0.2,0.2,2253
2017-03-23,0.202,0.199,0.204,0.201,2044
2017-03-24,0.0,0.0,0.0,0.202,0
2017-03-27,0.209,0.21,0.214,0.206,5084
2017-03-28,0.206,0.21,0.209,0.21,36587
2017-03-29,0.0,0.0,0.0,0.208,0
2017-03-30,0.2,0.2,0.2,0.2,2066
2017-03-31,0.2,0.2,0.2,0.2,5519
2017-04-03,0.212,0.212,0.2,0.2,21611
2017-04-04,0.0,0.0,0.0,0.2,0
2017-04-05,0.0,0.0,0.0,0.2,0
2017-04-06,0.0,0.0,0.0,0.2,0
2017-04-07,0.209,0.21,0.207,0.22,10159
2017-04-10,0.0,0.0,0.0,0.22,0
2017-04-11,0.22,0.22,0.21,0.21,3624
2017-04-12,0.0,0.0,0.0,0.21,0
2017-04-13,0.0,0.0,0.0,0.22,0
2017-04-17,0.0,0.0,0.0,0.21,207
2017-04-18,0.22,0.22,0.21,0.22,505
2017-04-19,0.22,0.22,0.22,0.21,4512
2017-04-20,0.22,0.22,0.21,0.21,3953
2017-04-21,0.0,0.0,0.0,0.22,0
2017-04-24,0.0,0.0,0.0,0.22,0
2017-04-25,0.21,0.22,0.22,0.21,8303
2017-04-26,0.0,0.0,0.0,0.21,0
2017-04-27,0.19,0.24,0.2,0.24,23940
2017-04-28,0.0,0.0,0.0,0.23,0
2017-05-01,0.204,0.198,0.196,0.199,1010
2017-05-02,0.23,0.22,0.23,0.22,20380
2017-05-03,0.0,0.0,0.0,0.23,0
2017-05-04,0.0,0.0,0.0,0.23,0
2017-05-05,0.2,0.2,0.2,0.2,8552
2017-05-08,0.23,0.22,0.22,0.23,7654
2017-05-09,0.21,0.21,0.21,0.22,6269
2017-05-10,0.22,0.22,0.22,0.21,2085
2017-05-11,0.0,0.0,0.0,0.21,0
2017-05-12,0.22,0.22,0.22,0.21,2076
2017-05-15,0.22,0.22,0.2,0.2,13405
2017-05-16,0.2,0.2,0.2,0.2,81335
2017-05-17,0.2,0.2,0.198,0.2,49148
2017-05-18,0.0,0.0,0.0,0.201,0
2017-05-19,0.196,0.197,0.199,0.201,2041
2017-05-22,0.0,0.0,0.0,0.203,0
2017-05-23,0.0,0.0,0.0,0.195,0
2017-05-24,0.0,0.0,0.0,0.196,0
2017-05-25,0.2,0.2,0.199,0.197,31353
2017-05-26,0.0,0.0,0.0,0.195,0
2017-05-30,0.224,0.264,0.21,0.261,303766
2017-05-31,0.25,0.26,0.24,0.26,58959
2017-06-01,0.26,0.25,0.26,0.26,20215
2017-06-02,0.26,0.258,0.26,0.263,48065
2017-06-05,0.256,0.266,0.26,0.258,13297
2017-06-06,0.25,0.24,0.24,0.25,8209
2017-06-07,0.0,0.0,0.0,0.25,0
2017-06-08,0.25,0.24,0.245,0.237,49557
2017-06-09,0.25,0.26,0.25,0.25,8098
2017-06-12,0.243,0.246,0.23,0.23,160028
2017-06-13,0.22,0.22,0.22,0.23,33520
2017-06-14,0.23,0.22,0.22,0.23,30792
2017-06-15,0.22,0.23,0.22,0.23,31464
2017-06-16,0.21,0.22,0.21,0.22,1008
2017-06-19,0.21,0.22,0.21,0.22,25689
2017-06-20,0.23,0.22,0.23,0.22,54254
2017-06-21,0.21,0.22,0.21,0.21,26766
2017-06-22,0.22,0.22,0.2,0.2,20272
2017-06-23,0.2,0.2,0.2,0.2,17438
2017-06-26,0.22,0.21,0.2,0.2,75678
2017-06-27,0.2,0.2,0.2,0.2,28256
2017-06-28,0.211,0.209,0.207,0.211,20513
2017-06-29,0.215,0.21,0.207,0.22,34591
2017-06-30,0.21,0.21,0.21,0.22,5159
2017-07-03,0.0,0.0,0.0,0.21,0
2017-07-05,0.0,0.0,0.0,0.21,0
2017-07-06,0.24,0.24,0.24,0.23,526
2017-07-07,0.2,0.209,0.2,0.209,29278
2017-07-10,0.2,0.2,0.19,0.19,20884
2017-07-11,0.21,0.22,0.22,0.22,504
2017-07-12,0.0,0.0,0.0,0.21,0
2017-07-13,0.23,0.23,0.23,0.22,41232
2017-07-14,0.0,0.0,0.0,0.22,0
2017-07-17,0.22,0.23,0.23,0.22,5088
2017-07-18,0.22,0.23,0.19,0.213,59603
2017-07-19,0.22,0.23,0.2,0.22,35307
2017-07-20,0.234,0.24,0.232,0.24,57180
2017-07-21,0.25,0.264,0.25,0.26,238871
2017-07-24,0.229,0.25,0.232,0.25,71917
2017-07-25,0.26,0.25,0.24,0.26,33552
2017-07-26,0.25,0.28,0.26,0.29,67016
2017-07-27,0.258,0.258,0.23,0.25,43471
2017-07-28,0.25,0.26,0.26,0.26,25514
2017-07-31,0.26,0.258,0.25,0.258,47093
2017-08-01,0.27,0.271,0.26,0.269,31916
2017-08-02,0.28,0.29,0.27,0.28,85973
2017-08-03,0.27,0.27,0.266,0.27,13605
2017-08-04,0.28,0.29,0.28,0.3,101071
2017-08-07,0.0,0.0,0.0,0.29,0
2017-08-08,0.29,0.3,0.3,0.29,35745
2017-08-09,0.28,0.29,0.28,0.27,29877
2017-08-10,0.29,0.3,0.27,0.28,132980
2017-08-11,0.29,0.28,0.276,0.276,29821
2017-08-14,0.0,0.0,0.0,0.283,0
2017-08-15,0.0,0.0,0.0,0.278,0
2017-08-16,0.0,0.0,0.0,0.287,51
2017-08-17,0.28,0.3,0.28,0.3,13245
