date,open,high,low,close,volume
2017-01-03,14.1,16.0,14.27,15.15,4320
2017-01-04,15.25,15.49,15.26,15.75,1954
2017-01-05,15.8,15.8,14.46,14.7,3229
2017-01-06,15.6,16.0,14.23,14.3,19302
2017-01-09,14.6,15.16,14.09,13.77,5957
2017-01-10,14.13,15.23,14.04,14.4,5608
2017-01-11,13.88,14.58,13.3,14.28,1740
2017-01-12,14.41,14.8,14.31,14.54,702
2017-01-13,14.3,14.68,14.22,14.57,3039
2017-01-17,13.65,14.44,13.92,14.53,1181
2017-01-18,14.43,14.65,14.27,14.39,1642
2017-01-19,14.31,14.87,13.47,13.7,3781
2017-01-20,13.97,14.34,13.26,14.41,1027
2017-01-23,14.95,15.0,12.0,12.99,6503
2017-01-24,14.4,14.3,12.35,13.06,3246
2017-01-25,12.5,13.5,12.8,13.5,7094
2017-01-26,12.79,14.83,12.7,14.66,6590
2017-01-27,14.58,14.91,14.3,14.95,6830
2017-01-30,16.09,16.35,14.53,14.32,3473
2017-01-31,14.23,14.75,13.86,15.27,7540
2017-02-01,14.69,15.06,14.42,14.21,1489
2017-02-02,14.11,14.97,13.14,13.8,3794
2017-02-03,13.6,14.55,12.88,13.73,11778
2017-02-06,12.93,13.9,12.8,13.07,1824
2017-02-07,13.2,13.43,12.78,13.0,11420
2017-02-08,12.86,13.23,12.0,12.74,2900
2017-02-09,12.58,13.7,11.86,13.26,6166
2017-02-10,13.0,13.05,11.5,12.16,5939
2017-02-13,12.73,13.17,12.0,12.8,2040
2017-02-14,12.92,12.8,12.26,12.0,229
2017-02-15,12.5,12.99,12.13,12.85,2138
2017-02-16,13.04,13.0,12.23,12.9,2377
2017-02-17,12.45,12.81,12.1,12.72,1043
2017-02-21,12.69,13.01,12.27,12.24,4915
2017-02-22,12.4,12.39,12.34,12.73,1897
2017-02-23,12.72,12.96,12.18,12.84,1699
2017-02-24,12.12,13.22,11.81,12.86,2839
2017-02-27,12.73,12.95,12.0,12.73,927
2017-02-28,12.76,13.05,12.31,12.49,1042
2017-03-01,12.6,13.22,12.23,13.15,430
2017-03-02,12.99,12.43,12.29,12.71,1324
2017-03-03,12.9,12.96,12.84,13.22,4417
2017-03-06,13.04,13.69,12.72,13.49,1752
2017-03-07,13.28,13.5,12.95,13.68,1198
2017-03-08,13.21,13.8,13.21,13.56,3337
2017-03-09,13.7,14.0,12.0,12.93,2005
2017-03-10,13.01,13.38,12.39,13.13,1607
2017-03-13,12.94,13.74,12.91,13.43,1624
2017-03-14,13.5,13.8,12.49,12.45,959
2017-03-15,12.68,12.74,12.01,12.41,1988
2017-03-16,11.9,12.0,11.62,12.17,2844
2017-03-17,11.62,13.17,11.75,13.0,1528
2017-03-20,12.87,13.26,12.88,13.02,806
2017-03-21,13.03,13.01,12.88,12.7,545
2017-03-22,13.02,13.01,12.0,11.9,2312
2017-03-23,11.7,13.07,11.35,12.43,1746
2017-03-24,12.14,12.25,10.54,11.64,5106
2017-03-27,11.16,11.99,11.1,11.8,5416
2017-03-28,12.0,12.0,10.93,11.04,3077
2017-03-29,10.9,13.0,10.8,12.0,820
2017-03-30,12.0,12.0,10.7,12.0,5856
2017-03-31,12.0,12.75,10.98,12.37,3122
2017-04-03,12.37,12.53,11.3,11.87,756
2017-04-04,10.55,11.5,10.15,10.96,2151
2017-04-05,10.45,10.77,8.39,9.78,8040
2017-04-06,9.89,10.12,8.37,9.97,4648
2017-04-07,12.0,12.0,9.16,10.37,3774
2017-04-10,7.7,11.0,7.6,10.51,1187
2017-04-11,10.5,10.5,9.36,10.43,4910
2017-04-12,10.36,10.19,10.26,10.36,235
2017-04-13,9.84,10.36,8.28,9.7,1443
2017-04-17,10.42,9.97,9.0,9.39,980
2017-04-18,9.78,9.9,9.31,9.5,413
2017-04-19,9.29,9.06,9.04,8.67,1400
2017-04-20,8.51,9.0,7.95,8.92,1617
2017-04-21,8.94,9.93,8.98,9.0,430
2017-04-24,8.91,10.12,8.93,9.57,1992
2017-04-25,9.94,9.96,8.75,8.97,488
