date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.0015,0
2017-01-04,0.0,0.0,0.0,0.0015,0
2017-01-05,0.0,0.0,0.0,0.0015,0
2017-01-06,0.0015,0.0017,0.0016,0.0017,185464
2017-01-09,0.0017,0.002,0.0017,0.002,150888
2017-01-10,0.0,0.0,0.0,0.002,0
2017-01-11,0.0021,0.0036,0.0021,0.0036,124358
2017-01-12,0.0033,0.0032,0.0033,0.0033,125974
2017-01-13,0.0,0.0,0.0,0.0032,0
2017-01-17,0.003,0.003,0.0025,0.0029,304122
2017-01-18,0.0,0.0,0.0,0.0029,0
2017-01-19,0.0,0.0,0.0,0.0029,0
2017-01-20,0.0034,0.0033,0.0034,0.0034,36398
2017-01-23,0.0046,0.0045,0.0047,0.0047,79047
2017-01-24,0.005,0.005,0.005,0.005,102195
2017-01-25,0.0,0.0,0.0,0.005,0
2017-01-26,0.0,0.0,0.0,0.005,0
2017-01-27,0.0,0.0,0.0,0.005,0
2017-01-30,0.0,0.0,0.0,0.005,0
2017-01-31,0.0083,0.0084,0.008,0.008,54795
2017-02-01,0.0,0.0,0.0,0.008,0
2017-02-02,0.0,0.0,0.0,0.008,0
2017-02-03,0.009,0.009,0.009,0.009,16340
2017-02-06,0.009,0.009,0.007,0.009,56958
2017-02-07,0.0,0.0,0.0,0.009,0
2017-02-08,0.01,0.01,0.0097,0.01,23013
2017-02-09,0.0103,0.0107,0.0105,0.0105,10089
2017-02-10,0.0,0.0,0.0,0.0102,0
2017-02-13,0.01,0.01,0.01,0.01,1073
2017-02-14,0.0,0.0,0.0,0.01,0
2017-02-15,0.0,0.0,0.0,0.01,0
2017-02-16,0.0,0.0,0.0,0.01,0
2017-02-17,0.0,0.0,0.0,0.01,0
2017-02-21,0.0,0.0,0.0,0.01,0
2017-02-22,0.0,0.0,0.0,0.01,0
2017-02-23,0.0,0.0,0.0,0.01,0
2017-02-24,0.0,0.0,0.0,0.01,0
2017-02-27,0.0,0.0,0.0,0.01,0
2017-02-28,0.0,0.0,0.0,0.01,0
2017-03-01,0.01,0.01,0.01,0.01,13207
2017-03-02,0.01,0.01,0.01,0.01,10232
2017-03-03,0.0,0.0,0.0,0.01,0
2017-03-06,0.007,0.007,0.005,0.005,51886
2017-03-07,0.0,0.0,0.0,0.005,0
2017-03-08,0.0056,0.0057,0.005,0.005,820
2017-03-09,0.0,0.0,0.0,0.005,0
2017-03-10,0.0,0.0,0.0,0.005,0
2017-03-13,0.0,0.0,0.0,0.005,0
2017-03-14,0.005,0.005,0.005,0.005,21112
2017-03-15,0.0,0.0,0.0,0.005,0
2017-03-16,0.0,0.0,0.0,0.005,0
2017-03-17,0.0,0.0,0.0,0.005,0
2017-03-20,0.0,0.0,0.0,0.005,0
2017-03-21,0.0,0.0,0.0,0.005,0
2017-03-22,0.0,0.0,0.0,0.005,0
2017-03-23,0.0,0.0,0.0,0.005,0
2017-03-24,0.0,0.0,0.0,0.005,0
2017-03-27,0.0,0.0,0.0,0.005,0
2017-03-28,0.0,0.0,0.0,0.005,0
2017-03-29,0.0,0.0,0.0,0.005,0
2017-03-30,0.0,0.0,0.0,0.005,0
2017-03-31,0.0,0.0,0.0,0.005,0
2017-04-03,0.0,0.0,0.0,0.005,0
2017-04-04,0.0,0.0,0.0,0.005,0
2017-04-05,0.0,0.0,0.0,0.005,0
2017-04-06,0.0,0.0,0.0,0.005,0
2017-04-07,0.004,0.004,0.004,0.004,3519
2017-04-10,0.0,0.0,0.0,0.004,0
2017-04-11,0.0,0.0,0.0,0.004,0
2017-04-12,0.0,0.0,0.0,0.004,0
2017-04-13,0.0,0.0,0.0,0.004,0
2017-04-17,0.0,0.0,0.0,0.004,0
2017-04-18,0.0,0.0,0.0,0.004,0
2017-04-19,0.0,0.0,0.0,0.004,0
2017-04-20,0.0,0.0,0.0,0.004,0
2017-04-21,0.0,0.0,0.0,0.004,0
2017-04-24,0.0,0.0,0.0,0.004,0
2017-04-25,0.0,0.0,0.0,0.004,0
2017-04-26,0.006,0.006,0.006,0.006,19939
2017-04-27,0.008,0.008,0.008,0.008,10540
2017-04-28,0.0,0.0,0.0,0.008,0
2017-05-01,0.0,0.0,0.0,0.008,0
2017-05-02,0.0,0.0,0.0,0.008,0
2017-05-03,0.0,0.0,0.0,0.008,0
2017-05-04,0.0,0.0,0.0,0.008,0
2017-05-05,0.0,0.0,0.0,0.008,0
2017-05-08,0.0,0.0,0.0,0.008,0
2017-05-09,0.0,0.0,0.0,0.008,0
2017-05-10,0.01,0.016,0.01,0.016,85762
2017-05-11,0.018,0.017,0.018,0.017,130867
2017-05-12,0.0189,0.02,0.0192,0.019,157127
2017-05-15,0.02,0.02,0.019,0.019,111966
2017-05-16,0.02,0.02,0.02,0.02,41426
2017-05-17,0.02,0.02,0.02,0.02,30271
2017-05-18,0.02,0.02,0.02,0.02,18631
2017-05-19,0.0,0.0,0.0,0.02,0
2017-05-22,0.02,0.02,0.02,0.02,30587
2017-05-23,0.02,0.023,0.02,0.022,51648
2017-05-24,0.02,0.024,0.02,0.02,146216
2017-05-25,0.02,0.023,0.02,0.022,82845
2017-05-26,0.0228,0.025,0.0227,0.025,82485
2017-05-30,0.025,0.04,0.024,0.04,213160
2017-05-31,0.05,0.057,0.04,0.058,406678
2017-06-01,0.06,0.0788,0.06,0.078,347485
2017-06-02,0.0788,0.09,0.075,0.0889,364893
2017-06-05,0.08,0.083,0.07,0.07,160585
2017-06-06,0.0676,0.0684,0.036,0.0366,643935
2017-06-07,0.04,0.05,0.0285,0.0282,460881
2017-06-08,0.0307,0.04,0.03,0.04,669624
2017-06-09,0.04,0.04,0.03,0.04,75284
2017-06-12,0.04,0.05,0.038,0.05,638253
2017-06-13,0.0,0.0,0.0,0.05,0
2017-06-14,0.036,0.036,0.03,0.0354,186760
2017-06-15,0.03,0.051,0.03,0.051,631210
2017-06-16,0.04,0.06,0.04,0.06,167865
2017-06-19,0.074,0.076,0.0543,0.074,28448
2017-06-20,0.0754,0.0759,0.04,0.0499,478993
2017-06-21,0.037,0.047,0.036,0.045,48186
2017-06-22,0.0422,0.0449,0.037,0.043,280755
2017-06-23,0.0423,0.0425,0.0326,0.0403,323691
2017-06-26,0.0406,0.0402,0.0417,0.0401,10410
2017-06-27,0.0315,0.04,0.03,0.039,425439
2017-06-28,0.05,0.05,0.039,0.0517,1348519
2017-06-29,0.0477,0.0516,0.046,0.0508,222102
2017-06-30,0.0,0.0,0.0,0.0521,0
