date,open,high,low,close,volume
2017-01-03,44.97,48.0,43.9,47.29,213452
2017-01-04,45.27,48.03,46.44,46.21,220077
2017-01-05,46.87,47.16,45.8,45.7,118543
2017-01-06,47.01,46.07,47.03,45.33,74522
2017-01-09,46.27,45.41,45.33,46.65,110802
2017-01-10,44.79,46.06,46.08,44.95,111841
2017-01-11,46.28,45.73,44.85,46.15,50684
2017-01-12,44.93,44.75,44.36,46.19,81501
2017-01-13,45.55,45.77,44.81,46.26,42027
2017-01-17,45.07,45.34,45.9,44.93,129838
2017-01-18,46.37,45.9,43.7,46.22,102239
2017-01-19,45.47,46.48,45.01,45.16,115238
2017-01-20,47.3,46.49,45.11,45.75,59936
2017-01-23,45.4,45.53,44.5,45.6,44970
2017-01-24,45.54,45.67,44.67,45.31,114250
2017-01-25,45.48,44.69,45.27,46.14,83170
2017-01-26,45.0,45.64,46.36,46.93,48804
2017-01-27,46.11,46.6,45.1,45.6,81667
2017-01-30,46.8,46.02,44.51,46.4,49998
2017-01-31,46.91,47.28,45.38,45.27,92457
2017-02-01,45.67,47.37,43.1,43.45,178106
2017-02-02,43.59,43.57,43.71,43.16,78034
2017-02-03,44.49,44.59,43.53,43.54,74107
2017-02-06,45.01,44.34,43.57,42.14,51791
2017-02-07,42.5,43.9,42.59,42.85,41546
2017-02-08,43.52,42.76,42.39,42.35,55096
2017-02-09,44.14,43.66,43.47,42.74,42845
2017-02-10,43.78,45.31,42.7,44.83,61475
2017-02-13,43.8,45.1,44.92,43.9,111590
2017-02-14,43.56,45.6,43.66,44.0,83036
2017-02-15,44.47,43.65,44.98,44.2,55890
2017-02-16,43.89,45.88,44.2,44.64,50741
2017-02-17,44.23,46.07,44.4,46.08,75214
2017-02-21,46.43,45.43,46.12,45.97,63160
2017-02-22,46.4,46.1,44.79,45.76,77171
2017-02-23,45.8,46.96,45.7,46.78,65589
2017-02-24,45.26,45.77,42.28,41.0,231003
2017-02-27,40.42,40.67,40.58,39.73,277186
2017-02-28,39.96,40.19,37.98,38.45,178649
2017-03-01,37.42,38.45,38.84,39.11,244679
2017-03-02,37.95,38.38,38.24,38.28,131093
2017-03-03,37.79,38.08,37.71,36.49,214980
2017-03-06,36.5,37.21,37.12,37.1,136110
2017-03-07,36.42,38.0,36.17,37.1,113862
2017-03-08,37.83,37.14,36.79,36.47,108033
2017-03-09,37.35,37.19,37.59,37.21,92090
2017-03-10,37.5,37.8,37.5,36.68,95893
2017-03-13,37.58,37.57,37.47,36.57,166170
2017-03-14,37.41,37.42,36.25,37.4,148776
2017-03-15,37.61,37.67,36.5,38.46,139270
2017-03-16,38.81,37.47,37.26,37.4,72458
2017-03-17,38.81,39.0,37.22,38.22,394288
2017-03-20,38.42,37.7,36.65,38.57,122729
2017-03-21,38.15,39.29,37.77,38.66,183300
2017-03-22,38.11,37.5,37.35,37.33,144726
2017-03-23,37.52,37.12,36.95,38.02,87984
2017-03-24,37.25,38.0,37.27,38.5,73087
2017-03-27,37.0,37.84,36.8,37.29,64782
2017-03-28,36.41,38.21,36.68,38.09,99924
2017-03-29,37.92,37.3,37.79,38.61,59397
2017-03-30,38.42,39.38,37.27,38.58,90541
2017-03-31,38.58,39.18,37.98,38.83,148258
2017-04-03,38.88,38.83,38.16,38.3,87777
2017-04-04,37.58,37.73,37.72,37.99,141776
2017-04-05,38.59,38.77,38.63,38.72,214506
2017-04-06,38.75,39.23,37.57,38.93,111659
2017-04-07,37.65,39.7,38.86,37.7,136240
2017-04-10,38.0,39.27,39.14,38.45,143380
2017-04-11,38.93,40.0,38.67,39.58,62987
2017-04-12,39.5,38.8,38.28,39.63,91140
2017-04-13,39.52,38.59,39.15,38.06,157334
2017-04-17,38.0,38.76,37.61,38.14,147519
2017-04-18,38.5,38.9,38.16,38.54,139824
2017-04-19,39.13,40.16,39.06,38.44,166177
2017-04-20,38.9,38.3,38.26,38.23,135801
2017-04-21,38.1,38.54,37.83,38.8,99618
2017-04-24,38.72,40.96,39.5,39.72,188478
2017-04-25,40.67,40.61,39.07,40.0,162643
2017-04-26,39.66,40.43,38.9,40.62,136896
2017-04-27,39.68,41.6,40.44,39.88,109627
2017-04-28,39.51,41.28,39.1,41.04,124924
2017-05-01,39.33,41.19,38.43,39.81,107401
2017-05-02,40.3,40.93,38.27,39.98,114994
2017-05-03,39.15,39.68,38.47,37.33,192796
2017-05-04,38.7,38.57,37.59,37.63,232888
2017-05-05,38.34,41.84,37.37,42.0,302327
2017-05-08,40.15,39.82,40.14,39.78,178544
2017-05-09,40.0,40.9,38.67,39.67,174031
2017-05-10,40.35,40.88,39.34,39.89,105026
2017-05-11,38.92,39.51,39.3,39.22,117629
2017-05-12,40.09,39.44,38.3,39.88,104766
2017-05-15,40.31,40.7,39.81,40.78,125387
2017-05-16,39.83,39.53,39.3,39.31,136501
2017-05-17,40.18,38.73,38.02,39.2,100796
2017-05-18,39.65,38.74,37.76,38.8,148836
2017-05-19,39.31,40.57,39.75,39.3,104332
2017-05-22,39.8,39.55,40.26,38.8,92930
2017-05-23,39.88,41.04,40.53,39.53,109312
2017-05-24,39.53,39.98,38.59,41.05,83432
2017-05-25,41.09,41.0,39.64,40.41,109478
2017-05-26,41.2,40.81,40.52,40.4,53788
2017-05-30,40.4,40.78,40.08,39.89,131046
2017-05-31,40.1,40.83,40.81,40.38,126383
2017-06-01,40.37,41.79,40.07,41.72,114011
2017-06-02,41.37,41.18,41.5,40.81,74127
2017-06-05,42.21,42.58,42.07,41.93,48024
2017-06-06,41.19,42.5,42.44,42.5,77967
2017-06-07,41.74,41.53,40.63,40.67,58142
2017-06-08,40.61,41.74,41.06,41.12,65859
2017-06-09,41.45,41.09,40.15,41.33,82141
2017-06-12,39.7,41.3,40.67,41.6,87692
2017-06-13,40.42,40.25,41.0,40.98,79860
2017-06-14,39.5,41.97,38.94,39.6,93195
2017-06-15,39.27,39.19,38.91,40.15,118096
2017-06-16,38.81,40.74,39.13,40.66,148747
2017-06-19,39.52,39.85,40.09,40.05,76327
2017-06-20,39.3,40.23,39.51,38.17,58309
2017-06-21,39.78,39.52,38.13,38.22,93755
2017-06-22,37.46,38.51,38.21,38.06,136931
2017-06-23,39.09,39.67,38.08,39.1,138018
2017-06-26,38.27,39.55,39.75,38.66,151883
2017-06-27,40.43,40.88,39.04,39.71,105808
2017-06-28,38.37,40.79,38.81,41.04,246812
2017-06-29,40.0,40.89,38.44,38.66,119198
2017-06-30,38.6,40.12,37.95,39.86,86311
2017-07-03,40.44,39.6,39.9,39.42,39090
2017-07-05,39.81,39.47,37.9,38.36,100709
2017-07-06,39.29,39.76,38.63,37.83,108466
2017-07-07,38.09,38.89,39.25,38.98,95789
2017-07-10,39.08,39.85,38.04,38.41,147834
2017-07-11,38.28,38.71,37.76,38.55,355371
2017-07-12,38.92,39.82,38.18,37.23,125375
2017-07-13,37.13,37.42,36.9,38.7,114937
2017-07-14,37.52,39.38,38.88,39.02,126824
2017-07-17,39.3,39.33,38.34,39.1,118187
2017-07-18,38.34,40.18,38.19,39.27,100417
2017-07-19,40.1,39.2,38.36,40.13,55627
2017-07-20,39.5,39.27,39.62,38.8,77782
2017-07-21,39.47,39.94,38.17,39.67,60006
2017-07-24,39.91,39.38,38.04,38.94,78840
2017-07-25,38.3,39.56,39.67,39.62,75649
2017-07-26,39.11,39.84,39.0,39.0,69308
2017-07-27,38.48,39.58,38.95,38.83,120043
2017-07-28,38.36,39.32,38.94,38.08,99891
2017-07-31,39.87,39.36,38.77,38.31,65825
2017-08-01,39.64,40.52,39.06,38.91,109543
2017-08-02,38.88,40.11,39.8,38.73,72038
2017-08-03,40.41,40.78,38.79,38.71,100306
2017-08-04,38.4,40.56,38.24,41.06,175386
2017-08-07,40.0,41.17,40.59,41.0,129310
2017-08-08,41.29,40.86,41.9,40.7,120895
2017-08-09,41.61,42.22,41.0,41.18,101151
2017-08-10,40.51,40.8,39.52,38.9,68089
2017-08-11,39.91,40.28,39.23,39.1,113303
2017-08-14,40.72,39.85,40.55,39.72,75726
2017-08-15,40.38,40.65,39.0,38.91,70292
2017-08-16,40.03,39.72,40.0,39.12,57942
2017-08-17,39.69,39.58,39.77,39.92,81915
2017-08-18,39.57,39.1,39.3,38.95,100950
2017-08-21,39.22,39.9,38.37,39.6,52219
2017-08-22,38.06,39.67,38.53,39.34,43947
2017-08-23,39.84,39.72,40.11,39.45,82400
2017-08-24,39.35,40.11,39.2,40.64,38959
2017-08-25,39.58,40.85,39.51,40.81,27916
2017-08-28,41.13,40.24,39.09,40.81,49466
2017-08-29,40.07,40.08,38.57,39.85,52602
2017-08-30,39.86,39.26,40.1,38.75,67743
2017-08-31,38.87,39.55,38.5,39.19,54869
2017-09-01,40.67,40.21,39.44,40.45,57206
2017-09-05,40.93,40.54,38.99,39.84,72761
2017-09-06,40.73,39.33,37.71,38.35,149006
2017-09-07,38.63,37.14,35.63,36.16,195111
2017-09-08,36.68,35.8,35.5,36.2,135259
2017-09-11,35.63,35.76,35.44,35.59,146803
2017-09-12,36.4,36.06,35.6,36.55,68768
2017-09-13,36.25,37.3,35.13,35.85,48066
2017-09-14,35.68,35.73,34.96,35.3,94569
2017-09-15,36.17,35.71,35.43,35.91,179548
2017-09-18,35.92,36.48,35.76,35.84,73056
2017-09-19,36.23,36.73,36.8,35.75,87283
2017-09-20,36.05,37.66,36.89,36.2,43834
2017-09-21,37.36,37.1,36.17,36.64,54187
2017-09-22,37.19,37.45,35.99,36.9,58942
2017-09-25,36.88,37.42,36.13,36.86,48161
2017-09-26,36.7,37.19,37.1,37.36,124405
2017-09-27,37.03,36.13,35.53,37.3,70221
2017-09-28,35.82,37.09,36.85,37.5,37874
2017-09-29,37.1,37.3,36.24,35.9,52758
2017-10-02,35.71,36.16,35.08,36.76,59637
