date,open,high,low,close,volume
2017-04-04,3.94,4.2,3.83,4.0,21513
2017-04-05,4.18,4.07,4.0,3.9,30338
2017-04-06,4.16,4.05,3.77,3.84,24005
2017-04-07,3.89,3.98,3.62,3.8,78300
2017-04-10,3.66,3.6,3.58,3.8,1067
2017-04-11,3.69,3.8,3.61,3.7,8586
2017-04-12,3.69,3.9,3.57,3.93,6822
2017-04-13,3.87,3.79,3.84,3.86,5545
2017-04-17,0.0,0.0,0.0,3.91,0
2017-04-18,3.98,3.92,3.71,3.86,1558
2017-04-19,3.8,3.87,3.7,3.88,227
2017-04-20,3.7,3.92,3.6,3.82,1135
2017-04-21,4.0,3.91,3.98,3.88,1164
2017-04-24,3.93,4.0,3.7,4.0,838
2017-04-25,4.12,4.03,3.99,4.1,700
2017-04-26,4.06,4.16,4.0,4.0,2097
2017-04-27,3.97,4.0,4.12,4.08,491
2017-04-28,3.9,3.9,3.9,3.9,1436
2017-05-01,0.0,0.0,0.0,3.9,0
2017-05-02,3.97,3.93,3.6,3.94,702
2017-05-03,4.05,4.01,3.9,4.0,667
2017-05-04,3.8,3.9,4.0,4.0,100
2017-05-05,3.9,3.9,3.82,3.93,4753
2017-05-08,0.0,0.0,0.0,3.84,0
2017-05-09,3.7,3.9,3.8,4.0,163
2017-05-10,3.8,3.85,3.89,3.86,60237
2017-05-11,4.0,4.03,4.0,4.0,231
2017-05-12,3.81,3.82,3.9,3.76,760
2017-05-15,3.8,3.95,3.9,4.04,2
2017-05-16,4.03,3.99,3.83,3.69,13712
2017-05-17,3.68,3.66,3.6,3.8,249
2017-05-18,3.67,3.59,3.61,3.67,522
2017-05-19,3.7,3.7,3.63,3.7,517
2017-05-22,3.58,3.8,3.55,3.5,10253
2017-05-23,3.5,3.6,3.6,3.6,5
2017-05-24,3.68,3.66,3.5,3.6,7678
2017-05-25,0.0,0.0,0.0,3.6,0
2017-05-26,0.0,0.0,0.0,3.5,0
2017-05-30,3.62,3.53,3.5,3.6,1356
2017-05-31,3.58,3.54,3.46,3.52,508
2017-06-01,3.6,3.6,3.5,3.7,1042
2017-06-02,0.0,0.0,0.0,3.7,0
2017-06-05,0.0,0.0,0.0,3.6,0
2017-06-06,3.5,3.6,3.5,3.5,311
2017-06-07,0.0,0.0,0.0,3.6,0
2017-06-08,3.5,3.5,3.4,3.6,514
2017-06-09,3.4,3.6,3.4,3.4,256
2017-06-12,3.59,3.7,3.46,3.57,2876
2017-06-13,3.7,3.7,3.6,3.5,1285
2017-06-14,3.9,4.02,3.44,3.6,2218
2017-06-15,3.66,3.6,3.5,3.47,1850
2017-06-16,0.0,0.0,0.0,3.46,0
2017-06-19,3.5,3.5,3.6,3.6,210
2017-06-20,3.57,3.8,3.58,3.71,1280
2017-06-21,3.45,3.5,3.53,3.6,5754
2017-06-22,0.0,0.0,0.0,3.4,0
2017-06-23,3.38,3.54,3.44,3.41,1542
2017-06-26,3.7,3.6,3.62,3.66,305
2017-06-27,3.58,3.53,3.41,3.68,6876
2017-06-28,3.6,3.7,3.65,3.5,7043
2017-06-29,3.64,3.63,3.57,3.59,9933
2017-06-30,3.56,3.57,3.64,3.58,23164
2017-07-03,3.54,3.63,3.54,3.52,1895
2017-07-05,0.0,0.0,0.0,3.55,0
2017-07-06,3.49,4.1,3.42,3.67,534
2017-07-07,3.67,4.01,3.5,3.5,265
2017-07-10,3.48,3.54,3.57,3.61,61977
2017-07-11,3.55,3.56,3.51,3.5,307
2017-07-12,3.63,3.65,3.68,3.7,1321
2017-07-13,3.5,3.6,3.6,3.7,87
2017-07-14,3.5,3.6,3.46,3.47,10813
2017-07-17,0.0,0.0,0.0,3.55,0
2017-07-18,0.0,0.0,0.0,3.51,0
2017-07-19,3.6,3.69,3.53,3.55,1242
2017-07-20,3.56,3.58,3.57,3.56,1051
2017-07-21,0.0,0.0,0.0,3.56,0
2017-07-24,0.0,0.0,0.0,3.57,0
2017-07-25,3.37,3.6,3.4,3.6,2240
2017-07-26,3.54,3.71,3.56,3.67,4589
2017-07-27,3.7,3.7,3.8,3.8,61
