date,open,high,low,close,volume
2017-01-03,4.02,4.0,3.94,4.07,8309912
2017-01-04,3.97,4.14,3.99,4.15,9268824
2017-01-05,4.3,4.29,4.0,4.1,6072531
2017-01-06,4.21,4.17,4.2,4.2,3006876
2017-01-09,4.2,4.21,4.06,4.23,5559867
2017-01-10,4.29,4.25,4.15,4.17,4372515
2017-01-11,4.19,4.21,4.0,4.22,3033071
2017-01-12,4.1,4.15,4.05,4.02,3585773
2017-01-13,4.0,4.16,3.97,4.14,4315143
2017-01-17,4.12,4.0,4.04,4.0,6016091
2017-01-18,3.99,4.0,3.99,4.09,5503794
2017-01-19,4.0,4.13,4.04,4.18,2786110
2017-01-20,4.17,4.21,4.0,4.16,3273707
2017-01-23,4.0,4.09,4.18,4.25,2105431
2017-01-24,4.08,4.33,4.06,4.28,2202715
2017-01-25,4.2,4.15,4.1,4.23,1204761
2017-01-26,4.0,4.26,4.0,4.4,7476239
2017-01-27,4.45,4.42,4.3,4.4,4489620
2017-01-30,4.37,4.46,4.26,4.36,9643888
2017-01-31,4.43,4.28,4.31,4.35,3671069
2017-02-01,4.25,4.39,4.28,4.16,4749692
2017-02-02,4.24,4.17,4.07,4.17,4982003
2017-02-03,4.16,4.15,4.07,4.11,2592955
2017-02-06,4.18,4.12,3.99,4.1,3617582
2017-02-07,4.15,4.31,4.06,4.14,6248519
2017-02-08,4.3,4.31,4.12,4.11,1579881
2017-02-09,4.19,4.31,4.16,4.15,5012131
2017-02-10,4.32,4.43,4.13,4.27,6351946
2017-02-13,4.39,4.46,4.33,4.5,5135124
2017-02-14,4.33,4.56,4.47,4.5,5513040
2017-02-15,4.5,4.47,4.5,4.46,4561800
2017-02-16,4.44,4.5,4.36,4.5,2339286
2017-02-17,4.5,4.34,4.32,4.47,2179303
2017-02-21,4.42,4.57,4.3,4.45,8717714
2017-02-22,4.58,4.61,4.39,4.53,3705514
2017-02-23,4.6,4.55,4.38,4.36,4898637
2017-02-24,4.41,4.56,4.33,4.4,4631069
2017-02-27,4.55,4.7,4.2,4.18,12222813
2017-02-28,4.2,4.21,4.1,4.27,4478369
2017-03-01,4.2,4.25,4.15,4.29,4865272
2017-03-02,4.23,4.3,4.09,4.21,3496979
2017-03-03,4.16,4.28,4.13,4.1,3353925
2017-03-06,4.19,4.21,4.03,4.22,2644793
2017-03-07,4.21,4.08,4.12,4.15,4240915
2017-03-08,4.03,4.15,4.03,4.1,1554235
2017-03-09,4.0,4.21,4.12,4.12,6946297
2017-03-10,4.17,4.14,4.02,4.09,2977742
2017-03-13,4.01,4.22,4.09,4.13,4813599
2017-03-14,4.12,4.24,4.02,4.06,5263174
2017-03-15,4.1,4.16,4.2,4.3,3149290
2017-03-16,4.2,4.17,4.23,4.1,2948023
2017-03-17,4.3,4.13,4.26,4.2,3410996
2017-03-20,4.16,4.13,4.13,4.22,1785209
2017-03-21,4.12,4.27,4.24,4.25,4704664
2017-03-22,4.1,4.1,4.14,4.15,2579290
2017-03-23,4.15,4.27,4.21,4.1,1913782
2017-03-24,4.11,4.14,4.19,4.2,3866332
2017-03-27,4.08,4.24,4.2,4.2,3760027
2017-03-28,4.08,4.04,4.06,4.0,4034545
2017-03-29,3.95,4.19,3.89,3.95,2626250
2017-03-30,4.07,4.2,4.0,4.21,3636578
2017-03-31,4.13,4.29,4.0,4.24,2121374
2017-04-03,4.16,4.09,4.02,4.1,2265282
2017-04-04,4.04,4.1,4.1,4.06,6632161
2017-04-05,4.08,4.1,3.99,4.18,3050196
2017-04-06,4.09,4.07,4.04,4.07,4177895
2017-04-07,3.9,4.11,3.8,3.93,34735296
2017-04-10,3.9,3.92,3.99,3.9,1236198
2017-04-11,3.91,4.0,4.1,3.96,8382927
2017-04-12,3.98,4.13,4.1,3.98,4321534
2017-04-13,3.97,4.08,3.93,4.07,4433669
2017-04-17,4.04,4.1,3.99,3.96,1609865
2017-04-18,4.02,4.12,3.94,3.99,3771533
2017-04-19,4.04,4.18,3.99,4.05,2507652
2017-04-20,4.05,4.16,4.04,4.17,5279600
2017-04-21,4.25,4.3,4.17,4.1,2031715
2017-04-24,4.3,4.32,4.11,4.27,2825918
2017-04-25,4.12,4.36,4.2,4.37,7675802
2017-04-26,4.41,4.43,4.24,4.34,2395249
2017-04-27,4.36,4.38,4.14,4.26,4545998
2017-04-28,4.2,4.32,4.23,4.3,2282727
2017-05-01,4.32,4.3,4.22,4.3,1248211
2017-05-02,4.27,4.44,4.24,4.29,1769214
2017-05-03,4.36,4.34,4.07,4.28,1893669
2017-05-04,4.19,4.2,4.21,4.22,2014688
2017-05-05,4.12,4.12,4.16,4.26,2448144
2017-05-08,4.26,4.37,4.09,4.27,2910566
2017-05-09,4.14,4.37,4.18,4.35,2035776
2017-05-10,4.28,4.26,4.33,4.29,3350000
2017-05-11,4.41,4.43,4.2,4.14,2603437
2017-05-12,4.15,4.24,4.12,4.32,1806205
2017-05-15,4.2,4.18,4.26,4.18,1626969
2017-05-16,4.15,4.2,4.01,4.13,3904681
2017-05-17,4.0,4.0,3.9,4.0,2773908
2017-05-18,4.0,3.91,3.97,3.98,3556309
2017-05-19,3.98,4.06,4.05,4.04,1331105
2017-05-22,3.99,4.09,4.02,4.02,1376652
2017-05-23,4.05,4.1,3.9,3.93,1011516
2017-05-24,4.0,3.9,3.99,4.04,1276541
2017-05-25,3.98,4.15,3.87,3.84,972115
2017-05-26,3.99,3.91,3.95,4.02,1028146
2017-05-30,3.87,4.0,3.86,3.9,1838182
2017-05-31,4.1,3.99,3.96,3.94,2476486
2017-06-01,3.95,4.02,3.94,4.06,2869079
2017-06-02,3.96,3.9,3.85,3.91,1534553
2017-06-05,4.04,4.1,4.02,3.9,822576
2017-06-06,3.99,4.07,3.88,3.87,639225
2017-06-07,3.99,3.88,3.95,3.91,1355340
2017-06-08,4.0,3.88,3.77,3.88,3929048
2017-06-09,3.78,3.92,3.79,3.89,2283205
2017-06-12,3.88,4.01,3.91,3.98,3287740
2017-06-13,4.1,4.05,3.97,4.02,1921035
2017-06-14,3.9,3.91,3.9,3.91,1894642
2017-06-15,3.81,3.92,3.86,3.93,2374307
2017-06-16,3.78,3.9,3.74,3.78,11241223
2017-06-19,3.92,3.93,3.81,3.9,4349660
2017-06-20,4.09,4.13,3.77,3.9,3862603
2017-06-21,3.81,3.94,3.68,3.74,2642300
2017-06-22,3.8,3.77,3.73,3.8,4343091
2017-06-23,3.86,3.87,3.74,3.96,4742779
2017-06-26,3.79,3.91,3.88,3.84,3730851
2017-06-27,4.01,4.02,3.87,3.96,3776700
2017-06-28,4.01,4.1,3.92,4.02,5222052
2017-06-29,4.05,3.95,3.92,3.91,4205607
2017-06-30,3.96,3.98,4.04,3.94,5403788
2017-07-03,4.01,4.03,3.97,3.93,429852
2017-07-05,4.04,4.13,4.0,4.03,1590596
2017-07-06,4.03,4.11,4.02,4.04,1145712
2017-07-07,4.01,3.96,3.9,4.01,1361773
2017-07-10,4.06,4.04,4.03,4.1,733012
2017-07-11,4.03,4.11,4.12,4.05,1992653
2017-07-12,4.04,4.06,4.01,4.12,3871662
2017-07-13,4.0,4.06,3.9,4.15,19618965
2017-07-14,4.13,4.04,4.13,4.08,2567775
2017-07-17,4.0,4.2,3.98,4.14,1819106
2017-07-18,4.03,4.0,4.06,4.12,2146201
2017-07-19,4.01,4.15,3.92,3.99,2767002
2017-07-20,4.09,4.2,4.1,4.1,3457661
2017-07-21,4.15,4.05,4.15,4.0,1270757
2017-07-24,4.0,4.15,4.05,4.14,1260202
2017-07-25,4.04,4.24,4.15,4.06,1019363
2017-07-26,4.1,4.29,4.27,4.22,4292168
2017-07-27,4.2,4.31,4.09,4.3,2472794
2017-07-28,4.21,4.31,4.2,4.33,1882853
2017-07-31,4.2,4.27,4.05,4.22,3333067
2017-08-01,4.09,4.17,4.23,4.07,1615097
2017-08-02,4.22,4.22,4.18,4.22,3539037
2017-08-03,4.31,4.25,4.14,4.29,4066036
2017-08-04,4.28,4.26,4.27,4.38,2721969
2017-08-07,4.2,4.28,4.29,4.36,2290668
2017-08-08,4.19,4.4,4.26,4.36,2866840
2017-08-09,4.18,4.31,4.22,4.12,2031305
2017-08-10,3.99,4.09,4.07,4.15,2633546
2017-08-11,4.11,4.01,4.0,4.0,1872604
2017-08-14,4.2,4.25,3.97,4.04,2112168
2017-08-15,4.04,4.08,4.1,4.01,1645491
2017-08-16,4.2,4.16,3.99,4.21,1464097
2017-08-17,4.22,4.19,4.05,4.07,1728561
2017-08-18,4.0,4.05,3.97,4.14,1671211
2017-08-21,4.05,4.16,4.09,4.19,1024035
2017-08-22,4.21,4.19,4.08,4.17,511541
2017-08-23,4.0,4.24,4.0,4.13,1337316
2017-08-24,4.1,4.12,4.12,4.11,1638471
2017-08-25,4.26,4.32,4.21,4.18,1826413
2017-08-28,4.16,4.2,4.12,4.19,1386784
2017-08-29,4.13,4.36,4.26,4.3,1292162
2017-08-30,4.48,4.45,4.34,4.33,2588425
2017-08-31,4.24,4.24,4.27,4.25,2780647
2017-09-01,4.36,4.38,4.29,4.37,1312289
2017-09-05,4.18,4.3,4.25,4.32,1188758
2017-09-06,4.15,4.43,4.16,4.37,1353473
2017-09-07,4.2,4.45,4.3,4.36,1442656
2017-09-08,4.34,4.26,4.29,4.35,946907
2017-09-11,4.3,4.31,4.35,4.3,1053454
2017-09-12,4.27,4.31,4.25,4.3,1662196
2017-09-13,4.37,4.49,4.26,4.5,3816446
2017-09-14,4.3,4.58,4.31,4.5,7439986
2017-09-15,4.43,4.5,4.3,4.57,8266715
2017-09-18,4.47,4.52,4.38,4.3,3349496
2017-09-19,4.22,4.39,4.21,4.27,3765173
2017-09-20,4.3,4.41,4.2,4.38,2755537
2017-09-21,4.41,4.4,4.12,4.29,36798345
2017-09-22,4.3,4.4,4.17,4.2,7026449
2017-09-25,4.15,4.33,4.13,4.15,2277301
2017-09-26,4.15,4.36,4.25,4.23,4049637
2017-09-27,4.38,4.3,4.3,4.18,3519432
2017-09-28,4.2,4.19,4.2,4.2,4085253
2017-09-29,4.3,4.22,4.28,4.33,4927233
2017-10-02,4.38,4.36,4.28,4.36,6703149
2017-10-03,4.29,4.4,4.3,4.31,2291698
2017-10-04,4.26,4.14,4.0,4.17,6417662
2017-10-05,4.13,4.16,4.16,4.01,6749744
2017-10-06,4.0,4.0,3.92,4.08,6887227
2017-10-09,4.03,4.07,3.99,4.03,5237496
2017-10-10,3.98,4.17,3.87,4.01,6160403
2017-10-11,3.97,4.18,3.92,4.12,8430038
2017-10-12,4.0,4.2,3.95,4.07,5391252
2017-10-13,4.04,4.22,4.07,4.05,3004773
2017-10-16,4.0,4.08,4.0,4.15,2608337
2017-10-17,4.0,4.21,3.9,4.09,2928003
2017-10-18,4.12,4.06,3.98,4.08,5261882
2017-10-19,4.1,4.07,4.14,4.13,6599057
2017-10-20,4.19,4.1,4.13,4.0,3004723
2017-10-23,4.17,4.2,4.0,4.06,1984317
2017-10-24,3.96,4.1,3.98,4.01,3435495
2017-10-25,3.92,4.02,3.9,3.89,4285073
2017-10-26,3.98,4.01,3.87,3.92,3248230
2017-10-27,3.9,3.98,3.97,3.99,2038148
2017-10-30,4.08,4.09,3.99,4.0,3141414
2017-10-31,4.06,4.05,3.9,3.96,3472575
2017-11-01,3.95,4.15,3.92,4.1,4544435
2017-11-02,4.1,4.05,3.84,3.97,4016095
2017-11-03,3.89,3.98,3.9,3.92,2949273
2017-11-06,3.9,3.91,3.73,3.83,5709965
2017-11-07,3.9,3.89,3.86,3.84,5697030
2017-11-08,3.8,3.94,3.82,3.97,4108385
2017-11-09,4.06,4.12,3.8,3.87,4622013
2017-11-10,3.9,3.9,3.7,3.78,4719435
2017-11-13,3.81,3.79,3.7,3.81,2494753
2017-11-14,3.9,3.87,3.8,3.92,4506278
2017-11-15,3.8,3.94,3.86,3.93,3123692
2017-11-16,3.86,3.96,3.91,3.94,3264368
2017-11-17,3.83,4.06,3.82,4.04,4426540
2017-11-20,3.99,4.03,3.97,3.97,6025930
2017-11-21,3.91,4.09,3.91,4.0,4910666
2017-11-22,4.26,4.17,4.09,4.21,5747927
2017-11-24,4.15,4.2,4.21,4.17,4406040
2017-11-27,4.13,4.24,4.13,4.28,4305309
2017-11-28,4.23,4.2,4.14,4.32,4109766
2017-11-29,4.09,4.32,4.12,4.15,5540794
2017-11-30,4.21,4.15,4.15,4.06,4568780
2017-12-01,4.07,4.25,4.08,4.18,4439163
2017-12-04,4.15,4.21,4.02,4.02,2387714
2017-12-05,4.09,4.12,4.08,4.05,2923295
2017-12-06,3.92,4.01,4.01,3.93,2445785
2017-12-07,4.0,3.97,3.9,3.98,2535084
2017-12-08,3.97,3.95,3.8,3.88,3500743
2017-12-11,3.84,3.94,3.91,3.89,2905765
2017-12-12,3.97,3.97,3.97,3.94,4010444
2017-12-13,3.93,3.97,3.93,3.93,2830086
2017-12-14,3.9,3.96,4.0,4.07,2514586
2017-12-15,4.12,4.08,3.89,3.87,4518172
2017-12-18,3.89,4.11,3.88,4.02,3350246
2017-12-19,3.97,4.12,3.9,4.1,3412879
2017-12-20,3.99,4.12,3.94,3.88,4033425
2017-12-21,3.87,3.89,3.78,3.85,2449618
2017-12-22,3.9,4.04,3.87,4.0,1927323
2017-12-26,3.86,4.01,3.85,3.9,990065
2017-12-27,3.88,3.91,3.9,3.84,1315990
2017-12-28,3.95,3.99,3.8,4.0,3269787
2017-12-29,3.91,3.9,3.93,4.02,750899
2018-01-02,3.95,3.97,3.91,4.0,1359162
2018-01-03,4.02,4.0,3.94,4.0,4083079
2018-01-04,4.05,4.28,4.01,4.0,3413945
2018-01-05,4.2,4.23,3.99,4.06,2158809
2018-01-08,4.13,4.23,4.03,4.03,2164017
