date,open,high,low,close,volume
2017-01-03,0.0,0.0,0.0,0.0001,0
2017-01-04,0.0,0.0,0.0,0.0001,0
2017-01-05,0.0,0.0,0.0,0.0001,0
2017-01-06,0.0002,0.0002,0.0002,0.0002,399875
2017-01-09,0.0,0.0,0.0,0.0002,0
2017-01-10,0.0,0.0,0.0,0.0002,0
2017-01-11,0.0001,0.0001,0.0001,0.0001,257497
2017-01-12,0.0001,0.0001,0.0001,0.0001,615574
2017-01-13,0.0,0.0,0.0,0.0001,0
2017-01-17,0.0,0.0,0.0,0.0001,0
2017-01-18,0.0001,0.0002,0.0001,0.0002,1669142
2017-01-19,0.0002,0.0002,0.0002,0.0002,5125806
2017-01-20,0.0,0.0,0.0,0.0002,0
2017-01-23,0.0002,0.0003,0.0002,0.0003,693548
2017-01-24,0.0003,0.0003,0.0003,0.0003,295535
2017-01-25,0.0003,0.0003,0.0003,0.0003,3101578
2017-01-26,0.0003,0.0004,0.0003,0.0004,5998457
2017-01-27,0.0003,0.0005,0.0003,0.0005,2462778
2017-01-30,0.0005,0.0005,0.0005,0.0005,706113
2017-01-31,0.0004,0.0004,0.0003,0.0004,1241929
2017-02-01,0.0,0.0,0.0,0.0004,0
2017-02-02,0.0003,0.0003,0.0002,0.0002,1179184
2017-02-03,0.0004,0.0004,0.0004,0.0004,762541
2017-02-06,0.0004,0.0004,0.0003,0.0003,1609018
2017-02-07,0.0,0.0,0.0,0.0003,0
2017-02-08,0.0,0.0,0.0,0.0003,0
2017-02-09,0.0,0.0,0.0,0.0003,0
2017-02-10,0.0,0.0,0.0,0.0003,0
2017-02-13,0.0003,0.0003,0.0003,0.0003,810884
2017-02-14,0.0003,0.0003,0.0003,0.0003,517612
2017-02-15,0.0002,0.0002,0.0002,0.0002,3004825
2017-02-16,0.0002,0.0002,0.0002,0.0002,2083
2017-02-17,0.0,0.0,0.0,0.0002,0
2017-02-21,0.0002,0.0002,0.0002,0.0002,435553
2017-02-22,0.0002,0.0002,0.0002,0.0002,105483
2017-02-23,0.0002,0.0002,0.0002,0.0002,2021469
2017-02-24,0.0002,0.0002,0.0002,0.0002,7982994
2017-02-27,0.0,0.0,0.0,0.0002,0
2017-02-28,0.0003,0.0003,0.0003,0.0003,1756089
2017-03-01,0.0,0.0,0.0,0.0003,0
2017-03-02,0.0003,0.0003,0.0003,0.0003,2720419
2017-03-03,0.0003,0.0003,0.0003,0.0003,10058
2017-03-06,0.0004,0.0004,0.0004,0.0004,103
2017-03-07,0.0004,0.0004,0.0004,0.0004,1479211
2017-03-08,0.0,0.0,0.0,0.0004,0
2017-03-09,0.0004,0.0004,0.0003,0.0003,832357
2017-03-10,0.0004,0.0004,0.0003,0.0003,4191278
2017-03-13,0.0003,0.0004,0.0003,0.0004,7097994
2017-03-14,0.0,0.0,0.0,0.0004,0
2017-03-15,0.0003,0.0003,0.0002,0.0003,3774549
2017-03-16,0.0002,0.0002,0.0002,0.0002,97075
2017-03-17,0.0003,0.0003,0.0003,0.0003,2024623
2017-03-20,0.0002,0.0002,0.0002,0.0002,1039
2017-03-21,0.0,0.0,0.0,0.0002,0
2017-03-22,0.0003,0.0003,0.0003,0.0003,410717
2017-03-23,0.0002,0.0005,0.0002,0.0004,8273229
2017-03-24,0.0005,0.0005,0.0004,0.0005,2705071
2017-03-27,0.0005,0.0005,0.0005,0.0005,23142
2017-03-28,0.0003,0.0003,0.0003,0.0003,15691872
2017-03-29,0.0004,0.0004,0.0004,0.0004,251915
2017-03-30,0.0003,0.0003,0.0003,0.0003,2519008
2017-03-31,0.0004,0.0004,0.0004,0.0004,1127966
2017-04-03,0.0004,0.0004,0.0004,0.0004,578094
2017-04-04,0.0003,0.0003,0.0003,0.0003,94101
2017-04-05,0.0004,0.0004,0.0004,0.0004,256848
2017-04-06,0.0004,0.0004,0.0004,0.0004,503390
2017-04-07,0.0004,0.0004,0.0004,0.0004,272261
2017-04-10,0.0,0.0,0.0,0.0004,0
2017-04-11,0.0004,0.0004,0.0004,0.0004,1259886
2017-04-12,0.0,0.0,0.0,0.0004,0
2017-04-13,0.0003,0.0003,0.0003,0.0003,2688870
2017-04-17,0.0,0.0,0.0,0.0003,0
2017-04-18,0.0,0.0,0.0,0.0003,0
2017-04-19,0.0003,0.0003,0.0003,0.0003,507942
