date,open,high,low,close,volume
2017-01-03,0.049,0.048,0.04,0.0495,314038
2017-01-04,0.041,0.0487,0.041,0.0487,364643
2017-01-05,0.05,0.049,0.0463,0.049,213311
2017-01-06,0.05,0.05,0.047,0.05,327198
2017-01-09,0.05,0.05,0.045,0.049,413526
2017-01-10,0.048,0.05,0.04,0.0487,327481
2017-01-11,0.0,0.0,0.0,0.0487,0
2017-01-12,0.0416,0.0467,0.0414,0.045,313367
2017-01-13,0.045,0.0492,0.04,0.049,394006
2017-01-17,0.0488,0.0488,0.0427,0.044,166205
2017-01-18,0.0442,0.047,0.0443,0.0458,557303
2017-01-19,0.0462,0.047,0.0447,0.0439,1337822
2017-01-20,0.0436,0.047,0.04,0.041,79688
2017-01-23,0.045,0.0465,0.04,0.0467,318099
2017-01-24,0.04,0.0441,0.0406,0.0445,803061
2017-01-25,0.04,0.0431,0.041,0.04,1606434
2017-01-26,0.0421,0.0441,0.04,0.04,675687
2017-01-27,0.038,0.0466,0.036,0.0467,521781
2017-01-30,0.0462,0.046,0.039,0.046,309453
2017-01-31,0.045,0.045,0.04,0.04,194458
2017-02-01,0.045,0.046,0.04,0.0454,498581
2017-02-02,0.04,0.047,0.04,0.0429,840177
2017-02-03,0.044,0.05,0.042,0.05,696285
2017-02-06,0.044,0.05,0.044,0.049,226548
2017-02-07,0.049,0.0567,0.0502,0.056,855405
2017-02-08,0.055,0.057,0.048,0.05,871239
2017-02-09,0.05,0.054,0.0486,0.054,312841
2017-02-10,0.054,0.0603,0.05,0.052,1131306
2017-02-13,0.0579,0.0584,0.05,0.05,654985
2017-02-14,0.0535,0.0533,0.048,0.048,211806
2017-02-15,0.05,0.0512,0.0511,0.05,495149
2017-02-16,0.05,0.053,0.05,0.054,599293
2017-02-17,0.053,0.055,0.048,0.047,182680
2017-02-21,0.047,0.053,0.0454,0.05,269517
2017-02-22,0.046,0.05,0.047,0.047,597934
2017-02-23,0.0446,0.05,0.0459,0.05,110301
2017-02-24,0.05,0.05,0.0493,0.0516,120816
2017-02-27,0.05,0.05,0.046,0.046,111006
2017-02-28,0.0481,0.0498,0.047,0.045,390531
2017-03-01,0.044,0.0445,0.045,0.044,121312
2017-03-02,0.047,0.049,0.042,0.042,174681
2017-03-03,0.0438,0.046,0.042,0.043,663339
2017-03-06,0.043,0.0499,0.0437,0.043,280960
2017-03-07,0.0436,0.045,0.0411,0.044,338901
2017-03-08,0.0411,0.044,0.0403,0.0432,102167
2017-03-09,0.0441,0.0472,0.0427,0.0457,306360
2017-03-10,0.047,0.0502,0.0419,0.0504,396694
2017-03-13,0.051,0.05,0.046,0.049,214225
2017-03-14,0.049,0.05,0.0467,0.0479,46889
