date,open,high,low,close,volume
2017-01-03,37.71,40.64,37.5,40.4,528417
2017-01-04,40.1,40.4,39.44,39.7,346473
2017-01-05,38.82,41.18,40.0,40.8,251556
2017-01-06,39.74,40.69,39.0,38.4,214508
2017-01-09,39.6,39.8,39.42,39.3,202841
2017-01-10,38.6,40.0,39.7,41.0,275631
2017-01-11,41.71,40.55,40.4,40.1,171469
2017-01-12,41.0,41.9,40.0,40.7,194761
2017-01-13,39.6,40.2,39.8,41.2,143276
2017-01-17,40.6,42.57,40.7,41.08,243471
2017-01-18,41.13,41.4,40.0,41.07,217458
2017-01-19,41.8,41.11,39.91,41.22,169613
2017-01-20,41.29,41.3,41.7,41.86,254401
2017-01-23,41.86,43.3,42.0,42.8,252037
2017-01-24,41.48,41.94,41.26,43.1,217959
2017-01-25,42.3,42.25,42.6,41.34,259008
2017-01-26,42.4,43.25,42.5,42.58,197564
2017-01-27,42.65,42.09,40.58,41.93,180065
2017-01-30,41.95,43.0,40.99,42.44,230138
2017-01-31,40.72,43.01,41.1,40.9,252697
2017-02-01,40.6,42.54,40.94,40.2,369449
2017-02-02,40.73,40.58,39.0,40.2,535297
2017-02-03,39.91,39.77,38.5,39.63,1027453
2017-02-06,38.8,39.1,38.2,38.1,330764
2017-02-07,39.1,38.3,38.39,37.76,298168
2017-02-08,37.25,38.83,37.4,36.73,419552
2017-02-09,36.3,36.68,36.5,36.5,467347
2017-02-10,37.2,37.7,37.4,36.31,298933
2017-02-13,37.7,37.71,37.0,38.0,181222
2017-02-14,37.0,36.6,35.53,36.71,494235
2017-02-15,35.7,35.9,36.8,35.5,290649
2017-02-16,36.4,35.9,36.0,35.6,218681
2017-02-17,35.35,36.58,36.0,35.48,377318
2017-02-21,36.7,37.2,35.0,38.0,285622
2017-02-22,37.1,37.95,37.1,37.1,264459
2017-02-23,36.41,38.67,37.0,38.24,685461
2017-02-24,37.79,37.0,35.37,36.93,1698340
2017-02-27,36.86,41.51,35.6,39.48,1406496
2017-02-28,40.3,39.83,36.87,38.04,1962231
2017-03-01,38.5,39.5,36.7,38.0,1252538
2017-03-02,39.5,39.71,37.53,38.3,1169042
2017-03-03,39.1,40.05,38.99,39.2,792623
2017-03-06,36.6,38.57,36.16,37.3,819558
2017-03-07,37.4,37.5,34.2,34.6,1079612
2017-03-08,35.53,35.5,32.16,32.35,1000089
2017-03-09,32.0,34.57,31.3,32.8,1075915
2017-03-10,33.2,34.3,33.1,33.29,699262
2017-03-13,33.48,34.1,33.0,33.0,530564
2017-03-14,32.0,32.3,30.5,31.85,947380
2017-03-15,31.5,31.5,30.1,30.27,1080974
2017-03-16,30.4,32.02,31.15,31.16,869122
2017-03-17,32.0,32.84,30.77,32.4,1563100
2017-03-20,31.56,32.54,32.6,33.35,673822
2017-03-21,33.0,33.0,31.65,33.25,638473
2017-03-22,31.7,32.5,29.6,30.39,1586604
2017-03-23,29.7,30.0,28.36,28.45,1024534
2017-03-24,29.0,28.3,27.6,27.67,766862
2017-03-27,27.85,27.76,26.0,26.59,1038839
2017-03-28,26.4,27.1,27.16,27.7,996163
2017-03-29,26.91,27.26,26.41,27.8,931345
2017-03-30,27.67,27.21,26.58,27.0,705669
2017-03-31,27.7,28.78,27.8,27.99,1040493
2017-04-03,27.2,27.9,27.7,28.06,621320
2017-04-04,27.55,28.2,28.3,27.8,617947
2017-04-05,27.92,29.07,28.68,28.5,1109596
2017-04-06,29.3,29.5,27.2,28.4,806402
2017-04-07,28.0,29.3,28.2,28.88,474101
2017-04-10,28.88,29.84,28.94,28.3,318866
2017-04-11,29.6,29.76,28.1,29.82,397349
2017-04-12,29.0,29.68,27.9,28.21,700181
2017-04-13,28.19,29.1,27.8,28.57,477899
2017-04-17,29.0,30.11,28.18,28.6,499327
2017-04-18,28.8,29.25,28.15,29.65,266438
2017-04-19,29.05,29.2,28.55,29.49,327919
2017-04-20,28.92,28.91,28.3,28.2,438795
2017-04-21,29.2,29.68,28.5,28.42,307181
2017-04-24,28.81,28.9,28.18,27.8,517681
2017-04-25,28.6,28.94,27.72,29.57,670188
2017-04-26,29.21,30.09,29.1,29.1,317202
2017-04-27,29.69,29.7,29.3,28.94,452975
