,average,changeOverTime,close,date,datetime,high,label,low,marketAverage,marketChangeOverTime,marketClose,marketHigh,marketLow,marketNotional,marketNumberOfTrades,marketOpen,marketVolume,notional,numberOfTrades,open,volume
2019-11-08 09:30:00.000000,267.754,0.0,267.95,2019-11-08,2019-11-08 09:30:00.000000,260.59,09:30 AM,259.01,271.003,0.0,259.51,270.697,269.46,94018607.869,647.0,266.0,361505.0,368623.3,18.0,259.0,1437
2019-11-08 09:31:00.000000,262.8,0.00013659712320787128,267.632,2019-11-08,2019-11-08 09:31:00.000000,268.29,09:31 AM,267.53,261.818,0.0008975124740740955,266.04,268.97,264.74,20335660.4496,394.0,264.79,81145.0,303921.32,9.0,259.59,1139
2019-11-08 09:32:00.000000,267.739,-0.0005640240280599057,262.51,2019-11-08,2019-11-08 09:32:00.000000,262.56,09:32 AM,268.98,266.427,-0.0003410973875454612,270.476,268.09,259.6,23178352.674,348.0,268.21,90499.0,236959.76,8.0,271.24,932
2019-11-08 09:33:00.000000,259.786,-0.0011125582829401783,270.27,2019-11-08,2019-11-08 09:33:00.000000,269.9,09:33 AM,266.62,261.596,-0.0006405290595813222,265.548,269.02,263.603,15178949.3551,280.0,260.23,59136.0,104304.52,4.0,267.41,414
2019-11-08 09:34:00.000000,262.568,-0.0012060676737635871,264.527,2019-11-08,2019-11-08 09:34:00.000000,260.399,09:34 AM,267.831,265.245,-0.0006374448536689837,269.96,266.458,265.36,23296166.3336,342.0,270.06,89961.0,479437.4,9.0,266.442,1875
2019-11-08 09:35:00.000000,263.94,-0.0012483588148436313,258.97,2019-11-08,2019-11-08 09:35:00.000000,261.58,09:35 AM,258.8,270.247,-0.0006326014891297788,265.309,259.746,263.25,14677268.5493,269.0,269.98,57216.0,228067.68,7.0,259.34,883
2019-11-08 09:36:00.000000,270.38,-0.0005533885484080171,264.01,2019-11-08,2019-11-08 09:36:00.000000,265.689,09:36 AM,269.726,263.18,0.0002633999217265483,263.11,268.89,263.86,18461326.6952,348.0,271.67,72157.0,254596.555,4.0,262.043,1009
2019-11-08 09:37:00.000000,265.755,-0.00030042949763912723,267.2,2019-11-08,2019-11-08 09:37:00.000000,261.43,09:37 AM,264.1,263.368,0.00015875671965306427,261.3,270.08,271.1,11198018.097,248.0,263.8,43014.0,140144.07,9.0,267.196,524
2019-11-08 09:38:00.000000,271.675,-0.00030135265689519455,267.4,2019-11-08,2019-11-08 09:38:00.000000,259.74,09:38 AM,264.87,269.002,0.00013044500371679513,264.253,267.43,261.85,14554677.6413,268.0,262.38,55573.0,134293.0,5.0,266.139,506
2019-11-08 09:39:00.000000,263.2,-0.0003471233366168254,269.6,2019-11-08,2019-11-08 09:39:00.000000,266.04,09:39 AM,268.42,259.671,-2.713313710008987e-05,265.06,265.45,264.53,17740068.0819,263.0,264.76,69458.0,26986.0,1.0,260.18,105
2019-11-08 09:40:00.000000,266.333,-0.000749653197303594,261.596,2019-11-08,2019-11-08 09:40:00.000000,264.18,09:40 AM,270.319,266.669,-0.0003528723284672569,268.04,268.306,265.34,15188639.4653,288.0,267.37,57780.0,135705.4,3.0,258.94,506
2019-11-08 09:41:00.000000,271.344,-0.0011064765143326291,264.51,2019-11-08,2019-11-08 09:41:00.000000,262.56,09:41 AM,262.29,264.487,-0.0006848975615911814,259.73,267.35,259.79,15908382.0167,272.0,259.4,62134.0,105336.9,4.0,260.228,413
2019-11-08 09:42:00.000000,263.363,-0.0014094940804081555,268.9,2019-11-08,2019-11-08 09:42:00.000000,268.49,09:42 AM,262.82,265.179,-0.0010157666291275508,268.59,265.1,270.38,16473299.6265,297.0,261.27,62733.0,147369.2,7.0,263.72,593
2019-11-08 09:43:00.000000,260.958,-0.0016480530648186737,266.8,2019-11-08,2019-11-08 09:43:00.000000,270.21,09:43 AM,260.75,261.033,-0.0010762850155724823,267.03,261.53,263.81,16393795.6657,261.0,270.03,61926.0,498616.9,7.0,262.87,1882
2019-11-08 09:44:00.000000,260.104,-0.0010626327796056047,268.27,2019-11-08,2019-11-08 09:44:00.000000,261.94,09:44 AM,270.555,263.262,-0.0006830704835575838,271.695,259.24,266.98,16259762.4505,249.0,261.497,63054.0,673159.0,8.0,269.561,2612
2019-11-08 09:45:00.000000,262.61,-0.000565779141837391,269.218,2019-11-08,2019-11-08 09:45:00.000000,262.214,09:45 AM,267.425,262.004,-0.0001701730966248492,268.45,262.79,267.15,17711779.291,265.0,268.75,67753.0,464583.15,9.0,259.91,1828
2019-11-08 09:46:00.000000,271.33,-0.0011446882945671147,263.06,2019-11-08,2019-11-08 09:46:00.000000,269.85,09:46 AM,263.294,264.405,-0.000718947668746463,266.48,266.79,264.479,10993524.457,219.0,260.9,43106.0,394036.66,7.0,265.65,1534
2019-11-08 09:47:00.000000,263.816,-0.000581134879117216,265.37,2019-11-08,2019-11-08 09:47:00.000000,269.27,09:47 AM,267.781,265.872,-0.0002636111089550531,259.35,259.31,266.23,9600132.496,186.0,270.21,37722.0,1107343.6,5.0,265.078,4234
2019-11-08 09:48:00.000000,261.562,-0.0005738488204803569,261.738,2019-11-08,2019-11-08 09:48:00.000000,269.31,09:48 AM,261.008,259.153,-0.00015679176369769735,269.286,263.5,262.23,9749472.444,183.0,265.315,38806.0,869243.49,8.0,262.09,3316
2019-11-08 09:49:00.000000,258.823,-0.0008567749792586762,259.56,2019-11-08,2019-11-08 09:49:00.000000,263.179,09:49 AM,265.87,262.523,-0.0006387199959584451,271.081,271.3,259.45,11569577.2289,242.0,270.301,44718.0,322216.29,6.0,271.062,1246
