,avgTotalVolume,calculationPrice,change,changePercent,close,closeTime,companyName,delayedPrice,delayedPriceTime,extendedChange,extendedChangePercent,extendedPrice,extendedPriceTime,high,iexAskPrice,iexAskSize,iexBidPrice,iexBidSize,iexLastUpdated,iexMarketPercent,iexRealtimePrice,iexRealtimeSize,iexVolume,latestPrice,latestSource,latestTime,latestUpdate,latestVolume,low,marketCap,open,openTime,peRatio,previousClose,symbol,week52High,week52Low,ytdChange
0,,previousclose,,,,,"Goodyear (Thailand) Public Co., Ltd.",,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,GDYRF,0.0,0.0,0.0
1,288.0,previousclose,0.0,0.0,,,Mr. Amazing Loans Corp.,,,,,,,,,,,,,,,,,0.11,Previous close,"July 2, 2019",1617508533074.0,0,,1973341.0,,,-1.0,0.11,MRAL,0.308,0.0846,0.1
2,523.0,previousclose,0.0,0.0,,,Mahindra & Mahindra Ltd.,,,,,,,,,,,,,,,,,9.68,Previous close,"July 2, 2019",1573709359619.0,0,,11930621000.0,,,14.12,9.42,MAHMF,16.61,6.0,-0.140295
3,12909.0,close,0.03,0.01126,2.83,1628402959105.0,"Comstock Holding Cos., Inc.",2.88,1620869977733.0,-0.1,-0.03628,2.77,1617337359357.0,2.91,0.0,0.0,0.0,0.0,1621906081874.0,0.016754680840242193,2.76,102.0,102.0,2.93,Close,"July 3, 2019",1585313195846.0,6339,2.7,10996480.0,2.8,1605739287228.0,-2.97,2.83,CHCI,3.89,1.63,0.53845
4,0.0,previousclose,0.0,0.0,,,General Agriculture Corp.,,,,,,,,,,,,,,,,,3.9,Previous close,"March 24, 2017",1564771527857.0,0,,60630853.0,,,6.3,3.9,GELT,0.0,0.0,0.0
5,0.0,previousclose,0.0,0.0,,,"MSA Safety, Inc.",,,,,,,,,,,,,,,,,49.0,Previous close,"December 4, 2017",1544318325720.0,0,,1977450594.0,,,,50.0,MNESP,0.0,0.0,0.0
6,3316.0,previousclose,0.0,0.0,,,Société BIC SA,,,,,,,,,,,,,,,,,39.68,Previous close,"July 2, 2019",1634486948921.0,0,,,,,17.79,40.27,BICEY,57.68,36.55,-0.2273
7,,previousclose,,,,,Crest Nicholson Holdings Plc,,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,CRNHY,0.0,0.0,0.0
8,0.0,previousclose,0.0,0.0,,,P.G.O. Automobiles,,,,,,,,,,,,,,,,,0.15,Previous close,"July 2, 2019",1590222850647.0,0,,0.0,,,,0.15,MLPGO-FP,0.0,0.0,0.0
9,2619.0,close,-0.1,-0.00812,13.1,1599049933331.0,Lancor Holdings Ltd.,,,,,,,,,,,,,,,,,12.6,Close,"July 3, 2019",1612669957940.0,0,,0.0,,,,13.1,509048-IB,28.31,12.5,-0.408578
10,2373.0,close,-1.1,-0.00637,183.0,1614947905164.0,Butterfly Gandhimathi Appliances Ltd.,,,,,,,,,,,,,,,,,178.0,Close,"July 3, 2019",1595743501007.0,0,,0.0,,,,184.5,517421-IB,405.0,157.49,-0.393827
11,,previousclose,,,,,Zojirushi Corp.,,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,ZOJIF,0.0,0.0,0.0
12,13084.0,previousclose,0.0,0.0,,,"Kid Brands, Inc.",,,,,,,,,,,,,,,,,0.0015,Previous close,"July 2, 2019",1581086393018.0,0,,33901.0,,,0.0,0.0015,KIDBQ,0.01,0.0001,4.0
13,,previousclose,,,,,PT Gajah Tunggal Tbk,,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,PTGJF,0.0,0.0,0.0
14,260861.0,previousclose,0.0,0.0,,,Bovis Homes Group Plc,,,,,,,,,,,,,,,,,10.83,Previous close,"July 2, 2019",1584157462579.0,0,,0.0,,,,10.81,BVS-LN,12.0,8.38,0.210014
15,545330.0,previousclose,0.0,0.0,,,Galliford Try Plc,,,,,,,,,,,,,,,,,6.54,Previous close,"July 2, 2019",1618230842772.0,0,,0.0,,,,6.64,GFRD-LN,11.6,5.1,0.042738
16,241733.0,close,91.0,0.02041,4566.0,1624771199001.0,"GOLFZON NEWDIN HOLDINGS Co., Ltd.",,,,,,,,,,,,,,,,,4747.0,Close,"July 3, 2019",1618904977610.0,0,,0.0,,,,4633.0,121440-KP,4899.0,3198.0,0.306252
17,6.0,previousclose,0.0,0.0,,,Les Verandas 4 Saisons SA,,,,,,,,,,,,,,,,,2.1,Previous close,"July 2, 2019",1580773471696.0,0,,0.0,,,,2.2,MLV4S-FP,2.32,0.56,0.77
18,7.0,previousclose,0.0,0.0,,,AFC Ajax NV,,,,,,,,,,,,,,,,,20.0,Previous close,"July 2, 2019",1634673344126.0,0,,350976803.0,,,82.01,20.0,AFCJF,28.4,18.82,0.466428
19,3.0,previousclose,0.0,0.0,,,"The Yokohama Rubber Co., Ltd.",,,,,,,,,,,,,,,,,20.81,Previous close,"July 2, 2019",1581292671400.0,0,,,,,10.3,21.46,YORUY,20.74,20.54,0.0
20,96.0,previousclose,0.0,0.0,,,"Dorel Industries, Inc.",,,,,,,,,,,,,,,,,10.8,Previous close,"July 2, 2019",1615832509825.0,0,,0.0,,,,10.5,DII-A-CT,27.48,10.92,-0.397767
21,23704.0,close,0.09,0.00255,38.14,1572147854639.0,"BRP, Inc.",37.93,1638798075094.0,-0.03,-0.00081,38.53,1578541005138.0,37.97,0.0,0.0,0.0,0.0,1637280517591.0,0.015089613044591882,37.26,26.0,157.0,38.51,Close,"July 3, 2019",1620883853775.0,10466,37.1,3596889088.0,38.42,1580982309009.0,12.64,38.21,DOOO,57.26,24.6,0.404366
22,0.0,previousclose,,,,,The Mobile Star Corp.,,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,MBST,0.0001,0.0001,0.0
23,34.0,previousclose,0.0,0.0,,,"Sekisui Chemical Co., Ltd.",,,,,,,,,,,,,,,,,17.26,Previous close,"July 2, 2019",1577363443505.0,0,,7797544569.0,,,13.07,16.91,SKSUF,17.4,15.02,0.118202
24,,previousclose,,,,,Forbo Holding AG,,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,FBOHF,0.0,0.0,0.0
25,18844.0,previousclose,0.0,0.0,,,Balta Group NV,,,,,,,,,,,,,,,,,2.82,Previous close,"July 2, 2019",1583357162290.0,0,,0.0,,,,2.8,BALTA-BB,6.11,2.61,-0.18956
26,19722.0,close,-63.0,-0.006,9993.0,1640127932510.0,"Hyundai Telecommunication Co., Ltd.",,,,,,,,,,,,,,,,,10208.0,Close,"July 3, 2019",1583952855107.0,0,,0.0,,,,10174.0,039010-KP,13875.0,9324.0,-0.061116
27,,previousclose,,,,,"PulteGroup, Inc.",,,,,,,,,,,,,,,,,,N/A,N/A,,0,,,,,,,PHM-MM,0.0,0.0,0.0
28,2159.0,close,0.0,0.0,0.77,1584848537028.0,Tara Jewels Ltd.,,,,,,,,,,,,,,,,,0.79,Close,"July 3, 2019",1621428674854.0,0,,0.0,,,,0.78,534756-IB,9.1,0.59,-0.581928
29,0.0,previousclose,0.0,0.0,,,Husqvarna AB,,,,,,,,,,,,,,,,,8.1,Previous close,"May 17, 2019",1597959127149.0,0,,4694749872.0,,,28.91,8.4,HUQVF,9.09,7.9,-0.090399
30,59.0,previousclose,0.0,0.0,,,Federal Casters Corp.,,,,,,,,,,,,,,,,,0.26,Previous close,"July 2, 2019",1631436077808.0,0,,0.0,,,,0.26,FEDC,1.04,0.23,-0.758305
31,137.0,previousclose,0.0,0.0,,,Forbo Holding AG,,,,,,,,,,,,,,,,,37.17,Previous close,"July 2, 2019",1607435212683.0,0,,,,,21.95,37.03,FBOHY,38.03,26.65,0.388787
32,26383.0,previousclose,0.0,0.0,,,Kaufman & Broad SA,,,,,,,,,,,,,,,,,34.16,Previous close,"July 2, 2019",1570593240193.0,0,,0.0,,,,33.48,KOF-FP,48.7,29.96,-0.009361
33,128670.0,close,-0.08,-0.0024,35.23,1572077415115.0,Matthews International Corp.,35.67,1629794220675.0,0.0,0.0,34.2,1584809000177.0,36.24,0.0,0.0,0.0,0.0,1599257766171.0,0.021584132451223804,35.03,199.0,1628.0,34.51,Close,"July 3, 2019",1626043185595.0,78300,35.51,1096332536.0,35.11,1636866256590.0,15.4,34.8,MATW,63.67,34.47,-0.17243107199517252
34,0.0,previousclose,0.0,0.0,,,"Sekisui Chemical Co., Ltd.",,,,,,,,,,,,,,,,,105.77,Previous close,"January 11, 2019",1605412725106.0,0,,,,,16.52,105.34,SKSUY,0.0,0.0,0.0
35,1200.0,close,0.0,0.0,104.0,1578561215238.0,Gautam Gems Ltd.,,,,,,,,,,,,,,,,,105.0,Close,"July 3, 2019",1573163014880.0,0,,0.0,,,,108.0,540936-IB,132.91,69.0,0.414357
36,138.0,previousclose,0.0,0.0,,,Savaria Corp.,,,,,,,,,,,,,,,,,10.24,Previous close,"July 2, 2019",1608802609306.0,0,,515286876.0,,,32.98,10.37,SISXF,16.5,8.93,0.065652
37,4579.0,close,-1.67,-0.0237,71.65,1564998953333.0,Prima Plastics Ltd.,,,,,,,,,,,,,,,,,73.61,Close,"July 3, 2019",1613656548278.0,0,,0.0,,,,74.0,530589-IB,153.0,70.0,-0.354394
38,1335923.0,close,-0.01,-0.00089,12.26,1639490625119.0,Tata Motors Ltd.,12.28,1610289133101.0,0.03,0.00261,11.9,1602093438118.0,12.3,0.0,0.0,0.0,0.0,1564345209416.0,0.01736213717559724,12.218,174.0,11118.0,12.06,Close,"July 3, 2019",1590966815901.0,691741,12.08,,11.85,1631943377181.0,-2.03,11.87,TTM,20.89,10.44,-0.024448
